Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,1.549420,7.450380,1.368100,1.480150,0.273581,286202
2003-02-01,1.480190,1.486780,1.384580,1.424140,0.263229,783527
2003-03-01,1.411290,1.582380,1.401070,1.565900,0.289431,201569
2003-04-01,1.615350,1.664800,1.549420,1.664800,0.307711,252832
2003-05-01,1.714250,7.335000,1.697760,1.714210,0.316843,497023
2003-06-01,1.747210,8.241900,1.648310,1.648310,0.304663,1833994
2003-07-01,1.664800,1.714250,1.648310,1.648310,0.304663,123764
2003-08-01,1.631830,1.846110,1.631830,1.846110,0.341223,429226
2003-09-01,1.928530,9.659290,1.879080,1.977950,0.365591,318508
2003-10-01,2.043880,9.560230,1.813150,1.813150,0.335131,273918
2003-11-01,1.879080,7.242530,1.846110,2.057100,0.380221,413909
2003-12-01,2.060390,2.109840,1.961490,2.093360,0.386923,621243
2004-01-01,2.126330,2.307610,2.126330,2.139510,0.395453,192467
2004-02-01,2.099950,10.549200,2.094380,2.373570,0.438715,350054
2004-03-01,2.752690,3.296630,2.752690,3.082350,0.569721,3121676
2004-04-01,3.131800,3.395530,3.125170,3.395530,0.627608,1059263
2004-05-01,3.412010,3.774640,3.412010,3.771340,0.697070,1139344
2004-06-01,3.758160,19.202900,3.758160,3.955960,0.731194,1286162
2004-07-01,3.922990,19.367701,3.758160,3.791120,0.700726,567398
2004-08-01,3.791120,19.120501,3.768080,3.926290,0.725710,608349
2004-09-01,3.922990,19.944599,3.922990,4.021890,0.743380,1294502
2004-10-01,3.988920,19.779800,3.939470,4.532870,0.837826,1295413
2004-11-01,4.566160,22.830799,4.417490,4.473530,0.826858,1024379
2004-12-01,4.401000,23.406099,4.384520,22.548901,4.167791,2302804
2005-01-01,4.582320,20.768801,4.153750,4.285620,0.792126,575738
2005-02-01,4.285620,21.263300,4.219720,4.308330,0.796324,1767714
2005-03-01,4.302100,20.439100,3.857090,4.037190,0.746208,6403811
2005-04-01,12.362400,14.010700,2.076880,2.101600,0.388446,53846
2005-05-01,2.076880,10.796500,1.977980,2.129620,0.393625,529480
2005-06-01,2.225540,2.433270,2.117620,2.397310,0.443103,4451240
2005-07-01,2.453250,2.457200,2.325390,2.373340,0.438673,2237260
2005-08-01,2.385280,2.488770,2.381330,2.425280,0.448273,2449998
2005-09-01,2.483170,13.205200,2.483170,2.677000,0.494799,1898753
2005-10-01,2.736930,13.364800,2.457240,2.537150,0.468950,5253263
2005-11-01,2.590970,12.954900,2.573110,2.952690,0.545756,8019365
2005-12-01,3.084540,15.023100,2.916730,15.023100,2.776772,1823543
2006-01-01,2.996640,15.632500,2.996640,3.082540,0.569756,1658984
2006-02-01,3.076550,15.582500,2.955560,15.582500,2.880167,2582145
2006-03-01,3.108510,3.268330,3.076550,3.268330,0.604097,1868470
2006-04-01,3.336260,17.320601,3.292300,3.436140,0.635114,984355
2006-05-01,3.452130,3.635920,3.256350,3.363820,0.621747,1531465
2006-06-01,3.390120,14.863300,2.972660,3.196410,0.590803,971215
2006-07-01,3.362230,3.372220,3.124490,3.136440,0.579719,1293701
2006-08-01,3.116460,3.376250,3.116460,3.376250,0.624044,3487534
2006-09-01,3.463630,17.080799,3.352200,3.508060,0.648407,1634459
2006-10-01,3.516050,17.840000,3.316280,3.384080,0.625491,1186078
2006-11-01,3.432150,18.313200,3.396190,3.617900,0.668709,1551115
2006-12-01,3.595960,18.838900,3.595960,18.838900,3.482058,954072
2007-01-01,18.838900,19.717699,3.686380,3.893590,0.719666,825549
2007-02-01,3.903540,20.756701,3.865660,3.915610,0.723736,1687018
2007-03-01,3.995520,4.291180,3.955560,4.291180,0.793153,2410578
2007-04-01,4.299170,21.915600,4.299170,4.694730,0.867743,2572762
2007-05-01,23.473600,23.473600,4.754660,5.194130,0.960049,901135
2007-06-01,5.389950,26.949800,5.274080,5.493830,1.015443,1493801
2007-07-01,5.433900,27.878700,5.274080,5.274080,0.974826,1398568
2007-08-01,5.230290,5.393950,4.514930,5.393950,0.996982,37475389
2007-09-01,5.278080,5.473460,4.930470,5.234130,0.967442,28952461
2007-10-01,5.194170,5.753540,5.193770,5.673630,1.048676,28083987
2007-11-01,5.513810,5.697210,4.774640,5.174190,0.956363,34876600
2007-12-01,5.194170,5.273680,4.810600,4.994390,0.923130,26897656
2008-01-01,4.994390,4.998790,4.259220,4.594840,0.849280,30491687
2008-02-01,4.586850,5.359980,4.474980,5.114260,0.945286,31725567
2008-03-01,5.157410,5.313640,4.515330,4.654380,0.860285,38778474
2008-04-01,4.717900,4.814200,4.227260,4.435020,0.819740,32814287
2008-05-01,4.435020,4.674350,4.175310,4.191300,1.096462,29813424
2008-06-01,4.231250,4.432630,3.727420,3.851680,1.007615,37707274
2008-07-01,3.720220,3.755780,3.124890,3.316280,0.867553,45338331
2008-08-01,3.316280,3.635520,3.264340,3.516050,1.014218,31209989
2008-09-01,3.500470,3.801330,3.329860,3.665090,1.057209,33730316
2008-10-01,3.703440,3.703440,2.817240,3.192020,1.014111,53610103
2008-11-01,3.156460,3.695850,3.036590,3.225980,1.024900,33953062
2008-12-01,3.156460,3.595960,2.996640,3.387800,1.076311,26029180
2009-01-01,3.387800,3.556010,3.084540,3.216390,1.021854,12589115
2009-02-01,3.188420,3.443730,3.138880,3.355830,1.182800,10078801
2009-03-01,3.260340,3.707840,3.027000,3.707840,1.306870,15615005
2009-04-01,3.599960,4.114580,3.546020,3.953960,1.393618,14703984
2009-05-01,3.953960,4.453000,3.855670,4.319150,1.522333,31417722
2009-06-01,4.413450,4.443010,4.075430,4.231250,1.491351,15139474
2009-07-01,4.175310,4.472580,4.110990,4.295180,1.513884,29380438
2009-08-01,4.289190,4.874530,4.275600,4.827380,1.841940,30857097
2009-09-01,4.874130,5.054330,4.637200,5.054330,1.928535,33567632
2009-10-01,5.067110,5.671230,4.994390,5.357990,2.137586,22632874
2009-11-01,5.357990,5.945330,5.274080,5.713190,2.279294,18428160
2009-12-01,5.735560,5.993270,5.513410,5.993270,2.391032,11698114
2010-01-01,5.893390,6.423590,5.873410,5.993270,2.598319,18588341
2010-02-01,6.130720,6.292940,5.674030,5.958510,2.583248,12871931
2010-03-01,6.011650,6.119130,5.515010,5.515010,2.390974,25288351
2010-04-01,5.565750,6.117930,5.490640,5.878200,2.724928,14888163
2010-05-01,5.912960,6.066390,5.593720,5.885390,2.728262,20070850
