Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,0.462500,0.496880,0.437500,0.468750,0.171429,12985600
2003-02-01,0.440630,0.500000,0.406250,0.437500,0.160001,84441600
2003-03-01,0.437500,0.493130,0.391880,0.462500,0.169144,24390400
2003-04-01,0.481250,0.575000,0.478130,0.562500,0.205715,39168000
2003-05-01,0.562500,0.687500,0.553130,0.656250,0.240001,16992000
2003-06-01,0.656250,0.687500,0.469380,0.568130,0.207774,35584000
2003-07-01,0.562500,0.624380,0.562500,0.612500,0.224001,51840000
2003-08-01,0.600000,0.818750,0.581250,0.812500,0.297144,80947200
2003-09-01,0.837500,1.031880,0.817500,0.943750,0.345144,182316800
2003-10-01,0.943750,1.093750,0.900630,1.075000,0.393145,181075200
2003-11-01,1.051880,1.378130,1.051880,1.371880,0.501718,117856000
2003-12-01,1.375000,1.686880,1.318750,1.612500,0.589717,95948800
2004-01-01,1.612500,1.737500,1.450000,1.499380,0.548347,102918400
2004-02-01,1.468750,1.625000,1.412500,1.528130,0.558861,70118400
2004-03-01,1.543750,1.600000,1.488130,1.528130,0.558861,82950400
2004-04-01,1.531250,1.643750,1.443750,1.572500,0.575088,218188800
2004-05-01,1.550000,1.687500,1.418750,1.650000,0.603431,257542400
2004-06-01,1.656250,2.218130,1.581250,2.218130,0.811205,234720000
2004-07-01,2.190630,2.343750,1.881250,2.068750,0.756575,212678400
2004-08-01,2.062500,2.325000,1.846880,2.281250,0.834289,145760000
2004-09-01,2.296880,2.561880,2.109380,2.303130,0.842291,178617600
2004-10-01,2.312500,2.618750,2.265630,2.568750,0.939433,186112000
2004-11-01,2.562500,3.228130,2.487500,3.081880,1.127092,176128000
2004-12-01,3.081880,3.655630,3.081880,3.631250,1.328006,137977600
2005-01-01,3.693750,3.937500,3.240630,3.284380,1.201150,159353600
2005-02-01,3.312500,3.462500,3.125000,3.375000,1.234291,226828800
2005-03-01,3.375000,3.813130,3.256880,3.324380,1.215779,261132800
2005-04-01,3.281250,3.500000,3.125000,3.312500,1.211434,153132800
2005-05-01,3.311880,3.721250,3.125000,3.687500,1.348577,178508800
2005-06-01,3.686250,3.811880,3.281250,3.430000,1.254405,174777600
2005-07-01,3.437500,3.499380,3.175630,3.350000,1.225148,219955200
2005-08-01,3.356250,3.562500,3.231250,3.512500,1.284577,178150400
2005-09-01,3.559380,4.125000,3.356250,3.965630,1.450294,242905600
2005-10-01,3.937500,4.042500,3.500630,3.718750,1.360006,262566400
2005-11-01,3.735000,4.409380,3.656880,4.181250,1.529149,178451200
2005-12-01,4.250000,4.743750,4.218750,4.625000,1.691436,186739200
2006-01-01,4.621880,5.812500,4.593750,5.625000,2.057152,266080000
2006-02-01,5.650000,6.000000,4.430000,5.012500,1.833151,95740400
2006-03-01,5.047500,5.542500,4.537500,5.065000,1.852351,98740400
2006-04-01,5.077500,5.250000,4.565000,4.575000,1.673150,51729200
2006-05-01,4.600000,5.000000,3.790000,4.312500,1.577150,1114289860
2006-06-01,4.387500,4.625000,4.037500,4.425000,1.618293,859517156
2006-07-01,4.425000,5.125000,4.312500,5.112500,1.869722,426046904
2006-08-01,5.117500,5.287500,4.787500,5.222500,1.909951,1095465212
2006-09-01,5.225000,5.612500,5.000000,5.250000,1.920008,277494412
2006-10-01,5.277500,5.952500,5.277500,5.717500,2.090981,63888000
2006-11-01,5.737500,6.975000,5.675000,6.887500,2.518868,78005200
2006-12-01,6.950000,7.447500,6.855000,7.212500,2.637726,61902400
2007-01-01,7.212500,7.550000,6.162500,6.975000,2.550868,148259600
2007-02-01,6.950000,7.135000,6.500000,6.825000,2.496011,58178400
2007-03-01,6.637500,6.982500,6.372500,6.867500,2.511554,68576000
2007-04-01,6.845000,7.962500,6.772500,7.942500,2.904699,84076000
2007-05-01,7.942500,8.450000,7.550000,8.062500,2.948584,66826800
2007-06-01,8.242500,9.370000,7.562500,8.877500,3.246643,74930000
2007-07-01,8.885000,9.625000,8.155000,8.515000,3.114070,63657600
2007-08-01,8.402500,9.375000,7.212500,8.500000,3.108585,64755200
2007-09-01,8.572500,9.370000,8.207500,9.225000,3.373729,50392800
2007-10-01,9.345000,9.975000,7.250000,7.997500,2.924812,111158800
2007-11-01,7.875000,8.427500,7.000000,7.825000,2.861727,69299600
2007-12-01,7.950000,8.117500,6.837500,6.875000,2.514297,53362400
2008-01-01,6.875000,7.247500,5.425000,7.087500,2.592012,86209600
2008-02-01,7.225000,7.780000,6.887500,7.212500,2.637726,67315600
2008-03-01,7.150000,7.257500,6.047500,6.472500,2.367096,61338800
2008-04-01,6.575000,8.012500,6.455000,8.000000,2.925727,45014800
2008-05-01,8.000000,8.250000,7.325000,8.177500,2.990642,63690000
2008-06-01,8.020000,8.995000,7.532500,7.922500,2.897384,69037200
2008-07-01,7.867500,8.250000,6.950000,7.965000,2.912927,83086400
2008-08-01,7.905000,7.997500,7.025000,7.455000,2.726411,57361200
2008-09-01,7.437500,7.587500,5.627500,6.250000,2.642869,87482800
2008-10-01,6.250000,6.347500,3.325000,5.350000,2.262295,107395600
2008-11-01,5.350000,5.867500,4.665000,5.657500,2.392324,64094400
2008-12-01,5.575000,6.247500,5.215000,5.907500,2.498039,62053600
2009-01-01,5.907500,6.480000,5.615000,5.712500,2.415582,44988400
2009-02-01,5.715000,6.200000,5.550000,5.795000,2.450468,41471600
2009-03-01,5.640000,5.740000,5.202500,5.212500,2.204153,52183200
2009-04-01,5.215000,7.067500,5.167500,6.582500,2.783469,63010400
2009-05-01,6.582500,7.807500,6.437500,7.722500,3.265528,62068800
2009-06-01,7.627500,8.385000,6.877500,7.857500,3.322614,61082800
2009-07-01,7.962500,8.432500,7.415000,7.625000,3.224300,68241600
2009-08-01,7.685000,8.000000,7.005000,7.762500,3.282442,44510400
2009-09-01,7.722500,7.912500,7.192500,7.577500,3.765041,60184400
2009-10-01,7.577500,9.210000,7.500000,8.700000,4.322780,136670800
