Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,187.880005,194.009995,187.880005,194.009995,189.873657,1000
2013-08-01,194.009995,213.350006,194.009995,213.350006,208.801331,500
2013-09-01,213.350006,213.350006,198.070007,199.000000,196.151077,600
2013-10-01,199.000000,201.669998,192.600006,201.669998,198.782852,1100
2013-11-01,201.669998,220.539993,201.669998,220.539993,217.382706,1900
2013-12-01,220.539993,220.539993,213.949997,218.369995,216.789490,3600
2014-01-01,218.369995,229.000000,214.919998,213.279999,211.736328,4300
2014-02-01,214.919998,223.860001,213.300003,215.350006,213.791367,6400
2014-03-01,216.029999,222.979996,216.029999,220.679993,220.679993,2400
2014-04-01,220.679993,222.240005,213.789993,222.240005,222.240005,500
2014-05-01,222.240005,226.000000,222.240005,223.059998,223.059998,1100
2014-06-01,223.059998,234.470001,223.059998,230.679993,230.679993,3000
2014-07-01,230.679993,232.619995,229.500000,229.500000,229.500000,700
2014-08-01,226.990005,234.690002,226.990005,234.250000,234.250000,7600
2014-09-01,232.360001,265.640015,231.880005,265.640015,265.640015,94600
2014-10-01,263.329987,268.029999,241.600006,265.440002,265.440002,21600
2014-11-01,269.000000,286.600006,268.630005,286.000000,286.000000,25700
2014-12-01,273.299988,288.820007,273.299988,276.119995,276.119995,176286
2015-01-01,276.119995,288.529999,262.420013,275.239990,275.239990,45900
2015-02-01,271.079987,299.859985,271.079987,299.859985,299.859985,10100
2015-03-01,297.510010,339.440002,297.510010,327.630005,327.630005,21500
2015-04-01,315.220001,315.220001,292.320007,296.359985,296.359985,15800
2015-05-01,296.359985,323.100006,296.359985,319.000000,319.000000,5500
2015-06-01,319.000000,319.000000,304.299988,312.579987,312.579987,8200
2015-07-01,312.579987,341.540009,310.299988,341.540009,341.540009,7300
2015-08-01,344.230011,351.000000,336.700012,340.000000,340.000000,32700
2015-09-01,341.970001,384.450012,341.970001,373.390015,373.390015,34200
2015-10-01,371.649994,394.470001,358.790009,394.470001,394.470001,21400
2015-11-01,394.470001,399.000000,381.799988,398.549988,398.549988,19300
2015-12-01,393.890015,413.380005,376.500000,413.380005,413.380005,23400
2016-01-01,413.380005,418.529999,392.410004,417.709991,417.709991,26100
2016-02-01,415.209991,422.070007,392.299988,422.070007,422.070007,25800
2016-03-01,421.929993,423.799988,383.769989,391.829987,391.829987,31700
2016-04-01,387.880005,404.100006,380.230011,396.489990,396.489990,13200
2016-05-01,392.619995,411.640015,391.100006,407.000000,407.000000,21600
2016-06-01,407.000000,415.119995,386.019989,391.220001,391.220001,37700
2016-07-01,388.540009,410.750000,388.540009,404.850006,404.850006,21800
2016-08-01,409.329987,409.339996,381.299988,387.260010,387.260010,53700
2016-09-01,388.600006,392.690002,377.339996,384.640015,384.640015,24400
2016-10-01,380.000000,386.470001,353.149994,369.019989,369.019989,34200
2016-11-01,372.100006,404.489990,371.519989,379.500000,379.500000,20900
2016-12-01,385.299988,392.359985,375.470001,375.970001,375.970001,9600
2017-01-01,375.970001,381.000000,353.619995,354.700012,354.700012,10300
2017-02-01,353.600006,379.100006,352.549988,379.100006,379.100006,9200
2017-03-01,391.070007,402.250000,382.600006,392.589996,392.589996,12700
2017-04-01,388.470001,395.040009,378.410004,390.899994,390.899994,5100
2017-05-01,390.899994,425.250000,387.100006,414.600006,414.600006,7900
2017-06-01,418.029999,454.950012,418.029999,445.700012,445.700012,6000
2017-07-01,435.450012,439.390015,410.200012,413.399994,413.399994,12900
2017-08-01,411.760010,426.709991,409.220001,415.899994,415.899994,10600
2017-09-01,413.230011,423.070007,404.510010,411.049988,411.049988,8300
2017-10-01,414.640015,463.420013,413.399994,459.549988,459.549988,14100
2017-11-01,456.130005,461.209991,443.760010,453.579987,453.579987,11900
2017-12-01,457.190002,475.529999,453.100006,467.000000,467.000000,10400
2018-01-01,467.000000,477.369995,446.589996,453.899994,453.899994,20600
2018-02-01,443.799988,449.200012,415.279999,426.250000,426.250000,17400
2018-03-01,414.540009,441.329987,412.959991,424.589996,424.589996,32700
2018-04-01,417.410004,450.829987,412.320007,447.250000,447.250000,13900
2018-05-01,447.250000,466.920013,434.350006,452.230011,452.230011,15300
2018-06-01,453.359985,491.000000,453.359985,472.010010,472.010010,29100
2018-07-01,469.890015,499.679993,469.890015,498.160004,498.160004,32200
2018-08-01,498.160004,568.450012,489.440002,548.500000,548.500000,22900
2018-09-01,548.500000,588.369995,548.500000,557.820007,557.820007,19300
2018-10-01,557.820007,565.359985,496.190002,522.729980,522.729980,46400
2018-11-01,523.580017,565.700012,520.450012,565.700012,565.700012,9300
2018-12-01,555.979980,571.640015,477.589996,498.170013,498.170013,24000
2019-01-01,498.170013,498.170013,471.130005,489.790009,489.790009,7800
