Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,10.190900,13.661700,9.157060,9.600150,9.600150,55547772
2015-05-01,9.600150,10.338600,8.640130,9.304760,9.304760,125942944
2015-06-01,9.378600,10.707900,9.009370,9.378600,9.378600,58815098
2015-07-01,9.452450,9.969380,6.350870,6.720100,6.720100,64959563
2015-08-01,6.498560,7.288730,4.918230,5.819170,5.819170,39659279
2015-09-01,5.797010,6.062860,4.120680,4.438220,4.438220,66186729
2015-10-01,4.467760,6.638870,4.312680,5.494240,5.494240,83890292
2015-11-01,5.420390,5.937320,4.320070,4.430840,4.430840,19418320
2015-12-01,4.408680,6.400000,4.246220,4.430840,4.430840,23132274
2016-01-01,6.240000,6.240000,1.330000,1.890000,1.890000,84705300
2016-02-01,1.900000,2.720000,1.800000,2.630000,2.630000,53519700
2016-03-01,2.720000,4.020000,2.580000,3.330000,3.330000,69134700
2016-04-01,3.460000,4.370000,2.700000,4.280000,4.280000,215001900
2016-05-01,4.280000,4.740000,3.630000,4.740000,4.740000,221798200
2016-06-01,4.850000,5.050000,4.260000,4.900000,4.900000,203368500
2016-07-01,4.930000,6.180000,4.800000,5.900000,5.900000,324902600
2016-08-01,6.100000,7.750000,6.000000,7.200000,7.200000,243347400
2016-09-01,7.200000,7.430000,5.960000,6.320000,6.320000,198137000
2016-10-01,6.310000,7.240000,6.100000,6.770000,6.770000,162312500
2016-11-01,7.200000,7.280000,5.080000,6.360000,6.360000,339841200
2016-12-01,6.430000,6.480000,5.560000,5.930000,5.930000,142202200
2017-01-01,6.140000,7.700000,6.060000,7.500000,7.500000,229496000
2017-02-01,7.600000,9.510000,7.390000,8.580000,8.580000,249558700
2017-03-01,8.750000,9.130000,7.860000,8.550000,8.550000,256543400
2017-04-01,8.550000,9.180000,8.320000,8.730000,8.730000,147920500
2017-05-01,8.730000,10.550000,7.650000,8.480000,8.480000,251635600
2017-06-01,8.460000,8.650000,7.500000,8.650000,8.650000,152203700
2017-07-01,8.660000,10.500000,8.540000,10.340000,10.340000,125209100
2017-08-01,10.300000,10.970000,9.820000,10.330000,10.330000,149027700
2017-09-01,10.350000,12.140000,9.350000,12.090000,12.090000,271545400
2017-10-01,12.010000,13.570000,11.910000,12.700000,12.700000,290843400
2017-11-01,12.780000,13.470000,11.070000,13.020000,13.020000,163573800
2017-12-01,12.930000,13.180000,11.160000,12.970000,12.970000,137235100
2018-01-01,12.970000,14.340000,12.100000,12.990000,12.990000,181096100
2018-02-01,14.350000,14.470000,12.600000,14.240000,14.240000,159385200
2018-03-01,14.250000,14.350000,12.610000,13.150000,13.150000,123031900
2018-04-01,13.030000,14.920000,12.260000,14.850000,14.850000,137199500
2018-05-01,14.850000,14.990000,13.060000,13.810000,13.810000,145751800
2018-06-01,14.000000,14.700000,11.930000,14.100000,14.100000,172310900
2018-07-01,13.900000,15.500000,13.250000,14.850000,14.850000,102477200
2018-08-01,14.870000,15.520000,13.210000,14.230000,14.230000,142329100
2018-09-01,14.060000,15.170000,13.350000,14.980000,14.980000,80004800
2018-10-01,14.940000,16.680000,14.530000,16.650000,16.650000,205953600
2018-11-01,16.610001,17.910000,15.850000,17.440001,17.440001,160366200
2018-12-01,17.410000,17.580000,15.800000,17.000000,17.000000,162041700
2019-01-01,17.000000,19.870001,16.639999,19.650000,19.650000,190511000
