Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,634.666992,666.666992,480.000000,480.000000,369.078522,0
2003-02-01,480.000000,666.666992,0.533330,0.533330,0.410085,15000000
2003-03-01,533.333008,666.666992,480.000000,480.000000,369.078522,0
2003-04-01,640.000000,666.666992,0.613330,0.613330,0.471598,5625000
2003-05-01,613.333008,720.000000,0.666670,720.000000,553.617798,18937500
2003-06-01,720.000000,773.333008,0.720000,773.333008,594.626282,3000000
2003-07-01,773.333008,826.666992,0.773330,773.333008,594.626282,160500000
2003-08-01,773.333008,928.000000,0.853330,928.000000,713.551880,13125000
2003-09-01,0.805330,1066.670044,0.805330,826.666992,635.635498,13125000
2003-10-01,1040.000000,1866.670044,0.960000,853.333008,656.139282,27187500
2003-11-01,1.120000,1226.670044,1.120000,885.333008,680.744629,2062500
2003-12-01,1173.329956,1386.670044,1.173330,1386.670044,1066.229248,11250000
2004-01-01,1386.670044,1760.000000,1.520000,1173.329956,902.189270,3750000
2004-02-01,1173.329956,1626.670044,1.178670,1626.670044,1250.768555,5062500
2004-03-01,1626.670044,1653.329956,1.653330,1.706670,1.312282,23812500
2004-04-01,1813.329956,1882.670044,1.733330,1653.329956,1271.267700,15562500
2004-05-01,1.653330,1.946670,1.600000,1.946670,1.496821,2064
2004-06-01,2.000000,2.240000,1.760000,2.240000,1.722367,14251
2004-07-01,2.320000,2.613330,1.973330,2.133330,1.640347,10501
2004-08-01,2.506670,3.200000,2.400000,3.013330,2.316991,1314
2004-09-01,3.013330,3.200000,2.213330,3.093330,2.378504,6938
2004-10-01,3.040000,3.200000,2.666670,3.120000,2.399010,10500
2004-11-01,3.120000,3.146670,2.720000,3.013330,2.316991,1312
2004-12-01,3.013330,3.680000,2.986670,3.680000,2.829602,7501
2005-01-01,3.733330,4.106670,2.720000,3.946670,3.034648,563
2005-02-01,3.946670,4.053330,3.200000,3.306670,2.542543,1875
2005-03-01,3.786670,3.786670,3.013330,3.013330,2.316991,1689
2005-04-01,3.733330,3.733330,2.666670,2.773330,2.132451,562
2005-05-01,3.360000,3.466670,2.565330,3.226670,2.481030,2251
2005-06-01,3.226670,3.733330,3.200000,3.200000,2.460524,0
2005-07-01,3.200000,3.733330,3.093330,3.146670,2.419517,0
2005-08-01,3.194670,4.000000,2.853330,4.000000,3.075654,3000
2005-09-01,4.000000,4.000000,2.533330,3.333330,2.563043,4125
2005-10-01,3.360000,3.962670,2.533330,2.666670,2.050439,1313
2005-11-01,3.200000,3.386670,2.400000,3.386670,2.604056,17626
2005-12-01,3.466670,3.840000,3.253330,3.840000,2.952628,22690
2006-01-01,3.840000,4.373330,3.253330,4.373330,3.362712,17251
2006-02-01,5.226670,5.226670,4.106670,4.266670,3.280700,49313
2006-03-01,4.266670,4.533330,4.106670,4.501330,3.461134,10688
2006-04-01,4.501330,4.533330,4.160000,4.266670,3.280700,25312
2006-05-01,4.266670,4.266670,2.666670,3.594670,2.763990,79895
2006-06-01,3.493330,3.594670,3.093330,3.200000,2.460524,106871
2006-07-01,3.520000,4.000000,3.120000,3.418670,2.628662,80493
2006-08-01,3.466670,3.626670,3.200000,3.466670,2.665570,444199
2006-09-01,3.728000,3.989330,3.413330,3.552000,2.731181,124652
2006-10-01,3.514670,3.706670,3.285330,3.546670,2.727083,68816
2006-11-01,3.600000,4.266670,3.424000,4.149330,3.190477,2953127
2006-12-01,4.053330,4.373330,3.626670,4.266670,3.280700,1339499
2007-01-01,4.266670,5.013330,3.738670,4.586670,3.526753,173812
2007-02-01,4.981330,6.128000,4.800000,5.866670,4.510962,149999
2007-03-01,5.866670,6.400000,5.498670,6.400000,4.921047,91874
2007-04-01,6.400000,9.600000,6.400000,6.928000,5.327033,32251
2007-05-01,6.928000,7.194670,6.666670,6.933330,5.331132,98063
2007-06-01,7.306670,8.266670,6.986670,8.000000,6.151308,2157563
2007-07-01,8.000000,9.008000,7.893330,8.949330,6.881262,180747
2007-08-01,8.954670,8.954670,7.205330,8.533330,6.561394,87000
2007-09-01,8.640000,9.114670,7.706670,8.266670,6.356355,14625
2007-10-01,9.066670,9.114670,8.106670,8.112000,6.237428,63749
2007-11-01,8.821330,9.066670,8.106670,9.066670,6.971487,19877
2007-12-01,9.061330,10.117300,8.005330,8.320000,6.397360,69002
2008-01-01,8.320000,9.056000,7.733330,7.733330,5.946262,56626
2008-02-01,8.789330,9.466670,7.466670,8.832000,6.791044,70313
2008-03-01,9.013330,9.013330,5.600000,7.466670,5.741225,19314
2008-04-01,7.680000,8.901330,6.880000,6.880000,5.290126,541503
2008-05-01,6.880000,8.320000,6.880000,8.208000,6.383675,611814
2008-06-01,7.850670,8.000000,7.525330,7.904000,6.147242,155814
2008-07-01,6.933330,7.605330,6.565330,6.928000,5.469425,78749
2008-08-01,6.928000,7.466670,6.272000,7.466670,5.894687,17250
2008-09-01,7.456000,7.456000,5.914670,5.914670,4.669435,39377
2008-10-01,5.333330,5.333330,3.093330,3.728000,2.943132,92813
2008-11-01,4.266670,4.272000,3.466670,3.466670,2.736821,141376
2008-12-01,3.466670,3.514670,3.093330,3.093330,2.530908,59813
2009-01-01,3.093330,3.397330,2.784000,2.800000,2.290911,205500
2009-02-01,2.826670,2.880000,2.666670,2.666670,2.181823,2063
2009-03-01,2.666670,2.880000,2.400000,2.400000,1.963638,299250
2009-04-01,2.400000,3.840000,2.400000,3.573330,2.923636,67501
2009-05-01,3.573330,4.954670,3.573330,4.080000,3.338185,143251
2009-06-01,4.186670,4.266670,3.520000,4.160000,3.403639,4837309
2009-07-01,4.202670,5.274670,4.000000,5.269330,4.311275,115501
2009-08-01,5.264000,5.866670,4.800000,5.861330,4.795639,56062
2009-09-01,5.973330,5.984000,5.333330,5.834670,4.773825,18188
2009-10-01,5.344000,6.320000,5.344000,6.309330,5.162184,43689
2009-11-01,6.309330,7.205330,5.920000,7.157330,5.856001,94126
2009-12-01,6.581330,6.986670,6.416000,6.986670,5.716372,124313
2010-01-01,7.200000,7.360000,6.698670,7.280000,5.956369,198376
2010-02-01,6.938670,7.354670,6.592000,7.194670,5.886553,28315
2010-03-01,7.040000,7.189330,6.560000,7.066670,5.781825,93752
2010-04-01,6.720000,7.200000,6.416000,6.984000,5.714187,82563
2010-05-01,6.960000,6.960000,5.600000,6.080000,5.011121,44750
2010-06-01,6.080000,6.784000,5.408000,6.640000,5.472672,47401
2010-07-01,6.488000,7.792000,6.408000,7.792000,6.510559,140750
2010-08-01,7.208000,7.992000,7.208000,7.840000,6.550665,25750
2010-09-01,7.680000,9.200000,7.280000,8.240000,6.884884,67187
2010-10-01,8.400000,8.640000,7.888000,8.328000,6.958411,255875
2010-11-01,7.840000,9.200000,7.280000,8.720000,7.285944,121375
2010-12-01,8.640000,8.768000,7.600000,7.600000,6.350134,42625
2011-01-01,7.656000,8.632000,7.400000,7.400000,6.183026,54375
2011-02-01,7.616000,7.832000,6.880000,7.280000,6.082761,44125
2011-03-01,7.280000,7.520000,6.960000,7.520000,6.283291,14400
2011-04-01,7.952000,7.992000,7.520000,7.800000,6.517244,7000
2011-05-01,7.600000,8.072000,7.416000,8.072000,6.744512,13250
2011-06-01,7.760000,8.000000,7.744000,7.840000,6.550665,6750
2011-07-01,7.840000,7.984000,6.424000,7.176000,5.995864,15012
2011-08-01,7.200000,7.584000,5.984000,6.792000,5.675015,41875
2011-09-01,6.792000,7.680000,6.400000,7.040000,5.882230,325000
2011-10-01,6.920000,7.048000,6.640000,7.048000,5.888914,136125
2011-11-01,7.000000,7.568000,6.456000,6.480000,5.414325,63875
2011-12-01,6.560000,6.952000,5.920000,6.000000,5.013264,66125
2012-01-01,6.000000,6.872000,6.000000,6.408000,5.354167,19750
2012-02-01,6.624000,7.120000,6.400000,7.096000,5.929021,13000
2012-03-01,7.072000,7.920000,6.920000,7.160000,5.982496,43500
2012-04-01,7.816000,7.920000,6.488000,7.832000,6.691340,52750
2012-05-01,7.832000,7.832000,6.760000,7.336000,6.267578,13375
2012-06-01,7.200000,7.352000,6.480000,6.912000,5.905331,37125
2012-07-01,6.912000,6.912000,6.160000,6.648000,5.679780,12375
2012-08-01,6.648000,7.320000,6.648000,6.824000,5.830146,8875
2012-09-01,6.824000,7.976000,6.824000,7.912000,6.759689,10750
2012-10-01,7.840000,8.000000,6.912000,7.200000,6.151385,270000
2012-11-01,7.000000,7.760000,7.000000,7.344000,6.274414,7000
2012-12-01,7.344000,7.920000,7.280000,7.816000,6.677670,503750
2013-01-01,7.816000,8.080000,7.768000,7.768000,6.636661,10750
2013-02-01,8.000000,8.000000,7.488000,7.880000,6.732350,163625
2013-03-01,7.880000,7.976000,7.360000,7.520000,6.424780,123750
2013-04-01,7.520000,8.960000,7.512000,8.880000,7.586709,373875
2013-05-01,8.880000,8.880000,8.064000,8.400000,7.179934,168875
2013-06-01,8.400000,8.400000,6.488000,6.792000,5.805489,496000
2013-07-01,7.200000,7.752000,6.400000,7.312000,6.352018,733375
2013-08-01,7.312000,7.512000,7.200000,7.512000,6.525762,34500
2013-09-01,7.512000,7.592000,6.944000,6.944000,6.032332,37375
2013-10-01,6.944000,8.056000,6.944000,7.496000,6.511862,19625
2013-11-01,7.552000,7.832000,7.464000,7.504000,6.518810,38375
2013-12-01,7.552000,7.912000,7.072000,7.912000,6.873245,34875
2014-01-01,7.912000,7.912000,6.248000,6.400000,5.641777,48875
2014-02-01,6.400000,6.504000,5.784000,6.184000,5.451366,35250
2014-03-01,6.184000,6.296000,5.216000,5.456000,4.809615,27125
2014-04-01,5.832000,6.136000,5.200000,5.300000,4.672096,89400
2014-05-01,5.300000,5.790000,5.000000,5.430000,4.858051,99300
2014-06-01,5.670000,5.920000,5.340000,5.340000,4.777531,227800
2014-07-01,5.340000,5.680000,5.330000,5.610000,5.109099,26500
2014-08-01,5.490000,5.800000,5.350000,5.800000,5.282135,71400
2014-09-01,5.880000,6.170000,5.400000,5.400000,4.917850,95700
2014-10-01,5.400000,5.930000,5.250000,5.800000,5.282135,90300
2014-11-01,5.350000,5.470000,4.500000,4.990000,4.544457,95200
2014-12-01,4.930000,4.990000,3.520000,3.520000,3.205709,380118
2015-01-01,3.520000,3.990000,3.200000,3.500000,3.245929,95200
2015-02-01,3.280000,3.600000,3.220000,3.420000,3.171737,29600
2015-03-01,3.370000,3.500000,2.820000,2.850000,2.643114,124000
2015-04-01,2.980000,3.600000,2.920000,3.400000,3.153188,100300
2015-05-01,3.400000,3.730000,3.000000,3.080000,2.894248,60300
2015-06-01,2.950000,3.160000,2.400000,2.400000,2.255258,347700
2015-07-01,2.540000,2.640000,2.260000,2.450000,2.302242,398200
2015-08-01,2.400000,2.490000,2.030000,2.400000,2.255258,31700
2015-09-01,2.400000,2.400000,2.010000,2.400000,2.255258,78200
2015-10-01,2.400000,2.540000,2.040000,2.050000,1.926366,255000
2015-11-01,2.050000,2.100000,2.000000,2.100000,1.973351,116700
2015-12-01,1.990000,2.000000,1.750000,1.900000,1.785412,85600
2016-01-01,1.900000,1.900000,1.220000,1.600000,1.503505,159400
2016-02-01,1.470000,1.620000,1.330000,1.580000,1.484711,103500
2016-03-01,1.630000,2.100000,1.630000,1.940000,1.823000,351100
2016-04-01,1.880000,2.380000,1.790000,2.210000,2.076717,384000
2016-05-01,2.210000,2.290000,1.990000,2.250000,2.114304,168100
2016-06-01,2.160000,2.340000,2.150000,2.280000,2.142495,110000
2016-07-01,2.300000,3.200000,2.270000,3.200000,3.007011,414300
2016-08-01,3.120000,3.760000,3.050000,3.170000,2.978820,1239500
2016-09-01,3.270000,3.300000,2.740000,3.250000,3.053995,179900
2016-10-01,3.150000,3.330000,3.100000,3.250000,3.053995,53300
2016-11-01,3.200000,3.250000,2.380000,2.450000,2.302242,181600
2016-12-01,2.430000,2.520000,2.250000,2.490000,2.339830,27100
2017-01-01,2.490000,2.930000,2.490000,2.650000,2.490180,42900
2017-02-01,2.660000,3.550000,2.590000,3.380000,3.176155,159600
2017-03-01,3.470000,3.470000,2.880000,3.190000,2.997614,160000
2017-04-01,3.180000,3.480000,2.970000,3.170000,2.978820,144800
2017-05-01,3.170000,3.820000,2.900000,3.210000,3.016407,340700
2017-06-01,3.210000,3.440000,3.150000,3.440000,3.232536,111400
2017-07-01,3.440000,3.890000,3.350000,3.620000,3.401681,65600
2017-08-01,3.620000,5.010000,3.590000,4.890000,4.648691,218400
2017-09-01,4.800000,5.900000,4.610000,5.600000,5.323654,146200
2017-10-01,5.620000,6.180000,5.520000,5.600000,5.323654,136800
2017-11-01,5.420000,5.840000,5.000000,5.200000,4.943393,91000
2017-12-01,5.200000,5.400000,4.650000,5.250000,4.990926,172500
2018-01-01,5.250000,6.480000,5.250000,5.550000,5.276122,447800
2018-02-01,6.300000,7.190000,5.970000,6.900000,6.559503,104100
2018-03-01,7.000000,7.380000,6.220000,6.800000,6.464438,166000
2018-04-01,6.820000,7.000000,6.130000,6.450000,6.131709,163600
2018-05-01,6.450000,7.220000,4.820000,5.020000,4.772276,234700
2018-06-01,5.060000,5.400000,3.910000,4.370000,4.214250,155700
2018-07-01,4.350000,5.410000,4.350000,5.020000,4.841084,63500
2018-08-01,5.120000,5.250000,4.410000,4.550000,4.387835,455100
2018-09-01,4.570000,4.640000,4.170000,4.260000,4.156457,862600
2018-10-01,4.300000,5.740000,4.290000,5.680000,5.541943,201200
2018-11-01,5.670000,6.100000,5.600000,6.010000,5.863922,102500
2018-12-01,6.350000,6.790000,5.880000,6.790000,6.624963,118300
2019-01-01,6.790000,7.600000,6.420000,7.600000,7.415276,317400
