Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,1.500000,2.000000,1.319530,1.846150,1.129307,10140
2004-01-01,1.846150,2.000000,1.541420,2.000000,1.223418,27040
2004-02-01,2.000000,2.000000,1.957690,1.957690,1.197536,0
2004-03-01,1.529590,2.000000,1.529590,1.988460,1.216359,12506
2004-04-01,1.988460,2.115380,1.930770,2.115380,1.293997,0
2004-05-01,2.115380,2.153850,2.115380,2.153850,1.317530,0
2004-06-01,2.153850,2.692310,2.011830,2.115380,1.293997,127764
2004-07-01,2.615380,2.619230,2.014790,2.584620,1.581035,3380
2004-08-01,2.538460,2.692310,2.500000,2.653850,1.623384,0
2004-09-01,2.653850,2.807690,2.041420,2.807690,1.717489,6760
2004-10-01,2.807690,2.926920,2.248520,2.248520,1.375440,11154
2004-11-01,2.846150,7.692310,2.263310,3.115380,1.905706,338
2004-12-01,3.115380,3.115380,3.115380,3.115380,1.905706,0
2005-01-01,3.115380,3.115380,2.769230,3.096150,1.893942,0
2005-02-01,3.096150,3.453850,2.307690,2.307690,1.411634,14534
2005-03-01,3.076920,3.076920,2.461540,3.000000,1.835127,0
2005-04-01,3.000000,3.115380,3.000000,3.115380,1.905706,0
2005-05-01,3.134620,3.288460,3.134620,3.273080,2.002174,0
2005-06-01,3.273080,3.273080,2.218930,2.923080,1.788075,782132
2005-07-01,2.923080,3.076920,2.692310,2.692310,1.646910,0
2005-08-01,2.692310,3.076920,2.692310,3.076920,1.882180,0
2005-09-01,3.076920,3.076920,2.807690,2.846150,1.741015,0
2005-10-01,2.846150,2.903850,2.826920,2.903850,1.776312,0
2005-11-01,2.903850,2.903850,2.903850,2.903850,1.776312,0
2005-12-01,2.842310,2.880770,2.842310,2.880770,1.762193,0
2006-01-01,2.880770,3.211540,2.880770,3.211540,1.964528,0
2006-02-01,3.211540,3.211540,2.846150,2.846150,1.741015,0
2006-03-01,2.826920,2.826920,2.411240,2.826920,1.729253,4056
2006-04-01,2.826920,3.138460,2.414200,3.096150,1.893942,8112
2006-05-01,3.257690,3.257690,1.923080,3.076920,1.882180,2704
2006-06-01,3.076920,3.080770,2.369820,2.884620,1.764548,24366
2006-07-01,2.884620,3.846150,1.923080,3.076920,1.882180,7162
2006-08-01,3.846150,3.846150,2.573080,2.665680,1.630621,813187
2006-09-01,3.465380,4.038460,2.662720,3.615380,2.211560,120383
2006-10-01,3.615380,4.230770,3.106510,4.230770,2.588000,7696
2006-11-01,4.230770,4.538460,3.313610,4.538460,2.776217,7358
2006-12-01,4.500000,5.019230,3.550300,5.019230,3.070309,53820
2007-01-01,5.019230,5.446150,4.142010,5.325440,3.257620,5408
2007-02-01,5.325440,9.615380,5.029590,6.153850,3.764366,26676
2007-03-01,6.915380,7.692310,5.000000,5.769230,3.529092,3978
2007-04-01,7.288460,7.288460,4.289940,5.177510,3.167131,11830
2007-05-01,6.730770,9.992310,5.174560,6.173080,3.776129,15210
2007-06-01,4.887570,6.388460,4.680470,5.355030,3.275720,38349818
2007-07-01,5.363910,7.634620,5.334320,6.118340,3.742644,44964140
2007-08-01,6.112430,6.745560,5.118340,6.156800,3.766170,35242584
2007-09-01,6.186390,8.123080,6.005920,6.538460,3.999637,14990170
2007-10-01,6.597630,8.715380,6.494080,7.520710,4.600486,29392506
2007-11-01,7.603550,10.230800,6.656800,7.139050,4.367022,29338426
2007-12-01,7.245560,9.807690,6.807690,9.692310,5.928875,37405784
2008-01-01,9.692310,9.692310,5.369820,6.257400,3.827708,33973056
2008-02-01,6.301780,8.192310,5.997040,6.730770,4.117273,25296596
2008-03-01,6.683430,7.719230,5.621300,5.798820,3.616658,30452448
2008-04-01,5.890530,7.115380,5.103550,5.914200,3.688621,34820084
2008-05-01,7.688460,7.688460,5.627220,6.301780,3.930350,51140076
2008-06-01,6.390530,6.878700,5.804730,5.955620,3.714454,27125852
2008-07-01,5.872780,7.423080,5.109470,5.325440,3.321418,20781592
2008-08-01,5.325440,5.473370,4.949700,5.295860,3.403846,32280352
2008-09-01,5.281070,5.470410,4.085800,4.198220,2.698352,24000366
2008-10-01,4.260360,4.582840,2.775150,3.639050,2.359239,33434284
2008-11-01,3.704140,4.646150,3.284020,3.402370,2.205797,15262052
2008-12-01,3.319530,4.807690,2.973370,4.807690,3.116883,19698978
2009-01-01,4.807690,4.807690,3.396450,3.446750,2.260989,17825106
2009-02-01,3.431950,4.807690,3.369820,3.470410,2.276510,16282474
2009-03-01,3.402370,3.565090,3.062130,3.455620,2.356659,26387998
2009-04-01,3.455620,4.596150,3.257400,4.150890,2.830819,48257274
2009-05-01,5.396150,5.396150,3.795860,4.727810,3.224266,25357098
2009-06-01,4.689350,5.461540,3.701180,4.082840,2.784410,43956224
2009-07-01,4.082840,4.880770,3.689350,4.467460,3.046714,47904402
2009-08-01,4.437870,4.875740,4.292900,4.615380,3.234292,21530600
2009-09-01,4.621300,5.630770,4.245560,4.994080,3.499671,26432952
2009-10-01,4.985210,6.700000,4.701180,5.147930,3.607485,22117706
2009-11-01,6.692310,6.807690,4.976330,5.266270,3.690413,25617696
2009-12-01,5.281070,6.961540,5.156800,5.428990,3.804442,23104666
2010-01-01,7.076920,7.076920,5.115380,5.340240,3.742247,21112494
2010-02-01,5.295860,6.811540,4.884620,5.224850,3.661387,21701966
2010-03-01,5.239640,5.680470,5.014790,5.621300,3.939204,23115144
2010-04-01,5.659760,7.307690,5.147930,5.251480,3.680048,13677947
2010-05-01,5.420120,5.420120,4.437870,5.029590,3.524556,16249181
2010-06-01,5.056210,6.519230,4.840240,4.940830,3.462355,19046520
2010-07-01,4.917160,6.426920,4.831360,5.396450,3.819274,14605318
2010-08-01,5.434910,5.559170,5.029590,5.029590,3.634098,13906381
2010-09-01,5.177510,6.569230,4.985210,5.473370,3.954749,40477578
2010-10-01,5.446750,7.576920,5.443790,6.500000,4.696534,26480610
2010-11-01,6.532540,9.042310,6.488170,6.677510,4.824792,39437502
2010-12-01,6.677510,8.465380,6.357990,8.384620,6.058253,34539882
2011-01-01,6.508880,7.919230,5.778110,5.875740,4.245477,28814500
2011-02-01,5.881660,6.331360,5.417160,5.931950,4.286092,33024915
2011-03-01,6.005920,6.568050,5.831360,6.198220,4.478485,15694023
2011-04-01,6.153850,6.573960,5.730770,5.828400,4.259741,21121958
2011-05-01,5.828400,5.881660,5.221890,5.325440,3.892148,33224961
2011-06-01,5.310650,5.473370,4.982250,5.266270,3.848905,34012264
2011-07-01,5.298820,5.760360,4.748520,5.000000,3.654297,29614739
2011-08-01,5.026630,5.295860,4.292900,5.091720,3.786016,30599140
2011-09-01,5.165680,5.677510,5.038460,5.532540,4.113792,23638706
2011-10-01,5.446750,5.884620,5.423080,5.704140,4.241389,29484416
2011-11-01,5.500000,5.701180,5.017750,5.295860,3.937807,14134484
2011-12-01,5.301780,5.650890,5.059170,5.556210,4.131393,14996046
2012-01-01,5.633140,5.943790,5.520710,5.763310,4.285385,17162288
2012-02-01,5.819530,6.118340,5.488170,5.650890,4.201792,24134890
2012-03-01,5.650890,6.056210,5.597630,5.857990,4.355785,25170522
2012-04-01,5.887570,6.073960,5.579880,5.958580,4.480729,16827668
2012-05-01,5.958580,6.195270,5.810650,6.153850,4.627568,18159050
2012-06-01,6.112430,6.183430,5.473370,5.766270,4.336116,15848144
2012-07-01,5.742600,5.742600,5.289940,5.476330,4.166007,18922930
2012-08-01,5.517750,6.005920,5.470410,5.946750,4.523870,13718068
2012-09-01,5.917160,7.133140,5.902370,6.988170,5.316109,18087056
2012-10-01,7.133140,7.133140,6.721890,6.902370,5.302222,17166344
2012-11-01,6.869820,8.062130,6.828400,8.062130,6.193120,131145690
2012-12-01,7.979290,8.423080,7.633140,7.988170,6.136308,53063296
2013-01-01,7.988170,8.789940,7.473370,7.473370,5.783204,34482422
2013-02-01,7.473370,7.860950,7.047340,7.837280,6.064814,47045206
2013-03-01,7.754440,8.112430,7.476330,7.701180,5.959493,28200016
2013-04-01,7.633140,7.952660,7.073960,7.754440,6.051515,41909296
2013-05-01,7.754440,8.579880,7.650890,8.375740,6.536374,46722754
2013-06-01,8.378700,8.476330,7.949700,8.328400,6.499429,38134850
2013-07-01,8.298820,8.535500,8.112430,8.284020,6.513180,32488560
2013-08-01,8.307690,8.544380,7.730770,8.284020,6.663328,38701676
2013-09-01,8.340240,8.467460,7.988170,7.988170,6.425358,34559486
2013-10-01,7.991120,8.718930,7.881660,8.609470,6.990764,38457302
2013-11-01,8.609470,9.482250,8.526630,9.319530,7.567323,38312976
2013-12-01,9.242600,9.642010,9.124260,9.218930,7.485635,37226644
2014-01-01,9.218930,9.266270,8.062130,8.106510,6.643607,35537658
2014-02-01,8.106510,9.165680,7.923080,9.050300,7.417080,35341280
2014-03-01,9.050300,9.511830,8.730770,9.378700,7.928157,36576332
2014-04-01,9.369820,10.400000,9.352070,10.350000,8.828083,39273078
2014-05-01,10.350000,10.746200,9.992310,10.003800,8.532788,27953640
2014-06-01,10.038500,11.115400,9.996150,10.880800,9.280831,24478220
2014-07-01,10.884600,11.100000,10.253800,10.461500,8.982019,40550380
2014-08-01,10.526900,10.769200,9.976920,10.750000,9.365539,40165580
2014-09-01,10.757700,11.188500,10.580800,10.988500,9.573324,47675160
2014-10-01,10.934600,11.438500,10.126900,11.242300,9.859131,62434840
2014-11-01,11.296200,11.942300,11.173100,11.719200,10.277357,33117500
2014-12-01,11.723100,12.280800,11.188500,11.769200,10.321207,127167664
2015-01-01,11.769200,12.850000,11.461500,12.338500,10.892877,31215080
2015-02-01,12.461500,13.084600,11.761500,11.761500,10.383480,31047640
2015-03-01,11.811500,12.419200,11.426900,12.230800,10.980194,50674520
2015-04-01,12.307700,12.746200,11.930800,12.338500,11.155672,35468550
2015-05-01,12.346200,13.738500,12.330800,13.153800,11.892811,31592730
2015-06-01,13.346200,18.370001,13.076900,18.299999,16.545668,44316490
2015-07-01,14.738500,20.180000,13.915400,19.600000,17.780981,90144130
2015-08-01,14.538500,19.250000,12.076900,18.500000,16.878927,46787050
2015-09-01,12.476900,16.559999,11.784600,15.640000,14.269532,61628280
2015-10-01,11.923100,15.290000,10.976900,14.400000,13.194413,47898550
2015-11-01,11.076900,16.370001,10.707700,15.200000,13.927439,110161030
2015-12-01,11.846200,12.746200,11.315400,11.500000,10.537205,64688130
2016-01-01,11.500000,12.038500,10.330800,11.892300,10.951038,55068260
2016-02-01,11.669200,11.846200,9.815380,10.146100,9.343051,69408950
2016-03-01,10.207700,11.646100,10.038500,10.807700,10.025242,81548090
2016-04-01,11.015400,11.892300,10.269200,11.676900,10.884379,38365470
2016-05-01,11.630800,12.246200,11.046200,11.069200,10.317922,51420720
2016-06-01,11.138500,11.738500,10.400000,10.569200,9.851860,54594410
2016-07-01,10.630800,11.838500,10.123100,11.746200,11.018517,59399080
2016-08-01,11.723100,13.392300,11.584600,12.715400,11.927672,62565360
2016-09-01,12.700000,13.807700,12.392300,13.584600,12.782534,53618630
2016-10-01,13.530800,14.076900,13.007700,13.538500,12.794413,50852750
2016-11-01,13.538500,13.592300,11.600000,11.976900,11.318639,55130920
2016-12-01,11.846200,11.930800,10.869200,11.923100,11.267797,53716130
2017-01-01,11.846200,12.546200,11.361500,12.238500,11.647152,50201840
2017-02-01,12.315400,13.484600,12.015400,13.061500,12.430386,40752270
2017-03-01,13.261500,13.884600,12.515400,13.384600,12.737874,69816500
