Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,3.846130,3.981970,3.155520,3.365890,2.464580,12701072
2008-02-01,3.450040,3.486100,3.035310,3.149510,2.306141,13296695
2008-03-01,3.149510,3.365890,2.976110,3.215330,2.354336,8332067
2008-04-01,3.275730,3.275730,2.886550,3.035310,2.222521,6139244
2008-05-01,3.245680,3.816680,3.065660,3.771600,2.761649,4455527
2008-06-01,3.786630,3.786630,2.945150,3.005260,2.200518,3560432
2008-07-01,2.999250,3.125470,2.917510,3.050040,2.233307,2392477
2008-08-01,2.404210,2.404210,2.103680,2.194140,1.606598,4977941
2008-09-01,2.268670,2.268670,1.758380,1.821190,1.333516,7869543
2008-10-01,1.832910,1.834410,0.945760,1.111950,0.814194,19662202
2008-11-01,1.172050,1.262210,1.081890,1.238470,0.906835,5047822
2008-12-01,1.238470,1.364390,1.202100,1.364390,0.999037,2126276
2009-01-01,1.496620,1.637870,1.442520,1.637870,1.199285,1114714
2009-02-01,1.637870,1.637870,1.382420,1.436510,1.051845,6395457
2009-03-01,1.394440,1.661610,1.323820,1.537190,1.125564,1780219
2009-04-01,1.508340,2.223590,1.502630,2.223590,1.628162,15369729
2009-05-01,2.223590,2.524420,2.223590,2.403910,1.760196,2628731
2009-06-01,2.374150,2.442980,2.268970,2.373850,1.738186,2069708
2009-07-01,2.314350,2.343800,2.122310,2.284000,1.672395,1873388
2009-08-01,2.344100,2.410220,2.284000,2.404210,1.760416,1943266
2009-09-01,2.404210,2.463710,2.223890,2.284000,1.672395,15116835
2009-10-01,2.314050,2.455300,2.253940,2.403910,1.760196,58633881
2009-11-01,2.403910,3.005260,2.403910,2.945150,2.156504,3869886
2009-12-01,2.945150,3.456050,2.945150,3.453040,2.815150,21172886
2010-01-01,3.453040,3.663410,3.410970,3.654400,2.979313,4562008
2010-02-01,3.666420,5.026300,3.486100,4.868520,3.969145,7656947
2010-03-01,3.936890,4.111190,3.636360,3.810670,3.106714,8245879
2010-04-01,3.762580,3.906840,3.624340,3.708490,3.023410,7024485
2010-05-01,3.612320,3.906840,3.456050,3.906840,3.185118,22803722
2010-06-01,3.840720,4.736290,3.792640,4.658150,3.860062,9026843
2010-07-01,4.682190,4.898570,4.267470,4.772350,3.954695,16450164
2010-08-01,4.814430,5.223140,4.447780,5.108940,4.233618,16029174
2010-09-01,5.199100,5.794140,5.030800,5.709990,4.731690,9660136
2010-10-01,5.679940,6.311040,5.679940,6.311040,5.229760,9039654
2010-11-01,6.305030,6.461310,5.890310,5.920360,4.906017,5882354
2010-12-01,6.010520,6.485350,6.010520,6.485350,5.374206,18868755
2011-01-01,6.617580,7.873780,6.383170,6.431250,5.329374,32650763
2011-02-01,6.497370,6.611570,5.728020,6.395190,5.299492,6746855
2011-03-01,6.262960,6.731780,6.010520,6.731780,5.578414,9206851
2011-04-01,6.737790,7.074380,6.341100,6.900080,5.781400,6020611
2011-05-01,6.966190,7.392940,6.545450,7.392940,6.194353,6739822
2011-06-01,7.386930,7.386930,6.455300,7.272730,6.093631,8965784
2011-07-01,7.110440,7.272730,6.347110,6.443280,5.398657,9220525
2011-08-01,6.575510,6.665660,5.529680,6.461310,5.413764,12025589
2011-09-01,6.551470,6.821940,6.190830,6.274980,5.257643,12282467
2011-10-01,6.136740,7.014270,6.016530,6.851990,5.741106,8388630
2011-11-01,6.731780,7.026300,6.220890,6.593540,5.524556,6835352
2011-12-01,6.611570,7.489110,6.431250,7.453040,6.244709,10909710
2012-01-01,7.465060,8.799400,7.224640,8.444780,7.075663,13856210
2012-02-01,8.360630,9.430500,8.324570,9.412470,7.886464,11607986
2012-03-01,9.436510,10.518400,9.358380,9.490610,7.951935,17941215
2012-04-01,9.616830,10.393400,8.841470,10.247900,8.586450,10488083
2012-05-01,10.254500,10.254500,8.198350,8.429750,7.063069,11886588
2012-06-01,8.595040,9.104130,8.092560,8.859500,7.423145,12345480
2012-07-01,8.866120,9.024790,7.755370,8.052890,6.747307,9169079
2012-08-01,7.947110,8.899170,7.735540,8.667770,7.262499,13499972
2012-09-01,8.819830,9.976860,8.621490,9.421490,7.894022,9048382
2012-10-01,9.395040,10.307400,9.395040,10.168600,8.520007,14371779
2012-11-01,10.168600,10.241300,9.057850,9.289260,7.783229,10829803
2012-12-01,9.289260,9.983470,9.137190,9.983470,8.364892,9993695
2013-01-01,9.983470,10.115700,8.899170,9.520660,7.977113,8901369
2013-02-01,9.395040,9.738840,8.634710,8.892560,7.450847,6687521
2013-03-01,8.806610,9.388430,8.383470,8.727270,7.312352,7885877
2013-04-01,8.932230,9.854550,8.495870,9.650910,8.152239,13256116
2013-05-01,9.650910,11.381800,9.425450,10.945400,9.245708,11412087
2013-06-01,10.952700,11.272700,9.883640,10.487300,8.858744,16171511
2013-07-01,10.327300,10.858200,9.527270,10.189100,8.606853,15792563
2013-08-01,10.167300,10.429100,8.560000,9.040000,7.636193,15737289
2013-09-01,9.127270,10.727300,9.069090,10.378200,8.766586,12621536
2013-10-01,10.472700,11.330900,10.312700,11.272700,9.522182,13349050
2013-11-01,11.374500,11.614500,10.596400,10.952700,9.251872,10233576
2013-12-01,10.930900,10.981800,10.138200,10.763600,9.092140,6248550
2014-01-01,10.785400,10.785400,9.032730,9.163640,7.740633,17103492
2014-02-01,9.120000,9.650910,8.683640,9.330910,7.881931,15530763
2014-03-01,9.250910,9.883640,8.807270,9.163640,7.740633,11445362
2014-04-01,9.170910,9.665450,8.600000,8.800000,7.481116,10012288
2014-05-01,8.848000,9.824000,8.672000,9.480000,8.059201,14372375
2014-06-01,9.496000,9.696000,8.944000,9.200000,7.865347,12675875
2014-07-01,9.200000,9.312000,8.440000,8.496000,7.263479,12057375
2014-08-01,8.512000,8.920000,7.728000,8.760000,7.489180,17068500
2014-09-01,8.808000,9.280000,7.872000,8.248000,7.096694,11637000
2014-10-01,8.104000,8.512000,6.616000,6.952000,5.981597,17156125
2014-11-01,6.920000,6.944000,6.000000,6.472000,5.568598,11780625
2014-12-01,6.320000,6.800000,5.712000,5.800000,5.015831,25737730
2015-01-01,5.744000,6.872000,5.272000,6.824000,5.901385,22302500
2015-02-01,6.912000,7.488000,6.288000,7.408000,6.406427,13914750
2015-03-01,7.408000,8.144000,7.120000,7.832000,6.773102,28414250
2015-04-01,7.920000,8.616000,7.720000,7.928000,6.910832,14664250
2015-05-01,7.928000,8.472000,7.712000,7.920000,6.903860,9015250
2015-06-01,7.880000,8.000000,6.376000,6.608000,5.803909,11452375
2015-07-01,6.560000,8.750000,6.088000,7.800000,6.850862,9670400
2015-08-01,6.224000,6.512000,5.640000,6.088000,5.347186,13687875
2015-09-01,6.128000,7.520000,5.072000,6.350000,5.577305,16475700
2015-10-01,5.240000,8.290000,5.224000,8.250000,7.327606,9336025
2015-11-01,6.600000,10.050000,5.808000,7.730000,6.865745,32913675
2015-12-01,6.192000,6.544000,5.312000,5.696000,5.103701,15834000
2016-01-01,5.696000,6.360000,5.144000,5.832000,5.225559,16599750
2016-02-01,5.880000,7.280000,5.656000,7.112000,6.372458,10760375
2016-03-01,7.120000,7.280000,5.824000,6.200000,5.555293,17793500
2016-04-01,6.168000,7.472000,5.896000,7.400000,6.680356,12229500
2016-05-01,7.440000,8.072000,7.048000,7.992000,7.214784,20623500
2016-06-01,7.960000,8.376000,7.648000,8.368000,7.593589,18695375
2016-07-01,8.336000,9.376000,7.720000,9.200000,8.348593,14163125
2016-08-01,9.200000,9.272000,7.864000,8.320000,7.550030,18202000
2016-09-01,8.360000,8.360000,7.440000,7.728000,7.073083,17563000
2016-10-01,7.760000,8.736000,7.736000,8.488000,7.768675,10339250
2016-11-01,8.472000,8.520000,7.408000,8.200000,7.505082,11753500
2016-12-01,8.160000,8.584000,7.824000,8.008000,7.465117,9313125
2017-01-01,8.008000,8.616000,7.848000,8.312000,7.748508,12836500
2017-02-01,8.312000,10.000000,7.912000,9.456000,8.814954,18894500
2017-03-01,9.496000,10.264000,9.200000,9.840000,9.172920,15314375
2017-04-01,9.864000,10.712000,9.240000,10.640000,10.006904,12358875
2017-05-01,10.640000,10.928000,8.000000,9.520000,8.953546,34004750
2017-06-01,9.520000,11.256000,9.384000,10.968000,10.399523,15315125
2017-07-01,10.968000,12.568000,10.832000,11.912000,11.294596,23114875
2017-08-01,11.872000,12.232000,10.832000,11.040000,10.467793,24872000
2017-09-01,11.040000,12.960000,10.968000,12.560000,11.997552,13924375
2017-10-01,12.560000,14.800000,12.552000,13.840000,13.220231,20135250
2017-11-01,14.000000,14.280000,12.680000,13.280000,12.685308,22711125
2017-12-01,13.280000,14.080000,12.800000,13.960000,13.420622,14315500
2018-01-01,13.960000,17.610001,12.720000,17.600000,16.919983,16395575
2018-02-01,12.800000,13.736000,11.848000,13.704000,13.174514,18164500
2018-03-01,13.712000,14.416000,12.776000,13.840000,13.531715,19155875
2018-04-01,13.824000,13.824000,11.968000,12.488000,12.286595,15706500
2018-05-01,12.488000,12.608000,10.160000,10.544000,10.373948,16744625
2018-06-01,10.560000,11.000000,9.128000,9.680000,9.594403,18262250
2018-07-01,9.600000,10.600000,9.600000,10.200000,10.109805,16938875
2018-08-01,10.200000,10.544000,9.368000,9.680000,9.594403,22058625
2018-09-01,9.704000,9.976000,8.736000,9.800000,9.800000,9301125
2018-10-01,9.800000,12.560000,9.544000,12.152000,12.152000,14076750
2018-11-01,12.168000,13.080000,11.680000,13.040000,13.040000,11882625
2018-12-01,13.120000,13.816000,12.024000,13.616000,13.616000,12780625
2019-01-01,13.616000,16.400000,13.592000,16.048000,16.048000,20861500
