Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,9.363640,11.090900,8.636360,10.818200,9.963662,21690790
2007-11-01,11.009100,11.163600,9.181820,9.745450,8.975651,8369900
2007-12-01,9.818180,10.718200,7.090910,7.136360,6.572655,10297210
2008-01-01,7.090910,7.309090,5.136360,5.318180,4.898093,14312430
2008-02-01,5.381820,6.318180,5.018180,6.090910,5.609785,10638760
2008-03-01,6.000000,6.545450,5.000000,5.127270,4.722264,4296270
2008-04-01,5.018180,5.318180,4.181820,4.363640,4.018953,13614590
2008-05-01,4.554550,6.036360,4.554550,5.272730,4.856235,17276600
2008-06-01,5.400000,5.409090,4.000000,4.045450,3.725897,8900430
2008-07-01,4.009090,4.272730,3.481820,3.863640,3.558449,9597940
2008-08-01,3.863640,4.945450,3.863640,4.363640,4.018953,17479330
2008-09-01,4.400000,4.572730,3.509090,3.645450,3.357494,10294240
2008-10-01,3.627270,3.627270,2.318180,2.981820,2.746284,10795180
2008-11-01,3.000000,3.172730,2.545450,2.681820,2.469981,4113230
2008-12-01,2.645450,3.181820,2.636360,2.909090,2.679299,2909720
2009-01-01,2.909090,3.409090,2.909090,3.272730,3.014215,2235860
2009-02-01,3.272730,3.490910,3.036360,3.409090,3.139804,4111250
2009-03-01,3.345450,3.345450,2.972730,2.972730,2.737912,7404870
2009-04-01,2.963640,4.500000,2.963640,4.454550,4.102682,2288660
2009-05-01,4.518180,4.836360,4.272730,4.463640,4.111054,3258200
2009-06-01,4.563640,4.763640,4.381820,4.454550,4.102682,1202300
2009-07-01,4.463640,6.681820,4.363640,6.527270,6.011676,2554970
2009-08-01,6.581820,7.518180,6.581820,7.200000,6.631267,3331680
2009-09-01,7.272730,8.109090,7.090910,7.545450,6.949430,4932180
2009-10-01,7.500000,8.172730,7.454550,8.081820,7.443431,3398560
2009-11-01,7.963640,9.018180,7.718180,9.009090,8.297456,2778380
2009-12-01,9.036360,10.000000,9.000000,10.000000,9.210093,5944950
2010-01-01,9.636360,12.536400,9.636360,11.363600,10.465983,1781890
2010-02-01,11.163600,13.500000,11.081800,13.000000,11.973122,3980350
2010-03-01,12.981800,15.000000,12.981800,14.363600,13.229012,1403600
2010-04-01,14.381800,16.363600,13.818200,15.690900,14.451466,4218940
2010-05-01,15.863600,16.454500,13.972700,16.454500,15.258845,3941520
2010-06-01,16.400000,19.136400,16.200001,18.872700,17.651627,3003440
2010-07-01,18.909100,20.363600,17.509100,20.172701,18.867517,2351690
2010-08-01,20.263599,21.090900,19.636400,21.090900,19.726311,1725331
2010-09-01,21.263599,22.000000,20.045500,21.990900,20.623152,3559937
2010-10-01,22.000000,25.727301,21.818199,24.909100,23.359850,7097530
2010-11-01,24.909100,25.436399,22.954500,23.736401,22.260090,2814460
2010-12-01,24.363600,25.000000,22.045500,22.872700,21.450108,5027770
2011-01-01,22.736401,23.500000,19.381800,19.863600,18.628162,4685780
2011-02-01,20.000000,20.872700,18.163601,20.000000,18.756079,4157566
2011-03-01,19.918200,23.627300,19.772699,23.127300,21.688877,7692878
2011-04-01,23.445400,27.727301,23.000000,27.090900,25.405954,3977820
2011-05-01,27.181801,27.681801,22.272699,24.363600,22.910297,6166661
2011-06-01,24.445400,25.772699,20.909100,21.636400,20.345776,5368330
2011-07-01,21.990900,22.000000,18.636400,19.809099,18.627474,6638832
2011-08-01,20.009100,21.763599,17.281799,21.000000,20.309055,5884340
2011-09-01,21.818199,22.681801,18.409100,19.718201,19.069429,2879030
2011-10-01,19.363600,21.954500,17.181801,21.545500,20.836609,2068770
2011-11-01,20.909100,21.581800,15.863600,16.136400,15.605478,5122920
2011-12-01,16.618200,18.418200,15.036400,15.545500,15.034019,5683040
2012-01-01,15.709100,18.227301,15.272700,18.181801,17.583580,5804920
2012-02-01,18.036400,21.081800,18.036400,20.872700,20.185944,6207300
2012-03-01,20.854500,23.545500,19.718201,22.590900,21.847609,7403000
2012-04-01,22.454500,22.709101,19.109100,20.500000,19.825508,5727040
2012-05-01,20.500000,21.818199,19.263599,21.363600,20.838177,6429390
2012-06-01,21.190901,22.654600,20.100000,20.909100,20.394854,5653450
2012-07-01,20.909100,21.327299,17.809099,20.181801,19.685442,5327190
2012-08-01,19.709101,22.045500,19.709101,21.518200,20.988974,6109840
2012-09-01,21.290899,25.136400,20.918200,22.727301,22.168335,8721680
2012-10-01,22.672701,27.272699,22.563601,27.100000,26.433493,5455340
2012-11-01,28.218201,29.463600,26.127300,28.636400,27.932106,4937130
2012-12-01,28.654600,29.572701,27.681801,29.572701,29.055632,8547550
2013-01-01,29.572701,30.009100,26.936399,29.772699,29.252136,7943320
2013-02-01,29.872700,30.709101,29.209101,30.272699,29.743391,5277800
2013-03-01,29.954500,30.309099,26.963600,27.636400,27.153187,6676120
