Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,1193890.000000,1705560.000000,1193890.000000,1307600.000000,1303159.625000,5
2003-02-01,1307600.000000,1705560.000000,1137040.000000,1307600.000000,1303159.625000,11
2003-03-01,1307600.000000,2001190.000000,1307600.000000,2001190.000000,1994394.375000,134
2003-04-01,1000600.000000,2001190.000000,1000600.000000,1819260.000000,1813082.125000,2
2003-05-01,1819260.000000,2001190.000000,1137040.000000,1137040.000000,1133178.875000,2
2003-06-01,1137040.000000,2001190.000000,1137040.000000,1421300.000000,1416473.500000,0
2003-07-01,1137040.000000,2021090.000000,1137040.000000,1165470.000000,1161512.250000,0
2003-08-01,1165470.000000,2842600.000000,1165470.000000,1706130.000000,1700336.375000,0
2003-09-01,1933540.000000,2387780.000000,1705560.000000,1706130.000000,1700336.375000,12
2003-10-01,1706130.000000,2842600.000000,1705560.000000,1705560.000000,1699768.250000,0
2003-11-01,1705560.000000,2842600.000000,1705560.000000,1989820.000000,1983063.000000,4
2003-12-01,1705560.000000,3126860.000000,1705560.000000,1989820.000000,1983063.000000,6
2004-01-01,1989820.000000,3411120.000000,1762410.000000,1762410.000000,1756425.250000,0
2004-02-01,1762410.000000,3979640.000000,1421300.000000,1421300.000000,1416473.500000,0
2004-03-01,1421300.000000,2842600.000000,1421300.000000,1989820.000000,1983063.000000,10
2004-04-01,1989820.000000,2501490.000000,1421300.000000,1819260.000000,1813082.125000,0
2004-05-01,1705560.000000,2785750.000000,1705560.000000,2514000.000000,2505463.000000,20
2004-06-01,2514000.000000,2558340.000000,1989820.000000,2274080.000000,2266357.750000,8
2004-07-01,2274080.000000,2558340.000000,1989820.000000,2330930.000000,2323014.750000,8
2004-08-01,2330930.000000,2842600.000000,1705560.000000,1705560.000000,1699768.250000,0
2004-09-01,1705560.000000,2842600.000000,1705560.000000,1989820.000000,1983063.000000,0
2004-10-01,1989820.000000,1989820.000000,1989820.000000,1989820.000000,1983063.000000,0
2004-11-01,1989820.000000,2842600.000000,1706130.000000,2160380.000000,2153043.750000,7
2004-12-01,2160380.000000,2842600.000000,1989820.000000,1989820.000000,1983063.000000,2
2005-01-01,1989820.000000,2501490.000000,1989820.000000,1989820.000000,1983063.000000,0
2005-02-01,1762410.000000,2842600.000000,1762410.000000,2092150.000000,2085045.500000,0
2005-03-01,2092150.000000,3411120.000000,2092150.000000,2342300.000000,2334346.000000,9
2005-04-01,1989820.000000,2615190.000000,1705560.000000,1705560.000000,1699768.250000,0
2005-05-01,1705560.000000,2558340.000000,1705560.000000,1876120.000000,1869749.125000,0
2005-06-01,1876120.000000,2387780.000000,1876120.000000,2387780.000000,2379671.500000,4
2005-07-01,2387780.000000,2399150.000000,1762410.000000,1762410.000000,1756425.250000,0
2005-08-01,1762410.000000,1762410.000000,1762410.000000,1762410.000000,1756425.250000,0
2005-09-01,1705560.000000,2399150.000000,1421300.000000,1705560.000000,1699768.250000,0
2005-10-01,1705560.000000,2387780.000000,1705560.000000,2387220.000000,2379113.500000,0
2005-11-01,2387220.000000,2387780.000000,1421300.000000,1478150.000000,1473130.500000,0
2005-12-01,1478150.000000,2387780.000000,994910.000000,994910.000000,991531.500000,0
2006-01-01,994910.000000,2387780.000000,994910.000000,1239370.000000,1235161.375000,0
