Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,2199900.000000,2400000.000000,1700000.000000,1700000.000000,1698855.750000,72
2003-02-01,1700000.000000,2200000.000000,1600000.000000,2000000.000000,1998653.875000,0
2003-03-01,1600000.000000,2200000.000000,1500000.000000,1700000.000000,1698855.750000,22
2003-04-01,1700000.000000,2100000.000000,1400000.000000,1400000.000000,1399057.750000,16
2003-05-01,1400000.000000,1850000.000000,1400000.000000,1430000.000000,1429037.500000,6
2003-06-01,1430000.000000,1950000.000000,1400000.000000,1700000.000000,1698855.750000,26
2003-07-01,1600000.000000,1850000.000000,1000000.000000,1750000.000000,1748822.250000,26
2003-08-01,1440000.000000,1760000.000000,1400000.000000,1630000.000000,1628903.000000,181
2003-09-01,1630000.000000,1850000.000000,1400000.000000,1600000.000000,1598923.125000,321
2003-10-01,1450000.000000,1800000.000000,1400000.000000,1500000.000000,1498990.375000,46
2003-11-01,1600000.000000,1799500.000000,1400000.000000,1450200.000000,1449223.875000,283
2003-12-01,1550000.000000,2300000.000000,1300000.000000,1690000.000000,1688862.625000,91
2004-01-01,1690000.000000,2300000.000000,1300000.000000,1500000.000000,1498990.375000,92
2004-02-01,1351300.000000,1725000.000000,1300000.000000,1500000.000000,1498990.375000,277
2004-03-01,1550000.000000,1850000.000000,1410000.000000,1750000.000000,1748822.250000,3029
2004-04-01,1800000.000000,1899500.000000,1650000.000000,1650000.000000,1648889.375000,763
2004-05-01,1610000.000000,1800000.000000,1500000.000000,1650000.000000,1648889.375000,317
2004-06-01,1710000.000000,1900000.000000,1710000.000000,1900000.000000,1898721.250000,201
2004-07-01,1905000.000000,2200000.000000,1850000.000000,2100000.000000,2098586.750000,230
2004-08-01,2100000.000000,2200000.000000,2050000.000000,2120500.000000,2119072.750000,418
2004-09-01,2120500.000000,2700000.000000,2020000.000000,2300000.000000,2298452.000000,453
2004-10-01,2350000.000000,2450000.000000,2051100.000000,2350000.000000,2348418.500000,435
2004-11-01,2250000.000000,2450000.000000,1851500.000000,2250000.000000,2248485.500000,326
2004-12-01,2240000.000000,2500000.000000,2150000.000000,2400000.000000,2398384.750000,1118
2005-01-01,2430000.000000,2450000.000000,1851500.000000,2189900.000000,2188426.000000,613
2005-02-01,2050000.000000,2400000.000000,2000000.000000,2005000.000000,2003650.500000,460
2005-03-01,2000000.000000,2030000.000000,1830000.000000,1850000.000000,1848754.875000,587
2005-04-01,1800000.000000,2049000.000000,1600000.000000,1600100.000000,1599023.000000,607
2005-05-01,1600000.000000,1750000.000000,1450000.000000,1649900.000000,1648789.625000,1024
2005-06-01,1649900.000000,1700000.000000,1450000.000000,1700000.000000,1698855.750000,837
2005-07-01,1560000.000000,1700000.000000,1350000.000000,1450000.000000,1449024.125000,3221
2005-08-01,1380000.000000,1490000.000000,1350000.000000,1479900.000000,1478904.000000,783
