Date,Open,High,Low,Close,Adj Close,Volume
2009-11-01,10.620000,11.450000,10.600000,11.280000,7.205062,3689000
2009-12-01,11.440000,11.500000,10.680000,11.460000,7.320036,230400
2010-01-01,11.460000,12.000000,11.100000,11.500000,7.345586,190200
2010-02-01,11.400000,11.650000,10.690000,11.010000,7.032600,155600
2010-03-01,11.200000,11.380000,10.400000,10.600000,6.770715,456300
2010-04-01,10.590000,10.790000,9.890000,10.300000,6.579090,823502
2010-05-01,9.550000,10.650000,9.100000,10.400000,6.642963,447843
2010-06-01,10.480000,10.890000,10.110000,10.680000,6.821814,98200
2010-07-01,10.500000,13.190000,10.500000,12.350000,7.888520,243500
2010-08-01,12.400000,12.700000,11.200000,12.150000,7.760770,113300
2010-09-01,12.150000,12.500000,11.700000,12.340000,7.882133,1778000
2010-10-01,12.450000,14.100000,12.250000,12.760000,8.150406,332300
2010-11-01,13.500000,14.460000,13.010000,14.000000,8.942452,694800
2010-12-01,14.000000,14.450000,12.400000,13.490000,8.616693,835200
2011-01-01,13.100000,14.000000,12.550000,13.050000,8.335644,605500
2011-02-01,13.050000,13.790000,10.600000,10.800000,7.059919,6739051
2011-03-01,10.750000,11.150000,10.150000,10.700000,6.994549,3461187
2011-04-01,10.700000,11.190000,10.480000,10.750000,7.027234,1801300
2011-05-01,10.510000,11.190000,10.070000,11.190000,7.314860,1247193
2011-06-01,10.890000,11.100000,10.530000,10.550000,6.896494,2107200
2011-07-01,10.500000,11.740000,10.500000,11.180000,7.308323,1989425
2011-08-01,10.380000,10.970000,8.490000,9.780000,6.393148,2698600
2011-09-01,10.000000,10.750000,9.350000,9.780000,6.393148,2417600
2011-10-01,9.700000,9.840000,8.250000,9.150000,5.981320,2376100
2011-11-01,8.950000,9.220000,8.420000,9.000000,5.883265,937600
2011-12-01,9.220000,9.750000,9.150000,9.500000,6.210113,1767000
2012-01-01,9.490000,10.090000,9.110000,9.500000,6.210113,1599300
2012-02-01,9.780000,11.000000,9.500000,10.580000,6.916106,3334300
2012-03-01,10.780000,12.200000,10.090000,10.290000,6.726533,2238200
2012-04-01,10.210000,10.750000,9.500000,9.780000,6.547244,1427800
2012-05-01,9.780000,10.580000,9.160000,9.450000,6.326325,3763000
2012-06-01,9.170000,10.090000,8.860000,9.750000,6.527161,1418200
2012-07-01,9.750000,9.750000,8.500000,9.740000,6.520467,1174900
2012-08-01,9.740000,11.500000,9.410000,11.300000,7.564811,9597200
2012-09-01,11.200000,11.500000,10.650000,11.290000,7.558119,4534900
2012-10-01,11.260000,12.440000,10.960000,12.160000,8.140541,14253800
2012-11-01,12.210000,13.130000,12.070000,13.050000,8.736354,9634600
2012-12-01,13.050000,14.150000,13.050000,14.150000,9.472752,12510000
2013-01-01,14.150000,15.700000,13.850000,15.050000,10.075260,15166600
2013-02-01,15.120000,16.110001,15.020000,15.800000,10.577348,16813200
2013-03-01,15.620000,16.570000,14.190000,14.500000,9.707061,13485500
2013-04-01,14.440000,15.960000,14.060000,15.910000,10.650988,15800500
2013-05-01,15.910000,16.500000,14.950000,16.500000,11.045964,15794600
2013-06-01,16.230000,16.230000,12.560000,13.450000,9.214885,14835200
2013-07-01,13.280000,13.700000,12.140000,13.500000,9.249139,11403300
2013-08-01,13.510000,13.850000,10.660000,12.070000,8.269416,18893000
2013-09-01,12.100000,13.360000,11.860000,12.030000,8.242011,11115700
2013-10-01,12.060000,13.200000,11.530000,13.000000,8.906579,11094900
2013-11-01,13.160000,13.310000,11.600000,12.510000,8.570869,9742000
2013-12-01,12.250000,12.510000,11.380000,12.000000,8.221457,10797600
2014-01-01,12.000000,12.130000,10.450000,10.600000,7.262288,10359100
2014-02-01,10.550000,10.610000,9.410000,10.300000,7.056751,14231200
2014-03-01,10.300000,10.870000,9.030000,10.010000,6.858066,11367500
2014-04-01,10.000000,11.490000,9.840000,10.880000,7.454121,10551100
2014-05-01,10.880000,11.470000,10.020000,11.150000,7.639103,12282300
2014-06-01,11.110000,12.090000,10.810000,11.600000,8.229104,9597500
2014-07-01,11.670000,11.920000,10.010000,10.150000,7.200466,17821000
2014-08-01,10.050000,11.350000,9.720000,11.350000,8.051753,14973400
2014-09-01,11.260000,11.930000,9.530000,9.980000,7.079866,14426200
2014-10-01,10.100000,10.600000,8.400000,10.200000,7.235936,11839300
2014-11-01,10.040000,10.240000,8.670000,9.600000,6.810293,7714700
2014-12-01,9.450000,9.450000,7.720000,8.110000,5.908566,11381300
2015-01-01,8.110000,8.140000,6.260000,6.500000,4.735596,13709700
2015-02-01,6.540000,6.690000,5.560000,5.620000,4.094469,12428800
2015-03-01,5.860000,6.390000,5.320000,6.230000,4.538887,29884700
2015-04-01,6.300000,7.000000,6.050000,6.380000,4.648169,23746100
2015-05-01,6.380000,6.490000,5.400000,5.540000,4.152506,19110900
2015-06-01,5.590000,5.600000,4.360000,5.050000,3.785227,17231100
2015-07-01,5.030000,5.170000,3.530000,3.770000,2.825803,38676200
2015-08-01,3.730000,3.740000,3.010000,3.450000,2.757935,18115600
