Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,10.490000,13.800000,10.150000,13.350000,9.584628,16361000
2007-05-01,13.320000,17.299999,13.000000,15.650000,11.235912,8554900
2007-06-01,15.600000,17.690001,15.100000,17.200001,12.348735,7265800
2007-07-01,17.200001,20.400000,15.990000,16.600000,11.917964,6105600
2007-08-01,16.600000,17.350000,13.400000,15.000000,10.769245,8982500
2007-09-01,15.400000,17.850000,14.500000,17.850000,12.815401,3323200
2007-10-01,17.340000,18.200001,14.350000,15.150000,10.876936,5579900
2007-11-01,15.200000,17.600000,13.000000,15.250000,10.948731,7327300
2007-12-01,15.250000,17.000000,13.800000,16.900000,12.133348,4057400
2008-01-01,16.900000,17.500000,10.000000,12.390000,8.895397,4866800
2008-02-01,12.310000,15.210000,11.650000,13.190000,9.469755,3281800
2008-03-01,13.390000,13.550000,9.520000,10.100000,7.251291,4965300
2008-04-01,10.120000,10.600000,9.050000,10.550000,7.574369,5548900
2008-05-01,10.600000,12.490000,10.600000,11.790000,8.506392,4060000
2008-06-01,11.700000,11.990000,8.600000,9.250000,6.673803,4594700
2008-07-01,8.950000,8.990000,6.950000,7.800000,5.627639,5390000
2008-08-01,7.790000,7.790000,5.100000,5.570000,4.018711,2484100
2008-09-01,5.570000,5.860000,3.300000,4.000000,2.885969,11056400
2008-10-01,4.030000,4.030000,2.640000,2.790000,2.012963,6621400
2008-11-01,2.790000,3.090000,1.970000,2.350000,1.695506,2457900
2008-12-01,2.300000,3.300000,2.090000,2.900000,2.092327,5693500
2009-01-01,2.900000,3.450000,2.350000,2.370000,1.709936,4597400
2009-02-01,2.350000,2.610000,1.960000,2.000000,1.442984,3665300
2009-03-01,2.000000,2.570000,1.940000,2.490000,1.796516,5093200
2009-04-01,2.450000,3.580000,2.450000,3.520000,2.539653,2999200
2009-05-01,3.520000,3.970000,3.050000,3.290000,2.436406,4397600
2009-06-01,3.300000,3.430000,3.000000,3.360000,2.488245,6683400
2009-07-01,3.370000,6.180000,3.370000,5.770000,4.272968,6883300
2009-08-01,5.850000,7.250000,5.150000,6.820000,5.050544,6924700
2009-09-01,7.000000,7.000000,6.330000,6.800000,5.035734,28116400
2009-10-01,6.750000,7.400000,5.450000,6.160000,4.561781,13362300
2009-11-01,6.160000,7.800000,6.070000,7.800000,5.776283,9715900
2009-12-01,7.890000,8.750000,7.830000,8.240000,6.102124,7371100
2010-01-01,8.540000,8.570000,7.210000,7.550000,5.591146,6823500
2010-02-01,7.650000,7.650000,6.200000,7.500000,5.554118,4877900
2010-03-01,7.490000,7.900000,6.470000,6.600000,4.887623,5382600
2010-04-01,6.890000,6.930000,5.860000,6.060000,4.487727,36472734
2010-05-01,6.020000,6.640000,5.060000,6.600000,5.011904,20106939
2010-06-01,6.400000,7.330000,6.400000,6.710000,5.095436,14971429
2010-07-01,6.800000,8.330000,6.420000,8.190000,6.219317,17533500
2010-08-01,8.290000,8.500000,7.620000,8.240000,6.257286,15386140
2010-09-01,8.300000,9.000000,7.510000,8.820000,6.697726,17202761
2010-10-01,8.810000,10.110000,8.730000,9.680000,7.350793,58012700
2010-11-01,9.680000,10.110000,8.340000,8.960000,6.804039,30906500
2010-12-01,9.050000,9.070000,7.930000,8.600000,6.530664,31770600
2011-01-01,8.630000,8.890000,7.580000,7.900000,5.999097,26305800
2011-02-01,7.850000,8.060000,6.810000,7.500000,5.695346,21127854
2011-03-01,7.500000,8.430000,7.360000,8.270000,6.280068,23473800
2011-04-01,8.300000,9.180000,8.180000,8.650000,6.568632,20716400
2011-05-01,8.610000,8.610000,7.800000,8.600000,6.530664,20134338
2011-06-01,8.600000,8.860000,7.840000,7.880000,6.167173,22903900
2011-07-01,7.910000,8.050000,7.190000,7.350000,5.752377,26202386
2011-08-01,7.790000,7.790000,5.620000,6.930000,5.423669,33126700
2011-09-01,7.050000,7.490000,5.240000,5.350000,4.187104,31320600
2011-10-01,5.280000,6.700000,5.020000,6.690000,5.235836,24776100
2011-11-01,6.190000,6.680000,5.740000,6.500000,5.087136,20738700
2011-12-01,6.600000,7.110000,5.840000,6.180000,4.836691,25774300
2012-01-01,6.120000,7.500000,5.970000,7.200000,5.634980,44904000
2012-02-01,7.230000,8.010000,7.060000,7.470000,5.846292,40563200
2012-03-01,7.520000,8.180000,6.860000,7.030000,5.501933,31672800
2012-04-01,6.990000,7.650000,6.850000,7.130000,5.580196,43428900
2012-05-01,7.130000,7.830000,6.250000,6.640000,5.362168,43462500
2012-06-01,6.450000,6.890000,5.800000,6.840000,5.523680,30836600
2012-07-01,6.840000,7.050000,5.770000,6.550000,5.289488,32897000
2012-08-01,6.550000,7.730000,6.510000,7.600000,6.137421,41125200
2012-09-01,7.710000,8.060000,7.330000,7.810000,6.307008,36590600
2012-10-01,7.870000,8.480000,7.530000,8.100000,6.541199,33960000
2012-11-01,8.050000,8.800000,7.850000,8.610000,6.953053,38852700
2012-12-01,8.590000,9.460000,8.490000,9.400000,7.591022,46667200
2013-01-01,9.400000,9.890000,9.100000,9.770000,7.889816,39081700
2013-02-01,9.770000,10.640000,9.480000,10.000000,8.075554,40569600
2013-03-01,9.960000,10.140000,9.010000,9.450000,7.631400,35590700
2013-04-01,9.790000,10.070000,8.940000,9.460000,7.639475,39455600
2013-05-01,9.460000,9.530000,8.200000,8.200000,6.811897,76003400
2013-06-01,8.300000,8.800000,7.110000,7.800000,6.479610,63614700
2013-07-01,8.150000,8.650000,7.010000,8.490000,7.052806,49413100
2013-08-01,8.550000,8.850000,7.450000,8.010000,6.654061,42001200
2013-09-01,8.050000,9.000000,8.040000,8.440000,7.011270,38182500
2013-10-01,8.410000,9.050000,8.120000,8.280000,6.878355,45674800
2013-11-01,8.340000,8.490000,7.760000,8.220000,6.828512,31621000
2013-12-01,8.180000,8.310000,7.660000,8.150000,6.770361,32455700
2014-01-01,8.150000,8.240000,7.000000,7.160000,5.947949,54858000
2014-02-01,7.160000,7.500000,6.680000,7.140000,5.931335,45455300
2014-03-01,7.140000,7.700000,6.630000,7.600000,6.313466,35117600
2014-04-01,7.680000,7.850000,7.040000,7.150000,5.939642,36553700
2014-05-01,7.150000,7.690000,6.650000,6.800000,5.648891,33502100
2014-06-01,6.800000,7.130000,6.360000,6.550000,5.921746,45016100
2014-07-01,6.580000,6.750000,6.050000,6.240000,5.641480,42776800
2014-08-01,6.280000,6.880000,5.800000,6.760000,6.111604,42787000
2014-09-01,6.790000,7.070000,5.320000,5.450000,4.927254,47361100
2014-10-01,5.380000,6.090000,4.440000,5.360000,4.845886,61478400
