Date,Open,High,Low,Close,Adj Close,Volume
2007-06-01,8.216550,8.399960,7.372890,8.150530,4.194733,20056545
2007-07-01,8.253240,10.124000,8.216550,9.133580,4.700668,17486144
2007-08-01,8.913490,9.720480,7.116120,7.475600,3.847376,15276828
2007-09-01,7.548960,8.399960,6.675950,8.399960,4.323104,13497980
2007-10-01,8.399960,8.510000,6.529230,6.705300,3.450934,16019584
2007-11-01,6.778660,7.108790,5.912980,6.675950,3.435829,4138242
2007-12-01,6.866690,7.079440,5.502160,6.492550,3.341441,9013783
2008-01-01,6.419180,6.602590,4.078930,4.181640,2.152114,7092628
2008-02-01,4.306350,5.832290,4.034910,5.025300,2.586310,5882739
2008-03-01,5.025300,5.472810,2.934480,3.154570,1.623524,6257728
2008-04-01,3.154570,3.587410,2.795100,3.404000,1.751895,5238949
2008-05-01,3.565400,4.585130,3.411340,3.946880,2.078033,9054268
2008-06-01,4.034910,4.086270,3.227930,3.448020,1.815383,3551969
2008-07-01,3.359980,3.448020,2.956490,3.315970,1.745859,5321137
2008-08-01,3.220600,3.293960,2.090820,2.208200,1.162618,29628655
2008-09-01,2.266890,2.310910,1.834050,1.936760,1.019704,34454989
2008-10-01,1.980780,1.980780,1.225150,1.445230,0.760914,9521539
2008-11-01,1.445230,1.533270,1.298510,1.467240,0.772502,10519057
2008-12-01,1.459910,2.089690,1.379210,2.089690,1.100222,6552296
2009-01-01,2.089690,2.089690,1.415890,1.459910,0.768643,4550035
2009-02-01,1.452570,1.613970,1.364530,1.613970,0.849756,7318220
2009-03-01,1.584620,1.900080,1.474580,1.797370,0.946316,4497417
2009-04-01,1.834050,2.523660,1.768030,2.516320,1.324843,7851056
2009-05-01,3.050050,3.235270,2.215540,3.161910,1.765799,9165906
2009-06-01,3.161910,4.250510,3.117890,3.337980,1.864126,7756866
2009-07-01,3.374660,4.548450,3.257280,4.394390,2.454089,12627095
2009-08-01,4.475090,5.355430,4.181640,5.186700,2.896561,12417176
2009-09-01,5.172030,6.224590,4.577790,5.494820,3.068635,10355622
2009-10-01,5.612200,6.731450,4.761200,5.252730,2.933437,10553545
2009-11-01,6.366870,7.024900,4.995960,5.934990,3.314451,8568867
2009-12-01,5.942330,7.345020,5.722240,6.125730,3.420972,7345483
2010-01-01,7.558440,7.558440,5.824950,5.979010,3.339035,7335669
2010-02-01,5.979010,7.416160,5.428790,6.103730,3.408685,3680511
2010-03-01,6.096390,6.279790,5.883640,5.979010,3.339035,5145706
2010-04-01,6.030360,6.492550,5.861630,6.015690,3.359519,4113954
2010-05-01,6.023030,6.199100,5.061980,5.854290,3.419795,6138647
2010-06-01,5.795610,6.301800,5.692900,6.074380,3.548361,3483608
2010-07-01,6.089050,6.984070,6.030360,6.925380,4.045474,4330985
2010-08-01,6.918050,8.443980,6.903370,7.857080,4.589729,6776227
2010-09-01,7.703020,8.766770,7.703020,8.363280,4.885427,4353901
2010-10-01,8.297250,9.338990,8.047820,8.854800,5.172549,8415926
2010-11-01,8.847470,9.683800,8.524670,9.544410,5.575385,5772734
2010-12-01,9.551740,10.380700,8.957510,10.292700,6.012500,6262907
2011-01-01,10.263400,11.613200,9.713140,9.881870,5.772513,5442594
2011-02-01,9.867200,10.476100,9.177600,9.962570,5.819656,5689595
2011-03-01,9.977240,10.468800,9.272970,10.160700,5.935392,5994874
2011-04-01,10.175300,11.906700,10.087300,11.789300,6.886743,9552071
2011-05-01,11.774600,12.699000,11.224400,12.412900,7.499833,8285661
2011-06-01,12.427500,13.095100,11.928700,12.449500,7.521946,8867249
2011-07-01,12.552200,12.809000,10.432100,11.114400,6.715283,9009188
2011-08-01,11.085000,12.009400,8.818120,11.774600,7.114174,13927494
2011-09-01,11.848000,12.390900,8.744760,9.096900,5.496316,14825914
2011-10-01,8.950180,11.554500,8.854800,11.407800,6.892555,11594407
2011-11-01,10.931000,11.459200,10.270700,11.371100,6.870381,9645581
2011-12-01,11.481200,11.994700,10.498100,11.583900,6.998954,10749286
2012-01-01,11.378500,13.425300,11.378500,13.014400,7.863256,12971412
2012-02-01,13.080500,15.075900,13.073100,14.665100,8.860604,11933139
2012-03-01,14.738400,17.188700,14.555000,16.506500,9.973172,14911926
2012-04-01,16.506500,16.880600,15.097900,15.442700,9.330427,8072153
2012-05-01,15.442700,16.323099,13.278500,14.672400,9.169482,12600239
2012-06-01,14.643100,15.545400,13.872800,15.127300,9.453770,9492369
2012-07-01,15.332700,16.301100,13.938800,15.978300,9.985600,9511179
2012-08-01,15.978300,18.193800,15.882900,18.010401,11.255557,8690593
2012-09-01,18.091101,18.656000,17.203400,18.472601,11.544409,9885623
2012-10-01,18.465200,20.167200,18.311199,19.587700,12.241286,11093606
2012-11-01,19.734400,20.460699,18.487200,18.942101,11.837820,10943391
2012-12-01,18.854099,19.426300,17.973700,18.854099,11.782825,9204485
2013-01-01,18.854099,20.086500,18.619301,19.000799,11.874505,11345914
2013-02-01,18.898100,20.636801,18.898100,20.137899,12.585132,7961469
2013-03-01,20.137899,20.988899,18.479900,19.734400,12.332968,12433670
2013-04-01,19.969200,20.871500,19.294201,20.174601,12.608070,8952853
