Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,20.700001,20.700001,20.700001,20.700001,19.014416,26000
2012-06-01,20.700001,20.700001,20.700001,20.700001,19.014416,0
2012-07-01,20.700001,20.700001,19.530001,19.530001,17.939686,7800
2012-08-01,19.530001,19.530001,19.530001,19.530001,17.939686,0
2012-09-01,19.530001,20.969999,19.530001,20.969999,19.363249,1400
2012-10-01,20.280001,20.980000,20.280001,20.950001,19.344782,8800
2012-11-01,20.950001,23.280001,20.950001,21.930000,20.351511,4800
2012-12-01,21.930000,24.110001,21.930000,24.110001,22.374596,2400
2013-01-01,24.110001,29.200001,24.110001,25.879999,24.017193,28700
2013-02-01,25.879999,26.389999,24.190001,24.190001,22.605968,4725
2013-03-01,24.190001,26.879999,24.190001,26.639999,24.895536,11600
2013-04-01,26.639999,27.440001,25.500000,25.500000,23.830183,6900
2013-05-01,25.500000,31.260000,25.500000,30.490000,28.715956,13900
2013-06-01,30.490000,34.279999,30.490000,34.060001,32.078243,8200
2013-07-01,34.060001,49.000000,34.060001,39.119999,36.843822,18300
2013-08-01,39.119999,40.189999,38.570000,39.500000,37.429737,10640
2013-09-01,39.500000,39.590000,38.080002,38.700001,36.671669,22300
2013-10-01,38.700001,38.700001,36.599998,37.830002,35.847267,17100
2013-11-01,37.830002,40.200001,37.830002,39.820000,37.976116,3600
2013-12-01,40.200001,40.200001,36.099998,36.110001,34.437908,22500
2014-01-01,36.110001,39.560001,36.110001,36.200001,34.523743,9800
2014-02-01,35.430000,37.200001,35.320000,35.950001,34.549164,167300
2014-03-01,35.950001,36.529999,35.950001,36.139999,34.731762,700
2014-04-01,35.750000,37.360001,35.750000,36.169998,34.760593,40200
2014-05-01,36.169998,36.869999,35.299999,36.869999,35.705517,26000
2014-06-01,36.950001,37.130001,36.950001,37.130001,35.957306,4200
2014-07-01,37.130001,39.900002,37.130001,39.900002,38.639820,19900
2014-08-01,38.250000,38.250000,38.200001,38.200001,37.254478,2600
2014-09-01,38.200001,39.310001,35.950001,36.220001,35.323490,24400
2014-10-01,36.150002,36.150002,33.759998,34.169998,33.324226,43800
2014-11-01,33.759998,33.759998,33.759998,33.759998,33.208786,0
2014-12-01,33.759998,40.000000,33.759998,40.000000,39.346905,300
2015-01-01,40.000000,40.549999,38.900002,38.900002,38.264866,9800
2015-02-01,38.900002,47.520000,38.900002,47.520000,46.744122,7600
2015-03-01,47.520000,52.349998,47.520000,51.549999,50.708324,8300
2015-04-01,50.150002,50.150002,47.000000,47.000000,46.232613,3900
2015-05-01,47.000000,48.799999,46.840000,48.799999,48.003223,2200
2015-06-01,48.799999,48.799999,46.509998,48.570000,47.776978,2500
2015-07-01,48.570000,51.150002,46.110001,51.150002,50.314857,5900
2015-08-01,51.740002,53.029999,49.259998,53.029999,52.164158,108300
2015-09-01,51.000000,57.500000,51.000000,55.299999,54.397095,79200
2015-10-01,54.650002,61.000000,54.650002,60.000000,59.020355,22600
2015-11-01,60.000000,60.000000,53.119999,54.830002,53.934772,38800
2015-12-01,54.830002,54.830002,52.570000,54.610001,53.718361,87500
2016-01-01,54.610001,55.730000,47.000000,50.849998,50.019753,53500
2016-02-01,50.849998,50.849998,44.200001,49.830002,49.016407,4900
2016-03-01,51.500000,51.900002,47.669998,47.830002,47.049065,6500
2016-04-01,47.830002,48.439999,45.119999,46.660000,45.898163,13100
2016-05-01,46.660000,48.610001,46.450001,48.610001,47.816326,2700
2016-06-01,48.610001,48.610001,42.299999,42.299999,41.609352,67400
2016-07-01,42.299999,44.980000,42.299999,44.980000,44.245594,18500
2016-08-01,40.889999,40.889999,38.369999,40.180000,39.523968,70400
2016-09-01,40.180000,41.130001,38.639999,39.169998,38.530457,2600
2016-10-01,38.730000,39.810001,36.750000,37.209999,36.602459,11800
2016-11-01,37.209999,42.139999,36.840000,40.259998,39.602657,5300
2016-12-01,40.259998,43.430000,40.259998,40.470001,39.809231,3700
2017-01-01,40.470001,42.189999,38.430000,38.430000,37.802540,1800
2017-02-01,38.430000,39.389999,38.389999,38.419998,37.792702,3300
2017-03-01,39.099998,39.709999,36.150002,36.150002,35.559765,1500
2017-04-01,35.570000,36.990002,34.770000,36.990002,36.386051,1300
2017-05-01,36.990002,36.990002,34.080002,36.380001,35.786011,6300
2017-06-01,36.380001,37.599998,36.330002,37.330002,36.720501,2200
2017-07-01,37.330002,37.330002,35.049999,35.049999,34.477726,2100
2017-08-01,35.049999,35.049999,33.000000,34.520000,33.956379,4000
2017-09-01,34.520000,38.070000,34.520000,38.070000,37.448418,2200
2017-10-01,37.910000,40.330002,37.759998,40.330002,39.671520,3800
2017-11-01,40.549999,40.549999,39.200001,39.200001,38.559967,10300
2017-12-01,41.200001,42.200001,41.169998,41.500000,40.822414,31400
2018-01-01,41.500000,42.980000,35.000000,41.500000,40.822414,12000
2018-02-01,35.000000,35.290001,34.099998,34.730000,34.162949,36700
