Date,Open,High,Low,Close,Adj Close,Volume
2003-08-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2003-09-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2003-10-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2003-11-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2003-12-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2004-01-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2004-02-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2004-03-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2004-04-01,null,null,null,null,null,null
2004-05-01,null,null,null,null,null,null
2004-06-01,null,null,null,null,null,null
2004-07-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2004-08-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2004-09-01,0.202250,0.202250,0.067420,0.067420,0.065561,0
2004-10-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2004-11-01,0.134830,0.134830,0.067420,0.067420,0.065561,0
2004-12-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2005-01-01,0.067420,0.067420,0.067420,0.067420,0.065561,0
2005-02-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-03-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-04-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-05-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-06-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-07-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-08-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-09-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-10-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-11-01,0.134830,0.134830,0.134830,0.134830,0.131113,0
2005-12-01,0.067420,16.516701,0.067420,16.516701,16.061346,0
2006-01-01,16.516701,19.752600,16.516701,16.584101,16.126886,0
2006-02-01,16.584101,92.924400,16.584101,88.243202,85.810394,3865718
2006-03-01,87.920303,99.973099,79.634102,83.131500,80.839600,2635316
2006-04-01,82.862503,89.642197,73.715302,76.405701,74.299232,1468028
2006-05-01,76.405701,102.287003,9.005000,11.800000,11.474681,60543004
2006-06-01,84.638100,90.126404,62.039299,81.624901,79.374550,26427385
2006-07-01,85.714302,88.243202,72.800598,77.750801,75.607254,10500786
2006-08-01,78.934601,103.685997,76.782303,98.627899,95.908783,24238979
2006-09-01,100.457001,105.623001,91.471603,97.228897,94.548332,7094454
2006-10-01,101.156998,120.365997,99.381203,112.294998,109.199081,666143
2006-11-01,114.555000,128.921005,105.300003,111.972000,108.884987,1170093
2006-12-01,112.994003,119.021004,103.685997,114.555000,111.396782,940420
2007-01-01,114.555000,118.320999,101.856003,111.219002,108.152748,1372875
2007-02-01,112.994003,129.082993,107.613998,110.788002,107.733635,1117181
2007-03-01,109.389000,111.165001,91.633003,94.161903,91.565903,2824529
2007-04-01,93.247200,106.375999,89.373100,102.663002,99.832642,2188998
2007-05-01,102.663002,122.841003,99.542603,116.223000,113.018806,2986203
2007-06-01,117.622002,124.132004,102.663002,108.313004,105.326874,5270001
2007-07-01,109.227997,120.097000,96.852303,106.375999,103.443275,3362474
2007-08-01,105.837997,106.914001,78.665604,85.014801,82.670990,5077220
2007-09-01,85.714302,111.165001,80.010696,110.464996,107.419540,5066292
2007-10-01,110.142998,112.617996,93.892899,108.744003,105.745987,4246542
2007-11-01,111.219002,127.038002,99.919296,119.127998,115.843704,3838324
2007-12-01,118.429001,134.570999,106.860001,119.073997,115.791199,3048461
2008-01-01,119.073997,119.073997,85.606598,106.537003,103.599838,3862913
2008-02-01,109.603996,123.755997,95.453300,118.536003,115.268036,3793591
2008-03-01,116.598999,128.759995,102.610001,104.061996,101.193062,4849367
2008-04-01,107.613998,130.912003,105.353996,130.912003,127.302841,3315137
2008-05-01,130.912003,150.658997,113.155998,130.373993,127.003242,4399312
2008-06-01,124.886002,130.481995,97.874603,99.219803,96.654518,3971951
2008-07-01,96.906097,101.210999,79.042198,96.852303,94.348236,4648092
2008-08-01,96.314201,97.874603,77.105202,83.723396,81.558769,3601959
2008-09-01,82.485802,96.152802,68.872704,86.467598,84.232018,6256514
2008-10-01,87.436096,87.436096,38.364300,54.721500,53.306705,6688708
2008-11-01,56.389500,65.375298,23.997801,31.423201,30.610769,6375251
2008-12-01,29.755199,38.418098,27.441500,37.611000,36.638584,5329285
2009-01-01,37.611000,47.995701,34.543999,41.969299,40.884209,4697639
2009-02-01,41.377399,51.977402,35.566299,35.566299,34.646751,5709832
2009-03-01,35.082001,44.175400,30.562300,41.807899,40.726978,10970469
2009-04-01,41.269798,73.123497,40.570301,68.065598,66.305794,8426850
2009-05-01,68.065598,79.634102,60.640301,63.868698,62.217403,9947349
2009-06-01,66.021004,66.021004,53.161098,58.810799,57.459869,9287597
2009-07-01,58.810799,88.081802,56.820000,85.391403,83.429901,10662275
2009-08-01,86.790398,106.914001,79.634102,97.982201,95.731476,6515610
2009-09-01,98.843102,106.537003,88.296997,95.722298,93.523491,5790568
2009-10-01,95.776100,115.900002,88.619797,93.785301,91.630989,8169318
