Date,Open,High,Low,Close,Adj Close,Volume
2004-10-01,3.823330,3.866670,3.777780,3.861110,0.313682,22238100
2004-11-01,3.897780,3.994440,3.577780,3.666670,0.297885,71247600
2004-12-01,3.666670,3.775560,3.350000,3.500000,0.284345,37293300
2005-01-01,3.511110,3.886670,3.255560,3.255560,0.264486,23852700
2005-02-01,3.332220,3.388890,3.155560,3.196670,0.259702,22552200
2005-03-01,3.218890,3.218890,2.228890,2.366670,0.192271,44965800
2005-04-01,2.432220,2.445560,1.888890,1.888890,0.153456,19068300
2005-05-01,1.887780,1.911110,1.390000,1.688890,0.137208,19124100
2005-06-01,1.688890,2.110000,1.677780,1.806670,0.146776,25776900
2005-07-01,1.854440,1.888890,1.643330,1.783330,0.144880,16176600
2005-08-01,1.794440,1.844440,1.688890,1.844440,0.149845,31570200
2005-09-01,1.865560,2.132220,1.766670,1.800000,0.146234,14150700
2005-10-01,1.822220,1.988890,1.611110,1.967780,0.159865,39471300
2005-11-01,1.944440,2.605560,1.866670,2.444440,0.198590,53239500
2005-12-01,2.444440,2.537780,2.136670,2.495560,0.202743,29838600
2006-01-01,2.466670,2.788890,2.346670,2.488890,0.202201,39884400
2006-02-01,2.533330,2.537780,2.090000,2.233330,0.181439,29831400
2006-03-01,2.201110,2.388890,1.866670,1.911110,0.155261,37756800
2006-04-01,1.934440,2.022220,1.823330,1.966670,0.159775,19419300
2006-05-01,1.966670,2.292220,1.722220,1.777780,0.144429,231665859
2006-06-01,1.844440,2.111110,1.794440,1.922220,0.156164,159446619
2006-07-01,1.926670,2.111110,1.926670,2.066670,0.167899,159238476
2006-08-01,2.027780,2.143330,1.888890,1.901110,0.154449,263636109
2006-09-01,1.888890,1.944440,1.783330,1.897780,0.154178,22628340
2006-10-01,1.916670,2.144440,1.827780,2.000000,0.162483,35668800
2006-11-01,2.055560,2.427780,2.055560,2.422220,0.196784,49676400
2006-12-01,2.416670,2.683330,2.416670,2.550000,0.207165,29855700
2007-01-01,2.538890,2.833330,2.466670,2.816670,0.228830,20945700
2007-02-01,2.822220,3.155560,2.760000,2.851110,0.231628,22853700
2007-03-01,2.833330,3.011110,2.600000,2.934440,0.238398,12507300
2007-04-01,2.900000,2.938890,2.700000,2.783330,0.226121,15817500
2007-05-01,2.777780,2.818890,2.598890,2.644440,0.214838,16463700
2007-06-01,2.644440,2.911110,2.594440,2.764440,0.224587,21901500
2007-07-01,2.764440,3.055560,2.633330,2.833330,0.230183,10531800
2007-08-01,2.777780,2.875560,2.305560,2.666670,0.216644,10913400
2007-09-01,2.622220,2.822220,2.450000,2.494440,0.202652,10674900
2007-10-01,2.483330,2.777780,2.266670,2.588890,0.210325,24754500
2007-11-01,2.633330,2.633330,2.150000,2.500000,0.203103,68368500
2007-12-01,2.554440,2.554440,2.166670,2.391110,0.194257,7787700
2008-01-01,2.393330,2.410000,2.000000,2.110000,0.171419,9783000
2008-02-01,2.111110,2.388890,2.044440,2.261110,0.183696,6539400
2008-03-01,2.261110,2.261110,1.977780,2.000000,0.162483,6554700
2008-04-01,1.972220,2.061110,1.875560,1.977780,0.160677,14382900
2008-05-01,1.977780,2.000000,1.783330,1.975560,0.210798,11808900
2008-06-01,1.988890,2.050000,1.900000,2.005560,0.213999,10060200
2008-07-01,1.977780,1.998890,1.782220,1.888890,0.201550,19690200
2008-08-01,1.833330,1.961110,1.655560,1.700000,0.181395,21696300
2008-09-01,1.710000,1.777780,1.400000,1.544440,0.204723,8759700
2008-10-01,1.498890,1.611110,1.111110,1.255560,0.166430,14710500
2008-11-01,1.255560,1.427780,1.081110,1.211110,0.160538,4628700
2008-12-01,1.211110,4.233330,1.091110,4.233330,0.561148,30232800
2009-01-01,4.233330,4.233330,1.277780,1.298890,0.172174,6306300
2009-02-01,1.304440,1.344440,1.270000,1.316670,0.174531,4893300
2009-03-01,1.310000,1.358890,1.244440,1.288890,0.170848,9897300
2009-04-01,1.311110,4.646670,1.311110,1.655560,0.219452,11056500
2009-05-01,4.966670,4.966670,1.572220,1.722220,0.326659,42128100
2009-06-01,1.750000,5.960000,1.732220,2.000000,0.443185,28527300
2009-07-01,2.000000,2.322220,1.911110,2.305560,0.510895,21350700
2009-08-01,2.277780,2.848890,2.266670,2.797780,0.619967,24533100
2009-09-01,2.744440,8.150000,2.552220,2.783330,0.692287,11485200
2009-10-01,2.740000,8.350000,2.570000,2.630000,0.654150,6640200
2009-11-01,7.890000,7.950000,2.460000,2.996670,0.745350,8858400
2009-12-01,2.966670,9.850000,2.903330,3.233330,0.826034,5318400
2010-01-01,9.950000,9.950000,2.833330,2.920000,0.745986,5148300
