Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,2.597880,2.656930,2.550650,2.597880,1.179229,14420051
2007-11-01,2.597880,2.609690,2.385330,2.550650,1.157790,20549502
2007-12-01,2.553010,2.852950,2.553010,2.711240,1.230685,3240870
2008-01-01,2.647480,2.692350,2.125540,2.267240,1.029145,16516410
2008-02-01,2.243630,2.739590,2.243630,2.645120,1.200672,5921131
2008-03-01,2.597880,3.034800,2.597880,2.834050,1.302654,7349331
2008-04-01,2.893100,2.893100,2.125540,2.338090,1.074689,2765367
2008-05-01,2.338090,2.595520,2.073580,2.338090,1.074689,9360587
2008-06-01,2.326290,2.338090,2.092920,2.205840,1.013901,2352106
2008-07-01,2.127900,2.127900,1.513860,1.646110,0.756624,4850296
2008-08-01,1.674450,1.768920,1.310750,1.391050,0.639388,3320471
2008-09-01,1.459540,1.459540,0.684900,0.826600,0.379942,29668736
2008-10-01,0.897450,1.272960,0.590430,0.684900,0.314810,11940915
2008-11-01,0.689620,0.732130,0.595150,0.684900,0.314810,7298943
2008-12-01,0.714050,0.714050,0.616410,0.682050,0.313500,10235373
2009-01-01,0.682050,0.755750,0.566810,0.566810,0.260531,5623462
2009-02-01,0.566810,0.743940,0.566810,0.694340,0.319149,6799732
2009-03-01,0.689620,0.802980,0.637660,0.708510,0.325662,10947143
2009-04-01,0.708510,0.991920,0.696700,0.989560,0.454845,5457907
2009-05-01,1.031690,1.228090,1.015540,1.195030,0.549288,10757450
2009-06-01,1.228090,1.504410,1.159600,1.461900,0.671953,4436611
2009-07-01,1.431200,1.979110,1.383960,1.934240,0.889062,3728653
2009-08-01,1.924790,2.293220,1.889370,2.279050,1.047552,4681350
2009-09-01,2.293220,2.531750,2.243630,2.375880,1.092059,4908306
2009-10-01,2.382970,2.753760,2.326290,2.597880,1.194100,4339226
2009-11-01,2.708480,2.900540,2.550650,2.834050,1.302654,4004299
2009-12-01,2.831690,3.075360,2.680540,2.968670,1.364531,3724416
2010-01-01,3.114750,3.324050,2.952140,3.209570,1.475259,5168284
2010-02-01,3.209570,3.233180,2.834050,2.952140,1.356933,3084204
2010-03-01,2.952140,3.092300,2.870060,2.913070,1.338975,2112984
2010-04-01,2.927410,3.011050,2.752960,2.867670,1.318107,2071370
2010-05-01,2.886780,2.934580,2.482920,2.843770,1.479820,2560129
2010-06-01,2.772080,3.142480,2.748180,3.092300,1.609149,4628992
2010-07-01,3.080350,3.388630,2.979980,3.345610,1.740964,5435778
2010-08-01,3.348000,3.966940,3.304980,3.954990,2.058069,8721783
2010-09-01,3.954990,4.444880,3.931090,4.444880,2.312995,6865902
2010-10-01,4.444880,4.886980,4.361240,4.612160,2.400043,6357645
2010-11-01,4.659960,5.137900,4.490290,4.860690,2.529371,4587982
2010-12-01,4.879810,5.016030,4.495070,5.016030,2.610206,5475533
2011-01-01,4.918050,5.016030,4.349290,4.659960,2.424917,7383704
2011-02-01,4.361240,4.851130,4.227420,4.540470,2.362737,5295135
2011-03-01,4.485510,4.741210,4.330180,4.633670,2.411236,4646193
2011-04-01,4.602600,5.114000,4.602600,4.946720,2.574139,6505361
2011-05-01,5.018420,5.348200,4.865470,5.250220,3.259885,5439882
2011-06-01,5.245440,5.496360,5.018420,5.281280,3.279171,6258051
2011-07-01,5.190480,5.312350,4.578710,4.875030,3.026928,5908478
2011-08-01,4.903710,5.042310,3.978890,5.016030,3.114476,9218646
2011-09-01,5.087720,5.544150,4.236980,4.349290,2.700494,6086903
2011-10-01,4.275210,5.376870,4.205910,5.376870,3.338523,5549183
2011-11-01,5.032750,5.333860,4.757940,5.006470,3.108540,3388258
2011-12-01,5.018420,5.257390,4.839190,4.946720,3.071441,5031131
2012-01-01,4.896540,5.725770,4.858300,5.568050,3.457227,5552530
2012-02-01,5.529820,6.282580,5.479630,6.273020,3.894946,4431897
2012-03-01,6.282580,7.018610,6.237170,6.600410,4.098225,7336838
2012-04-01,6.538280,6.994710,6.244340,6.760520,4.197638,7256351
2012-05-01,6.760520,6.760520,5.527430,5.842870,4.350906,13115474
2012-06-01,5.742500,6.480920,5.742500,6.136800,4.569781,8964644
2012-07-01,6.186990,6.667320,5.921730,6.523940,4.858066,5624368
2012-08-01,6.523940,7.886080,6.523940,7.800050,5.808323,8835481
2012-09-01,7.742700,7.943430,7.176330,7.778540,5.792306,7308381
2012-10-01,7.792880,8.509800,7.742700,8.208690,6.112618,9700711
2012-11-01,8.194350,9.068990,8.194350,8.244540,6.139314,9911756
2012-12-01,8.251710,9.312740,8.029460,8.997300,6.699858,16005074
2013-01-01,8.997300,9.126350,8.244540,8.316230,6.192698,10309851
2013-02-01,8.337740,8.667520,7.900420,8.316230,6.192698,8622203
2013-03-01,8.266050,9.678370,8.172850,9.377270,6.982803,9635294
2013-04-01,9.621020,10.094200,9.018810,9.263990,6.898449,8650037
2013-05-01,9.263990,9.590190,8.872560,9.198750,7.234366,9784747
2013-06-01,9.226710,9.385150,7.567770,8.052410,6.332826,12769755
2013-07-01,8.192200,8.443840,7.502530,7.921930,6.230210,7645564
2013-08-01,7.940570,8.760720,7.232250,7.828730,6.156913,7627646
2013-09-01,7.847370,9.031000,7.791450,8.714120,6.853229,5651768
2013-10-01,8.630240,8.937800,8.080370,8.322680,6.545380,7143199
2013-11-01,8.322680,8.471800,7.325450,7.996490,6.288848,8583554
2013-12-01,7.968530,7.968530,7.036530,7.269530,5.717129,6383212
2014-01-01,7.269530,7.716890,6.337540,6.523940,5.130759,6966373
2014-02-01,6.486660,6.775580,6.067260,6.412100,5.042803,8473039
2014-03-01,6.412100,7.418650,5.815630,7.390690,5.812416,6822703
2014-04-01,7.362730,7.521170,6.505300,7.083130,5.570535,12638850
2014-05-01,7.083130,7.353410,6.449380,6.458700,5.461765,8673900
2014-06-01,6.393460,6.570540,6.132500,6.309580,5.335662,5459708
2014-07-01,6.281620,6.384140,5.088670,5.191190,4.389902,11910411
2014-08-01,5.209830,5.619910,4.818400,5.563990,4.705159,15257760
2014-09-01,5.554670,5.834270,4.864990,4.958190,4.192867,10782396
2014-10-01,4.883630,6.281620,4.753160,5.647870,4.776092,12724580
2014-11-01,5.675830,5.694470,4.613360,5.219150,4.413547,7480864
2014-12-01,5.060710,5.088670,4.231240,4.426960,3.743635,12340530
2015-01-01,4.426960,4.482880,3.467010,3.644090,3.081605,10002989
2015-02-01,3.625450,4.119400,3.522930,3.718650,3.144657,12884025
2015-03-01,3.811840,4.007560,3.429730,3.700010,3.128894,11374249
2015-04-01,3.700010,3.821160,2.954410,2.963730,2.506263,20910922
2015-05-01,2.963730,3.001010,2.143580,2.143580,2.044676,15985556
2015-06-01,2.162220,2.246100,1.770780,1.873300,1.786866,14839302
2015-07-01,1.901260,2.230000,1.817380,2.180000,2.079415,20280933
2015-08-01,2.069020,2.210000,1.789420,2.110000,2.012645,18106842
2015-09-01,1.836020,1.970000,1.621660,1.780000,1.697871,18470148
2015-10-01,1.789420,2.230000,1.770780,2.040000,1.945875,11686569
2015-11-01,1.901260,2.152900,1.630980,1.668260,1.591287,10491513
2015-12-01,1.696220,1.836020,1.425950,1.463230,1.395717,24943259
2016-01-01,1.463230,1.593710,1.332750,1.397990,1.333487,4989855
2016-02-01,1.397990,1.658940,1.323430,1.481870,1.413497,4980089
2016-03-01,1.528470,1.854660,1.435270,1.435270,1.369047,14710544
2016-04-01,1.416630,1.621660,1.379350,1.407310,1.342377,7972930
2016-05-01,1.397990,1.435270,1.248870,1.258190,1.200137,7605006
2016-06-01,1.286150,1.407310,1.267510,1.286150,1.286150,5399082
2016-07-01,1.304790,2.283380,1.248870,2.180860,2.180860,26383078
2016-08-01,2.190180,2.795970,1.836020,2.022420,2.022420,25157747
2016-09-01,2.050380,2.395220,1.812820,1.966290,1.966290,15771289
2016-10-01,1.995060,2.177310,1.822410,1.947110,1.947110,17572987
2016-11-01,1.908740,1.918330,1.333240,1.582620,1.582620,20735212
2016-12-01,1.601810,1.620990,1.390790,1.550000,1.550000,11707223
2017-01-01,1.486710,2.560970,1.448340,2.388320,2.388320,58497414
2017-02-01,2.426690,3.529730,2.349960,2.954230,2.954230,61485847
2017-03-01,2.992600,3.117290,2.138940,2.330770,2.330770,42606727
2017-04-01,2.330770,2.580160,2.254040,2.426690,2.426690,24032662
2017-05-01,2.426690,2.781580,1.927920,2.062210,2.062210,45261534
2017-06-01,2.090980,2.119760,1.832010,1.947110,1.947110,15842626
2017-07-01,1.956700,2.349960,1.899150,2.148530,2.148530,23171081
2017-08-01,2.158120,2.273220,1.966290,2.186900,2.186900,24532161
2017-09-01,2.215670,2.762400,2.158120,2.378730,2.378730,35395041
2017-10-01,2.426690,2.541790,1.970000,2.060000,2.060000,39284277
2017-11-01,2.050000,2.140000,1.940000,1.990000,1.990000,23323200
2017-12-01,1.990000,2.060000,1.890000,1.960000,1.960000,25380700
2018-01-01,1.960000,2.230000,1.960000,2.010000,2.010000,48439600
2018-02-01,1.990000,2.010000,1.590000,1.620000,1.620000,37569200
2018-03-01,1.620000,1.890000,1.500000,1.500000,1.500000,41532000
2018-04-01,1.500000,1.600000,1.360000,1.450000,1.450000,36785100
2018-05-01,1.450000,1.460000,1.050000,1.070000,1.070000,50872400
2018-06-01,1.070000,1.130000,0.890000,0.920000,0.920000,26841700
2018-07-01,0.910000,1.220000,0.910000,1.050000,1.050000,20911100
2018-08-01,1.070000,1.190000,0.970000,0.990000,0.990000,16190800
2018-09-01,0.990000,1.080000,0.930000,1.020000,1.020000,11542200
2018-10-01,1.020000,1.800000,1.000000,1.670000,1.670000,43210800
2018-11-01,1.680000,1.730000,1.270000,1.350000,1.350000,40706700
2018-12-01,1.380000,1.680000,1.330000,1.510000,1.510000,51107900
2019-01-01,1.510000,1.850000,1.490000,1.660000,1.660000,52864900
