Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,30000000.000000,33000000.000000,10000000.000000,33000000.000000,19993020.000000,0
2003-02-01,10000000.000000,33000000.000000,10000000.000000,33000000.000000,19993020.000000,0
2003-03-01,10000000.000000,60000000.000000,10000000.000000,29000000.000000,17569630.000000,0
2003-04-01,31000000.000000,31000000.000000,10000000.000000,30000000.000000,18175472.000000,0
2003-05-01,10000000.000000,30000000.000000,10000000.000000,30000000.000000,18175472.000000,0
2003-06-01,30000000.000000,30000000.000000,2000000.000000,15000000.000000,9087736.000000,15
2003-07-01,30000000.000000,30000000.000000,2000000.000000,5000000.000000,3029244.500000,0
2003-08-01,30000000.000000,31000000.000000,5000000.000000,31000000.000000,18781316.000000,1
2003-09-01,31000000.000000,40000000.000000,20000000.000000,37000000.000000,22416412.000000,0
2003-10-01,35000000.000000,39000000.000000,20000000.000000,38000000.000000,23022262.000000,0
2003-11-01,38000000.000000,60000000.000000,16000000.000000,34000000.000000,20598870.000000,0
2003-12-01,38000000.000000,44000000.000000,16000000.000000,16000000.000000,9693582.000000,0
2004-01-01,16000000.000000,60000000.000000,16000000.000000,26000000.000000,15752073.000000,0
2004-02-01,26000000.000000,60000000.000000,5000000.000000,25000000.000000,15146227.000000,0
2004-03-01,30000000.000000,60000000.000000,5000000.000000,25000000.000000,15146227.000000,0
2004-04-01,25000000.000000,35000000.000000,2500.000000,17000000.000000,10299435.000000,150
2004-05-01,1.500000,6.000000,1.000000,1.000000,0.605849,0
2004-06-01,1.000000,4.500000,1.000000,1.500000,0.908774,0
2004-07-01,1.500000,2.500000,0.633330,1.900000,1.151113,900
2004-08-01,1.900000,2.190000,0.566670,1.710000,1.036002,11100
2004-09-01,2.190000,2.200000,0.666670,1.810000,1.096587,22200
2004-10-01,2.010000,2.200000,0.636670,1.770000,1.072353,14700
2004-11-01,1.770000,2.200000,0.603330,1.510000,0.914832,1800
2004-12-01,0.603330,2.170000,0.503330,1.510000,0.914832,2100
2005-01-01,1.600000,2.200000,0.500000,1.360000,0.823955,42300
2005-02-01,1.360000,1.700000,0.566670,0.566670,0.343317,11700
2005-03-01,1.790000,2.000000,0.500000,0.516670,0.313024,15900
2005-04-01,1.790000,1.790000,0.533330,1.550000,0.939066,4800
2005-05-01,1.690000,1.700000,0.563330,1.700000,1.029943,15300
2005-06-01,1.700000,1.700000,0.500000,1.500000,0.908774,13800
2005-07-01,1.500000,1.500000,0.496670,1.500000,0.908774,19200
2005-08-01,1.590000,1.640000,0.500000,0.533330,0.323117,29400
2005-09-01,1.640000,1.640000,0.530000,1.550000,0.939066,5100
2005-10-01,1.550000,1.640000,0.520000,1.580000,0.957241,600
2005-11-01,0.526670,1.580000,0.526670,0.916670,0.555364,385500
2005-12-01,0.916670,2.950000,0.833330,2.500000,1.514623,220500
2006-01-01,2.500000,2.990000,0.766670,2.500000,1.514623,21600
2006-02-01,0.833330,3.200000,0.833330,3.000000,1.817547,468900
2006-03-01,1.066670,3.400000,1.000000,1.100000,0.666434,375000
2006-04-01,1.066670,3.390000,1.000000,1.083330,0.656335,252300
2006-05-01,3.390000,3.600000,1.083330,1.166670,0.706826,920665
2006-06-01,1.200000,3.800000,1.183330,1.266670,0.767411,149340
2006-07-01,1.300000,3.900000,1.166670,1.300000,0.787604,142110
2006-08-01,1.233330,3.900000,1.166670,1.233330,0.747212,505490
2006-09-01,3.850000,4.050000,1.233330,1.283330,0.777504,632500
2006-10-01,1.266670,3.800000,1.200000,3.600000,2.181057,153800
2006-11-01,3.600000,3.600000,1.133330,1.296670,0.785586,698400
2006-12-01,1.313330,4.900000,1.223330,4.900000,2.968660,1593300
2007-01-01,4.900000,4.970000,1.403330,1.650000,0.999651,543000
2007-02-01,1.666670,7.650000,1.633330,2.333330,1.413646,1128300
2007-03-01,2.333330,3.966670,2.203330,3.166670,1.918525,969900
2007-04-01,3.200000,10.000000,3.100000,3.233330,1.958910,339000
2007-05-01,9.700000,9.700000,3.166670,3.803330,2.304243,681600
2007-06-01,3.733330,12.000000,3.670000,3.786670,2.294150,501700
2007-07-01,3.900000,13.000000,3.333330,3.446670,2.088162,21891000
2007-08-01,3.443330,3.496670,2.933330,3.200000,1.938717,28372200
2007-09-01,3.163330,9.280000,2.736670,3.466670,2.100279,18459000
2007-10-01,3.530000,10.440000,3.316670,3.676670,2.227507,6996200
2007-11-01,3.683330,12.200000,3.633330,4.000000,2.423396,6659400
2007-12-01,4.000000,10.580000,3.333330,10.500000,6.361414,4556700
2008-01-01,10.500000,10.500000,2.886670,3.200000,1.938717,5826900
2008-02-01,3.123330,9.500000,2.933330,3.166670,1.974646,2836200
2008-03-01,3.213330,8.800000,2.903330,2.993330,1.866556,4119000
2008-04-01,3.030000,9.950000,2.953330,3.400000,2.120143,3853800
2008-05-01,10.200000,11.400000,3.233330,3.666670,2.286432,5768100
2008-06-01,3.536670,3.930000,3.400000,3.530000,2.201207,2608200
2008-07-01,3.336670,9.900000,3.056670,3.100000,1.933072,5580000
2008-08-01,3.100000,3.136670,2.750000,2.933330,1.829141,21255300
2008-09-01,2.866670,8.890000,2.333330,2.563330,1.598420,5725800
2008-10-01,2.563330,2.563330,1.500000,1.996670,1.245067,3756600
2008-11-01,2.066670,6.000000,1.696670,2.233330,1.392641,2052900
2008-12-01,2.033330,7.940000,1.866670,7.940000,4.951159,1399800
2009-01-01,7.940000,7.940000,2.166670,2.333330,1.454998,3035100
2009-02-01,2.266670,6.760000,2.166670,2.166670,1.351074,3435600
2009-03-01,2.100000,6.640000,1.920000,2.200000,1.371857,7206900
2009-04-01,2.196670,8.140000,2.196670,2.950000,1.839536,3564300
2009-05-01,8.850000,10.000000,2.966670,3.733330,2.494835,3383400
2009-06-01,3.733330,11.650000,3.633330,4.066670,2.717594,4566900
2009-07-01,4.000000,12.590000,3.936670,5.116670,3.419266,4413000
2009-08-01,5.056670,6.233330,5.000000,6.103330,4.078612,5329800
2009-09-01,6.066670,18.360001,5.976670,6.816670,4.555310,7615500
2009-10-01,6.776670,21.100000,6.666670,7.083330,4.733506,7747200
2009-11-01,21.250000,25.600000,6.933330,8.766670,5.858417,9422100
2009-12-01,8.816670,29.350000,8.766670,9.483330,6.337329,10188600
2010-01-01,29.350000,33.590000,9.553330,10.266700,6.860826,10214400
2010-02-01,10.496700,33.500000,10.200000,10.833300,7.239462,8061600
2010-03-01,10.666700,11.843300,10.366700,11.666700,7.796389,10665300
2010-04-01,11.796700,36.689999,11.300000,12.966700,8.665129,8500221
2010-05-01,12.336700,13.950000,11.520000,13.733300,9.447480,10718451
2010-06-01,13.700000,42.150002,13.400000,15.666700,10.777514,10319844
