Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,8.050000,8.390000,8.000000,8.300000,6.437512,7697900
2007-05-01,8.300000,12.240000,8.150000,11.500000,8.919444,6537300
2007-06-01,11.300000,12.000000,10.550000,11.250000,8.725543,5342200
2007-07-01,11.200000,12.600000,10.750000,11.450000,8.880664,4934600
2007-08-01,11.400000,12.550000,8.780000,9.600000,7.445798,5436300
2007-09-01,9.600000,10.100000,9.050000,9.570000,7.422529,1975600
2007-10-01,10.000000,10.000000,8.000000,8.000000,6.204831,2325900
2007-11-01,8.490000,8.650000,5.720000,5.900000,4.576062,19976200
2007-12-01,6.140000,7.440000,5.490000,5.660000,4.389918,2555700
2008-01-01,5.800000,7.000000,5.470000,6.570000,5.095718,2367800
2008-02-01,6.520000,6.780000,6.260000,6.530000,5.064692,2139000
2008-03-01,6.550000,6.770000,6.000000,6.250000,4.847525,2895100
2008-04-01,6.150000,7.080000,5.740000,6.540000,5.100014,1075200
2008-05-01,6.760000,9.260000,6.700000,9.070000,7.072956,1729700
2008-06-01,8.800000,9.570000,7.330000,8.020000,6.254147,1509000
2008-07-01,8.000000,8.120000,6.300000,6.900000,5.380749,2168500
2008-08-01,6.940000,7.210000,6.200000,6.700000,5.224785,571500
2008-09-01,6.550000,6.650000,3.300000,3.300000,2.573401,1812700
2008-10-01,3.400000,3.400000,1.200000,2.000000,1.559637,2957900
2008-11-01,2.050000,2.600000,1.300000,1.650000,1.286701,2618500
2008-12-01,1.590000,1.830000,1.360000,1.650000,1.286701,7327600
2009-01-01,1.650000,1.900000,1.610000,1.730000,1.349086,3771700
2009-02-01,1.730000,1.960000,1.700000,1.850000,1.442665,5495100
2009-03-01,1.850000,1.860000,1.470000,1.500000,1.169728,1960900
2009-04-01,1.510000,1.960000,1.350000,1.760000,1.372481,13813200
2009-05-01,1.760000,2.080000,1.610000,1.870000,1.545996,19020000
2009-06-01,1.890000,2.000000,1.750000,1.840000,1.521194,9871300
2009-07-01,1.840000,2.790000,1.830000,2.640000,2.182583,44073600
2009-08-01,2.700000,3.660000,2.680000,3.350000,2.769565,76242200
2009-09-01,3.350000,4.140000,3.210000,3.920000,3.240805,66845300
2009-10-01,3.940000,4.340000,3.170000,3.560000,2.943180,49409800
2009-11-01,3.560000,3.940000,3.390000,3.540000,2.926645,27310200
2009-12-01,3.590000,3.890000,3.480000,3.690000,3.050656,21307000
2010-01-01,3.750000,3.970000,3.360000,3.450000,2.852239,13276900
2010-02-01,3.500000,3.590000,3.050000,3.350000,2.769565,7113300
2010-03-01,3.340000,3.390000,3.020000,3.260000,2.695159,7537900
2010-04-01,3.270000,3.270000,2.770000,2.860000,2.364465,4939554
2010-05-01,2.780000,2.820000,2.190000,2.420000,2.000701,11646001
2010-06-01,2.410000,2.910000,2.260000,2.600000,2.203749,6369580
2010-07-01,2.640000,3.060000,2.550000,3.020000,2.559739,11442700
2010-08-01,3.050000,3.080000,2.780000,2.990000,2.534311,6556757
2010-09-01,3.040000,3.200000,2.800000,3.100000,2.627547,8176453
2010-10-01,3.150000,3.380000,3.050000,3.110000,2.636023,8538600
2010-11-01,3.070000,3.390000,2.970000,3.230000,2.737734,6924700
2010-12-01,3.250000,3.500000,3.170000,3.500000,2.966585,9705300
2011-01-01,3.500000,3.550000,3.170000,3.240000,2.746210,9389400
2011-02-01,3.300000,3.400000,2.850000,3.210000,2.720782,8268610
2011-03-01,3.150000,4.240000,3.120000,4.040000,3.424287,10435944
2011-04-01,4.040000,4.570000,3.980000,4.280000,3.627710,5716900
2011-05-01,4.250000,4.790000,3.630000,4.700000,3.983700,4507501
2011-06-01,4.700000,4.970000,4.410000,4.750000,4.259581,5559600
2011-07-01,4.840000,5.100000,4.210000,4.500000,4.035393,5713342
2011-08-01,4.480000,4.580000,3.500000,4.550000,4.080231,5373700
2011-09-01,4.600000,4.740000,3.980000,4.050000,3.631854,3842300
2011-10-01,4.040000,4.490000,3.870000,4.370000,3.918815,2989800
2011-11-01,4.280000,5.050000,3.950000,4.990000,4.474802,4630200
2011-12-01,4.990000,5.600000,4.840000,5.480000,4.914212,5909300
2012-01-01,5.400000,5.870000,5.340000,5.670000,5.084595,3888500
2012-02-01,5.600000,6.240000,5.600000,6.150000,5.653893,5420200
2012-03-01,6.180000,6.400000,5.580000,5.990000,5.506800,34465200
2012-04-01,6.000000,6.100000,5.810000,5.980000,5.497606,6222200
2012-05-01,5.980000,6.200000,5.510000,5.990000,5.506800,9962900
2012-06-01,5.920000,6.010000,5.430000,6.000000,5.515993,13051000
2012-07-01,5.870000,6.340000,5.420000,6.150000,5.653893,5964700
2012-08-01,6.210000,7.950000,6.170000,7.880000,7.244337,9899400
2012-09-01,7.800000,7.880000,7.100000,7.600000,6.986925,6296000
2012-10-01,7.650000,8.850000,7.600000,8.820000,8.108509,11564500
2012-11-01,8.850000,9.000000,8.140000,8.620000,7.924643,4473400
2012-12-01,8.670000,8.670000,8.160000,8.610000,7.915450,9281700
2013-01-01,8.610000,9.230000,8.410000,8.670000,7.970610,12610300
2013-02-01,8.690000,8.810000,8.110000,8.500000,7.814324,8610600
2013-03-01,8.480000,8.510000,7.410000,7.690000,7.069664,10442000
2013-04-01,7.700000,7.740000,6.740000,7.290000,6.701932,14042200
2013-05-01,7.290000,7.290000,6.510000,6.780000,6.295469,15738000
2013-06-01,6.830000,7.170000,5.350000,6.200000,5.849975,19421600
2013-07-01,6.310000,6.310000,4.810000,5.650000,5.331025,12473800
2013-08-01,5.650000,6.920000,5.640000,6.550000,6.180215,10332500
2013-09-01,6.580000,6.990000,6.300000,6.400000,6.038683,7768100
2013-10-01,6.410000,6.680000,5.510000,5.580000,5.264977,11745600
2013-11-01,5.640000,5.660000,4.480000,4.530000,4.274256,9801800
2013-12-01,4.540000,4.540000,3.610000,4.260000,4.019499,16572000
2014-01-01,4.260000,4.860000,3.840000,4.020000,3.793048,9022200
2014-02-01,4.030000,4.530000,3.520000,4.350000,4.104418,13676000
2014-03-01,4.350000,4.360000,3.600000,3.980000,3.755306,6648100
2014-04-01,4.020000,4.210000,3.630000,3.630000,3.425066,5582700
2014-05-01,3.630000,3.790000,3.190000,3.190000,3.009907,7251500
2014-06-01,3.220000,4.090000,3.200000,3.850000,3.679584,8638600
2014-07-01,3.900000,4.210000,3.660000,3.710000,3.545781,6741200
2014-08-01,3.800000,4.000000,3.620000,3.700000,3.536224,7412500
2014-09-01,3.700000,3.990000,3.450000,3.590000,3.431093,4153300
2014-10-01,3.580000,3.770000,2.840000,3.150000,3.010569,8072100
2014-11-01,3.140000,3.140000,2.750000,2.910000,2.781192,3992000
2014-12-01,2.890000,2.940000,2.080000,2.350000,2.245980,7909925
2015-01-01,2.350000,2.400000,2.100000,2.150000,2.054833,9571500
2015-02-01,2.150000,2.260000,2.000000,2.040000,1.949702,10400200
2015-03-01,2.050000,2.080000,1.890000,2.000000,1.911472,21219900
2015-04-01,1.990000,2.240000,1.850000,1.880000,1.796784,13151800
2015-05-01,1.880000,2.050000,1.700000,1.780000,1.701210,9072000
2015-06-01,1.780000,1.950000,1.620000,1.780000,1.701210,5726600
2015-07-01,1.890000,2.270000,1.820000,1.960000,1.873243,21102000
2015-08-01,1.970000,2.010000,1.580000,1.670000,1.596079,3100100
2015-09-01,1.640000,1.640000,1.280000,1.450000,1.385817,4048100
2015-10-01,1.460000,1.990000,1.390000,1.750000,1.672538,6694600
2015-11-01,1.750000,1.820000,1.320000,1.360000,1.299801,9545200
2015-12-01,1.350000,1.350000,1.110000,1.270000,1.213785,4063000
2016-01-01,1.270000,1.280000,1.040000,1.250000,1.194670,3187100
2016-02-01,1.270000,1.450000,1.140000,1.160000,1.108654,4637200
2016-03-01,1.230000,1.730000,1.190000,1.560000,1.490948,12522100
2016-04-01,1.540000,1.600000,1.360000,1.480000,1.414489,7974900
2016-05-01,1.510000,1.510000,1.100000,1.120000,1.070424,2975900
2016-06-01,1.110000,1.250000,1.040000,1.080000,1.032195,10166200
2016-07-01,1.110000,2.030000,1.070000,1.840000,1.758554,17816300
2016-08-01,1.820000,2.040000,1.550000,1.720000,1.643866,18553300
2016-09-01,1.720000,1.790000,1.470000,1.600000,1.529178,19585200
2016-10-01,1.620000,1.880000,1.610000,1.740000,1.662981,15474300
2016-11-01,1.740000,1.740000,1.410000,1.490000,1.424047,9581200
2016-12-01,1.520000,1.540000,1.300000,1.410000,1.347588,6583100
2017-01-01,1.420000,2.640000,1.400000,2.060000,1.968816,29455600
2017-02-01,2.140000,3.100000,2.000000,2.540000,2.427570,34454400
2017-03-01,2.610000,2.880000,2.270000,2.470000,2.360668,23662000
2017-04-01,2.470000,2.540000,2.100000,2.420000,2.312881,15815700
2017-05-01,2.420000,2.700000,2.070000,2.170000,2.073947,22116300
2017-06-01,2.200000,2.200000,1.880000,1.890000,1.806341,14271000
2017-07-01,1.910000,1.950000,1.740000,1.830000,1.748997,24336700
2017-08-01,1.830000,2.040000,1.770000,1.960000,1.873243,30718900
2017-09-01,1.980000,2.470000,1.940000,2.340000,2.236422,45855500
2017-10-01,2.370000,2.430000,2.070000,2.210000,2.112177,12064700
