Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,0.450770,0.450770,0.419560,0.437980,0.397183,123793
2003-02-01,0.437470,0.466120,0.424680,0.460500,0.417605,76555
2003-03-01,0.460500,0.588410,0.460500,0.588410,0.533601,56875
2003-04-01,0.613990,0.706090,0.465610,0.695860,0.631042,14365
2003-05-01,0.695860,0.695860,0.465610,0.606320,0.549843,13074
2003-06-01,0.606320,0.701490,0.465610,0.465610,0.422239,82145
2003-07-01,0.665160,0.681020,0.465610,0.665160,0.603202,19034
2003-08-01,0.665670,0.870340,0.465610,0.752140,0.682080,19153
2003-09-01,0.847310,1.074490,0.465610,1.074490,0.974403,16613
2003-10-01,1.069370,1.069370,0.752140,0.987510,0.895525,8366
2003-11-01,0.997740,1.228500,0.997740,1.227990,1.113605,20071
2003-12-01,1.212640,1.432650,1.212640,1.432650,1.299201,24372
2004-01-01,1.432650,1.458240,1.074490,1.074490,0.974403,7995
2004-02-01,1.127700,1.279150,1.125660,1.227990,1.113605,5512
2004-03-01,1.227990,1.376370,1.227990,1.376370,1.248164,3989
2004-04-01,1.412190,1.509400,1.305250,1.358970,1.232385,452
2004-05-01,1.358970,1.483820,1.356420,1.356420,1.230072,17923
2004-06-01,1.439820,1.458240,1.356420,1.432650,1.299201,3796
2004-07-01,1.432650,1.586150,1.407070,1.486380,1.347927,4518
2004-08-01,1.496610,1.790820,1.409630,1.790820,1.624009,2367
2004-09-01,1.795930,2.046650,1.785700,1.970410,1.786870,3385
2004-10-01,1.995480,2.405320,1.790820,2.405320,2.181269,7196
2004-11-01,2.364390,2.532730,2.302480,2.494350,2.262006,24041
2004-12-01,2.310150,2.532730,2.302480,2.532730,2.296811,10516
2005-01-01,2.303500,2.507140,2.046650,2.302480,2.088009,2619
2005-02-01,2.302480,3.069970,2.302480,3.069460,2.783546,16066
2005-03-01,2.814140,3.172300,2.814140,2.865310,2.598412,3287
2005-04-01,3.121140,3.172300,2.814140,3.069460,2.783546,3617
2005-05-01,2.814140,3.095550,2.814140,3.095550,2.807206,3032
2005-06-01,3.146720,3.172300,2.816700,2.816700,2.554330,2367
2005-07-01,2.814140,2.942060,2.558310,2.814140,2.552009,9851
2005-08-01,2.814140,3.069970,2.558820,3.069970,2.784009,6938
2005-09-01,2.865310,3.069970,2.719480,3.069970,2.784009,12490
2005-10-01,3.172300,3.325800,2.916470,3.223470,2.923210,14855
2005-11-01,3.223470,3.939800,2.865310,3.939800,3.572815,3655
2005-12-01,3.990960,4.323540,3.632800,4.323540,3.920811,14170
2006-01-01,4.323030,5.116620,3.632800,4.906330,4.449316,13606
2006-02-01,4.860280,5.730610,3.632800,5.628280,5.104018,7098
2006-03-01,5.372450,5.510600,4.609050,4.963120,4.500814,30315
2006-04-01,4.963120,5.372450,4.707290,5.218950,4.732815,21108
2006-05-01,5.218950,5.623160,4.860790,5.192860,4.709157,418999
2006-06-01,5.167780,5.167780,4.604960,4.604960,4.176017,158283
2006-07-01,4.911950,5.116620,4.707290,5.116620,4.640018,15447
2006-08-01,5.039870,5.372450,4.604960,4.858230,4.405696,71690
2006-09-01,4.714450,4.714450,4.195630,4.246790,3.851209,85870
2006-10-01,4.195630,4.911950,4.195630,4.911950,4.454412,157
2006-11-01,4.963120,5.252210,4.661240,5.218440,4.732353,1965
2006-12-01,5.270120,5.822200,5.167780,5.474780,4.964816,2813
2007-01-01,5.474780,5.935280,5.270120,5.935280,5.382421,2596
2007-02-01,5.909690,6.293440,5.832950,6.037610,5.475219,32882
2007-03-01,5.986440,6.344610,5.116620,6.344610,5.753624,4415
2007-04-01,5.935280,6.641370,5.935280,6.421360,5.823224,696
2007-05-01,6.421360,7.255370,6.242270,7.214430,6.542421,1332
2007-06-01,7.214430,7.260480,7.014880,7.014880,6.361459,2909
2007-07-01,7.470260,8.954080,6.446940,8.441910,7.655563,1386
2007-08-01,8.544750,8.544750,7.112100,7.572600,6.867229,169802
2007-09-01,7.669810,8.258220,7.214430,8.237760,7.470430,1988620
2007-10-01,8.365670,9.209910,8.365670,9.148510,8.296346,6320581
2007-11-01,9.158750,9.261080,8.186590,8.954080,8.120025,5257963
2007-12-01,9.005250,9.005250,7.777260,8.570340,7.772033,11642453
2008-01-01,8.570340,8.698250,5.884110,7.316760,6.654596,14001237
2008-02-01,7.316760,8.150770,6.661840,7.777260,7.073421,1230111
2008-03-01,7.782380,8.186590,6.907440,7.060930,6.421918,9072986
2008-04-01,7.066050,7.342350,6.139940,6.498110,5.941917,3048496
2008-05-01,6.498110,8.033090,6.395770,6.656720,6.086953,4391963
2008-06-01,6.574860,6.723240,5.423620,5.423620,4.959398,1192780
2008-07-01,5.423620,6.139940,4.988700,6.139940,5.614405,2769991
2008-08-01,5.679450,6.651600,5.372450,5.525950,5.052969,764568
2008-09-01,5.372450,5.628280,4.604960,4.963120,4.538311,8985427
2008-10-01,5.065450,5.116620,3.837460,4.323540,3.953476,5521030
2008-11-01,4.323540,4.604960,4.093300,4.349130,3.976875,1549462
2008-12-01,4.344010,4.344010,2.507140,2.716920,2.484371,109543044
2009-01-01,2.716920,2.896010,2.532730,2.762970,2.526480,6176345
2009-02-01,2.752740,2.752740,2.455980,2.542960,2.325301,4850663
2009-03-01,2.507140,3.064850,2.430390,2.911360,2.662169,2594289
2009-04-01,2.916470,3.837460,2.819260,3.786300,3.482782,2888234
2009-05-01,3.786300,4.246790,3.658380,3.939800,3.623978,2635334
2009-06-01,4.037010,4.195630,3.760710,4.042130,3.718105,3696975
2009-07-01,4.093300,4.604960,3.837460,4.604960,4.235816,1165614
2009-08-01,4.717520,5.305930,4.651010,4.988700,4.588795,1901453
2009-09-01,4.886370,5.116620,4.758460,4.968240,4.569975,2898595
2009-10-01,5.009170,5.423620,4.681710,4.922190,4.527617,4693532
2009-11-01,4.922190,5.935280,4.681710,5.930160,5.454787,6056540
2009-12-01,5.935280,6.344610,5.935280,6.242270,5.741876,5694385
2010-01-01,6.549270,6.651600,5.730610,5.894340,5.421838,4591509
2010-02-01,5.894340,6.124590,5.321280,5.577110,5.130037,3881469
