Date,Open,High,Low,Close,Adj Close,Volume
2008-04-01,14.000000,14.000000,12.366700,13.183300,11.453681,1723414
2008-05-01,13.183300,15.866700,13.183300,15.493300,13.460616,920441
2008-06-01,15.166700,15.750000,12.856700,13.300000,11.555071,296528
2008-07-01,13.416700,13.416700,9.893330,10.780000,9.365689,239787
2008-08-01,10.896700,11.643300,8.633330,10.523300,9.142667,139457
2008-09-01,10.500000,12.810000,7.723330,9.450000,8.210182,62869
2008-10-01,8.750000,9.356670,7.000000,9.310000,8.088551,550629
2008-11-01,8.540000,9.333330,4.666670,7.000000,6.081616,60899
2008-12-01,8.120000,9.076670,5.950000,8.166670,7.095222,955070
2009-01-01,8.166670,9.333330,7.233330,8.003330,6.953312,34672
2009-02-01,7.956670,7.980000,6.300000,7.000000,6.081616,91284
2009-03-01,7.420000,7.606670,6.790000,6.930000,6.020800,17533
2009-04-01,7.000000,7.933330,6.883330,7.770000,6.750594,104056
2009-05-01,7.770000,8.400000,7.280000,7.443330,6.466783,524827
2009-06-01,7.466670,7.933330,6.790000,7.350000,6.606218,818616
2009-07-01,7.420000,9.893330,7.233330,9.310000,8.367877,310414
2009-08-01,9.310000,10.220000,9.076670,9.403330,8.451761,215227
2009-09-01,9.333330,9.963330,9.216670,9.426670,8.472737,98057
2009-10-01,9.333330,9.870000,9.123330,9.566670,8.598571,145415
2009-11-01,9.566670,13.766700,9.473330,13.253300,11.912133,338272
2009-12-01,13.300000,15.610000,13.183300,15.283300,13.841889,231044
2010-01-01,15.166700,15.610000,14.070000,14.466700,13.102305,160798
2010-02-01,14.350000,15.866700,13.650000,14.350000,12.996614,85075
2010-03-01,14.700000,17.126699,14.700000,16.566700,15.004251,186343
2010-04-01,16.123301,17.873301,15.236700,16.799999,15.215544,88500
2010-05-01,16.100000,16.986700,14.000000,16.333300,14.792863,185958
2010-06-01,16.333300,18.036699,15.166700,17.593300,15.989377,1120543
2010-07-01,17.966700,24.266701,16.916700,23.333300,21.206079,206615
2010-08-01,23.333300,26.833300,19.833300,26.296700,23.899315,152158
2010-09-01,26.600000,31.616699,25.666700,31.196699,28.506321,218230
2010-10-01,31.500000,34.976700,30.940001,32.643299,29.828167,1117930
2010-11-01,32.900002,34.766701,32.130001,33.483299,30.595730,690686
2010-12-01,33.599998,39.900002,33.250000,39.900002,36.459061,2031174
2011-01-01,39.689999,41.533298,36.166698,39.433300,36.032608,896486
2011-02-01,38.500000,39.340000,33.250000,38.500000,35.179794,546561
2011-03-01,38.500000,39.853298,36.983299,39.643299,36.224495,1813608
2011-04-01,39.596699,44.099998,37.356701,43.493301,39.742477,532715
2011-05-01,43.750000,49.700001,41.369999,49.490002,45.222027,1912863
2011-06-01,49.466702,51.076698,46.200001,46.666698,42.642200,1147886
2011-07-01,46.736698,48.976700,43.633301,48.976700,44.752995,2017371
2011-08-01,48.883301,54.973301,41.066700,53.060001,48.484146,1626901
2011-09-01,52.966702,57.143299,46.666698,48.650002,44.454468,1300801
2011-10-01,47.483299,65.333298,44.333302,65.333298,59.699005,947956
2011-11-01,63.000000,68.599998,57.610001,68.599998,62.683994,1241614
2011-12-01,68.833298,69.743301,61.599998,63.700001,58.206562,1942973
2012-01-01,63.093300,68.133301,60.876701,66.686699,60.935699,1721658
2012-02-01,67.339996,82.973297,65.496696,81.199997,74.402390,1332643
2012-03-01,82.343300,89.599998,79.613297,87.966698,80.602623,1822114
2012-04-01,88.620003,89.133301,79.566704,85.843300,78.656982,989872
2012-05-01,85.843300,87.826698,71.050003,81.059998,74.274109,1219598
2012-06-01,80.010002,83.650002,68.250000,71.959999,65.935913,1119644
2012-07-01,71.959999,78.959999,69.790001,74.900002,68.629791,1872272
2012-08-01,75.599998,76.230003,59.009998,60.270000,55.224537,3583499
2012-09-01,60.270000,65.940002,55.299999,64.050003,58.688095,3431212
2012-10-01,64.120003,70.000000,57.540001,60.619999,55.545235,2741457
2012-11-01,60.689999,62.790001,55.509998,61.599998,56.443188,2143258
2012-12-01,60.689999,68.599998,59.220001,66.639999,61.061279,1882658
2013-01-01,66.639999,68.389999,57.610001,60.200001,55.160397,2561443
2013-02-01,60.480000,75.879997,60.130001,71.120003,65.166237,2457513
2013-03-01,70.839996,71.750000,61.250000,65.589996,60.099171,1616342
2013-04-01,65.169998,67.900002,61.810001,62.650002,57.457119,1250057
2013-05-01,62.650002,69.860001,59.639999,60.410000,55.402782,1330188
2013-06-01,60.060001,61.040001,54.320000,56.630001,51.936100,1534602
2013-07-01,56.840000,57.610001,41.650002,42.840000,39.289112,3083226
2013-08-01,42.980000,50.959999,41.369999,42.419998,38.903923,2097773
2013-09-01,42.980000,51.099998,42.560001,46.759998,42.884190,1078041
2013-10-01,46.759998,48.230000,43.049999,46.619999,42.755798,548656
2013-11-01,46.549999,46.970001,40.040001,43.049999,39.481709,787516
2013-12-01,42.630001,44.240002,38.150002,42.000000,38.518738,1924558
2014-01-01,42.000000,42.000000,33.389999,36.750000,33.703892,751943
2014-02-01,36.680000,44.799999,36.680000,43.750000,40.123684,818773
2014-03-01,43.750000,45.150002,40.320000,42.560001,39.032322,400944
2014-04-01,42.419998,49.349998,40.110001,43.330002,39.738495,535987
2014-05-01,43.330002,51.799999,42.209999,49.349998,45.259510,761500
2014-06-01,49.209999,49.349998,42.980000,47.880001,43.911358,459457
2014-07-01,47.880001,51.029999,43.540001,50.049999,45.901493,638686
2014-08-01,49.770000,65.099998,48.720001,63.700001,58.420082,392288
2014-09-01,64.260002,65.099998,54.180000,57.330002,52.578075,833814
2014-10-01,57.330002,64.540001,51.869999,59.639999,54.696606,1670183
2014-11-01,59.500000,72.029999,57.610001,64.330002,59.212940,1158757
2014-12-01,62.020000,62.790001,49.770000,53.060001,48.999901,1146425
2015-01-01,53.060001,53.759998,46.340000,52.080002,48.094894,401985
2015-02-01,52.080002,52.080002,47.320000,50.750000,46.866661,313269
2015-03-01,50.610001,50.889999,43.119999,46.480000,42.923397,489157
2015-04-01,47.320000,62.299999,46.970001,62.299999,57.532867,422113
2015-05-01,62.299999,64.470001,57.400002,59.150002,54.623901,952030
2015-06-01,58.799999,59.639999,7.900000,7.950000,7.341674,387627
2015-07-01,45.779999,45.849998,5.310000,5.420000,5.005267,1543717
2015-08-01,37.450001,38.290001,5.030000,5.030000,4.645110,373385
2015-09-01,28.770000,29.330000,3.200000,3.200000,2.955139,876028
2015-10-01,22.959999,24.290001,2.920000,3.040000,2.807382,1606929
2015-11-01,21.280001,22.400000,13.230000,14.210000,13.122665,666442
2015-12-01,14.700000,19.040001,10.850000,12.950000,11.959079,970901
2016-01-01,12.950000,18.200001,11.970000,16.520000,15.255907,3087916
2016-02-01,17.290001,68.250000,15.610000,49.000000,45.250568,3911199
2016-03-01,49.000000,49.840000,31.219999,31.780001,29.348227,223414
2016-04-01,31.639999,34.860001,26.530001,29.469999,27.214985,96842
2016-05-01,29.049999,34.650002,23.590000,27.299999,25.211031,100172
2016-06-01,26.950001,42.000000,21.000000,22.190001,20.492044,535198
2016-07-01,22.750000,34.720001,21.280001,28.420000,26.245331,477242
2016-08-01,28.700001,31.500000,26.250000,27.790001,25.663538,218458
2016-09-01,28.700001,28.700001,24.430000,26.320000,24.306021,286470
2016-10-01,26.320000,29.400000,25.900000,27.230000,25.146387,536214
2016-11-01,27.230000,28.700001,24.570000,24.780001,22.883860,91300
2016-12-01,24.920000,24.920000,21.980000,22.120001,20.427401,65985
2017-01-01,22.120001,31.150000,22.120001,28.350000,26.180687,99674
2017-02-01,29.049999,37.730000,26.389999,32.689999,30.188595,183128
