Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,7215.560059,7215.560059,7215.560059,7215.560059,2384.891846,0
2003-02-01,7215.560059,7215.560059,7215.560059,7215.560059,2384.891846,0
2003-03-01,7215.560059,7215.560059,7215.560059,7215.560059,2384.891846,0
2003-04-01,7215.560059,7215.560059,7215.560059,7215.560059,2384.891846,0
2003-05-01,7215.560059,8844.879883,7215.560059,8844.879883,2923.415527,0
2003-06-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-07-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-08-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-09-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-10-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-11-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2003-12-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-01-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-02-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-03-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-04-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-05-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-06-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-07-01,8844.879883,8844.879883,8844.879883,8844.879883,2923.415527,0
2004-08-01,8844.879883,9310.400391,8844.879883,9310.400391,3077.279297,0
2004-09-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2004-10-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2004-11-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2004-12-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2005-01-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2005-02-01,9310.400391,9310.400391,9310.400391,9310.400391,3077.279297,0
2005-03-01,9310.400391,14431.099609,9310.400391,14431.099609,4769.776367,0
2005-04-01,14431.099609,14431.099609,14431.099609,14431.099609,4769.776367,430
2005-05-01,14431.099609,14431.099609,14431.099609,14431.099609,4769.776367,0
2005-06-01,14431.099609,14431.099609,354.200012,354.200012,117.070419,54348
2005-07-01,1.272730,1.520330,1.256200,1.520330,0.502500,589300250
2005-08-01,1.521320,1.719010,1.521320,1.652890,0.546314,351868000
2005-09-01,1.649590,1.818180,0.363640,1.818180,0.600946,260074375
2005-10-01,1.950410,1.983470,0.402910,1.983470,0.655578,356950000
2005-11-01,1.994050,2.677690,0.438690,2.446280,0.808546,514537375
2005-12-01,2.479340,2.726910,2.314050,2.726910,0.901300,464927375
2006-01-01,2.479340,3.173550,0.665380,3.107440,1.027074,433376625
2006-02-01,3.107440,3.867770,0.852000,0.852000,0.281604,336107750
2006-03-01,3.900830,3.966940,3.421490,3.900830,1.289305,391692125
2006-04-01,3.957020,4.099170,0.828950,3.950410,1.305693,252179125
2006-05-01,4.198350,4.297520,3.404960,3.900830,1.289305,8747440628
2006-06-01,3.960330,4.132230,0.698180,3.849590,1.272369,8920911012
2006-07-01,4.264460,4.264460,3.553720,4.165290,1.376715,5805004768
2006-08-01,3.867770,4.337190,3.867770,4.217850,1.394087,7438356303
2006-09-01,4.299170,4.654550,3.933880,4.165290,1.376715,1192761585
2006-10-01,4.264460,4.936360,4.115700,4.428100,1.463579,52947785
2006-11-01,4.454550,4.940500,4.231400,4.682640,1.547710,51061395
2006-12-01,4.743800,5.581820,4.590080,5.581820,1.844907,46027190
2007-01-01,5.581820,6.001820,4.801650,4.917360,1.625290,93053840
2007-02-01,4.976860,5.345450,4.479340,4.940500,1.632938,112981935
2007-03-01,4.793390,4.872730,4.294210,4.413220,1.458661,132576675
2007-04-01,4.421490,5.400000,4.343800,4.752070,1.570658,119627255
2007-05-01,5.227270,5.553720,4.766940,5.452890,1.802293,121265595
2007-06-01,5.322310,6.033060,4.877690,6.000000,1.983124,106458220
2007-07-01,5.923970,6.669420,5.492560,5.851240,1.933956,95171945
2007-08-01,5.823140,6.165290,4.300830,5.591740,1.848186,153038985
2007-09-01,5.614880,6.264460,5.127270,6.066120,2.004978,91489310
