Date,Open,High,Low,Close,Adj Close,Volume
2011-05-01,2.012500,2.086250,1.897500,2.000000,0.769450,157596520
2011-06-01,1.983750,2.220000,1.972500,2.031250,0.781472,74010400
2011-07-01,2.036250,2.112500,1.705000,1.718750,0.661246,73316648
2011-08-01,1.750000,1.781250,1.303750,1.606250,0.617964,84699200
2011-09-01,1.718750,1.897500,1.437500,1.467500,0.564584,106186400
2011-10-01,1.456250,1.681250,1.382500,1.675000,0.644414,90107200
2011-11-01,1.605000,1.687500,1.202500,1.362500,0.524188,127767200
2011-12-01,1.450000,1.507500,1.115000,1.192500,0.458784,118358400
2012-01-01,1.186250,1.310000,1.118750,1.252500,0.481868,107076800
2012-02-01,1.270000,1.507500,1.193750,1.481250,0.569873,195930400
2012-03-01,1.475000,1.607500,1.390000,1.495000,0.575164,133703200
2012-04-01,1.515000,1.601250,1.363750,1.422500,0.547271,70012000
2012-05-01,1.422500,1.571250,1.070000,1.166250,0.448685,88452800
2012-06-01,1.142500,1.281250,1.091250,1.175000,0.456823,48474400
2012-07-01,1.181250,1.297500,1.107500,1.281250,0.498131,40846400
2012-08-01,1.280000,1.468750,1.251250,1.412500,0.549159,72217600
2012-09-01,1.412500,1.656250,1.357500,1.530000,0.594842,76357600
2012-10-01,1.517500,1.640000,1.375000,1.413750,0.549645,59540000
2012-11-01,1.410000,1.476250,1.288750,1.406250,0.546729,57180000
2012-12-01,1.425000,1.567500,1.365000,1.518750,0.590468,63724000
2013-01-01,1.518750,1.710000,1.418750,1.500000,0.583178,131400800
2013-02-01,1.500000,1.606250,1.237500,1.267500,0.492785,124209600
2013-03-01,1.250000,1.252500,1.096250,1.112500,0.432524,95705600
2013-04-01,1.145000,1.187500,0.871250,0.895000,0.347963,111412000
2013-05-01,0.895000,1.172500,0.883750,1.018750,0.396075,138378400
2013-06-01,1.027500,1.080000,0.672500,0.672500,0.261458,145292000
2013-07-01,0.718750,0.778750,0.581250,0.638750,0.248337,211227200
2013-08-01,0.640000,0.866250,0.615000,0.717500,0.278953,253042400
2013-09-01,0.722500,0.981250,0.722500,0.943750,0.366916,132573600
2013-10-01,0.951250,1.228750,0.910000,1.187500,0.461683,143140800
2013-11-01,1.193750,1.286250,1.017500,1.050000,0.408225,123684000
2013-12-01,1.050000,1.061250,0.890000,0.943750,0.366916,135455200
2014-01-01,0.943750,1.106250,0.868750,0.993750,0.386355,133624800
2014-02-01,0.977500,1.036250,0.876250,0.880000,0.342131,175345600
2014-03-01,0.880000,0.897500,0.737500,0.810000,0.339746,184706400
2014-04-01,0.812500,0.955000,0.793750,0.950000,0.398467,118448000
2014-05-01,0.950000,1.127500,0.950000,1.017500,0.486081,195108000
2014-06-01,1.020000,1.191250,0.950000,1.148750,0.548782,184330400
2014-07-01,1.150000,1.225000,1.061250,1.118750,0.534450,145014400
2014-08-01,1.118750,1.143750,1.048750,1.125000,0.537436,109794400
2014-09-01,1.123750,1.171250,0.896250,0.947500,0.452640,151593600
2014-10-01,0.943750,1.081250,0.800000,1.031250,0.492649,137629600
2014-11-01,1.050000,1.098750,0.956250,0.993750,0.474735,93589600
2014-12-01,0.998750,1.023750,0.882500,0.963750,0.460403,105111064
2015-01-01,0.963750,0.975000,0.803750,0.850000,0.406063,60082400
2015-02-01,0.835000,0.865000,0.715000,0.756250,0.395125,92653600
2015-03-01,0.756250,0.773750,0.606250,0.636250,0.332427,137610400
2015-04-01,0.636250,0.711250,0.616250,0.628750,0.328509,107650400
