Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,8.468980,9.389090,8.419510,8.924080,8.350539,8293289
2017-06-01,9.082380,10.536700,8.924080,9.893660,9.257805,20422670
2017-07-01,9.933240,9.933240,9.102170,9.804620,9.174485,16240496
2017-08-01,9.765050,10.734600,8.597590,9.389090,8.785663,43676745
2017-09-01,9.438550,9.804620,8.221630,8.290890,7.758043,24348109
2017-10-01,8.330460,8.696530,7.766530,8.112800,7.591399,35741868
2017-11-01,8.211740,8.251310,6.727690,6.846410,6.406399,23985759
2017-12-01,6.866200,7.261950,6.262690,6.975030,6.526752,23334332
2018-01-01,6.975030,8.409610,6.935460,7.350000,6.877622,24170317
2018-02-01,8.162270,8.290890,7.469720,7.538970,7.119688,13152762
2018-03-01,7.628010,7.994080,6.727690,7.133330,6.736607,16295581
2018-04-01,7.083860,8.538230,6.975030,7.964400,7.521457,13983191
2018-05-01,7.964400,8.666850,6.777160,6.846410,6.488024,22173992
2018-06-01,6.925560,7.469720,5.322790,5.342580,5.062914,24930506
2018-07-01,5.332680,6.282480,4.897360,5.748220,5.447321,16642974
2018-08-01,5.777900,6.717800,5.550340,5.955990,5.679241,21418051
2018-09-01,5.955990,6.322050,5.461300,5.797690,5.528296,11960485
2018-10-01,5.807580,7.855570,5.748220,7.806100,7.443384,17536176
2018-11-01,7.855570,8.182060,7.529080,7.914930,7.647548,17868305
2018-12-01,7.964400,8.597590,6.915670,8.508550,8.221113,20351006
2019-01-01,8.508550,10.170700,8.429400,9.814510,9.659177,21141714
