Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,0.461850,0.577310,0.461850,0.577310,0.425471,652
2003-02-01,0.577310,0.584680,0.577310,0.577310,0.425471,212
2003-03-01,0.577310,0.577310,0.574850,0.574850,0.423658,57
2003-04-01,0.466760,0.565030,0.466760,0.565030,0.416421,268
2003-05-01,0.565030,0.577310,0.565030,0.577310,0.425471,147
2003-06-01,0.577310,0.577310,0.577310,0.577310,0.425471,0
2003-07-01,0.577310,0.577310,0.518350,0.528180,0.389263,333
2003-08-01,0.528180,0.636270,0.493780,0.636270,0.468924,943
2003-09-01,0.660830,1.299560,0.660830,0.980200,0.722396,8989
2003-10-01,1.029330,1.604180,0.955630,1.569790,1.156917,1930
2003-11-01,1.417480,1.618920,1.348690,1.594350,1.175017,512
2003-12-01,1.594350,1.643490,1.496090,1.496090,1.102601,105
2004-01-01,1.496090,2.206050,1.496090,1.876870,1.383232,1766
2004-02-01,1.876870,1.876870,1.876870,1.876870,1.383232,0
2004-03-01,1.876870,1.876870,1.594350,1.594350,1.175017,24
2004-04-01,1.594350,1.594350,1.545220,1.545220,1.138809,1710
2004-05-01,1.545220,1.569790,1.545220,1.545220,1.138809,1010
2004-06-01,1.545220,1.594350,1.545220,1.594350,1.175017,16
2004-07-01,1.717180,2.083220,1.717180,2.083220,1.535309,1017
2004-08-01,2.083220,2.697380,2.083220,2.451720,1.806889,504
2004-09-01,2.451720,3.333650,2.427150,3.065880,2.259519,585
2004-10-01,3.065880,3.065880,3.065880,3.065880,2.259519,0
2004-11-01,3.065880,3.812690,3.065880,3.812690,2.809908,89
2004-12-01,3.812690,6.374960,3.812690,6.006460,4.426691,333
2005-01-01,6.006460,6.006460,5.711670,5.711670,4.209434,41
2005-02-01,5.711670,5.711670,5.419330,5.517590,4.066399,129
2005-03-01,5.517590,6.743450,5.517590,6.743450,4.969844,359
2005-04-01,6.743450,6.878570,6.620620,6.878570,5.069427,611
2005-05-01,6.878570,6.878570,4.913260,5.404590,3.983120,2240
2005-06-01,5.404590,5.895910,5.404590,5.404590,3.983120,0
2005-07-01,5.404590,6.873650,5.404590,5.699380,4.200377,2240
2005-08-01,5.208060,5.699380,4.913260,4.913260,3.621016,1426
2005-09-01,4.913260,6.387240,4.913260,5.011530,3.693439,4682
2005-10-01,4.913260,5.895910,4.913260,5.650250,4.164169,6513
2005-11-01,5.601120,5.650250,4.913260,5.011530,3.693439,13026
2005-12-01,5.060660,6.377410,5.011530,5.846780,4.309009,2443
2006-01-01,4.913260,8.352540,4.913260,5.895910,4.345218,2239
2006-02-01,6.878570,8.647340,5.404590,6.092440,4.490057,1629
2006-03-01,4.913260,7.364980,4.913260,6.190710,4.562481,814
2006-04-01,6.190710,7.340410,6.190710,7.124230,5.250475,1222
2006-05-01,6.706600,8.106880,6.387240,6.878570,5.069427,113380
2006-06-01,6.878570,6.878570,6.632900,6.878570,5.069427,6106
2006-07-01,6.878570,8.362370,6.632900,7.325670,5.398933,351508
2006-08-01,7.325670,7.910350,6.632900,6.632900,4.888371,335688
2006-09-01,6.632900,6.903130,6.632900,6.667300,4.913723,2442
2006-10-01,6.667300,6.682040,6.632900,6.632900,4.888371,1425
2006-11-01,6.632900,6.642730,6.274230,6.632900,4.888371,19745
2006-12-01,6.632900,7.861220,6.632900,6.682040,4.924586,9769
2007-01-01,6.682040,8.106880,6.195620,7.861220,5.793628,2240
2007-02-01,8.347630,11.786900,7.959480,8.893000,6.554039,63503
2007-03-01,9.089530,11.153100,8.893000,10.072200,7.423095,9973
2007-04-01,10.563500,12.774500,8.893000,8.893000,6.554039,32161
2007-05-01,8.893000,13.265800,8.893000,13.015200,9.592052,31751
2007-06-01,11.054800,14.739800,11.054800,14.739800,10.863061,69607
2007-07-01,14.494100,16.218700,10.809200,10.809200,7.966255,39486
2007-08-01,10.809200,16.213800,8.893000,16.208900,11.945772,19336
2007-09-01,12.288100,17.196400,12.288100,14.739800,10.863061,49461
2007-10-01,14.253400,18.179100,14.253400,18.179100,13.397787,14250
2007-11-01,18.179100,18.179100,8.893000,16.213800,11.949383,6310
2007-12-01,16.213800,22.158800,16.213800,17.687700,13.035629,35009
2008-01-01,17.687700,21.495501,17.442101,20.635700,15.208271,2649
2008-02-01,18.233101,21.466000,8.893000,18.179100,13.397787,393628
2008-03-01,18.179100,19.063400,16.459400,19.063400,14.049506,1872281
2008-04-01,19.053600,19.358200,14.764300,17.555099,13.793041,1711286
2008-05-01,17.555099,18.719500,15.968100,16.169500,12.704374,3990628
2008-06-01,15.992700,17.442101,14.238600,14.985400,11.774028,4292667
2008-07-01,14.494100,17.540300,11.595300,16.950800,13.318242,3406698
2008-08-01,16.995001,17.049000,13.118400,13.649000,10.724017,1620514
2008-09-01,14.042100,14.042100,8.603120,10.706000,8.411702,3988187
2008-10-01,10.760000,10.760000,4.397370,6.274230,4.929661,4988949
2008-11-01,6.632900,7.419020,4.544770,4.765860,3.744536,2308039
2008-12-01,4.839560,4.839560,4.264710,4.299100,3.377802,3317552
2009-01-01,4.299100,5.006610,4.028870,4.765860,3.744536,13448501
2009-02-01,4.765860,5.689560,4.520200,5.355450,4.207777,7452279
2009-03-01,5.301410,5.827130,4.421940,4.549680,3.574683,7121949
2009-04-01,4.569330,5.719040,4.471070,5.542160,4.354474,7204786
2009-05-01,5.542160,6.863830,5.306320,6.863830,5.392910,7070455
2009-06-01,6.863830,7.433760,6.524810,7.011220,5.508714,4187239
2009-07-01,7.075100,8.951960,6.829430,8.951960,7.033555,4605903
2009-08-01,8.843870,10.303100,8.676820,9.433460,7.411869,2425069
2009-09-01,9.345020,11.619900,8.893000,11.619900,9.129754,4263766
2009-10-01,11.546200,12.258600,10.303100,11.148200,8.759139,4569879
2009-11-01,11.148200,12.602500,10.553700,12.401100,9.743544,8307110
2009-12-01,12.553400,12.632000,11.423300,12.288100,9.654757,8854811
2010-01-01,12.504200,14.852800,12.499300,14.641500,11.503826,14535763
2010-02-01,14.248500,15.815800,13.437800,13.560600,10.654563,6834361
2010-03-01,13.565500,14.803700,13.015200,13.634300,10.712468,12518162
2010-04-01,13.752200,16.705099,13.742400,15.771600,12.781580,6423243
2010-05-01,15.869800,16.223600,13.265800,15.516100,12.574518,6608815
2010-06-01,15.231100,16.803400,14.160000,16.803400,13.617765,3448684
2010-07-01,16.793501,19.151899,16.253099,19.151899,15.521033,4577612
2010-08-01,19.161699,19.653000,17.962900,19.260000,15.608641,4379683
2010-09-01,18.965200,20.832199,17.982500,20.832199,16.882776,5186746
2010-10-01,20.842100,25.696400,20.537399,24.320601,19.709835,5205707
2010-11-01,25.155899,25.647200,23.102100,24.733400,20.044376,5478335
2010-12-01,24.713699,25.057600,21.608500,23.681900,19.192225,6805051
2011-01-01,23.583700,23.731100,19.427000,19.751301,16.006796,7785154
2011-02-01,19.761101,22.099800,18.473900,20.203300,16.373108,6336985
2011-03-01,19.810301,21.647800,18.876801,21.176201,17.161562,5194899
2011-04-01,21.127001,22.355301,20.684799,21.903299,18.331758,5290782
2011-05-01,21.765800,22.836800,20.714300,22.797501,19.080156,6892280
2011-06-01,22.601000,22.748400,20.272100,20.930500,17.517590,4712043
2011-07-01,20.930500,22.011400,18.670401,19.780800,16.555355,6307027
2011-08-01,20.389999,20.389999,15.044400,18.179100,15.214827,7095898
2011-09-01,17.884300,19.997000,17.795799,18.690100,15.642502,6179500
2011-10-01,18.188900,23.868601,16.321800,23.868601,19.976603,12669384
2011-11-01,23.583700,23.780199,20.645500,21.913200,18.340048,5040541
2011-12-01,22.031099,26.128700,22.031099,24.812000,20.766169,10298759
2012-01-01,24.870899,29.066900,24.664600,28.988199,24.261398,9505602
2012-02-01,29.351801,32.889400,27.701000,31.739700,26.564245,8213589
2012-03-01,32.063900,36.358101,31.150101,35.365700,29.598988,11238153
2012-04-01,34.884201,37.065601,32.083599,32.496300,27.936352,10435634
2012-05-01,32.496300,32.879501,22.944901,24.664600,21.291445,14077615
2012-06-01,24.546600,26.531601,21.303900,22.994101,19.849401,14632440
2012-07-01,23.003901,24.448400,19.456499,21.716600,18.746614,11193991
