Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,45.674999,45.849998,45.674999,45.849998,40.873116,6000
2012-01-01,45.849998,45.849998,44.724998,45.000000,40.115391,25600
2012-02-01,45.000000,45.150002,44.842499,45.150002,40.249111,1600
2012-03-01,45.150002,45.150002,45.150002,45.150002,40.249111,0
2012-04-01,45.150002,45.150002,45.150002,45.150002,40.812725,0
2012-05-01,45.150002,45.150002,45.150002,45.150002,40.812725,0
2012-06-01,45.150002,45.150002,45.150002,45.150002,41.457550,0
2012-07-01,45.150002,45.150002,45.150002,45.150002,41.457550,0
2012-08-01,45.150002,45.150002,45.150002,45.150002,41.457550,0
2012-09-01,45.150002,45.150002,45.150002,45.150002,42.135147,0
2012-10-01,45.150002,45.150002,45.150002,45.150002,42.135147,0
2012-11-01,45.150002,51.020000,45.150002,51.020000,47.613182,10000
2012-12-01,51.020000,52.730000,51.020000,51.419998,47.986477,9200
2013-01-01,51.419998,55.500000,51.419998,54.285000,51.529491,26800
2013-02-01,54.125000,54.345001,53.740002,54.345001,51.586441,10816
2013-03-01,54.345001,60.700001,53.910000,60.450001,57.820930,10000
2013-04-01,60.450001,61.505001,59.480000,60.845001,58.198750,12600
2013-05-01,60.845001,66.769997,60.845001,66.695000,63.794334,16600
2013-06-01,66.695000,67.855003,66.695000,67.324997,64.850639,10400
2013-07-01,71.500000,72.434998,70.125000,71.699997,69.064850,25000
2013-08-01,71.699997,79.379997,71.699997,79.379997,76.462593,7000
2013-09-01,79.379997,79.379997,75.230003,77.175003,74.775826,139600
2013-10-01,76.550003,76.550003,76.550003,76.550003,74.170250,0
2013-11-01,76.550003,92.070000,76.550003,93.010002,90.118546,10000
2013-12-01,92.070000,94.364998,89.769997,91.540001,88.694244,7200
2014-01-01,92.745003,93.080002,86.500000,88.830002,86.598648,14000
2014-02-01,88.175003,91.845001,87.220001,92.500000,90.176460,6800
2014-03-01,91.845001,93.735001,89.370003,88.235001,86.519020,3200
2014-04-01,89.370003,89.370003,81.945000,82.724998,81.116180,4200
2014-05-01,82.139999,82.139999,80.500000,82.120003,80.522949,4200
2014-06-01,82.000000,88.080002,82.000000,83.879997,82.784187,3600
2014-07-01,82.785004,82.785004,82.785004,82.785004,81.703506,0
2014-08-01,87.250000,90.370003,87.250000,90.184998,89.006813,14600
2014-09-01,90.184998,110.584999,90.184998,109.875000,109.581573,138800
2014-10-01,110.224998,117.324997,105.925003,111.949997,111.651031,26400
2014-11-01,117.574997,133.000000,116.675003,123.235001,122.905899,22800
2014-12-01,133.000000,135.000000,124.775002,128.625000,128.281509,388310
2015-01-01,128.625000,257.000000,121.565002,126.724998,126.386574,74200
2015-02-01,125.300003,136.699997,124.279999,136.699997,136.334930,19800
2015-03-01,136.699997,165.250000,136.699997,165.250000,164.808701,30400
2015-04-01,156.554993,158.350006,147.800003,147.800003,147.405304,12200
2015-05-01,147.800003,158.100006,147.800003,158.100006,157.677795,5800
2015-06-01,162.664993,170.774994,159.274994,170.774994,170.318939,8000
2015-07-01,170.774994,396.160004,170.774994,383.309998,382.286346,13700
2015-08-01,198.389999,409.000000,189.149994,379.600006,378.586273,18700
2015-09-01,201.580002,247.899994,201.580002,245.205002,244.550171,98800
2015-10-01,245.205002,507.019989,232.330002,507.019989,505.665985,27100
2015-11-01,253.509995,258.420013,234.949997,256.410004,255.725250,34600
2015-12-01,255.410004,261.265015,244.539993,244.539993,243.886948,7300
2016-01-01,244.539993,253.250000,234.800003,247.199997,246.539841,84300
2016-02-01,250.509995,251.339996,224.649994,247.300003,246.639587,47700
2016-03-01,247.300003,247.300003,212.000000,227.000000,226.393784,66300
2016-04-01,220.500000,220.770004,202.470001,209.350006,208.790924,21800
2016-05-01,208.000000,208.199997,196.949997,199.710007,199.176682,62000
2016-06-01,195.000000,195.000000,174.809998,185.750000,185.253952,126100
2016-07-01,174.809998,188.320007,174.809998,188.320007,187.817093,3800
2016-08-01,188.320007,188.320007,176.690002,176.690002,176.218140,200
2016-09-01,176.690002,179.080002,176.690002,179.080002,178.601761,400
2016-10-01,179.080002,179.080002,163.300003,163.300003,162.863907,400
2016-11-01,163.300003,172.160004,163.300003,172.160004,171.700241,200
2016-12-01,172.160004,172.160004,172.160004,172.160004,171.700241,0
2017-01-01,172.160004,172.160004,172.160004,172.160004,171.700241,0
2017-02-01,172.160004,175.199997,172.160004,175.199997,174.732117,900
2017-03-01,175.199997,175.199997,175.199997,175.199997,174.732117,0
2017-04-01,174.699997,176.000000,172.119995,174.410004,173.944244,7900
2017-05-01,174.410004,174.410004,170.860001,173.080002,172.617783,1200
2017-06-01,173.080002,194.550003,170.490005,194.550003,194.030457,300
2017-07-01,194.550003,194.550003,183.800003,183.800003,183.309158,7200
2017-08-01,184.509995,187.550003,166.029999,166.250000,165.806030,17000
2017-09-01,167.649994,168.800003,161.050003,165.600006,165.157761,8600
2017-10-01,164.000000,181.899994,161.729996,179.350006,178.871048,3500
2017-11-01,179.350006,192.399994,179.350006,190.899994,190.390198,15500
2017-12-01,190.899994,215.899994,190.899994,211.699997,211.134644,2500
2018-01-01,211.699997,219.100006,204.300003,219.100006,218.514893,7100
2018-02-01,219.100006,222.339996,211.000000,222.339996,221.746231,1400
2018-03-01,222.339996,222.509995,213.479996,220.779999,220.190399,7700
2018-04-01,211.149994,241.020004,211.149994,241.020004,240.376358,6800
2018-05-01,241.020004,267.570007,241.020004,267.570007,266.855469,4400
2018-06-01,267.570007,308.700012,267.570007,308.700012,307.875610,6100
2018-07-01,306.790009,306.790009,284.109985,284.299988,283.540771,11500
2018-08-01,291.000000,357.260010,291.000000,340.529999,339.620605,30100
2018-09-01,340.529999,352.510010,331.390015,347.190002,346.262817,12400
2018-10-01,347.190002,347.190002,260.989990,279.829987,279.082703,37900
2018-11-01,279.829987,287.380005,274.309998,286.000000,285.236237,1600
2018-12-01,299.040009,299.040009,265.130005,278.649994,277.905853,9300
2019-01-01,278.649994,305.989990,278.649994,295.739990,294.950195,17900
