Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,12.723500,12.892600,10.009800,10.098700,7.412212,39314371
2007-03-01,10.009800,10.757100,8.274730,9.564880,7.020402,20896514
2007-04-01,9.333540,10.454600,8.853070,10.018700,7.353495,14210635
2007-05-01,10.054200,11.700300,9.760620,11.210900,8.228543,12361365
2007-06-01,11.460100,11.460100,10.285600,10.499100,7.706097,10538280
2007-07-01,10.516900,13.248500,10.419000,11.273200,8.274269,21744049
2007-08-01,11.299900,11.469000,7.740880,9.520390,6.987747,25168583
2007-09-01,9.956370,10.632600,8.541660,10.454600,7.673437,12895221
2007-10-01,10.410100,11.299900,8.719610,10.080900,7.399149,14484419
2007-11-01,9.947470,11.477800,9.796210,10.677100,7.836746,12186600
2007-12-01,10.686000,10.686000,8.417090,10.045400,7.373093,15282838
2008-01-01,9.787320,9.965270,6.566400,7.509540,5.511830,14752247
2008-02-01,7.509540,8.586150,6.539710,8.052290,5.910195,17011290
2008-03-01,8.096780,8.096780,5.881290,7.100250,5.211420,9734465
2008-04-01,7.144740,8.185760,6.690970,8.105680,5.949383,10591780
2008-05-01,8.443790,8.808590,7.482850,8.381500,6.196298,8456700
2008-06-01,8.408190,8.408190,6.762150,7.109150,5.255671,4696341
2008-07-01,6.993480,7.118050,5.943570,6.673170,4.933359,8566732
2008-08-01,6.628680,6.673170,5.738930,5.845700,4.321624,8031303
2008-09-01,5.916880,6.210500,3.817050,4.128470,3.052106,8802415
2008-10-01,4.350910,4.350910,2.268880,2.535800,1.874673,10281131
2008-11-01,2.491320,2.669270,1.824000,2.580290,1.907564,9231181
2008-12-01,2.491320,3.114150,2.197700,3.025170,2.236455,5648403
2009-01-01,3.025170,3.541230,2.589190,2.847220,2.104900,7927341
2009-02-01,2.811630,3.114150,2.295570,2.384550,1.762856,6615746
2009-03-01,2.357850,3.131940,2.233290,3.096350,2.289078,7106554
2009-04-01,2.980680,5.071610,2.980680,4.849170,3.584908,4103597
2009-05-01,4.849170,5.338540,4.359800,4.626730,3.516671,3267413
2009-06-01,4.769090,4.964840,4.342010,4.964840,3.773660,3307759
