Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-02-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-03-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-04-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-05-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-06-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-07-01,0.542260,0.542260,0.542260,0.542260,0.434279,0
2003-08-01,0.542260,2.349790,0.542260,1.183930,0.948173,39833
2003-09-01,1.183930,3.922350,1.084520,1.265270,1.013316,19363
2003-10-01,1.265270,2.711300,1.084520,1.084520,0.868558,0
2003-11-01,1.084520,1.084520,1.084520,1.084520,0.868558,0
2003-12-01,1.084520,2.709490,1.084520,1.355650,1.085698,0
2004-01-01,1.355650,1.355650,1.355650,1.355650,1.085698,0
2004-02-01,1.355650,1.355650,1.355650,1.355650,1.085698,0
2004-03-01,1.355650,2.711300,1.355650,1.355650,1.085698,553
2004-04-01,1.355650,1.355650,1.355650,1.355650,1.085698,0
2004-05-01,1.355650,1.355650,1.355650,1.355650,1.085698,0
2004-06-01,1.355650,4.157330,1.348420,1.373730,1.100178,30427
2004-07-01,1.373730,1.626780,1.373730,1.626780,1.302838,6639
2004-08-01,2.711300,2.711300,1.807530,1.988290,1.592360,20470
2004-09-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2004-10-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2004-11-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2004-12-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-01-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-02-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-03-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-04-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-05-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-06-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-07-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-08-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-09-01,1.988290,1.988290,1.988290,1.988290,1.592360,0
2005-10-01,1.988290,1.988290,1.807530,1.807530,1.447595,0
2005-11-01,1.807530,1.807530,1.807530,1.807530,1.447595,0
2005-12-01,1.807530,1.988290,1.807530,1.988290,1.592360,0
2006-01-01,1.988290,2.711300,1.988290,2.024440,1.621312,0
2006-02-01,2.024440,3.615070,1.988290,1.988290,1.592360,0
2006-03-01,1.988290,3.615070,1.807530,2.530550,2.026639,0
2006-04-01,3.615070,4.157330,2.259420,3.072810,2.460918,3319
2006-05-01,3.705440,3.705440,3.434310,3.434310,2.750433,0
2006-06-01,3.434310,3.615070,3.434310,3.615070,2.895198,0
2006-07-01,3.615070,3.615070,3.615070,3.615070,2.895198,0
2006-08-01,3.615070,3.615070,3.434310,3.615070,2.895198,0
2006-09-01,3.615070,3.615070,3.596990,3.596990,2.880718,0
2006-10-01,3.596990,3.596990,3.596990,3.596990,2.880718,0
2006-11-01,3.609640,3.609640,3.253560,3.434310,2.750433,0
2006-12-01,3.434310,3.615070,1.807530,3.163180,2.533293,18257
2007-01-01,3.163180,4.066950,3.072810,3.257180,2.608575,12172
2007-02-01,3.099920,3.976570,3.072810,3.072810,2.460918,17702
2007-03-01,3.255370,5.784110,2.711300,3.795820,3.039954,0
2007-04-01,5.784110,18.075300,3.380090,4.880340,3.908514,9957
2007-05-01,4.880340,7.230140,3.615070,7.230140,5.790396,45364
2007-06-01,4.880340,7.230140,4.880340,6.328180,5.068043,11617
2007-07-01,9.037670,9.037670,5.693730,9.037670,7.237990,12724
2007-08-01,9.035860,9.037670,7.230140,7.230140,5.790396,1106
2007-09-01,7.230140,9.037670,6.326370,8.856920,7.093233,1659
2007-10-01,8.856920,8.856920,6.687870,8.133900,6.514189,553
2007-11-01,8.133900,8.133900,7.591640,7.591640,6.079909,1660
2007-12-01,8.133900,9.308800,7.410890,9.308800,7.455129,1660
2008-01-01,9.308800,12.875000,7.750000,7.750000,6.206735,26400
2008-02-01,8.000000,8.500000,6.252500,7.875000,6.306844,192000
2008-03-01,7.875000,8.250000,5.750000,6.122500,4.903320,645200
2008-04-01,5.925000,7.655000,5.750000,6.747500,5.403864,1425600
2008-05-01,6.747500,6.950000,6.000000,6.325000,5.391142,1205600
2008-06-01,6.325000,6.450000,4.750000,5.162500,4.400280,1998000
2008-07-01,5.250000,5.250000,3.875000,4.500000,3.835596,3348800
2008-08-01,4.500000,4.625000,3.500000,3.622500,3.087654,1862000
2008-09-01,3.500000,3.747500,3.000000,3.150000,2.684917,1190800
2008-10-01,3.000000,3.225000,1.500000,1.725000,1.470312,2752000
2008-11-01,1.875000,2.000000,1.375000,1.450000,1.235914,3804800
2008-12-01,1.500000,1.747500,1.200000,1.262500,1.076098,854800
2009-01-01,1.262500,1.492500,1.140000,1.312500,1.118715,1350000
2009-02-01,1.425000,1.600000,1.287500,1.500000,1.278532,14026800
2009-03-01,1.415000,1.750000,1.277500,1.612500,1.374422,1559600
2009-04-01,1.737500,2.250000,1.597500,2.012500,1.715364,13846400
2009-05-01,2.012500,2.375000,1.972500,2.250000,1.917798,6772400
2009-06-01,2.312500,2.400000,1.887500,1.925000,1.640782,33038400
2009-07-01,1.912500,2.147500,1.900000,2.062500,1.757981,19457600
2009-08-01,2.057500,2.185000,1.850000,1.962500,1.672746,22590400
2009-09-01,1.962500,2.095000,1.877500,2.015000,1.717494,468000
2009-10-01,2.015000,2.080000,1.925000,2.012500,1.715364,746400
2009-11-01,2.012500,2.397500,1.950000,2.375000,2.024342,431200
2009-12-01,2.375000,4.950000,2.375000,3.837500,3.270911,5060400
2010-01-01,3.850000,4.000000,3.125000,3.325000,2.834079,560800
2010-02-01,3.152500,3.152500,2.712500,2.750000,2.343975,438000
2010-03-01,2.702500,3.395000,2.702500,3.347500,2.853257,367200
2010-04-01,3.252500,3.425000,3.127500,3.175000,2.706225,104000
2010-05-01,3.295000,3.350000,2.762500,3.025000,2.578372,215600
2010-06-01,3.000000,3.325000,3.000000,3.200000,2.727535,16000
2010-07-01,3.292500,4.000000,3.292500,3.837500,3.270911,282996
2010-08-01,3.835000,3.875000,3.412500,3.430000,2.923577,608000
2010-09-01,3.745000,3.875000,3.540000,3.800000,3.238947,272616
