Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,3.266670,3.616670,3.050000,3.206670,1.839440,60673500
2003-02-01,3.213330,3.313330,3.010000,3.200000,1.835615,38629800
2003-03-01,3.200000,3.656670,3.106670,3.510000,2.013440,52295400
2003-04-01,3.533330,4.546670,3.506670,4.233330,2.428363,74753100
2003-05-01,4.233330,5.150000,4.186670,5.100000,2.925510,66656700
2003-06-01,5.100000,5.633330,4.200000,4.363330,2.502934,67646700
2003-07-01,4.330000,4.863330,4.300000,4.733330,2.715178,33363900
2003-08-01,4.666670,5.330000,4.550000,5.133330,2.944630,56571300
2003-09-01,5.083330,5.916670,5.083330,5.333330,3.059357,62924400
2003-10-01,5.336670,6.633330,5.333330,6.266670,3.594747,52198200
2003-11-01,6.333330,8.300000,6.333330,8.166670,4.684642,46090800
2003-12-01,8.170000,8.463330,7.756670,8.000000,4.589035,37202400
2004-01-01,8.000000,9.050000,6.703330,6.800000,3.900680,42632100
2004-02-01,6.833330,7.933330,6.600000,7.216670,4.139696,37439100
2004-03-01,7.220000,8.163330,7.103330,7.760000,4.451365,36096300
2004-04-01,7.763330,8.143330,6.300000,6.366670,3.652109,32988600
2004-05-01,6.366670,7.103330,5.866670,6.933330,3.977162,37340100
2004-06-01,6.890000,7.596670,6.700000,7.500000,4.302221,26302500
2004-07-01,7.500000,7.900000,7.296670,7.666670,4.397828,26416800
2004-08-01,7.666670,8.333330,7.316670,8.083330,4.636838,53941500
2004-09-01,8.256670,8.613330,7.673330,8.400000,4.818489,30089700
2004-10-01,8.463330,9.843330,8.426670,9.436670,5.413152,38302200
2004-11-01,9.433330,11.166700,9.333330,10.616700,6.090051,31302900
2004-12-01,10.673300,11.333300,10.400000,10.833300,6.214301,47518200
2005-01-01,10.840000,11.146700,9.903330,10.300000,5.908385,24714000
2005-02-01,10.300000,12.350000,10.023300,10.333300,5.927488,67954500
2005-03-01,10.333300,11.430000,9.100000,9.866670,5.659811,72447300
2005-04-01,9.963330,10.090000,8.933330,9.750000,5.592886,70285500
2005-05-01,9.833330,10.600000,9.570000,10.233300,5.870121,47917800
2005-06-01,10.300000,10.996700,9.333330,10.550000,6.051791,54369900
2005-07-01,10.550000,10.633300,9.400000,10.433300,5.984849,33051600
2005-08-01,10.366700,12.700000,10.163300,11.630000,6.671313,53910000
2005-09-01,11.666700,14.966700,11.463300,14.466700,8.298527,50553900
2005-10-01,14.353300,14.830000,12.100000,13.800000,7.916091,30488400
2005-11-01,13.833300,14.770000,13.000000,13.066700,7.495442,34303500
2005-12-01,13.200000,14.816700,13.200000,14.066700,8.069076,33810300
2006-01-01,13.700000,19.316700,13.700000,17.850000,10.239284,52203600
2006-02-01,17.846701,21.233299,17.809999,18.186701,10.432423,53604900
2006-03-01,18.500000,19.566700,16.510000,18.500000,10.612143,46920600
2006-04-01,18.500000,20.366699,17.270000,20.216700,11.596889,55719900
2006-05-01,20.216700,22.403299,16.110001,18.733299,10.745975,951691731
2006-06-01,19.173300,20.480000,14.833300,16.660000,9.556665,1963014987
2006-07-01,16.633301,16.870001,15.220000,16.633301,9.541351,1322118024
2006-08-01,16.533300,17.600000,15.000000,16.000000,9.178069,2019542781
2006-09-01,16.100000,16.910000,14.593300,15.833300,9.082443,455391099
2006-10-01,16.049999,17.709999,16.016701,17.313299,9.931421,56582400
2006-11-01,17.333300,19.716700,17.233299,19.716700,11.310080,54424500
2006-12-01,19.620001,21.833300,19.500000,21.333300,12.237411,38471700
2007-01-01,21.333300,23.333300,21.003300,23.166700,13.289109,59175300
2007-02-01,23.166700,24.163300,21.833300,22.866699,13.117015,50766300
2007-03-01,22.670000,23.333300,21.333300,22.230000,12.751785,44845500
2007-04-01,22.230000,24.663300,21.500000,23.200001,13.308204,31180200
2007-05-01,23.200001,28.566700,23.200001,26.400000,15.143814,65491500
2007-06-01,26.566700,29.000000,26.540001,27.889999,15.998521,48671000
2007-07-01,28.000000,31.700001,27.040001,29.600000,16.979433,43649400
2007-08-01,29.150000,30.370001,23.760000,28.200001,16.176355,52476500
2007-09-01,28.320000,31.000000,25.750000,30.889999,17.719410,38413900
2007-10-01,31.200001,32.060001,28.000000,31.299999,17.954603,57890800
2007-11-01,30.820000,31.799999,24.570000,31.799999,18.241415,59775600
2007-12-01,31.010000,32.400002,29.049999,30.400000,17.438330,77057300
2008-01-01,30.400000,31.740000,26.400000,29.250000,16.778667,72773600
2008-02-01,29.610001,31.799999,27.500000,28.270000,16.216507,80231900
2008-03-01,28.030001,28.420000,22.809999,23.110001,13.256574,92269200
2008-04-01,23.950001,29.059999,22.500000,28.900000,16.577888,96203400
2008-05-01,28.900000,32.779999,27.459999,32.540001,18.665901,92137400
2008-06-01,31.850000,32.360001,25.910000,26.150000,15.000413,73860200
2008-07-01,25.889999,26.200001,22.930000,25.100000,14.398101,83558400
2008-08-01,24.850000,24.850000,21.160000,23.790001,13.646644,67554700
2008-09-01,23.790001,23.790001,19.230000,22.750000,13.050067,67056500
2008-10-01,22.700001,22.770000,11.500000,14.770000,8.472509,105443500
2008-11-01,15.100000,16.750000,11.020000,14.300000,8.202902,104201900
2008-12-01,13.830000,17.590000,13.630000,14.680000,8.420883,77067000
2009-01-01,14.680000,16.480000,12.980000,14.200000,8.145538,95539400
2009-02-01,13.900000,14.680000,13.120000,13.850000,7.944770,63610800
2009-03-01,13.520000,17.370001,13.000000,16.870001,9.677130,75964900
2009-04-01,16.700001,19.480000,16.500000,18.459999,10.589201,137729000
2009-05-01,18.459999,21.840000,18.459999,21.160000,12.138000,54347700
2009-06-01,21.610001,22.799999,20.000000,21.180000,12.149470,49684500
2009-07-01,21.299999,24.080000,20.110001,23.639999,13.560602,58175800
2009-08-01,23.790001,26.900000,23.780001,26.160000,15.006149,58006100
2009-09-01,26.180000,32.099998,25.400000,31.230000,18.049921,64385600
2009-10-01,31.049999,32.400002,27.020000,28.209999,16.304466,73460900
2009-11-01,28.209999,32.060001,27.750000,30.900000,17.859200,60701200
2009-12-01,31.000000,31.350000,28.680000,28.950001,16.798613,50948000
2010-01-01,29.700001,30.450001,27.129999,28.100000,16.305386,51519900
2010-02-01,28.360001,31.160000,27.299999,29.770000,17.274420,73695600
2010-03-01,29.889999,30.570000,29.100000,29.850000,17.595449,55084100
2010-04-01,29.860001,31.299999,28.799999,29.990000,17.677977,64288549
2010-05-01,29.670000,30.000000,24.719999,25.980000,15.314229,71682988
2010-06-01,25.700001,28.750000,24.600000,24.650000,14.745750,79266400
2010-07-01,25.750000,30.719999,25.320000,30.540001,18.269176,167379300
2010-08-01,30.500000,31.100000,27.420000,28.480000,17.036873,84486749
2010-09-01,28.799999,32.130001,27.910000,32.130001,19.350094,84388631
2010-10-01,32.200001,34.980000,31.879999,33.099998,20.067146,96493500
2010-11-01,33.240002,34.980000,31.860001,32.900002,19.945900,89129700
2010-12-01,33.160000,34.240002,30.010000,31.420000,19.122986,91838800
2011-01-01,31.500000,32.139999,29.610001,29.760000,18.112673,90907700
