Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,22.500000,22.879999,19.500000,19.500000,19.122898,55300
2010-11-01,20.730000,21.040001,19.400000,19.500000,19.122898,3400
2010-12-01,null,null,null,null,null,null
2011-01-01,null,null,null,null,null,null
2011-02-01,24.900000,24.900000,24.900000,24.900000,24.418470,100
2011-03-01,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-05-01,null,null,null,null,null,null
2011-06-01,null,null,null,null,null,null
2011-07-01,null,null,null,null,null,null
2011-08-01,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-10-01,null,null,null,null,null,null
2011-11-01,null,null,null,null,null,null
2011-12-01,null,null,null,null,null,null
2012-01-01,10.790000,10.790000,10.690000,10.740000,10.532302,36100
2012-02-01,13.850000,13.850000,13.850000,13.850000,13.582163,17500
2012-03-01,17.400000,18.250000,17.400000,18.049999,17.700937,17200
2012-04-01,18.049999,18.049999,15.320000,15.320000,15.023733,53600
2012-05-01,15.320000,15.320000,14.800000,14.800000,14.513790,7000
2012-06-01,14.800000,15.230000,14.800000,15.230000,14.935472,200
2012-07-01,15.700000,15.700000,15.700000,15.700000,15.396386,9200
2012-08-01,15.700000,15.700000,15.700000,15.700000,15.396386,0
2012-09-01,15.700000,15.700000,15.700000,15.700000,15.396386,0
2012-10-01,15.700000,15.700000,15.700000,15.700000,15.416277,0
2012-11-01,15.700000,20.040001,15.700000,20.040001,19.677849,12700
2012-12-01,20.040001,23.750000,20.040001,23.590000,23.163694,1800
2013-01-01,23.590000,24.750000,22.870001,22.870001,22.479597,42100
2013-02-01,22.870001,24.100000,21.969999,21.969999,21.594959,10523
2013-03-01,21.969999,25.559999,21.969999,24.650000,24.251661,58100
2013-04-01,24.650000,24.870001,22.650000,23.020000,22.648001,29200
2013-05-01,23.020000,28.600000,23.020000,28.469999,28.009932,50100
2013-06-01,28.469999,29.280001,28.299999,28.420000,27.960737,54400
2013-07-01,28.420000,33.320000,28.420000,33.160000,32.649105,36800
2013-08-01,33.160000,35.099998,32.799999,35.099998,34.559204,14967
2013-09-01,35.099998,35.099998,31.400000,31.400000,30.916218,57200
2013-10-01,31.400000,31.400000,30.309999,30.620001,30.167255,25200
2013-11-01,30.620001,37.250000,30.620001,37.250000,36.699226,25700
2013-12-01,37.250000,37.250000,36.130001,36.900002,36.354397,24700
2014-01-01,36.900002,40.029999,36.900002,40.029999,39.463497,14600
2014-02-01,40.570000,40.570000,39.849998,39.849998,39.286045,50300
2014-03-01,39.849998,40.450001,39.849998,40.099998,39.532505,5500
2014-04-01,39.299999,39.299999,33.599998,33.599998,33.144516,11400
2014-05-01,33.599998,33.599998,32.200001,32.639999,32.197533,31700
2014-06-01,34.000000,34.349998,34.000000,34.020000,33.558823,16100
2014-07-01,34.020000,34.360001,34.020000,34.360001,33.916676,8400
2014-08-01,34.200001,37.700001,33.500000,33.500000,33.067772,17400
2014-09-01,36.049999,43.900002,36.000000,43.900002,43.333588,327200
2014-10-01,42.009998,44.900002,38.340000,40.849998,40.460392,46100
2014-11-01,43.900002,44.830002,43.900002,44.450001,44.026054,1300
2014-12-01,42.900002,49.980000,42.900002,48.590000,48.126572,37060
2015-01-01,48.590000,60.000000,39.799999,41.750000,41.472649,79200
2015-02-01,41.150002,47.590000,41.099998,46.740002,46.429501,129300
2015-03-01,46.000000,52.590000,46.000000,50.389999,50.055252,16900
2015-04-01,48.849998,49.270000,45.459999,47.509998,47.194386,21700
2015-05-01,47.509998,52.840000,47.509998,52.490002,52.141304,13500
2015-06-01,52.490002,54.980000,52.490002,54.869999,54.505489,116000
2015-07-01,54.869999,61.599998,53.049999,61.599998,61.190781,181600
2015-08-01,60.880001,63.430000,56.000000,61.009998,60.604702,57000
2015-09-01,61.009998,65.570000,60.020000,64.110001,63.684109,256700
2015-10-01,61.770000,68.150002,59.400002,65.379997,64.945671,89700
2015-11-01,65.379997,68.620003,64.839996,68.620003,68.164154,49100
2015-12-01,68.620003,68.620003,65.040001,68.230003,67.776741,31900
2016-01-01,68.230003,68.230003,54.090000,55.490002,55.121376,29400
2016-02-01,55.490002,55.490002,44.810001,50.230000,49.896317,37200
2016-03-01,50.230000,50.759998,47.779999,49.090000,48.763889,36000
2016-04-01,48.730000,52.880001,45.549999,52.009998,51.664490,54100
2016-05-01,51.189999,53.490002,48.439999,53.240002,52.886322,53800
2016-06-01,53.110001,53.110001,41.790001,42.400002,42.118332,82000
2016-07-01,41.880001,47.650002,41.509998,47.650002,47.333458,91000
2016-08-01,47.419998,52.250000,45.980000,52.250000,51.902897,75900
2016-09-01,52.259998,52.259998,48.610001,50.889999,50.551929,29100
2016-10-01,50.369999,53.630001,50.160000,52.770000,52.419445,36800
2016-11-01,52.770000,70.839996,52.770000,69.019997,68.561485,28700
2016-12-01,74.699997,78.150002,71.260002,71.269997,70.796539,17900
2017-01-01,71.269997,74.610001,70.870003,70.870003,70.399208,57100
2017-02-01,72.419998,76.870003,70.449997,75.010002,74.511703,22100
2017-03-01,78.949997,80.480003,70.849998,73.650002,73.160736,48900
2017-04-01,73.320000,76.199997,70.580002,74.470001,73.975288,51400
2017-05-01,74.470001,77.900002,70.150002,71.930000,71.452164,46800
2017-06-01,73.519997,81.459999,72.730003,81.459999,80.918854,42900
2017-07-01,80.959999,82.440002,74.120003,75.790001,75.286522,40700
2017-08-01,76.089996,78.570000,73.910004,74.970001,74.471970,29100
2017-09-01,74.970001,81.260002,70.830002,79.980003,79.448685,44700
2017-10-01,80.989998,91.470001,79.349998,90.110001,89.511391,49200
2017-11-01,90.309998,93.750000,85.750000,93.250000,92.630531,28000
2017-12-01,91.639999,99.760002,90.930000,98.760002,98.103928,28000
2018-01-01,98.760002,103.000000,96.790001,97.180000,96.534424,28300
2018-02-01,102.669998,106.139999,96.820000,105.879997,105.176620,68900
2018-03-01,105.879997,107.629997,96.580002,99.220001,98.560875,77100
2018-04-01,96.620003,106.760002,96.620003,105.099998,104.401810,74200
2018-05-01,105.099998,115.150002,103.070000,110.120003,109.388466,65300
2018-06-01,111.900002,119.209999,107.279999,110.370003,109.636803,33700
2018-07-01,110.919998,117.480003,108.720001,116.290001,115.517471,16400
2018-08-01,117.910004,130.199997,116.419998,126.190002,125.351707,44800
2018-09-01,126.190002,130.869995,118.739998,118.739998,117.951195,44800
2018-10-01,120.330002,120.330002,95.389999,102.559998,101.878677,64000
2018-11-01,102.559998,108.489998,102.440002,107.849998,107.133537,33900
2018-12-01,109.620003,109.940002,91.449997,95.400002,94.766251,46600
2019-01-01,95.400002,111.830002,92.570000,103.000000,102.315758,44600
