Date,Open,High,Low,Close,Adj Close,Volume
2007-11-01,10.250000,10.790000,8.600000,9.300000,8.255971,21090300
2007-12-01,9.300000,10.290000,8.900000,8.900000,7.900875,12893500
2008-01-01,9.000000,9.200000,7.050000,8.450000,7.501393,13325700
2008-02-01,8.250000,9.140000,7.760000,8.650000,7.708229,3242200
2008-03-01,8.700000,9.150000,7.500000,7.750000,6.906218,2870900
2008-04-01,7.750000,9.030000,7.750000,9.000000,8.020125,4213900
2008-05-01,9.150000,10.400000,9.150000,10.250000,9.134030,6054500
2008-06-01,10.100000,10.200000,8.500000,8.900000,7.931010,1819500
2008-07-01,8.530000,8.530000,7.210000,7.770000,6.924041,6418300
2008-08-01,7.780000,7.890000,6.870000,7.070000,6.385170,2736200
2008-09-01,7.100000,7.150000,3.010000,3.950000,3.567386,7727100
2008-10-01,3.900000,4.000000,2.290000,2.690000,2.429435,8013500
2008-11-01,2.760000,3.120000,2.060000,2.850000,2.611952,5478400
2008-12-01,2.800000,3.230000,2.320000,2.490000,2.282022,16801500
2009-01-01,2.500000,3.700000,2.500000,3.080000,2.822741,4496100
2009-02-01,3.070000,3.300000,2.970000,3.050000,2.795247,4098900
2009-03-01,3.050000,3.100000,2.700000,2.890000,2.648611,6320000
2009-04-01,2.880000,4.100000,2.880000,3.710000,3.400120,12939700
2009-05-01,3.670000,4.570000,3.600000,4.230000,3.876687,10881200
2009-06-01,4.260000,4.890000,4.170000,4.600000,4.271613,5206400
2009-07-01,4.600000,5.150000,4.490000,5.030000,4.670917,10341300
2009-08-01,5.190000,6.750000,5.110000,6.650000,6.241347,24775000
2009-09-01,6.600000,7.400000,6.350000,7.000000,6.569839,11996700
2009-10-01,6.950000,7.550000,6.460000,6.550000,6.147492,11140200
2009-11-01,6.620000,9.780000,6.620000,8.650000,8.118443,16544400
2009-12-01,8.660000,10.600000,8.520000,10.550000,9.901686,14290100
2010-01-01,10.700000,12.360000,10.400000,10.930000,10.258334,7529400
2010-02-01,10.970000,11.290000,9.640000,10.700000,10.149560,4587600
2010-03-01,10.880000,11.450000,10.120000,10.800000,10.244416,7156300
2010-04-01,10.800000,11.000000,10.270000,10.400000,9.864992,3875952
2010-05-01,10.410000,10.990000,7.630000,8.760000,8.309361,5783830
2010-06-01,8.670000,9.500000,8.200000,8.750000,8.305177,3755474
2010-07-01,8.780000,9.300000,8.460000,9.280000,8.808233,4990802
2010-08-01,9.300000,9.410000,7.950000,8.080000,7.687575,6232143
2010-09-01,8.400000,8.450000,7.930000,8.400000,7.992034,6362601
2010-10-01,8.450000,9.150000,7.560000,7.650000,7.278460,11046000
2010-11-01,7.670000,7.880000,4.350000,4.410000,4.195817,88127800
2010-12-01,4.460000,4.660000,3.930000,4.050000,3.853302,16554700
2011-01-01,4.090000,5.380000,3.780000,4.260000,4.053103,47329800
2011-02-01,5.000000,6.900000,4.920000,5.750000,5.470737,46354447
2011-03-01,5.940000,6.070000,5.560000,5.810000,5.527823,4942092
2011-04-01,5.830000,5.990000,5.450000,5.600000,5.328023,2884300
2011-05-01,5.600000,5.700000,5.250000,5.500000,5.232880,4955784
2011-06-01,5.520000,6.340000,5.300000,6.030000,5.737139,7407200
2011-07-01,6.000000,6.160000,5.510000,5.860000,5.575395,4020352
2011-08-01,5.970000,6.030000,5.040000,5.590000,5.318508,4252000
2011-09-01,5.600000,6.280000,5.250000,6.160000,5.860824,9136500
2011-10-01,6.010000,7.640000,5.910000,7.600000,7.230887,5890700
2011-11-01,7.390000,7.690000,5.950000,6.910000,6.574399,7440400
2011-12-01,7.100000,7.250000,6.050000,6.050000,5.756167,5774800
2012-01-01,6.090000,6.860000,6.090000,6.790000,6.460227,9711900
2012-02-01,6.900000,7.230000,6.620000,6.670000,6.346056,9114200
2012-03-01,6.680000,6.950000,6.500000,6.830000,6.498285,6423600
2012-04-01,6.850000,6.990000,5.950000,6.150000,5.851310,7977800
2012-05-01,6.150000,6.300000,4.500000,4.650000,4.424162,10831300
2012-06-01,4.600000,5.500000,4.210000,5.100000,4.852306,7351200
2012-07-01,5.090000,5.320000,3.900000,3.950000,3.758159,9431500
2012-08-01,4.000000,4.880000,3.950000,4.850000,4.614448,12697600
2012-09-01,4.850000,5.270000,4.800000,5.080000,4.833278,15682700
2012-10-01,5.070000,29.500000,4.530000,4.660000,4.433675,8440300
2012-11-01,4.670000,4.960000,4.390000,4.650000,4.424162,6010100
2012-12-01,4.650000,5.190000,4.580000,5.150000,4.899878,9961200
2013-01-01,5.150000,6.050000,5.010000,5.940000,5.651510,10144000
2013-02-01,5.950000,6.800000,5.890000,6.600000,6.279455,9099800
2013-03-01,6.610000,7.330000,6.530000,6.960000,6.621971,11365500
2013-04-01,7.040000,7.080000,6.370000,6.940000,6.602942,10410000
2013-05-01,6.940000,7.080000,6.290000,6.460000,6.146255,24147100
2013-06-01,6.490000,6.670000,4.950000,5.350000,5.090164,22267300
2013-07-01,5.250000,6.100000,4.990000,6.060000,5.765681,12259100
2013-08-01,6.040000,6.100000,5.010000,5.260000,5.004536,10927900
2013-09-01,5.280000,5.450000,4.860000,5.200000,4.947449,8922200
2013-10-01,5.180000,5.490000,5.020000,5.280000,5.023564,16790400
2013-11-01,5.290000,5.380000,4.290000,4.650000,4.424162,9065200
2013-12-01,4.620000,4.960000,4.310000,4.590000,4.367076,4834800
2014-01-01,4.570000,4.590000,3.940000,3.950000,3.758159,8975800
2014-02-01,3.940000,4.100000,3.600000,3.820000,3.634473,15937800
2014-03-01,3.800000,3.820000,3.380000,3.750000,3.567872,2075200
2014-04-01,3.730000,3.860000,3.540000,3.710000,3.529815,2341200
2014-05-01,3.700000,3.800000,3.250000,3.350000,3.187299,1963500
2014-06-01,3.400000,3.740000,3.310000,3.440000,3.272928,8763200
2014-07-01,3.440000,3.790000,3.370000,3.400000,3.234871,4733500
2014-08-01,3.450000,3.650000,3.370000,3.510000,3.339528,3079400
2014-09-01,3.550000,3.590000,3.070000,3.200000,3.044584,6652500
2014-10-01,3.140000,3.180000,2.530000,2.880000,2.740126,3613300
2014-11-01,2.850000,2.880000,2.400000,2.400000,2.283438,8654300
2014-12-01,2.400000,2.430000,2.000000,2.350000,2.235866,2908077
2015-01-01,2.350000,2.350000,1.720000,1.720000,1.636464,1097200
2015-02-01,1.740000,1.950000,1.680000,1.880000,1.788693,3823400
2015-03-01,1.850000,1.900000,1.360000,1.500000,1.428697,5941600
2015-04-01,1.480000,1.810000,1.470000,1.730000,1.647763,10910200
2015-05-01,1.730000,1.930000,1.600000,1.600000,1.523943,11914100
2015-06-01,1.640000,1.680000,1.420000,1.570000,1.495369,7087400
2015-07-01,1.580000,1.690000,1.500000,1.530000,1.457271,10648500
2015-08-01,1.510000,1.650000,1.350000,1.400000,1.333450,3836300
2015-09-01,1.400000,1.520000,1.370000,1.380000,1.314401,1958700
2015-10-01,1.380000,1.500000,1.360000,1.500000,1.428697,3174700
2015-11-01,1.500000,1.780000,1.470000,1.540000,1.466795,5165900
2015-12-01,1.560000,1.630000,1.500000,1.620000,1.542992,8368000
2016-01-01,1.620000,2.000000,1.610000,1.750000,1.666813,20513900
2016-02-01,1.820000,1.850000,1.650000,1.690000,1.609665,2136800
2016-03-01,1.770000,1.940000,1.700000,1.750000,1.669943,2582100
2016-04-01,1.740000,1.750000,1.570000,1.590000,1.517263,1988300
2016-05-01,1.610000,1.710000,1.550000,1.600000,1.526805,2922600
2016-06-01,1.620000,1.620000,1.490000,1.550000,1.479092,422800
2016-07-01,1.550000,1.610000,1.400000,1.520000,1.450465,1450100
2016-08-01,1.520000,1.690000,1.480000,1.520000,1.450465,3684200
2016-09-01,1.520000,1.650000,1.430000,1.440000,1.374125,1999800
2016-10-01,1.440000,1.570000,1.360000,1.400000,1.335954,4860400
2016-11-01,1.410000,1.500000,1.280000,1.380000,1.316869,2173900
2016-12-01,1.290000,1.480000,1.180000,1.290000,1.230987,15761500
2017-01-01,1.300000,1.730000,1.220000,1.600000,1.526805,1636000
2017-02-01,1.600000,2.870000,1.600000,2.650000,2.528771,11436800
2017-03-01,2.680000,2.790000,2.060000,2.190000,2.089814,3283300
2017-04-01,2.190000,2.250000,1.800000,1.880000,1.793996,2928600
2017-05-01,1.880000,2.180000,1.670000,1.800000,1.717656,5618200
2017-06-01,1.800000,1.950000,1.570000,1.590000,1.517263,2319100
2017-07-01,1.600000,1.950000,1.520000,1.880000,1.793996,3567000
2017-08-01,2.040000,2.100000,1.800000,1.850000,1.765368,6327400
2017-09-01,1.860000,2.100000,1.840000,1.880000,1.793996,6330800
2017-10-01,1.890000,2.020000,1.710000,1.980000,1.889421,5952500
2017-11-01,1.980000,1.990000,1.800000,1.880000,1.793996,3124700
2017-12-01,1.890000,1.890000,1.840000,1.870000,1.784454,1029500
2018-01-01,1.870000,2.080000,1.870000,1.890000,1.803539,3505200
2018-02-01,2.000000,2.420000,1.910000,1.980000,1.889421,5769700
2018-03-01,1.990000,2.070000,1.870000,1.910000,1.822624,4450300
2018-04-01,1.910000,1.950000,1.830000,1.900000,1.813081,1840900
2018-05-01,1.900000,1.930000,1.720000,1.850000,1.823739,2442400
2018-06-01,1.770000,1.830000,1.600000,1.700000,1.675868,1624400
2018-07-01,1.700000,1.770000,1.690000,1.710000,1.685726,988900
2018-08-01,1.710000,1.830000,1.660000,1.660000,1.636436,1268500
2018-09-01,1.660000,1.740000,1.600000,1.630000,1.606862,2415000
2018-10-01,1.630000,1.800000,1.590000,1.800000,1.774448,1533000
2018-11-01,1.790000,2.240000,1.750000,1.960000,1.932177,5183600
