Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,5.183950,5.351170,4.732440,4.983280,3.735533,65446615
2007-05-01,5.016720,7.424750,4.949830,7.023410,5.264842,32953089
2007-06-01,7.157190,8.762540,7.157190,8.672240,6.500827,23284027
2007-07-01,8.695650,8.896320,7.374580,7.692310,5.766258,29264326
2007-08-01,7.525080,8.361200,6.357860,7.458190,5.590759,33898527
2007-09-01,7.458190,7.692310,6.090300,7.357860,5.515550,22738950
2007-10-01,7.290970,8.926420,7.250840,8.260870,6.192459,25571078
2007-11-01,8.227420,8.662210,6.752510,7.749160,5.808874,21121659
2007-12-01,7.859530,8.117060,6.558530,8.026760,6.016967,16191149
2008-01-01,7.926420,8.060200,5.384620,6.120400,4.587934,26177151
2008-02-01,6.230770,7.040130,5.695650,6.555180,4.913851,14018914
2008-03-01,6.558530,6.872910,5.127090,5.230770,3.921055,17570137
2008-04-01,5.267560,6.120400,5.183950,6.120400,4.587934,18358899
2008-05-01,6.137120,7.357860,6.120400,6.488290,4.863708,21816236
2008-06-01,6.347830,6.488290,5.006690,5.183950,3.885958,13024739
2008-07-01,5.190640,5.190640,3.729100,4.862880,3.645281,23049312
2008-08-01,4.849500,5.170570,4.217390,4.849500,3.635251,9806901
2008-09-01,4.782610,4.866220,3.327760,3.846150,2.883125,13120718
2008-10-01,3.846150,3.993310,1.441470,2.675590,2.005658,21289996
2008-11-01,2.675590,3.210700,1.956520,3.160540,2.369183,17613492
2008-12-01,3.010030,3.307690,2.729100,3.043480,2.281433,18964075
2009-01-01,3.043480,3.745820,3.043480,3.612040,2.707633,25048127
2009-02-01,3.511710,4.210700,3.461540,4.013380,3.008483,17599439
2009-03-01,4.043480,4.882940,3.779260,4.816050,3.610175,13061516
2009-04-01,4.511710,5.484950,4.147160,5.478260,4.106577,44273827
2009-05-01,5.478260,6.103680,5.183950,5.665550,4.246973,16005171
2009-06-01,5.652170,6.224080,4.889630,4.983280,3.735533,25691575
2009-07-01,5.050170,6.521740,4.993310,6.488290,4.863708,66688362
2009-08-01,6.521740,7.123750,6.086960,6.421400,4.813567,31082844
2009-09-01,6.501670,7.525080,6.197320,6.989970,5.239775,32703723
2009-10-01,6.989970,7.678930,6.050170,6.521740,4.888783,41276053
2009-11-01,6.521740,8.193980,6.220740,8.026760,6.016967,54098668
2009-12-01,8.076920,8.187290,7.023410,7.217390,5.410252,39890188
2010-01-01,7.190640,7.742470,6.762540,6.856190,5.139492,126406137
2010-02-01,6.832780,7.919730,6.622070,7.859530,5.891609,40962701
2010-03-01,7.785950,7.909700,6.892980,7.023410,5.264842,58097494
2010-04-01,7.056860,7.458190,6.882940,7.404680,5.550646,30314534
2010-05-01,7.200670,7.829430,6.886290,7.759200,5.816400,49069506
2010-06-01,7.588630,8.588630,7.103680,7.859530,6.295684,36457524
