Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,18.500000,18.809999,14.000000,15.000000,11.184255,86590887
2006-06-01,15.290000,15.700000,10.010000,11.300000,8.425473,27033714
2006-07-01,12.480000,14.500000,10.750000,11.810000,8.805737,12842428
2006-08-01,11.690000,12.900000,10.100000,10.880000,8.112312,64783903
2006-09-01,10.800000,14.300000,10.800000,12.900000,9.618459,23877804
2006-10-01,13.200000,13.500000,11.310000,12.560000,9.364948,3768000
2006-11-01,12.410000,13.380000,11.450000,12.080000,9.007053,3966200
2006-12-01,12.080000,12.400000,10.510000,10.900000,8.127226,2383800
2007-01-01,10.860000,12.650000,10.600000,12.100000,9.021966,4223000
2007-02-01,12.260000,15.190000,12.160000,14.400000,10.736885,2450300
2007-03-01,14.450000,14.450000,10.910000,11.310000,8.432928,3688600
2007-04-01,11.300000,12.630000,11.300000,11.550000,8.611876,2423700
2007-05-01,11.590000,12.470000,11.210000,11.650000,8.686436,2095700
2007-06-01,11.750000,12.800000,11.160000,11.580000,8.634246,3149900
2007-07-01,11.600000,11.980000,9.520000,9.620000,7.172835,3102200
2007-08-01,9.600000,9.750000,7.100000,8.000000,5.964936,3121200
2007-09-01,8.050000,8.550000,7.710000,7.800000,5.815813,1611800
2007-10-01,7.950000,8.550000,6.250000,7.540000,5.621953,8689900
2007-11-01,7.540000,7.690000,5.960000,6.120000,4.563176,2538100
2007-12-01,6.120000,6.410000,5.410000,5.750000,4.287298,2178700
2008-01-01,5.650000,5.900000,4.410000,4.630000,3.452206,3173700
2008-02-01,4.660000,5.850000,4.510000,5.020000,3.742996,1781300
2008-03-01,4.930000,5.200000,4.250000,4.790000,3.571506,1335600
2008-04-01,4.900000,4.990000,4.260000,4.480000,3.340364,897500
2008-05-01,4.610000,5.680000,4.550000,4.900000,3.653523,1621700
2008-06-01,4.820000,5.650000,4.820000,5.200000,3.877208,1451700
2008-07-01,5.200000,5.230000,4.310000,4.450000,3.317995,486000
2008-08-01,4.440000,4.700000,3.900000,3.990000,2.975012,1464000
2008-09-01,4.020000,4.070000,2.600000,2.850000,2.125008,933400
2008-10-01,2.900000,2.980000,1.900000,2.130000,1.588164,1548300
2008-11-01,2.140000,2.570000,2.040000,2.150000,1.603077,1246500
2008-12-01,2.090000,2.400000,2.040000,2.300000,1.714919,1227400
2009-01-01,2.300000,3.240000,2.260000,2.960000,2.207026,4587800
2009-02-01,2.930000,3.490000,2.900000,3.200000,2.385974,697500
2009-03-01,3.200000,3.460000,2.900000,3.450000,2.572379,2120400
2009-04-01,3.450000,4.870000,3.230000,4.700000,3.504400,1950800
2009-05-01,4.700000,5.110000,4.300000,4.420000,3.295627,1210800
2009-06-01,4.400000,4.710000,4.400000,4.650000,3.467119,601000
2009-07-01,4.660000,4.700000,4.380000,4.520000,3.370189,1243800
2009-08-01,4.550000,5.480000,4.350000,5.180000,3.862296,6466400
