Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,25.000000,27.600000,25.000000,27.600000,26.366619,7700
2010-11-01,27.500000,27.500000,27.400000,27.400000,26.175560,400
2010-12-01,null,null,null,null,null,null
2011-01-01,null,null,null,null,null,null
2011-02-01,null,null,null,null,null,null
2011-03-01,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-05-01,null,null,null,null,null,null
2011-06-01,null,null,null,null,null,null
2011-07-01,null,null,null,null,null,null
2011-08-01,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-10-01,null,null,null,null,null,null
2011-11-01,null,null,null,null,null,null
2011-12-01,17.049999,17.100000,17.040001,17.100000,16.335842,14000
2012-01-01,17.660000,17.740000,17.660000,17.740000,16.947237,8600
2012-02-01,30.450001,30.450001,30.450001,30.450001,29.089258,0
2012-03-01,null,null,null,null,null,null
2012-04-01,null,null,null,null,null,null
2012-05-01,21.340000,21.340000,21.340000,21.340000,20.386362,3000
2012-06-01,21.340000,21.340000,21.340000,21.340000,20.474964,0
2012-07-01,21.340000,21.340000,21.340000,21.340000,20.474964,0
2012-08-01,21.340000,21.340000,21.340000,21.340000,20.474964,0
2012-09-01,21.340000,23.719999,21.340000,23.719999,22.858288,1600
2012-10-01,23.860001,25.320000,23.860001,24.270000,23.388311,12100
2012-11-01,24.270000,24.270000,24.049999,24.049999,23.176300,1000
2012-12-01,25.480000,26.650000,25.070000,26.650000,25.791260,6100
2013-01-01,26.650000,29.580000,26.650000,29.200001,28.259092,3500
2013-02-01,29.670000,30.959999,29.450001,29.450001,28.501036,18130
2013-03-01,29.450001,30.780001,29.350000,29.450001,28.597281,25200
2013-04-01,29.450001,29.450001,28.320000,28.320000,27.499994,20400
2013-05-01,28.320000,34.750000,28.320000,34.669998,33.666130,39500
2013-06-01,34.669998,35.680000,34.669998,35.680000,34.765202,13600
2013-07-01,35.680000,37.320000,35.000000,37.320000,36.363159,24300
2013-08-01,37.320000,39.139999,36.799999,38.450001,37.464180,12175
2013-09-01,38.450001,38.450001,36.049999,36.669998,35.832939,33800
2013-10-01,36.669998,36.669998,33.930000,33.930000,33.155491,23900
2013-11-01,36.250000,39.889999,36.250000,39.400002,38.500622,8800
2013-12-01,39.849998,41.950001,39.049999,41.650002,40.838917,61900
2014-01-01,41.650002,42.919998,40.400002,40.400002,39.613255,32200
2014-02-01,39.900002,39.900002,38.580002,38.580002,37.828693,43500
2014-03-01,38.580002,40.180000,37.900002,37.900002,37.290386,12600
2014-04-01,37.900002,38.180000,34.119999,34.119999,33.571178,7000
2014-05-01,34.119999,35.599998,34.119999,35.320000,34.751884,24300
2014-06-01,35.599998,37.400002,35.599998,37.400002,36.924927,21900
2014-07-01,37.400002,38.930000,36.869999,38.669998,38.178795,10400
2014-08-01,38.669998,39.540001,38.619999,38.820000,38.326885,12100
2014-09-01,39.540001,45.160000,39.540001,45.150002,44.728970,143900
2014-10-01,45.160000,46.299999,43.009998,45.849998,45.422443,43700
2014-11-01,47.650002,48.810001,47.160000,47.160000,46.720226,24600
2014-12-01,47.970001,53.310001,47.970001,51.849998,51.525898,91224
2015-01-01,51.849998,51.849998,45.619999,47.150002,46.855278,184000
2015-02-01,47.150002,54.820000,47.150002,54.820000,54.477333,6800
2015-03-01,54.820000,63.099998,54.820000,61.820000,61.433578,27900
2015-04-01,60.900002,60.900002,57.209999,57.900002,57.538082,29600
2015-05-01,57.900002,65.760002,57.900002,65.550003,65.140266,16500
2015-06-01,65.550003,67.370003,64.599998,65.000000,64.593704,57200
2015-07-01,65.000000,71.150002,65.000000,71.150002,70.705261,106900
2015-08-01,71.150002,72.199997,66.760002,68.209999,67.783638,60700
2015-09-01,68.209999,74.279999,68.209999,70.010002,69.572388,376400
2015-10-01,70.220001,73.650002,67.129997,73.209999,72.752380,168100
2015-11-01,73.209999,75.400002,70.750000,74.570000,74.103882,49700
2015-12-01,74.309998,74.309998,67.000000,70.220001,69.781075,98700
2016-01-01,70.220001,71.620003,62.950001,63.599998,63.202450,92000
2016-02-01,62.830002,63.180000,56.130001,59.180000,58.810081,113400
2016-03-01,59.180000,59.180000,55.389999,55.630001,55.282272,120300
2016-04-01,57.310001,59.430000,53.130001,57.680000,57.319458,102900
2016-05-01,58.369999,58.369999,53.750000,57.910000,57.548019,61700
2016-06-01,57.910000,57.910000,46.610001,47.430000,47.133526,148900
2016-07-01,48.169998,53.020000,47.299999,51.650002,51.327152,149200
2016-08-01,51.570000,54.400002,50.369999,54.389999,54.050022,63200
2016-09-01,54.389999,55.830002,51.830002,52.529999,52.201649,31400
2016-10-01,51.689999,56.610001,51.689999,56.610001,56.256145,95500
2016-11-01,56.610001,72.699997,56.610001,71.879997,71.430695,80900
2016-12-01,71.879997,82.339996,71.879997,77.389999,76.906258,38500
2017-01-01,77.389999,78.529999,71.849998,72.190002,71.738762,58000
2017-02-01,72.620003,77.739998,72.330002,76.580002,76.101318,35200
2017-03-01,78.849998,79.250000,70.800003,70.800003,70.357452,87600
2017-04-01,71.349998,71.709999,69.900002,69.900002,69.463074,9100
2017-05-01,69.900002,71.790001,69.669998,71.080002,70.635696,47400
2017-06-01,71.080002,74.239998,70.040001,73.800003,73.338699,13400
2017-07-01,73.800003,74.790001,68.599998,70.400002,69.959946,26100
2017-08-01,70.750000,72.989998,69.080002,70.800003,70.357452,16900
2017-09-01,71.099998,74.760002,66.870003,74.760002,74.292694,4500
2017-10-01,75.620003,79.849998,74.930000,79.849998,79.350876,6800
2017-11-01,79.849998,79.849998,75.949997,75.949997,75.475250,13200
2017-12-01,81.400002,86.000000,79.500000,84.980003,84.448814,179400
2018-01-01,84.980003,86.400002,80.900002,86.199997,85.661186,204600
2018-02-01,85.750000,87.959999,79.870003,87.180000,86.635063,105900
2018-03-01,84.879997,89.529999,82.029999,83.709999,83.186752,51500
2018-04-01,81.860001,88.230003,81.860001,84.199997,83.673683,94600
2018-05-01,84.199997,89.339996,82.099998,84.930000,84.399124,68000
2018-06-01,86.930000,92.529999,82.959999,86.250000,85.710876,37900
2018-07-01,87.690002,89.669998,86.349998,89.339996,88.781555,154000
2018-08-01,89.339996,102.290001,86.959999,99.029999,98.410988,117700
2018-09-01,99.029999,99.489998,91.440002,92.349998,91.772743,133600
2018-10-01,90.199997,91.639999,76.919998,84.160004,83.633942,79100
2018-11-01,83.419998,85.199997,72.570000,72.570000,72.116386,10300
2018-12-01,74.250000,74.250000,60.000000,62.320000,61.930454,54400
2019-01-01,62.320000,75.690002,62.320000,72.050003,71.599640,18000
