Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,14.000000,14.210000,13.800000,14.000000,3.484890,3865800
2007-08-01,13.800000,15.000000,12.500000,14.000000,3.484890,2336100
2007-09-01,13.800000,14.990000,13.100000,14.450000,3.596905,711700
2007-10-01,14.500000,15.560000,13.600000,15.000000,3.733811,1173200
2007-11-01,15.000000,16.990000,14.610000,16.990000,4.229163,639700
2007-12-01,17.000000,18.700001,16.250000,17.290001,4.303840,315400
2008-01-01,17.290001,18.000000,12.400000,13.480000,3.355451,784200
2008-02-01,13.480000,15.000000,12.970000,14.480000,3.604372,2089100
2008-03-01,14.490000,15.000000,11.700000,13.390000,3.333049,1779200
2008-04-01,13.490000,13.490000,9.550000,10.500000,2.613668,1297600
2008-05-01,10.300000,13.000000,10.300000,12.700000,3.161293,138300
2008-06-01,12.500000,14.000000,11.300000,12.500000,3.111509,202700
2008-07-01,12.100000,12.100000,8.500000,9.000000,2.240287,138200
2008-08-01,8.900000,9.000000,7.810000,8.480000,2.110848,970200
2008-09-01,8.500000,8.840000,6.000000,7.400000,1.842013,499100
2008-10-01,7.300000,8.460000,5.400000,6.000000,1.493524,254800
2008-11-01,6.050000,7.990000,2.220000,4.300000,1.070359,157600
2008-12-01,4.100000,4.100000,1.800000,2.270000,0.565050,686100
2009-01-01,2.270000,2.350000,1.320000,1.510000,0.375870,2070700
2009-02-01,1.550000,2.000000,1.510000,1.900000,0.472949,1029600
2009-03-01,1.900000,2.380000,1.700000,2.200000,0.547626,467700
2009-04-01,2.210000,3.600000,2.180000,3.340000,0.831395,2664300
2009-05-01,3.340000,4.240000,3.130000,3.990000,0.993194,2119400
2009-06-01,4.050000,4.800000,3.650000,3.950000,0.983237,794100
2009-07-01,3.970000,5.350000,3.810000,5.150000,1.281942,8920900
2009-08-01,5.480000,6.250000,5.020000,5.640000,1.403913,4729000
2009-09-01,5.850000,7.210000,5.600000,7.000000,1.742445,4446400
2009-10-01,6.950000,7.840000,6.150000,7.120000,1.772316,3972300
2009-11-01,7.120000,8.500000,6.960000,8.100000,2.016258,2239700
2009-12-01,8.100000,9.090000,7.950000,8.650000,2.153164,2304700
2010-01-01,8.550000,10.450000,8.550000,9.890000,2.461826,2476500
2010-02-01,10.000000,10.490000,9.310000,9.820000,2.444401,2068900
2010-03-01,9.800000,9.890000,8.490000,8.690000,2.163121,2379500
2010-04-01,8.690000,9.100000,8.300000,8.350000,2.078488,1323200
2010-05-01,8.350000,8.500000,6.600000,7.150000,1.779783,2803900
2010-06-01,6.990000,9.000000,6.990000,8.190000,2.038661,966667
2010-07-01,8.000000,9.400000,7.900000,9.070000,2.257711,2279700
2010-08-01,9.300000,9.800000,9.000000,9.440000,2.349812,1061100
2010-09-01,9.600000,10.260000,9.440000,10.000000,2.489207,3209100
2010-10-01,10.000000,12.800000,9.900000,12.580000,3.131423,2778700
2010-11-01,12.500000,13.400000,11.800000,12.740000,3.171250,2578200
2010-12-01,12.770000,13.490000,11.800000,13.090000,3.258372,3143700
2011-01-01,13.050000,13.500000,11.600000,12.000000,2.987049,1973200
2011-02-01,12.000000,12.540000,10.400000,10.800000,2.688344,2245000
2011-03-01,10.850000,11.000000,10.400000,10.700000,2.663452,746825
2011-04-01,10.850000,13.000000,10.700000,12.490000,3.109020,7309700
2011-05-01,12.310000,13.700000,11.900000,12.300000,3.061725,7670900
2011-06-01,12.300000,13.490000,11.790000,13.400000,3.335538,5152300
2011-07-01,13.170000,13.390000,11.500000,11.750000,2.924819,3715617
2011-08-01,11.450000,12.020000,10.100000,11.500000,2.862588,5269200
2011-09-01,11.800000,12.500000,9.990000,10.000000,2.489207,3756300
2011-10-01,10.020000,12.490000,9.610000,12.020000,2.992027,3691600
2011-11-01,11.800000,12.500000,11.400000,11.800000,2.937265,1802900
2011-12-01,12.150000,12.300000,10.880000,11.350000,2.825250,3097300
2012-01-01,11.440000,13.000000,11.200000,12.930000,3.218545,3482400
2012-02-01,12.950000,14.640000,11.850000,11.850000,2.949711,4868700
2012-03-01,11.650000,12.340000,10.750000,12.050000,2.999495,3725400
2012-04-01,11.880000,12.120000,11.020000,11.560000,2.877524,5517500
2012-05-01,11.560000,11.560000,8.750000,9.520000,2.369725,3422800
2012-06-01,9.310000,10.320000,8.900000,9.650000,2.402085,1508600
2012-07-01,9.640000,9.950000,8.570000,8.920000,2.220373,1845700
2012-08-01,8.920000,11.060000,8.900000,9.750000,2.426977,1965200
2012-09-01,9.780000,10.580000,9.550000,10.580000,2.633581,1283400
2012-10-01,10.500000,11.740000,10.260000,10.700000,2.663452,1608300
2012-11-01,10.820000,11.000000,9.950000,10.190000,2.536502,1316100
2012-12-01,10.250000,10.800000,9.230000,10.670000,2.655984,1411500
2013-01-01,10.670000,11.390000,9.500000,9.990000,2.486718,4240500
2013-02-01,9.990000,11.720000,9.980000,11.350000,2.825250,1903700
2013-03-01,11.220000,12.600000,10.540000,12.400000,3.086617,2201600
2013-04-01,12.490000,12.630000,12.000000,12.340000,3.071682,1630800
2013-05-01,12.340000,12.460000,9.850000,10.500000,2.613668,3395900
2013-06-01,10.330000,10.490000,8.500000,8.510000,2.118315,2656300
2013-07-01,8.750000,8.950000,7.340000,8.250000,2.053596,2743100
2013-08-01,8.210000,8.490000,7.420000,7.590000,1.889308,2304300
2013-09-01,7.640000,8.660000,7.480000,8.480000,2.110848,1875500
2013-10-01,8.580000,10.000000,8.490000,9.600000,2.389639,1341600
2013-11-01,9.560000,10.230000,8.750000,9.640000,2.399596,2139900
2013-12-01,9.580000,9.680000,8.550000,9.430000,2.347322,1026600
2014-01-01,9.430000,9.460000,6.900000,7.090000,1.764848,1762500
2014-02-01,7.150000,7.810000,6.730000,7.780000,1.936603,1495600
2014-03-01,7.780000,8.400000,7.500000,8.000000,1.991366,504200
2014-04-01,7.950000,8.050000,6.560000,6.910000,1.720042,466800
2014-05-01,6.910000,9.790000,6.470000,8.190000,2.038661,3557200
2014-06-01,8.300000,8.500000,7.210000,7.830000,1.949049,1385900
2014-07-01,7.840000,8.940000,7.700000,8.650000,2.153164,724700
2014-08-01,8.770000,11.150000,8.500000,10.850000,2.700790,1548800
2014-09-01,10.760000,10.770000,9.000000,9.000000,2.240287,516700
2014-10-01,9.060000,9.820000,6.470000,6.750000,1.680215,1938000
2014-11-01,6.900000,7.250000,6.440000,6.560000,1.632920,1128100
2014-12-01,6.500000,7.940000,6.080000,7.280000,1.812143,2681683
2015-01-01,7.280000,7.280000,5.810000,5.990000,1.491035,1378400
2015-02-01,5.860000,6.490000,5.850000,6.450000,1.605539,300500
2015-03-01,6.440000,7.350000,6.070000,6.070000,1.510949,1513400
2015-04-01,6.030000,6.340000,5.210000,5.350000,1.331726,269300
2015-05-01,5.350000,5.600000,3.660000,4.530000,1.127611,5184000
2015-06-01,4.400000,4.990000,3.960000,4.390000,1.092762,869000
2015-07-01,4.440000,4.650000,3.550000,3.600000,0.896115,401000
2015-08-01,3.510000,4.300000,3.100000,3.850000,0.958345,1214100
2015-09-01,4.000000,4.120000,3.340000,3.660000,0.911050,529600
2015-10-01,3.310000,3.330000,2.480000,2.490000,0.619813,4632000
2015-11-01,2.490000,2.570000,2.110000,2.470000,0.614834,779000
2015-12-01,2.530000,2.800000,2.470000,2.800000,0.696978,79200
2016-01-01,2.800000,2.800000,1.910000,1.910000,0.475439,195800
2016-02-01,1.940000,2.840000,1.800000,2.640000,0.657151,984300
2016-03-01,2.690000,2.990000,2.550000,2.800000,0.696978,88700
2016-04-01,2.770000,3.050000,2.400000,2.400000,0.597410,388600
2016-05-01,2.400000,3.050000,2.340000,2.600000,0.647194,379600
2016-06-01,2.700000,3.500000,2.700000,3.400000,0.846331,481300
2016-07-01,3.500000,4.240000,3.200000,3.230000,0.804014,175000
2016-08-01,3.320000,4.700000,3.230000,3.300000,0.821438,594000
2016-09-01,3.500000,4.150000,3.350000,4.120000,1.025553,92300
2016-10-01,4.110000,4.650000,3.950000,4.400000,1.095251,935200
2016-11-01,4.500000,4.600000,3.800000,3.990000,0.993194,1112900
2016-12-01,3.990000,4.120000,3.650000,3.990000,0.993194,2460100
2017-01-01,3.980000,4.500000,3.980000,4.250000,1.057913,170600
2017-02-01,4.350000,5.650000,4.310000,5.640000,1.403913,285800
2017-03-01,5.640000,6.250000,5.400000,5.600000,1.393956,252200
2017-04-01,5.650000,5.950000,5.400000,5.890000,1.466143,24100
2017-05-01,5.890000,5.890000,4.660000,4.990000,1.242114,87600
2017-06-01,4.990000,5.000000,4.510000,4.620000,1.150014,1606300
2017-07-01,4.630000,5.050000,4.290000,4.920000,1.224690,60000
2017-08-01,4.900000,5.350000,4.620000,5.110000,1.271985,56600
2017-09-01,5.110000,6.600000,4.960000,6.100000,1.518416,138700
2017-10-01,6.000000,6.000000,4.800000,4.950000,1.232158,153700
2017-11-01,4.780000,5.420000,4.450000,5.000000,1.244604,38300
2017-12-01,5.000000,6.200000,4.620000,5.710000,1.421337,203700
2018-01-01,5.710000,5.980000,5.200000,5.300000,1.319280,304800
2018-02-01,5.780000,5.800000,5.200000,5.450000,1.356618,142000
2018-03-01,5.410000,5.480000,4.160000,4.650000,1.157481,807300
2018-04-01,4.690000,6.150000,4.490000,5.970000,1.486057,327100
2018-05-01,5.970000,6.290000,4.520000,4.650000,1.157481,172300
2018-06-01,4.650000,4.670000,3.600000,3.850000,0.958345,92300
2018-07-01,3.850000,4.100000,3.660000,3.840000,0.955856,150400
2018-08-01,3.840000,4.250000,3.620000,3.650000,0.908561,62900
2018-09-01,3.700000,3.840000,3.500000,3.500000,0.871223,38500
2018-10-01,3.510000,3.890000,3.350000,3.400000,0.846331,402000
2018-11-01,3.400000,3.680000,3.010000,3.070000,0.764187,325800
2018-12-01,3.020000,7.900000,2.670000,6.580000,1.637898,1716100
2019-01-01,6.580000,6.580000,4.800000,5.320000,1.324258,2426800
