Date,Open,High,Low,Close,Adj Close,Volume
2003-06-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2003-07-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2003-08-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2003-09-01,7.000000,7.000000,6.500000,7.000000,7.000000,0
2003-10-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2003-11-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2003-12-01,7.000000,7.000000,6.000000,7.000000,7.000000,100
2004-01-01,7.000000,7.000000,5.000000,5.000000,5.000000,1000
2004-02-01,5.500000,5.500000,5.200000,5.200000,5.200000,3000
2004-03-01,5.200000,5.200000,5.200000,5.200000,5.200000,0
2004-04-01,5.200000,5.200000,4.800000,4.800000,4.800000,7800
2004-05-01,4.800000,4.800000,4.690000,4.800000,4.800000,5300
2004-06-01,4.800000,4.800000,2.010000,2.010000,2.010000,500
2004-07-01,2.010000,3.550000,2.000000,3.000000,3.000000,0
2004-08-01,3.000000,7.700000,2.010000,6.000000,6.000000,3800
2004-09-01,6.000000,6.750000,5.010000,5.990000,5.990000,4600
2004-10-01,5.990000,5.990000,5.980000,5.990000,5.990000,8400
2004-11-01,5.990000,7.400000,5.990000,6.500000,6.500000,6600
2004-12-01,6.500000,11.200000,6.500000,10.000000,10.000000,14400
2005-01-01,10.000000,10.000000,9.000000,9.000000,9.000000,800
2005-02-01,8.000000,11.000000,8.000000,9.000000,9.000000,500
2005-03-01,9.000000,10.000000,9.000000,9.100000,9.100000,0
2005-04-01,9.100000,11.000000,9.000000,9.000000,9.000000,500
2005-05-01,9.000000,9.000000,8.000000,8.000000,8.000000,0
2005-06-01,8.000000,9.500000,8.000000,8.100000,8.100000,100
2005-07-01,8.100000,8.100000,6.000000,6.500000,6.500000,100
2005-08-01,6.500000,10.000000,6.000000,6.000000,6.000000,300
2005-09-01,6.000000,17.010000,6.000000,10.000000,10.000000,1600
2005-10-01,10.000000,16.990000,8.000000,8.500000,8.500000,300
2005-11-01,9.110000,10.260000,8.500000,8.500000,8.500000,400
2005-12-01,8.500000,9.000000,8.500000,8.500000,8.500000,0
2006-01-01,8.500000,13.500000,8.500000,13.000000,13.000000,7100
2006-02-01,13.300000,20.000000,11.000000,19.000000,19.000000,7300
2006-03-01,15.000000,18.650000,15.000000,15.000000,15.000000,1600
2006-04-01,15.000000,18.000000,8.500000,17.299999,17.299999,600
2006-05-01,17.299999,20.000000,16.700001,16.700001,16.700001,14400
2006-06-01,16.000000,17.500000,13.000000,15.000000,15.000000,3350
2006-07-01,13.000000,16.000000,13.000000,13.250000,13.250000,1500
2006-08-01,15.000000,15.000000,12.450000,12.450000,12.450000,17235
2006-09-01,10.300000,11.500000,10.300000,11.500000,11.500000,3600
2006-10-01,10.000000,10.010000,8.500000,9.350000,9.350000,3000
2006-11-01,9.350000,11.500000,8.610000,11.500000,11.500000,3100
2006-12-01,11.500000,18.990000,10.000000,10.000000,10.000000,1000
2007-01-01,10.000000,14.000000,9.510000,14.000000,14.000000,0
2007-02-01,14.300000,19.990000,14.300000,17.000000,17.000000,3200
2007-03-01,17.010000,18.200001,15.010000,18.000000,18.000000,5800
2007-04-01,16.250000,22.500000,10.000000,19.950001,19.950001,3200
2007-05-01,19.950001,20.500000,15.000000,15.000000,15.000000,63300
2007-06-01,15.990000,18.500000,13.620000,17.799999,17.799999,127100
2007-07-01,18.400000,18.400000,14.990000,15.940000,15.940000,162200
2007-08-01,16.010000,16.500000,10.500000,13.190000,13.190000,163400
2007-09-01,13.890000,13.890000,7.000000,9.900000,9.900000,799000
2007-10-01,10.270000,13.500000,8.020000,12.690000,12.690000,327300
2007-11-01,13.240000,14.000000,8.770000,12.600000,12.600000,89600
2007-12-01,12.600000,13.000000,10.000000,11.200000,11.200000,105100
2008-01-01,11.200000,11.900000,6.500000,7.990000,7.990000,79800
2008-02-01,8.000000,9.860000,4.510000,4.770000,4.770000,270100
2008-03-01,4.800000,5.000000,3.300000,3.440000,3.440000,422800
2008-04-01,3.400000,6.300000,2.510000,2.700000,2.700000,2810800
2008-05-01,2.700000,5.600000,2.630000,3.130000,3.130000,1945900
2008-06-01,3.120000,4.000000,3.020000,3.150000,3.150000,1681900
2008-07-01,3.140000,3.150000,2.530000,2.630000,2.630000,241800
2008-08-01,2.790000,3.130000,1.800000,1.900000,1.900000,333300
2008-09-01,1.900000,2.150000,1.210000,1.470000,1.470000,277900
2008-10-01,1.380000,1.600000,0.950000,1.150000,1.150000,258200
2008-11-01,1.100000,2.990000,1.100000,2.000000,2.000000,576900
2008-12-01,2.020000,3.500000,2.000000,2.730000,2.730000,1730800
2009-01-01,2.730000,2.900000,2.150000,2.240000,2.240000,408800
