Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,1.789630,2.006560,1.609200,1.789630,1.120346,178412
2003-02-01,1.609200,1.952330,1.604330,1.784210,1.116953,38627062
2003-03-01,1.784210,1.952330,1.579950,1.757090,1.099975,287098
2003-04-01,1.579950,1.789630,1.579950,1.757090,1.099975,471662
2003-05-01,1.757090,1.789630,1.579950,1.757090,1.099975,504474
2003-06-01,1.789630,1.789630,1.565320,1.584820,0.992131,4027582
2003-07-01,1.584820,1.816750,1.579950,1.579950,0.989082,328113
2003-08-01,1.579950,1.952330,1.579950,1.757090,1.099975,387583
2003-09-01,1.952330,2.413290,1.579950,1.757090,1.099975,149700
2003-10-01,1.579950,1.925210,1.579950,1.706730,1.068449,192766
2003-11-01,1.898090,1.925210,1.579950,1.579950,0.989082,270693
2003-12-01,1.579950,2.028250,1.579950,1.805900,1.130531,807978
2004-01-01,1.805900,2.163830,1.731110,1.778790,1.113560,920767
2004-02-01,1.778790,2.277710,1.778790,2.006560,1.256148,244034
2004-03-01,1.857900,2.223480,1.657970,1.795060,1.123745,321960
2004-04-01,2.142140,2.163830,1.609200,1.789630,1.120346,120992
2004-05-01,1.653090,2.115020,1.492170,1.789630,1.120346,459358
2004-06-01,2.060790,3.253880,1.789630,1.898090,1.188244,287099
2004-07-01,2.158410,2.548870,1.789630,1.870980,1.171272,110739
2004-08-01,2.169250,2.277710,1.692100,1.952330,1.222199,336314
2004-09-01,2.163830,2.266870,1.755490,1.901790,1.190560,274795
2004-10-01,2.228910,2.277710,1.901790,2.212640,1.385159,666479
2004-11-01,2.277710,2.277710,1.950550,2.048080,1.282140,104586
2004-12-01,2.048080,3.253880,2.048080,2.440410,1.527748,313757
2005-01-01,2.445830,3.253880,2.340660,2.413290,1.510770,149702
2005-02-01,2.350410,3.064070,2.199240,2.535710,1.587407,219426
2005-03-01,2.820030,3.248450,2.535710,2.771220,1.734841,3125274
2005-04-01,2.535710,3.036950,2.350410,2.657330,1.663544,123042
2005-05-01,2.657330,2.872890,2.368390,2.441640,1.528518,204779
2005-06-01,2.856600,2.872890,2.295140,2.490470,1.559086,4294249
2005-07-01,2.514890,3.030390,2.446520,2.803000,1.754736,12565340
2005-08-01,3.095560,3.258480,2.544190,3.155300,1.975284,6145467
2005-09-01,2.881130,3.790700,2.881130,3.091110,1.935100,6657417
2005-10-01,3.174130,3.796130,3.027630,3.027630,1.895360,4523605
2005-11-01,3.198540,4.094820,3.174130,3.618510,2.265262,4726339
2005-12-01,3.686870,4.312060,3.564790,4.312060,2.699439,25118393
2006-01-01,3.686870,5.023490,3.672220,4.326580,2.708529,9110691
2006-02-01,4.394950,5.425370,4.272860,5.104950,3.195805,5471739
