Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,64.027000,69.000000,64.027000,68.199997,60.925213,5000
2012-03-01,68.199997,68.199997,68.199997,68.199997,60.925213,0
2012-04-01,68.199997,68.199997,68.199997,68.199997,60.925213,0
2012-05-01,68.199997,68.199997,68.199997,68.199997,61.390850,0
2012-06-01,68.199997,68.199997,68.199997,68.199997,61.390850,0
2012-07-01,68.199997,68.199997,68.199997,68.199997,61.390850,0
2012-08-01,68.199997,87.362000,68.199997,87.362000,79.351898,3000
2012-09-01,87.362000,87.362000,87.362000,87.362000,79.351898,0
2012-10-01,87.362000,97.475998,87.362000,93.915001,85.304070,2000
2012-11-01,93.915001,96.399002,93.915001,96.399002,88.180618,4000
2012-12-01,104.125000,104.789001,102.136002,102.695999,93.940750,2000
2013-01-01,102.695999,106.940002,102.695999,103.930000,95.069550,4000
2013-02-01,103.930000,104.082001,102.000999,103.110001,94.861168,20297
2013-03-01,103.110001,109.103996,103.110001,109.103996,100.375633,10000
2013-04-01,109.103996,109.103996,106.342003,106.342003,97.834595,4000
2013-05-01,106.342003,119.723999,106.342003,117.584000,109.385445,5000
2013-06-01,117.584000,123.378998,117.584000,121.171997,112.723251,4000
2013-07-01,121.171997,137.000000,121.171997,137.000000,127.447639,8000
2013-08-01,146.673996,153.432007,144.830994,153.432007,144.357986,36000
2013-09-01,153.432007,153.432007,146.923004,151.337997,142.387848,12000
2013-10-01,151.337997,151.337997,144.841003,146.171005,137.526443,6000
2013-11-01,146.171005,146.171005,146.171005,146.171005,138.827454,0
2013-12-01,146.171005,195.285004,146.171005,195.285004,185.473999,13000
2014-01-01,195.285004,196.688004,184.399994,184.399994,175.135834,12200
2014-02-01,183.399994,186.369995,179.779999,179.779999,173.063400,10800
2014-03-01,179.779999,183.539993,166.240005,166.240005,160.029266,1800
2014-04-01,166.240005,166.240005,156.240005,158.960007,153.021225,2400
2014-05-01,158.960007,169.380005,158.960007,169.380005,163.292007,24000
2014-06-01,169.380005,169.720001,167.350006,167.350006,161.335007,9200
2014-07-01,167.350006,173.050003,167.350006,173.050003,166.830154,11400
2014-08-01,173.050003,173.050003,170.380005,173.050003,167.082916,300
2014-09-01,170.380005,183.369995,169.550003,183.369995,177.047073,33000
2014-10-01,183.369995,185.740005,175.179993,185.740005,179.335388,3100
2014-11-01,185.740005,215.899994,185.740005,215.899994,208.748306,36100
2014-12-01,215.899994,238.330002,215.899994,230.300003,222.671295,98070
2015-01-01,229.000000,229.000000,214.559998,216.000000,208.844971,36500
2015-02-01,224.699997,261.399994,224.630005,259.390015,251.288223,4400
2015-03-01,259.390015,293.750000,259.390015,283.029999,274.189850,6700
2015-04-01,283.029999,283.029999,262.269989,262.269989,254.078232,4900
2015-05-01,262.269989,294.700012,262.269989,294.700012,285.979523,3500
2015-06-01,294.410004,297.369995,288.899994,288.899994,280.351166,8700
2015-07-01,288.899994,335.440002,288.899994,334.250000,324.359222,4100
2015-08-01,334.619995,346.850006,320.829987,320.829987,311.934143,18200
2015-09-01,333.109985,381.899994,329.480011,360.670013,350.669586,100200
2015-10-01,360.670013,391.709991,360.670013,387.029999,376.298615,4900
2015-11-01,387.029999,387.029999,364.420013,364.420013,354.911682,3700
2015-12-01,377.450012,391.369995,366.049988,379.619995,369.715149,18400
2016-01-01,379.619995,384.170013,346.200012,350.649994,341.500977,35800
2016-02-01,351.000000,351.739990,324.609985,349.750000,341.292114,17600
2016-03-01,349.750000,349.750000,313.459991,338.230011,330.050720,18200
2016-04-01,338.230011,347.690002,328.250000,347.690002,339.281921,7400
2016-05-01,341.000000,343.970001,333.350006,341.350006,333.753296,19600
2016-06-01,346.359985,346.359985,284.750000,284.750000,278.412933,9900
2016-07-01,289.500000,314.899994,289.500000,314.899994,307.891998,18800
2016-08-01,308.380005,314.049988,299.649994,311.149994,304.858124,17200
2016-09-01,316.000000,333.540009,311.290009,327.149994,320.534607,30300
2016-10-01,326.399994,341.809998,320.600006,341.809998,334.898163,11200
2016-11-01,342.000000,356.299988,336.450012,346.299988,339.935089,16600
2016-12-01,346.890015,356.399994,338.019989,338.019989,331.807281,10000
2017-01-01,338.019989,349.500000,335.260010,335.260010,329.098022,3300
2017-02-01,332.000000,342.279999,327.329987,342.279999,336.673553,14100
2017-03-01,347.920013,353.579987,345.290009,347.570007,341.876923,8000
2017-04-01,349.100006,368.809998,348.220001,368.809998,362.768982,3100
2017-05-01,368.809998,399.640015,365.299988,396.679993,390.967682,5400
2017-06-01,396.149994,414.019989,394.600006,408.980011,403.090576,11100
2017-07-01,403.149994,412.000000,399.959991,400.320007,394.555267,6200
2017-08-01,402.000000,425.260010,402.000000,420.000000,414.669556,3200
2017-09-01,419.929993,445.940002,419.929993,445.380005,439.727386,3300
2017-10-01,445.380005,488.790009,445.380005,488.790009,482.586487,5600
2017-11-01,489.000000,494.920013,478.029999,488.869995,483.440582,3000
2017-12-01,488.190002,508.809998,475.200012,502.600006,497.018127,5300
2018-01-01,502.600006,538.020020,499.700012,502.600006,497.018127,4500
2018-02-01,551.150024,575.710022,540.619995,572.880005,567.450134,4700
2018-03-01,567.479980,598.340027,562.950012,576.390015,570.926758,7300
2018-04-01,566.090027,624.919983,565.669983,624.919983,618.996826,7200
2018-05-01,624.919983,718.789978,624.919983,718.789978,713.091858,6900
2018-06-01,732.070007,785.869995,732.070007,765.909973,759.838379,13300
2018-07-01,770.080017,807.590027,739.090027,745.460022,739.550476,8800
2018-08-01,754.109985,904.000000,747.520020,892.229980,886.247925,6500
2018-09-01,892.229980,914.840027,865.570007,895.989990,889.982788,7400
2018-10-01,895.989990,895.989990,691.299988,735.799988,730.866699,12700
2018-11-01,736.179993,770.559998,703.349976,770.450012,766.155518,8600
2018-12-01,791.830017,802.869995,703.869995,704.380005,700.453796,7000
2019-01-01,704.380005,771.700012,685.200012,771.700012,767.398560,6100
