Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,23.500000,23.700001,20.500000,21.000000,14.602475,346870200
2009-11-01,20.520000,23.410000,20.150000,23.350000,16.236563,52165200
2009-12-01,23.320000,24.559999,22.290001,23.900000,16.619011,37738600
2010-01-01,23.700001,24.049999,21.559999,22.520000,15.659423,25991700
2010-02-01,22.490000,22.840000,19.600000,21.389999,14.873667,36990700
2010-03-01,21.350000,22.430000,20.860001,21.980000,15.283928,38550600
2010-04-01,22.000000,22.480000,18.660000,20.090000,13.969706,38482259
2010-05-01,20.000000,20.770000,18.430000,19.290001,13.413417,39540761
2010-06-01,18.900000,21.000000,18.309999,18.530001,12.884951,15874891
2010-07-01,18.620001,23.610001,17.930000,23.240000,16.160074,41167900
2010-08-01,23.400000,23.570000,21.280001,22.299999,15.595103,43184085
2010-09-01,22.480000,23.020000,20.910000,22.799999,15.944768,36026171
2010-10-01,23.090000,25.500000,22.879999,24.120001,16.960154,40416400
2010-11-01,24.219999,26.049999,22.080000,22.150000,15.574938,45582000
2010-12-01,22.600000,23.709999,21.600000,22.549999,15.856192,37943100
2011-01-01,22.700001,22.950001,19.219999,19.330000,13.801702,41496000
2011-02-01,19.530001,20.750000,18.049999,20.090000,14.344351,38909425
2011-03-01,20.090000,20.320000,18.820000,19.700001,14.065885,29606576
2011-04-01,19.900000,20.000000,17.719999,18.100000,13.027718,90188500
2011-05-01,18.139999,18.799999,17.110001,17.850000,12.847775,37675117
2011-06-01,17.770000,18.299999,16.900000,18.299999,13.171671,49216200
2011-07-01,18.270000,18.320000,14.020000,14.220000,10.322854,90620266
2011-08-01,14.640000,15.480000,12.950000,15.310000,11.114127,152090000
2011-09-01,15.660000,16.469999,13.670000,13.720000,9.959887,55114900
2011-10-01,13.500000,16.150000,12.720000,14.580000,10.584190,69092900
2011-11-01,14.520000,15.400000,12.510000,13.910000,10.097813,66568600
2011-12-01,14.290000,15.510000,14.100000,14.960000,10.860049,58587700
2012-01-01,15.250000,17.049999,14.960000,16.820000,12.380785,70591400
2012-02-01,16.200001,18.740000,16.110001,18.450001,13.580589,61242400
2012-03-01,18.719999,19.700001,16.719999,17.290001,12.726743,60718800
2012-04-01,16.790001,17.160000,15.150000,16.450001,12.171628,60507400
2012-05-01,15.540000,17.040001,15.110000,16.299999,12.060639,74094700
2012-06-01,15.840000,16.799999,15.040000,15.400000,11.394715,55434900
2012-07-01,15.230000,15.940000,13.600000,15.510000,11.586855,53984800
2012-08-01,15.590000,16.889999,15.050000,15.500000,11.579381,46474400
2012-09-01,15.470000,17.320000,14.770000,14.820000,11.071384,54483600
2012-10-01,15.120000,15.480000,13.670000,13.950000,10.448391,47190100
2012-11-01,13.880000,14.830000,13.590000,14.500000,10.860335,40180500
2012-12-01,14.500000,15.090000,13.930000,14.970000,11.212358,59501900
2013-01-01,14.970000,16.070000,14.060000,14.650000,11.099145,94045500
2013-02-01,14.710000,15.050000,13.970000,14.380000,10.894588,53768200
2013-03-01,14.260000,16.190001,14.250000,14.310000,10.841556,77841100
2013-04-01,14.620000,14.880000,13.740000,14.700000,11.137028,64251200
2013-05-01,14.700000,15.710000,14.090000,15.390000,11.723339,79196200
2013-06-01,15.130000,15.340000,13.170000,13.450000,10.245546,76974800
2013-07-01,13.300000,14.360000,12.640000,13.610000,10.501432,72449900
2013-08-01,13.680000,14.400000,13.100000,13.640000,10.524580,67391300
2013-09-01,13.780000,16.010000,13.370000,14.940000,11.527655,76676700
2013-10-01,15.150000,15.740000,14.860000,15.430000,12.004978,54680700
2013-11-01,15.500000,15.680000,14.190000,14.900000,11.592623,48127200
2013-12-01,14.750000,15.000000,13.650000,13.710000,10.666768,39003600
2014-01-01,13.980000,14.450000,11.210000,11.260000,8.760598,103420800
2014-02-01,11.280000,11.920000,10.840000,11.450000,8.957743,59128000
2014-03-01,11.330000,12.600000,10.890000,12.570000,9.833958,65268500
2014-04-01,12.650000,15.370000,12.150000,14.900000,11.681911,86378800
2014-05-01,14.900000,15.420000,14.650000,15.060000,11.807355,57835000
2014-06-01,15.200000,16.490000,14.830000,15.120000,11.854395,46593300
2014-07-01,15.220000,15.800000,14.550000,15.240000,12.033157,36613100
2014-08-01,15.130000,15.930000,14.710000,15.470000,12.214761,37731700
2014-09-01,15.500000,16.459999,15.360000,15.830000,12.499009,48726400
2014-10-01,15.810000,16.049999,12.400000,13.350000,10.579279,136401800
2014-11-01,12.700000,15.800000,12.270000,14.510000,11.498526,83023000
2014-12-01,14.200000,14.640000,12.300000,13.280000,10.523805,62352108
2015-01-01,13.250000,13.770000,12.210000,12.430000,9.850219,22902200
2015-02-01,12.410000,14.700000,12.250000,14.160000,11.378042,14524100
2015-03-01,14.140000,14.820000,12.880000,13.960000,11.217338,17320400
2015-04-01,14.280000,16.299999,14.130000,16.110001,12.982722,14785300
