Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,2.841670,3.237500,2.804170,3.208330,1.595219,258127201
2003-02-01,3.220830,3.695830,3.166670,3.445830,1.713307,352504799
2003-03-01,3.445830,3.787500,3.162500,3.612500,1.796177,333086400
2003-04-01,3.629170,3.833330,3.166670,3.204170,1.593150,789026403
2003-05-01,3.204170,3.458330,3.012500,3.179170,1.580720,423993603
2003-06-01,3.170830,3.970830,3.079170,3.875000,1.926695,362426403
2003-07-01,3.900000,4.500000,3.783330,4.500000,2.237452,249645601
2003-08-01,4.500000,44.445801,4.220830,5.529170,2.749167,354992815
2003-09-01,5.529170,5.945830,5.262500,5.733330,2.850678,256874401
2003-10-01,5.754170,7.054170,5.754170,6.554170,3.258809,261021599
2003-11-01,6.554170,7.445830,6.204170,7.445830,3.702153,212313602
2003-12-01,7.445830,8.970830,7.066670,8.704170,4.327814,312260817
2004-01-01,8.704170,10.187500,8.529170,9.083330,4.516337,348559201
2004-02-01,8.666670,10.387500,8.054170,10.333300,5.137836,253231200
2004-03-01,10.387500,11.662500,9.862500,11.050000,5.494188,378755996
2004-04-01,11.112500,11.387500,7.683330,7.750000,3.853389,290735997
2004-05-01,7.750000,8.220830,5.876670,6.083330,3.024702,393096605
2004-06-01,6.033330,6.400000,5.550000,6.313330,3.139060,377924400
2004-07-01,6.251670,7.333330,6.166670,7.331670,3.645390,285388200
2004-08-01,7.326670,7.750000,7.066670,7.558330,3.758088,262999800
2004-09-01,7.575000,7.750000,6.735000,7.400000,3.679366,242368200
2004-10-01,7.413330,7.951670,6.340000,7.023330,3.492081,241965000
2004-11-01,7.031670,8.746670,6.908330,8.633330,4.292592,316762200
2004-12-01,8.666670,8.818330,7.691670,8.465000,4.208896,327110400
2005-01-01,8.458330,9.200000,7.516670,8.733330,4.342313,275868000
2005-02-01,8.733330,11.665000,8.616670,11.200000,5.568769,395625600
2005-03-01,11.500000,11.948300,9.775000,10.550000,5.245581,389185200
2005-04-01,10.700000,10.816700,8.376670,9.195000,4.571860,401536800
2005-05-01,7.765000,7.885000,6.546670,7.116670,3.538491,479673000
2005-06-01,7.133330,7.483330,6.273330,6.316670,3.140721,353979000
2005-07-01,6.290000,7.658330,5.866670,7.466670,3.712515,350807400
2005-08-01,7.416670,8.316670,7.221670,7.721670,3.839304,388499400
2005-09-01,7.735000,8.965000,7.608330,8.628330,4.290105,293671800
2005-10-01,8.575000,8.716670,6.541670,7.208330,3.584064,362894400
2005-11-01,7.228330,7.853330,7.033330,7.666670,3.811957,296224200
2005-12-01,7.755000,8.433330,7.670000,8.383330,4.168289,319996800
