Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,2.800400,2.865760,2.506790,2.629460,1.235771,9784
2003-02-01,2.615380,2.709900,2.538960,2.664660,1.252314,14289
2003-03-01,2.689790,2.735040,2.473600,2.699850,1.268853,10718
2003-04-01,2.639520,3.373550,2.604320,3.338360,1.568934,10069
2003-05-01,3.338360,3.519360,3.217700,3.368530,1.583114,8399550
2003-06-01,3.318250,3.670190,3.267970,3.471090,1.631313,8643204
2003-07-01,3.479140,3.770740,3.428860,3.680240,1.729609,8402536
2003-08-01,3.670190,36.199100,3.559580,4.468580,2.100106,15802606
2003-09-01,4.524890,4.972350,4.152840,4.361990,2.050012,13771841
2003-10-01,4.424330,4.876820,4.424330,4.565110,2.145472,9993736
2003-11-01,4.585220,5.188540,4.444440,5.186530,2.437521,13474486
2003-12-01,5.208650,6.737050,5.208650,6.706890,3.152048,17208832
2004-01-01,6.596280,7.942680,6.354950,6.988440,3.284368,19046669
2004-02-01,6.985420,7.488180,6.435390,7.189540,3.378880,16936338
2004-03-01,7.238810,8.195070,7.139270,8.195070,3.851451,16249138
2004-04-01,8.195070,8.521870,7.293110,7.491200,3.520651,15344145
2004-05-01,8.273330,9.000000,7.224440,8.855560,4.161862,14774850
2004-06-01,8.842220,9.988890,8.333330,9.822220,4.616165,21195450
2004-07-01,9.642220,11.711100,9.513330,11.633300,5.467320,11264850
2004-08-01,11.600000,13.997800,11.442200,13.444400,6.628937,13964400
2004-09-01,13.357800,13.708900,12.311100,13.111100,6.464599,12146400
2004-10-01,13.111100,13.820000,11.555600,12.311100,6.070148,12320100
2004-11-01,12.266700,14.224400,12.133300,14.224400,7.013526,12914550
2004-12-01,14.224400,14.977800,13.222200,14.977800,7.946745,12886200
2005-01-01,15.000000,15.155600,12.622200,14.191100,7.529346,9527850
2005-02-01,13.977800,14.822200,12.891100,14.677800,7.787578,19208700
2005-03-01,14.557800,15.962200,12.777800,13.442200,8.251154,17891100
2005-04-01,13.777800,13.888900,11.000000,11.083300,6.803203,15655200
2005-05-01,11.330000,12.276700,9.600000,11.133300,6.833895,12665100
2005-06-01,11.203300,12.066700,9.683330,10.070000,6.633190,16960200
2005-07-01,10.100000,11.056700,9.166670,10.766700,7.092113,16350300
2005-08-01,10.796700,12.833300,10.533300,12.033300,7.926434,19440600
2005-09-01,12.083300,14.363300,11.866700,14.200000,9.971497,16415400
2005-10-01,14.150000,14.326700,11.723300,13.433300,9.433105,18006300
2005-11-01,13.333300,14.596700,13.256700,14.133300,9.924657,11233200
2005-12-01,14.163300,16.516701,14.080000,16.166700,11.984807,14569200
2006-01-01,15.950000,19.730000,15.333300,19.153299,14.198849,18371400
2006-02-01,18.783300,19.863300,17.266701,19.746700,14.638758,14580900
2006-03-01,19.823299,21.466700,19.030001,19.666700,15.117122,20416200
2006-04-01,20.040001,22.225000,19.933300,21.445000,16.484043,13711800
2006-05-01,21.500000,21.934999,16.855000,19.205000,14.762228,582979044
2006-06-01,19.850000,20.825001,17.100000,19.750000,15.181150,600607580
2006-07-01,19.754999,20.750000,18.540001,20.450001,15.719215,377952790
2006-08-01,20.235001,21.320000,18.365000,19.150000,14.719953,553974262
2006-09-01,19.155001,20.200001,17.049999,18.025000,14.238786,100076574
2006-10-01,18.445000,20.049999,17.725000,19.350000,15.285468,14966800
2006-11-01,19.549999,21.165001,19.295000,20.865000,16.482233,14432200
2006-12-01,21.000000,22.000000,20.504999,21.975000,17.359079,16128400
2007-01-01,21.975000,22.690001,20.084999,22.059999,17.426218,18619000
2007-02-01,22.150000,25.629999,21.910000,23.275000,18.386009,16517600
2007-03-01,22.740000,24.200001,20.950001,24.190001,19.566961,17165200
2007-04-01,24.000000,27.350000,23.625000,27.350000,22.123039,17007600
2007-05-01,27.250000,29.434999,26.715000,28.750000,23.255486,17788200
2007-06-01,28.600000,34.299999,28.600000,33.250000,26.895460,17963800
2007-07-01,33.230000,34.900002,30.000000,31.510000,25.488012,15675800
2007-08-01,30.785000,32.900002,24.555000,30.750000,24.873245,18946800
2007-09-01,30.725000,30.924999,27.565001,30.570000,25.192427,16988800
2007-10-01,30.889999,35.400002,30.700001,34.750000,28.637123,22056800
2007-11-01,34.845001,35.744999,29.514999,34.599998,28.513498,20036600
2007-12-01,34.849998,35.840000,32.080002,35.500000,29.255186,17504000
2008-01-01,35.400002,35.400002,26.875000,30.500000,25.134735,21838400
2008-02-01,31.250000,37.724998,29.504999,37.250000,30.697338,14008400
2008-03-01,36.514999,39.244999,35.055000,36.549999,30.546919,23770000
2008-04-01,36.650002,44.250000,36.650002,44.250000,36.982246,20628000
2008-05-01,44.744999,56.799999,44.000000,56.494999,47.216091,29950600
2008-06-01,56.000000,58.400002,49.099998,52.000000,43.459362,24945300
2008-07-01,51.349998,53.500000,41.099998,46.990002,39.272232,18263900
2008-08-01,46.500000,47.160000,36.410000,41.500000,34.683914,15087800
2008-09-01,41.689999,41.790001,26.500000,29.700001,25.215155,23537800
2008-10-01,29.889999,29.940001,14.280000,19.600000,16.640299,28556000
2008-11-01,19.790001,22.209999,15.600000,20.400000,17.319498,22840700
2008-12-01,19.799999,22.520000,17.330000,20.139999,17.324085,22613200
2009-01-01,20.600000,25.500000,19.750000,19.950001,17.160654,21551500
2009-02-01,19.580000,23.290001,16.090000,16.690001,14.356455,17234800
2009-03-01,16.299999,17.900000,14.400000,16.900000,14.537090,25269000
2009-04-01,16.750000,20.969999,16.410000,20.520000,17.765053,21641600
2009-05-01,21.100000,27.299999,21.070000,26.100000,22.595900,29891100
2009-06-01,26.879999,29.290001,23.799999,25.799999,22.336182,26970000
2009-07-01,25.969999,27.790001,22.920000,27.200001,23.548220,22571100
2009-08-01,27.400000,29.370001,26.530001,27.620001,23.911831,17636800
2009-09-01,27.540001,31.290001,26.490000,29.650000,25.669289,19211800
2009-10-01,29.559999,38.099998,28.299999,32.000000,27.703785,24696100
2009-11-01,31.360001,35.099998,30.910000,33.049999,28.612816,21320900
2009-12-01,33.700001,36.689999,32.889999,34.919998,30.231752,23367600
2010-01-01,35.200001,36.560001,30.750000,31.340000,27.132393,17335000
2010-02-01,31.500000,33.500000,29.350000,32.849998,28.439665,16505600
2010-03-01,33.240002,36.480000,32.599998,36.480000,31.582325,15704300
2010-04-01,36.580002,39.500000,33.830002,34.040001,29.469904,15459740
2010-05-01,34.200001,34.299999,27.549999,31.730000,27.470037,21071376
2010-06-01,30.900000,33.049999,28.400000,29.209999,25.288361,13618043
2010-07-01,29.299999,31.870001,28.200001,31.000000,26.838039,15201100
2010-08-01,31.500000,32.860001,27.209999,28.170000,24.387989,15098101
2010-09-01,28.280001,30.379999,26.799999,27.320000,23.827488,20827089
2010-10-01,27.500000,27.600000,24.040001,26.190001,22.841938,26101900
2010-11-01,26.190001,27.559999,23.139999,23.250000,20.277786,24704000
2010-12-01,23.900000,27.900000,23.650000,26.799999,23.373955,23887800
2011-01-01,27.340000,29.480000,24.870001,25.490000,22.231428,19992300
2011-02-01,25.740000,28.440001,25.000000,25.840000,22.536678,20349046
2011-03-01,26.000000,27.049999,23.530001,23.920000,20.862131,30248122
2011-04-01,24.170000,24.430000,22.110001,22.930000,20.068594,25352100
2011-05-01,22.830000,23.100000,20.010000,21.760000,19.044598,24919654
2011-06-01,21.510000,21.660000,18.910000,20.000000,17.590450,25630200
2011-07-01,20.000000,20.770000,17.500000,17.600000,15.479593,27379043
2011-08-01,17.900000,18.049999,13.840000,17.170000,15.101398,50932200
2011-09-01,17.299999,18.990000,15.970000,16.760000,14.740797,37781700
2011-10-01,16.469999,19.930000,15.380000,19.900000,17.502495,23784100
2011-11-01,18.260000,19.990000,16.260000,17.120001,15.057426,18697700
2011-12-01,17.500000,18.750000,16.959999,17.910000,15.920768,19992100
2012-01-01,17.950001,21.440001,17.700001,21.000000,18.667566,24309700
2012-02-01,21.260000,23.290001,21.180000,22.850000,20.312094,21833600
2012-03-01,23.000000,24.860001,21.889999,22.490000,20.090998,20274300
2012-04-01,22.440001,23.760000,21.700001,23.250000,20.769932,16732200
2012-05-01,23.250000,23.620001,19.230000,19.950001,17.821941,24207400
2012-06-01,19.410000,22.680000,19.410000,22.139999,19.852518,18989000
2012-07-01,21.809999,23.570000,20.590000,23.320000,20.910599,15297200
2012-08-01,23.320000,26.000000,22.129999,22.129999,19.843548,20845600
2012-09-01,22.139999,27.020000,21.850000,24.430000,22.021345,25221100
2012-10-01,24.420000,25.309999,21.900000,22.760000,20.516005,19817800
2012-11-01,22.389999,24.190001,21.790001,22.450001,20.236563,14040400
2012-12-01,22.750000,23.900000,22.230000,22.900000,20.722900,21748300
2013-01-01,23.059999,24.350000,21.200001,22.290001,20.170893,23643800
2013-02-01,22.469999,22.469999,19.700001,20.950001,18.958288,21059700
2013-03-01,20.540001,20.900000,18.400000,19.370001,17.528496,20584200
2013-04-01,19.320000,20.170000,17.780001,20.170000,18.270557,17594200
2013-05-01,19.870001,20.090000,16.330000,16.440001,14.891818,18107300
2013-06-01,16.680000,17.150000,14.820000,15.990000,14.500814,24736200
2013-07-01,15.980000,18.680000,15.700000,18.230000,16.532196,23196900
2013-08-01,18.469999,21.719999,18.280001,21.170000,19.198391,40856900
2013-09-01,21.490000,22.219999,20.660000,21.160000,19.297737,28674000
2013-10-01,21.200001,23.059999,20.770000,22.920000,20.902840,20103800
2013-11-01,22.730000,24.000000,21.910000,22.700001,20.702200,23940800
2013-12-01,22.450001,24.150000,22.049999,23.400000,21.490356,20091900
2014-01-01,23.580000,23.580000,20.650000,21.420000,19.671942,20232500
2014-02-01,21.340000,21.400000,17.799999,17.910000,16.448385,23648200
2014-03-01,17.930000,18.090000,16.320000,17.410000,15.989192,28928800
2014-04-01,17.480000,17.650000,15.740000,16.170000,14.917887,24578700
2014-05-01,16.160000,17.889999,16.160000,16.309999,15.047046,21477000
2014-06-01,16.320000,17.250000,15.340000,15.630000,14.517192,19606500
2014-07-01,15.660000,17.580000,15.520000,16.139999,14.990883,19732700
2014-08-01,16.080000,16.490000,14.960000,15.920000,14.786545,21688300
2014-09-01,15.970000,16.820000,13.960000,14.150000,13.200680,27248500
2014-10-01,13.980000,15.240000,12.780000,13.400000,12.500998,39974700
2014-11-01,13.430000,14.140000,12.170000,12.900000,12.034541,22289200
2014-12-01,12.510000,12.510000,9.320000,11.150000,10.435050,64666167
