Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,16.000000,16.000000,16.000000,16.000000,15.177542,0
2007-06-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2007-07-01,null,null,null,null,null,null
2007-08-01,null,null,null,null,null,null
2007-09-01,null,null,null,null,null,null
2007-10-01,null,null,null,null,null,null
2007-11-01,null,null,null,null,null,null
2007-12-01,null,null,null,null,null,null
2008-01-01,null,null,null,null,null,null
2008-02-01,null,null,null,null,null,null
2008-03-01,null,null,null,null,null,null
2008-04-01,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-06-01,null,null,null,null,null,null
2008-07-01,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-09-01,null,null,null,null,null,null
2008-10-01,null,null,null,null,null,null
2008-11-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2008-12-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-01-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-02-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-03-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-04-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-05-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-06-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-07-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-08-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-09-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-10-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-11-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2009-12-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2010-01-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2010-02-01,16.007999,16.007999,16.007999,16.007999,15.185131,0
2010-03-01,null,null,null,null,null,null
2010-04-01,null,null,null,null,null,null
2010-05-01,null,null,null,null,null,null
2010-06-01,null,null,null,null,null,null
2010-07-01,null,null,null,null,null,null
2010-08-01,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-10-01,null,null,null,null,null,null
2010-11-01,null,null,null,null,null,null
2010-12-01,null,null,null,null,null,null
2011-01-01,null,null,null,null,null,null
2011-02-01,null,null,null,null,null,null
2011-03-01,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-05-01,null,null,null,null,null,null
2011-06-01,null,null,null,null,null,null
2011-07-01,null,null,null,null,null,null
2011-08-01,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-10-01,null,null,null,null,null,null
2011-11-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2011-12-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-01-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-02-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-03-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-04-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-05-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-06-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-07-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-08-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-09-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-10-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-11-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2012-12-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-01-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-02-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-03-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-04-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-05-01,20.010000,20.010000,20.010000,20.010000,18.981417,0
2013-06-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-07-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-08-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-09-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-10-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-11-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2013-12-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-01-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-02-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-03-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-04-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-05-01,20.010000,20.010000,20.010000,20.010000,19.063873,0
2014-06-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-07-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-08-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-09-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-10-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-11-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2014-12-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-01-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-02-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-03-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-04-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-05-01,20.010000,20.010000,20.010000,20.010000,19.164869,0
2015-06-01,20.010000,20.010000,20.010000,20.010000,19.289434,0
2015-07-01,20.010000,20.010000,20.010000,20.010000,19.289434,0
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-11-01,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,21.120001,21.320000,17.100000,17.510000,16.879461,84073100
2017-12-01,17.299999,19.280001,17.030001,18.690001,18.200478,52593100
2018-01-01,18.690001,21.799999,18.410000,18.790001,18.297861,73178200
2018-02-01,20.680000,23.469999,19.299999,21.750000,21.180330,75160600
2018-03-01,21.959999,34.759998,21.250000,33.360001,32.486248,182777100
2018-04-01,33.400002,42.200001,32.770000,41.060001,39.984573,92245700
2018-05-01,41.060001,47.840000,39.090000,43.099998,42.173813,109675500
2018-06-01,43.400002,54.709999,42.299999,44.970001,44.003628,110670700
2018-07-01,44.970001,48.150002,39.630001,44.549999,43.592655,80219500
2018-08-01,44.660000,51.430000,41.680000,47.310001,46.293343,111327600
2018-09-01,48.209999,55.200001,46.709999,48.080002,47.046799,96417700
2018-10-01,48.270000,48.270000,35.900002,37.849998,37.036629,130685400
2018-11-01,37.849998,42.000000,33.700001,40.889999,40.011307,107897700
2018-12-01,41.500000,41.810001,35.700001,38.080002,37.261688,90684000
2019-01-01,38.080002,49.790001,35.619999,46.000000,45.011494,173022400
