Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,10.800000,14.000000,9.800000,9.800000,4.858574,11836
2003-02-01,14.000000,14.000000,8.092860,8.092860,4.012222,13491
2003-03-01,10.300000,15.000000,8.092860,9.800000,4.858574,39454
2003-04-01,13.600000,20.000000,9.800000,11.500000,5.701388,2164
2003-05-01,11.500000,20.000000,11.500000,12.000000,5.949275,14763
2003-06-01,13.828600,23.000000,12.000000,14.000000,6.940821,41109
2003-07-01,20.000000,22.000000,12.000000,15.000000,7.436594,14636
2003-08-01,19.500000,22.000000,14.000000,14.850000,7.362229,26090
2003-09-01,14.142900,30.000000,14.142900,19.100000,9.469264,18074
2003-10-01,30.000000,30.000000,15.714300,17.285700,8.569783,20493
2003-11-01,17.285700,24.500000,15.714300,20.000000,9.915461,28765
2003-12-01,15.714300,25.000000,15.714300,24.000000,11.898551,34746
2004-01-01,24.000000,31.000000,19.171400,25.000000,12.394323,38055
2004-02-01,18.150000,31.000000,18.150000,27.000000,13.385868,5853
2004-03-01,31.000000,32.000000,22.000000,22.000000,10.907003,7255
2004-04-01,22.000000,32.000000,18.857100,18.857100,9.348838,5111528
2004-05-01,17.285700,25.000000,16.107100,17.600000,8.725604,69873
2004-06-01,17.600000,23.000000,16.892900,17.285700,8.569783,76235
2004-07-01,17.285700,26.000000,17.285700,20.428600,10.127948,60074
2004-08-01,22.000000,39.500000,20.507099,26.950001,13.361080,29273
2004-09-01,26.714300,39.900002,26.714300,31.428600,15.581450,137456
2004-10-01,32.921398,41.000000,28.285700,29.778601,14.763423,36781
2004-11-01,29.071400,39.700001,28.285700,30.642900,15.191920,143384
2004-12-01,30.642900,44.799999,30.250000,44.799999,22.210627,88749
2005-01-01,35.357101,47.000000,32.292900,34.650002,17.178532,27937
2005-02-01,46.000000,53.000000,34.257099,39.285702,19.476784,48326
2005-03-01,39.285702,55.000000,38.500000,38.500000,19.087261,40422
2005-04-01,39.285702,49.000000,29.857100,29.857100,14.802340,30811
