Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,2.416667,2.454167,2.126667,2.304167,0.921163,88113600
2003-02-01,2.325000,2.445833,2.250000,2.416667,0.966139,89554800
2003-03-01,2.416667,2.475000,2.239167,2.245833,0.897843,116751600
2003-04-01,2.250000,2.416667,2.225000,2.330000,0.931491,87854400
2003-05-01,2.337500,2.523333,2.312500,2.500000,1.018654,60208800
2003-06-01,2.500000,2.575833,2.433333,2.471667,1.007110,53262000
2003-07-01,2.479167,2.906667,2.470000,2.902500,1.182658,91894800
2003-08-01,2.894167,3.312500,2.754167,3.120833,1.271620,124150800
2003-09-01,3.145833,3.508333,3.145833,3.401667,1.411091,107643600
2003-10-01,3.408333,3.995833,3.408333,3.812500,1.581514,141470400
2003-11-01,3.816667,3.915833,3.475000,3.649167,1.530628,127561200
2003-12-01,3.683333,4.990000,3.683333,4.875000,2.044799,189034800
2004-01-01,4.895833,5.291667,4.432500,4.472500,1.875972,165458400
2004-02-01,4.477500,5.151667,4.450000,4.825000,2.023826,151384800
2004-03-01,4.929167,5.083333,4.139167,4.575000,1.918965,207877200
2004-04-01,4.575000,4.761667,3.729167,3.791667,1.590399,190585200
2004-05-01,3.666667,4.347500,3.441667,4.225000,1.796579,240420000
2004-06-01,4.187500,4.328333,3.629167,3.962500,1.684958,197948400
2004-07-01,3.979167,4.641667,3.850000,4.491667,1.909972,171924000
2004-08-01,4.433333,4.918334,4.250000,4.814167,2.047108,126450000
2004-09-01,4.787500,5.687500,4.733333,5.617500,3.359011,162960000
2004-10-01,5.687500,6.000000,5.060000,5.290000,3.163181,167477600
2004-11-01,5.325000,6.270000,5.227500,6.205000,3.792196,154344400
2004-12-01,6.312500,7.312500,5.832500,7.252500,4.432377,145888400
2005-01-01,7.287500,7.785000,6.357500,7.562500,4.621833,206143200
2005-02-01,7.565000,9.140000,7.197500,8.750000,5.347575,242218400
2005-03-01,8.752500,9.152500,7.395000,7.902500,4.829626,302086400
2005-04-01,8.237500,8.250000,6.532500,6.737500,4.117634,248856400
2005-05-01,6.787500,7.485000,6.255000,7.257500,4.505913,192286400
2005-06-01,7.175000,7.797500,6.775000,7.320000,4.544716,221362800
2005-07-01,7.420000,8.312500,7.275000,8.140000,5.053825,182228000
2005-08-01,8.240000,9.107500,8.057500,8.597500,5.337869,238629200
2005-09-01,8.662500,11.230000,8.575000,10.965000,6.807761,230176000
2005-10-01,10.920000,11.077500,9.175000,10.332500,6.415068,282753200
2005-11-01,10.537500,11.325000,10.137500,10.840000,6.849522,195884800
2005-12-01,10.892500,11.487500,9.875000,10.285000,6.498830,194073600
