Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,9.000000,9.090000,8.660000,9.000000,8.437476,24645000
2017-10-01,9.080000,9.080000,7.920000,8.060000,7.556228,50070000
2017-11-01,8.060000,8.920000,7.910000,8.000000,7.499978,76196600
2017-12-01,8.000000,8.350000,7.290000,7.830000,7.340604,31605600
2018-01-01,7.830000,8.520000,7.430000,7.820000,7.486769,39988900
2018-02-01,7.440000,8.180000,7.370000,8.050000,7.706969,23362500
2018-03-01,8.050000,8.270000,7.190000,7.450000,7.132536,34955700
2018-04-01,7.450000,8.150000,7.250000,8.100000,7.754838,15435900
2018-05-01,8.100000,8.210000,7.350000,7.920000,7.582508,17895000
2018-06-01,7.920000,8.360000,6.470000,6.600000,6.318757,22282700
2018-07-01,6.600000,6.760000,6.000000,6.330000,6.060262,16117600
2018-08-01,6.360000,6.950000,6.030000,6.880000,6.586825,8983200
2018-09-01,6.920000,7.250000,6.720000,7.020000,6.769756,8720400
2018-10-01,7.020000,8.220000,6.960000,8.220000,7.926979,11147800
2018-11-01,8.220000,8.220000,6.580000,7.110000,6.856548,9200300
2018-12-01,7.160000,7.450000,6.360000,7.050000,6.909358,20630700
2019-01-01,7.050000,7.770000,6.840000,7.510000,7.360181,26452300
