Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,7.833330,10.700000,7.540000,9.000000,6.596716,66457800
2007-03-01,8.733330,9.233330,8.266670,8.870000,6.501431,22089900
2007-04-01,8.993330,9.330000,8.666670,8.770000,6.428133,15392400
2007-05-01,8.833330,8.860000,7.800000,8.050000,5.900397,20717400
2007-06-01,8.093330,8.093330,6.750000,6.836670,5.011064,14000400
2007-07-01,6.833330,8.086670,6.833330,7.296670,5.348229,11172300
2007-08-01,7.133330,7.430000,5.350000,6.340000,4.647020,11955600
2007-09-01,6.333330,7.383330,6.133330,6.860000,5.028164,6261600
2007-10-01,6.750000,7.446670,6.666670,7.100000,5.204076,6726900
2007-11-01,7.126670,8.066670,6.333330,6.666670,4.886459,5136600
2007-12-01,6.700000,7.166670,6.206670,6.733330,4.935318,4974300
2008-01-01,6.766670,9.633330,6.633330,9.133330,6.694444,21126000
2008-02-01,9.026670,9.666670,8.400000,9.500000,6.963202,8150100
2008-03-01,9.386670,10.096700,7.923330,8.670000,6.354837,8175600
2008-04-01,8.583330,9.596670,7.583330,8.666670,6.352396,6894900
2008-05-01,8.500000,8.666670,7.066670,8.166670,5.985911,12386400
2008-06-01,8.166670,8.833330,7.433330,8.633330,6.327959,6146400
2008-07-01,8.500000,8.833330,7.316670,8.833330,6.474553,9099600
2008-08-01,8.666670,9.000000,7.333330,8.666670,6.352396,6621600
2008-09-01,8.750000,8.750000,5.266670,6.150000,4.507757,9550200
2008-10-01,6.100000,6.383330,3.000000,4.430000,3.247051,7184700
2008-11-01,4.333330,4.733330,3.003330,3.833330,2.809710,4602600
2008-12-01,3.833330,3.833330,3.000000,3.053330,2.237995,3983100
2009-01-01,3.053330,4.066670,3.050000,4.050000,2.968523,2555100
2009-02-01,4.000000,4.933330,3.636670,3.636670,2.665565,1712100
2009-03-01,3.633330,4.013330,3.000000,3.833330,2.809710,3285000
2009-04-01,3.733330,4.833330,3.733330,4.600000,3.371655,3452100
2009-05-01,4.600000,6.316670,4.553330,5.666670,4.153491,2996400
2009-06-01,5.546670,6.026670,5.016670,5.500000,4.031327,2611200
2009-07-01,5.413330,5.600000,4.833330,5.283330,3.872515,3052500
2009-08-01,5.340000,5.933330,4.913330,5.636670,4.131502,4519800
2009-09-01,5.683330,5.720000,5.390000,5.533330,4.055757,3291900
2009-10-01,5.506670,6.500000,5.500000,5.766670,4.226788,4093200
2009-11-01,5.766670,6.733330,5.493330,5.633330,4.129054,3658200
2009-12-01,5.803330,5.933330,5.203330,5.666670,4.153491,15156600
2010-01-01,5.666670,6.703330,5.666670,6.000000,4.397811,9712200
2010-02-01,6.066670,6.150000,5.440000,5.633330,4.129054,9470700
2010-03-01,5.630000,5.800000,5.286670,5.430000,3.980019,10422900
2010-04-01,5.563330,5.716670,5.166670,5.216670,3.823655,5510280
2010-05-01,5.260000,5.666670,4.183330,4.883330,3.579327,4271865
2010-06-01,4.883330,4.980000,4.506670,4.650000,3.408304,6065676
2010-07-01,4.646670,5.400000,4.500000,5.400000,3.958030,7010400
2010-08-01,5.366670,5.960000,5.350000,5.733330,4.202350,8146506
2010-09-01,5.716670,6.166670,5.593330,5.993330,4.506098,4072452
2010-10-01,5.966670,7.166670,5.863330,7.166670,5.388277,9963000
2010-11-01,7.083330,7.866670,6.866670,7.866670,5.914574,5255700
2010-12-01,7.776670,8.990000,7.666670,8.833330,6.641360,9902100
2011-01-01,8.833330,8.833330,7.633330,8.000000,6.014819,3704100
2011-02-01,7.980000,8.166670,7.343330,7.656670,5.756685,5983632
2011-03-01,7.733330,8.276670,7.020000,8.233330,6.190248,3281769
2011-04-01,8.266670,8.666670,7.750000,8.066670,6.064945,2288700
2011-05-01,8.073330,8.210000,6.966670,8.133330,6.115063,2290401
2011-06-01,8.093330,8.170000,7.050000,8.033330,6.039878,3658800
2011-07-01,7.930000,8.180000,7.230000,7.293330,5.483507,2152302
2011-08-01,7.363330,7.666670,6.506670,7.590000,5.706559,2431800
2011-09-01,7.590000,8.066670,6.533330,6.683330,5.216533,5217900
2011-10-01,6.616670,7.093330,6.236670,6.830000,5.331013,3420900
2011-11-01,6.693330,7.033330,5.993330,6.113330,4.771631,4110000
2011-12-01,6.166670,6.300000,5.540000,5.583330,4.357951,4076700
2012-01-01,5.583330,6.766670,5.483330,6.720000,5.245154,5494500
2012-02-01,6.733330,7.200000,6.616670,7.030000,5.487119,4201800
2012-03-01,7.033330,7.866670,6.983330,7.796670,6.085527,5372700
2012-04-01,7.800000,8.166670,7.520000,7.620000,5.947631,2817600
2012-05-01,7.620000,7.700000,5.833330,6.666670,5.203528,8893500
2012-06-01,6.636670,7.683330,6.433330,6.880000,5.370039,5487900
2012-07-01,6.880000,7.633330,6.696670,7.333330,5.723877,4875600
2012-08-01,7.140000,7.896670,6.933330,7.896670,6.446177,7638600
2012-09-01,7.896670,8.246670,7.596670,7.973330,6.508756,8244000
2012-10-01,7.960000,8.543330,7.833330,8.460000,6.906032,9515100
2012-11-01,8.480000,8.700000,7.856670,8.023330,6.549572,7294500
2012-12-01,8.080000,9.333330,8.010000,9.333330,7.618945,9859800
2013-01-01,9.333330,9.900000,8.703330,9.500000,7.755000,10947300
2013-02-01,9.503330,9.866670,8.566670,9.300000,7.591736,8943300
2013-03-01,9.216670,9.853330,8.886670,9.463330,7.725066,12171900
2013-04-01,9.420000,9.500000,8.153330,9.433330,7.700576,7212600
2013-05-01,9.433330,9.826670,8.970000,9.566670,7.809425,7130400
2013-06-01,9.460000,9.460000,8.016670,8.580000,7.003990,10669200
2013-07-01,8.500000,8.740000,7.753330,8.166670,6.666582,8220600
2013-08-01,8.183330,9.190000,8.040000,9.033330,7.374050,9299700
2013-09-01,9.113330,9.730000,8.946670,9.666670,8.158077,7080000
2013-10-01,9.640000,10.860000,9.576670,10.533300,8.889459,11106300
2013-11-01,10.590000,10.606700,9.876670,10.163300,8.577202,6394800
2013-12-01,10.100000,10.100000,8.933330,9.566670,8.073684,6888300
2014-01-01,9.566670,9.826670,8.116670,8.246670,6.959682,9246300
2014-02-01,8.186670,10.200000,8.163330,9.950000,8.397189,10341600
2014-03-01,9.950000,10.403300,9.733330,10.333300,8.720671,11592900
2014-04-01,10.390000,11.246700,10.196700,11.133300,9.395822,10424400
2014-05-01,11.133300,12.886700,10.766700,12.700000,10.718020,9714000
2014-06-01,12.780000,13.500000,12.016700,13.333300,11.252485,9405000
2014-07-01,13.160000,13.583300,12.073300,12.540000,10.582991,9328800
2014-08-01,12.416700,15.326700,11.980000,15.130000,12.768791,14759700
2014-09-01,15.136700,15.803300,13.083300,13.100000,11.381895,15704100
2014-10-01,13.110000,13.543300,10.433300,13.000000,11.295011,11665200
2014-11-01,12.750000,14.300000,12.203300,13.333300,11.584598,9778200
2014-12-01,13.166700,13.296700,10.703300,12.083300,10.498540,38601687
2015-01-01,12.083300,12.463300,10.486700,11.353300,9.864281,11998500
2015-02-01,11.236700,12.953300,10.916700,12.666700,11.005424,12436800
2015-03-01,12.513300,13.260000,11.526700,12.900000,11.208125,13733700
2015-04-01,13.060000,13.396700,12.653300,12.776700,11.100997,10703400
2015-05-01,12.776700,12.986700,11.463300,11.876700,10.319036,12461400
2015-06-01,11.926700,13.023300,11.830000,12.500000,10.860588,12156300
2015-07-01,12.460000,38.270000,10.780000,33.799999,29.367027,18924600
2015-08-01,10.963300,33.330002,9.573330,32.259998,28.029001,14689600
2015-09-01,10.063300,37.500000,9.970000,36.450001,33.455795,20029100
2015-10-01,13.056700,46.040001,12.716700,44.430000,40.780270,15216100
2015-11-01,14.810000,48.860001,14.733300,48.029999,44.084549,14641600
2015-12-01,16.013300,16.730000,14.700000,15.263300,14.009486,12961800
2016-01-01,15.263300,16.333300,14.346700,15.933300,14.624449,13321500
2016-02-01,15.823300,16.996700,15.116700,16.256701,14.921285,17048700
2016-03-01,16.256701,17.629999,14.783300,16.363300,15.019128,21328800
2016-04-01,16.133301,16.250000,13.783300,14.910000,13.685208,17185500
2016-05-01,14.943300,17.940001,14.843300,17.940001,16.466307,16974300
2016-06-01,17.926701,17.933300,16.636700,17.793301,16.331659,15751800
2016-07-01,17.733299,18.323299,16.780001,17.700001,16.246021,17471400
2016-08-01,17.506701,17.833300,15.736700,16.746700,15.371033,19664400
2016-09-01,16.893299,19.583300,16.543301,19.549999,18.456421,24979200
2016-10-01,19.500000,21.626699,18.950001,21.190001,20.004683,15140700
2016-11-01,21.376699,21.376699,17.400000,17.953300,16.949036,18366300
2016-12-01,17.896700,19.500000,16.480000,19.500000,18.409216,16795800
2017-01-01,19.500000,20.709999,18.670000,20.459999,19.315516,11752700
2017-02-01,20.469999,20.990000,18.690001,19.000000,17.937187,9742100
2017-03-01,19.049999,19.600000,17.000000,17.280001,16.313400,14615400
2017-04-01,17.360001,18.330000,17.120001,17.799999,16.804310,17886900
2017-05-01,17.799999,18.700001,15.240000,18.000000,16.993124,16830700
2017-06-01,18.100000,18.110001,15.600000,17.200001,16.237873,14538600
2017-07-01,17.389999,18.400000,16.080000,17.559999,16.577734,15373100
2017-08-01,17.770000,17.780001,16.230000,17.450001,16.739128,16559100
2017-09-01,17.350000,18.549999,17.120001,17.790001,17.065277,19076700
2017-10-01,18.000000,19.150000,17.809999,18.410000,17.660019,15861100
2017-11-01,18.500000,18.799999,16.500000,17.100000,16.403385,15493700
2017-12-01,17.100000,19.469999,16.559999,19.299999,18.513760,14696200
2018-01-01,19.299999,19.430000,18.059999,19.120001,18.341095,13576100
2018-02-01,18.900000,19.400000,18.080000,18.350000,17.602463,38026200
2018-03-01,18.410000,18.480000,17.090000,17.530001,16.815868,15107800
2018-04-01,17.549999,17.740000,16.809999,16.980000,16.288273,9136900
2018-05-01,16.980000,17.559999,15.750000,17.520000,16.806276,23321400
2018-06-01,17.590000,18.510000,16.820000,17.850000,17.122831,18944700
2018-07-01,17.959999,20.510000,17.629999,19.500000,18.705614,22349900
2018-08-01,19.520000,20.150000,18.160000,18.950001,18.650501,22952000
2018-09-01,18.950001,19.799999,17.799999,18.320000,18.030457,13300800
2018-10-01,18.330000,20.940001,17.080000,19.400000,19.093388,23123200
2018-11-01,19.410000,20.549999,17.610001,18.049999,17.764723,13658500
2018-12-01,18.320000,19.379999,17.700001,18.190001,17.902512,14902700
2019-01-01,18.190001,20.490000,17.420000,19.240000,18.935917,15840300
