Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,68.199997,68.199997,68.199997,68.199997,66.353653,8500
2012-02-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-03-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-04-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-05-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-06-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-07-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-08-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-09-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-10-01,68.199997,68.199997,68.199997,68.199997,66.353653,0
2012-11-01,68.199997,105.889999,68.199997,99.000000,96.319817,10300
2012-12-01,99.000000,104.580002,99.000000,104.580002,101.748764,1300
2013-01-01,104.580002,111.269997,102.769997,111.269997,109.907906,1200
2013-02-01,108.970001,109.650002,106.500000,106.500000,105.196304,4308
2013-03-01,106.500000,115.260002,106.500000,114.150002,112.752655,8200
2013-04-01,114.150002,124.099998,114.150002,122.150002,120.654724,7800
2013-05-01,122.150002,135.910004,122.150002,133.490005,131.855911,6500
2013-06-01,133.490005,141.929993,133.490005,140.600006,138.878876,9500
2013-07-01,140.600006,151.000000,120.000000,147.949997,146.138901,7100
2013-08-01,147.949997,151.699997,147.720001,149.830002,147.995880,2948
2013-09-01,149.830002,149.830002,142.029999,142.199997,140.459290,35000
2013-10-01,142.199997,143.130005,142.199997,142.699997,140.953156,10300
2013-11-01,142.699997,163.830002,142.699997,163.830002,161.824509,4700
2013-12-01,163.830002,175.470001,163.830002,175.470001,173.322021,5100
2014-01-01,175.470001,182.649994,174.479996,176.470001,176.470001,36500
2014-02-01,173.089996,192.039993,172.279999,187.770004,187.770004,13200
2014-03-01,187.770004,194.000000,187.270004,187.270004,187.270004,9300
2014-04-01,187.270004,187.270004,170.250000,177.169998,177.169998,8600
2014-05-01,177.169998,187.789993,177.149994,187.789993,187.789993,6300
2014-06-01,187.789993,192.559998,184.380005,189.559998,189.559998,11000
2014-07-01,189.559998,193.309998,188.029999,192.740005,192.740005,1300
2014-08-01,194.220001,204.800003,194.220001,196.649994,196.649994,1600
2014-09-01,204.800003,214.020004,203.199997,214.490005,214.490005,42200
2014-10-01,214.020004,221.779999,200.880005,214.809998,214.809998,45800
2014-11-01,214.809998,234.179993,214.809998,230.279999,230.279999,36200
2014-12-01,237.899994,261.149994,237.139999,253.300003,253.300003,137200
2015-01-01,253.300003,255.830002,241.199997,250.070007,250.070007,158600
2015-02-01,247.399994,307.000000,247.039993,300.920013,300.920013,21000
2015-03-01,309.089996,357.880005,305.700012,342.980011,342.980011,32700
2015-04-01,329.420013,337.000000,323.109985,323.700012,323.700012,19100
2015-05-01,323.700012,351.329987,323.700012,351.329987,351.329987,8500
2015-06-01,352.000000,355.350006,340.299988,355.350006,355.350006,6100
2015-07-01,355.350006,415.299988,354.589996,412.100006,412.100006,18600
2015-08-01,415.899994,421.859985,340.190002,370.750000,370.750000,35900
2015-09-01,365.000000,421.250000,365.000000,399.559998,399.559998,30600
2015-10-01,407.339996,445.709991,393.100006,440.000000,440.000000,30400
2015-11-01,440.000000,447.459991,424.399994,445.670013,445.670013,39500
2015-12-01,443.880005,445.959991,413.010010,416.130005,416.130005,31800
2016-01-01,416.130005,416.339996,372.660004,380.559998,380.559998,27500
2016-02-01,380.700012,383.540009,350.700012,383.540009,383.540009,45600
2016-03-01,381.239990,384.500000,348.899994,355.839996,355.839996,43700
2016-04-01,355.160004,370.109985,338.010010,355.500000,355.500000,36200
2016-05-01,360.100006,382.260010,347.040009,357.700012,357.700012,50800
2016-06-01,357.700012,357.700012,313.820007,314.690002,314.690002,19200
2016-07-01,313.829987,330.500000,311.420013,311.420013,311.420013,23600
2016-08-01,310.980011,314.000000,301.459991,306.869995,306.869995,27000
2016-09-01,305.000000,308.600006,295.529999,302.209991,302.209991,21700
2016-10-01,298.600006,300.390015,287.649994,295.470001,295.470001,15300
2016-11-01,295.470001,338.429993,295.470001,337.000000,337.000000,19400
2016-12-01,342.359985,357.170013,339.369995,339.369995,339.369995,14100
2017-01-01,339.369995,350.609985,338.890015,347.040009,347.040009,14000
2017-02-01,351.190002,351.190002,336.040009,336.040009,336.040009,11300
2017-03-01,343.470001,357.079987,343.470001,349.029999,349.029999,14200
2017-04-01,351.769989,367.119995,350.980011,367.119995,367.119995,19600
2017-05-01,367.119995,367.119995,333.019989,350.089996,350.089996,25900
2017-06-01,349.829987,354.739990,341.820007,351.779999,351.779999,21400
2017-07-01,353.790009,353.790009,332.820007,343.779999,343.779999,12600
2017-08-01,343.390015,343.390015,316.980011,319.359985,319.359985,20100
2017-09-01,319.899994,319.899994,299.000000,311.829987,311.829987,16000
2017-10-01,315.200012,325.000000,305.799988,320.359985,320.359985,9100
2017-11-01,323.040009,345.329987,323.040009,343.730011,343.730011,28800
2017-12-01,343.000000,369.950012,341.500000,357.000000,357.000000,12900
2018-01-01,357.000000,365.049988,348.029999,348.299988,348.299988,12400
2018-02-01,350.190002,353.799988,334.100006,337.239990,337.239990,21000
2018-03-01,337.239990,342.450012,328.690002,331.160004,331.160004,13500
2018-04-01,329.309998,355.869995,329.309998,351.480011,351.480011,14600
2018-05-01,351.480011,391.250000,348.859985,373.059998,373.059998,24400
2018-06-01,369.640015,412.760010,369.640015,407.359985,407.359985,17600
2018-07-01,405.519989,442.230011,404.850006,425.709991,425.709991,13800
2018-08-01,425.630005,470.500000,422.739990,459.559998,459.559998,59500
2018-09-01,459.559998,474.760010,449.450012,470.440002,470.440002,21400
2018-10-01,472.149994,472.149994,412.000000,429.079987,429.079987,41300
2018-11-01,429.880005,452.179993,426.450012,447.040009,447.040009,12700
2018-12-01,444.980011,444.980011,403.920013,411.209991,411.209991,21900
2019-01-01,411.209991,425.000000,405.000000,406.250000,406.250000,13000
