Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,8.500000,9.125000,8.405000,9.125000,5.464290,18837000
2009-12-18,9.220000,9.225000,8.825000,8.825000,5.284643,2533800
2009-12-21,8.845000,8.845000,8.465000,8.600000,5.149907,2273200
2009-12-22,8.695000,8.710000,8.530000,8.650000,5.179847,1136400
2009-12-23,8.600000,8.750000,8.550000,8.650000,5.179847,207800
2009-12-24,null,null,null,null,null,null
2009-12-28,8.625000,8.885000,8.600000,8.850000,5.299613,566400
2009-12-29,null,null,null,null,null,null
2009-12-30,9.000000,9.195000,8.975000,9.195000,5.506208,590800
2010-01-04,9.005000,9.250000,9.005000,9.050000,5.419378,464000
2010-01-05,9.100000,9.245000,8.925000,9.000000,5.389437,273800
2010-01-06,9.000000,9.475000,9.000000,9.325000,5.584054,764800
2010-01-07,9.255000,9.370000,9.055000,9.355000,5.602020,752800
2010-01-08,9.160000,9.945000,9.160000,9.545000,5.715797,2120800
2010-01-11,9.610000,9.740000,9.495000,9.625000,5.763704,287800
2010-01-12,9.625000,10.245000,9.615000,9.800000,5.868497,718200
2010-01-13,9.800000,9.825000,9.600000,9.825000,5.883469,314600
2010-01-14,9.835000,10.225000,9.835000,10.000000,5.988264,76200
2010-01-15,10.025000,10.085000,9.855000,9.855000,5.901433,266400
2010-01-18,10.085000,10.085000,9.920000,9.925000,5.943352,103400
2010-01-19,9.975000,10.075000,9.920000,10.005000,5.991258,145200
2010-01-20,10.000000,10.045000,9.855000,9.875000,5.913410,2142800
2010-01-21,9.765000,9.995000,9.700000,9.810000,5.874486,180800
2010-01-22,9.795000,9.810000,9.700000,9.750000,5.838557,710000
2010-01-26,9.750000,9.850000,9.695000,9.695000,5.805621,860000
2010-01-27,9.750000,9.750000,9.500000,9.690000,5.802627,59000
2010-01-28,9.570000,9.785000,9.570000,9.750000,5.838557,35200
2010-01-29,9.780000,10.075000,9.745000,9.745000,5.835563,321000
2010-02-01,9.740000,9.740000,9.575000,9.595000,5.745739,139600
2010-02-02,9.575000,9.575000,9.450000,9.450000,5.658908,304600
2010-02-03,9.560000,9.595000,9.425000,9.445000,5.655915,62200
2010-02-04,9.455000,9.545000,8.885000,8.965000,5.368479,432000
2010-02-05,8.965000,9.140000,8.605000,8.845000,5.296620,394200
2010-02-08,8.870000,9.505000,8.700000,8.940000,5.353507,437800
2010-02-09,9.040000,9.325000,9.000000,9.250000,5.539143,321800
2010-02-10,9.245000,9.600000,9.245000,9.470000,5.670885,484600
2010-02-11,9.475000,9.680000,9.385000,9.385000,5.619985,314600
2010-02-12,9.530000,9.585000,9.245000,9.250000,5.539143,33600
2010-02-17,9.575000,9.585000,9.455000,9.500000,5.688850,246600
2010-02-18,9.375000,10.000000,9.230000,9.950000,5.958322,211400
2010-02-19,9.795000,9.975000,9.795000,9.960000,5.964311,383400
2010-02-22,9.750000,10.075000,9.740000,9.870000,5.910417,1007600
2010-02-23,9.800000,9.915000,9.535000,9.650000,5.778673,1038200
2010-02-24,9.595000,9.950000,9.595000,9.825000,5.883469,56200
2010-02-25,9.800000,9.800000,9.510000,9.625000,5.763704,610600
2010-02-26,9.585000,10.000000,9.555000,9.995000,5.985268,32800
2010-03-01,10.045000,10.050000,9.615000,9.615000,5.757715,1138400
2010-03-02,9.650000,9.910000,9.450000,9.475000,5.673880,129800
2010-03-03,9.750000,9.750000,9.480000,9.500000,5.688850,210800
2010-03-04,9.600000,9.665000,9.500000,9.500000,5.688850,33400
2010-03-05,9.645000,9.650000,9.500000,9.625000,5.763704,116600
2010-03-08,9.645000,9.720000,9.530000,9.600000,5.748732,86600
2010-03-09,9.685000,9.690000,9.500000,9.525000,5.703820,60600
2010-03-10,9.525000,9.800000,9.475000,9.475000,5.673880,491000
2010-03-11,9.425000,9.500000,9.275000,9.500000,5.688850,162200
2010-03-12,9.255000,9.620000,9.255000,9.500000,5.688850,90200
2010-03-15,9.250000,9.700000,9.250000,9.600000,5.748732,201800
2010-03-16,9.500000,9.990000,9.410000,9.550000,5.718791,534200
2010-03-17,9.640000,9.915000,9.640000,9.765000,5.847539,208600
2010-03-18,9.675000,9.975000,9.675000,9.900000,5.928380,384400
2010-03-19,9.900000,9.900000,9.525000,9.825000,5.883469,1068000
2010-03-22,9.830000,9.850000,9.550000,9.850000,5.898439,59200
2010-03-23,9.735000,9.975000,9.735000,9.875000,5.913410,613000
2010-03-24,9.860000,9.900000,9.655000,9.660000,5.784662,254200
2010-03-25,9.755000,9.845000,9.665000,9.775000,5.853527,48200
2010-03-26,9.620000,9.795000,9.620000,9.730000,5.826580,48600
2010-03-29,9.655000,9.815000,9.610000,9.650000,5.778673,319000
2010-03-30,9.790000,9.945000,9.660000,9.705000,5.811610,130800
2010-03-31,9.885000,9.885000,9.500000,9.500000,5.688850,1248600
2010-04-01,9.500000,9.725000,9.150000,9.155000,5.482253,259000
2010-04-05,9.250000,9.250000,8.900000,8.900000,5.329554,583600
2010-04-06,9.000000,9.000000,8.700000,8.700000,5.209789,1197600
2010-04-07,8.805000,8.900000,8.430000,8.550000,5.119964,913400
2010-04-08,8.575000,8.900000,8.550000,8.550000,5.119964,640
2010-04-09,8.905000,8.975000,8.845000,8.950000,5.359496,494600
2010-04-12,8.945000,8.995000,8.855000,8.995000,5.386442,639200
2010-04-13,8.995000,9.015000,8.830000,9.010000,5.395425,1057600
2010-04-14,9.020000,9.115000,8.770000,9.000000,5.389437,631400
2010-04-15,9.065000,9.065000,8.800000,8.900000,5.329554,71200
2010-04-16,8.970000,9.030000,8.775000,8.900000,5.329554,702200
2010-04-19,8.895000,9.020000,8.850000,8.850000,5.299613,102200
2010-04-20,8.765000,9.085000,8.765000,9.000000,5.389437,652000
2010-04-22,8.950000,9.000000,8.850000,8.950000,5.359496,946400
2010-04-23,9.005000,9.125000,8.715000,9.000000,5.389437,504000
2010-04-26,9.000000,9.075000,8.875000,9.005000,5.392431,259800
2010-04-27,8.760000,9.030000,8.740000,8.750000,5.239730,257000
2010-04-28,8.845000,8.965000,8.750000,8.750000,5.239730,87800
2010-04-29,8.910000,8.975000,8.820000,8.850000,5.299613,76600
2010-04-30,8.710000,9.125000,8.550000,8.865000,5.308596,254600
2010-05-03,9.000000,9.145000,9.000000,9.000000,5.389437,172
2010-05-04,9.010000,9.150000,8.875000,8.900000,5.329554,256400
2010-05-05,8.865000,8.870000,8.675000,8.800000,5.269672,102400
