Date,Open,High,Low,Close,Adj Close,Volume
2008-04-18,8.425000,8.475000,7.925000,8.350000,7.256598,9943400
2008-04-22,8.250000,8.525000,8.055000,8.150000,7.082787,6488400
2008-04-23,8.100000,8.150000,7.750000,7.750000,6.735166,2655200
2008-04-24,7.640000,7.975000,7.500000,7.750000,6.735166,1931000
2008-04-25,7.630000,7.835000,7.565000,7.750000,6.735166,284400
2008-04-28,7.775000,7.865000,7.750000,7.750000,6.735166,228000
2008-04-29,7.750000,7.800000,7.745000,7.750000,6.735166,836800
2008-04-30,7.700000,7.790000,7.605000,7.750000,6.735166,248000
2008-05-02,7.780000,8.450000,7.775000,8.450000,7.343503,812400
2008-05-05,8.450000,8.450000,8.125000,8.295000,7.208800,171200
2008-05-06,8.295000,8.295000,8.150000,8.150000,7.082787,52400
2008-05-07,8.095000,8.170000,8.055000,8.150000,7.082787,84000
2008-05-08,8.100000,8.225000,8.075000,8.200000,7.126240,87800
2008-05-09,8.150000,8.450000,8.150000,8.175000,7.104513,98000
2008-05-12,8.275000,8.445000,8.160000,8.445000,7.339157,75200
2008-05-13,8.275000,8.445000,8.160000,8.445000,7.339157,75200
2008-05-14,8.495000,8.825000,8.495000,8.675000,7.539042,477200
2008-05-15,8.670000,9.025000,8.610000,8.850000,7.691124,406800
2008-05-16,8.800000,9.000000,8.750000,8.800000,7.647673,323400
2008-05-19,8.950000,9.250000,8.850000,8.850000,7.691124,115600
2008-05-20,8.725000,8.725000,8.610000,8.650000,7.517313,206800
2008-05-21,8.695000,8.700000,8.500000,8.645000,7.512969,155600
2008-05-23,8.510000,8.970000,8.500000,8.650000,7.517313,57000
2008-05-26,8.820000,9.250000,8.795000,8.800000,7.647673,125200
2008-05-27,8.780000,8.990000,8.655000,8.925000,7.756304,220600
2008-05-28,9.000000,9.750000,9.000000,9.725000,8.451547,590600
2008-05-29,9.000000,9.750000,9.000000,9.725000,8.451547,590600
2008-05-30,10.600000,11.000000,10.255000,10.995000,9.555246,475800
2008-06-02,10.600000,11.000000,10.255000,10.995000,9.555246,475800
2008-06-03,10.910000,12.325000,10.910000,11.655000,10.128821,592800
2008-06-04,12.000000,12.475000,11.600000,11.750000,10.211380,596400
2008-06-05,11.545000,12.000000,11.450000,12.000000,10.428643,313800
2008-06-06,12.000000,12.450000,11.975000,12.195000,10.598108,525400
2008-06-09,12.100000,12.400000,11.300000,12.300000,10.689361,309800
2008-06-10,12.300000,12.300000,11.510000,11.750000,10.211380,276800
2008-06-11,11.650000,11.750000,11.500000,11.500000,9.994116,40800
2008-06-12,11.500000,11.755000,11.300000,11.450000,9.950665,136000
2008-06-13,11.500000,11.500000,11.255000,11.495000,9.989773,37000
2008-06-16,11.500000,11.500000,11.050000,11.300000,9.820308,22000
2008-06-17,11.250000,11.375000,11.060000,11.175000,9.711676,280200
2008-06-18,11.175000,11.375000,10.150000,10.500000,9.125063,229000
2008-06-19,10.550000,10.550000,10.175000,10.400000,9.038158,412600
2008-06-20,10.245000,10.300000,10.000000,10.150000,8.820895,167200
2008-06-23,10.250000,10.250000,10.120000,10.125000,8.799168,27000
2008-06-24,10.150000,10.150000,9.500000,9.850000,8.560179,201400
2008-06-25,9.995000,10.000000,9.800000,9.815000,8.529762,138400
2008-06-26,9.885000,10.050000,9.750000,9.750000,8.473273,316800
2008-06-27,9.500000,10.000000,9.500000,9.850000,8.560179,19800
2008-06-30,10.000000,10.000000,9.650000,9.650000,8.386367,60200
2008-07-01,9.575000,9.575000,9.250000,9.495000,8.251664,47000
2008-07-02,9.500000,9.900000,9.330000,9.330000,8.108272,278600
2008-07-03,9.300000,9.585000,8.875000,8.875000,7.712852,203800
2008-07-04,8.850000,9.000000,8.750000,9.000000,7.821483,57600
2008-07-07,9.750000,9.750000,9.050000,9.555000,8.303807,368400
2008-07-08,9.500000,9.725000,9.175000,9.695000,8.425474,138800
2008-07-10,9.250000,9.500000,9.250000,9.425000,8.190830,159400
2008-07-11,9.550000,9.895000,9.350000,9.895000,8.599286,138000
2008-07-14,9.895000,9.895000,9.500000,9.500000,8.256010,396600
2008-07-15,9.500000,9.500000,9.125000,9.250000,8.038746,213000
2008-07-16,9.250000,9.500000,9.100000,9.250000,8.038746,95200
2008-07-17,9.300000,9.300000,8.770000,9.100000,7.908389,159800
2008-07-18,9.250000,9.250000,8.750000,9.000000,7.821483,52600
2008-07-21,9.000000,9.145000,8.875000,9.055000,7.869280,27000
2008-07-22,9.050000,9.145000,9.000000,9.075000,7.886662,87200
2008-07-23,8.950000,9.200000,8.900000,9.200000,7.995293,330200
2008-07-24,9.200000,9.450000,9.085000,9.450000,8.212557,64200
2008-07-25,9.450000,9.500000,9.200000,9.400000,8.169105,99200
2008-07-28,9.550000,9.725000,9.400000,9.725000,8.451547,262200
