Date,Open,High,Low,Close,Adj Close,Volume
2011-12-28,70.639999,70.639999,70.639999,70.639999,64.155426,2600
2011-12-29,70.820000,70.820000,70.820000,70.820000,64.318901,1500
2012-01-02,null,null,null,null,null,null
2012-01-03,70.559998,70.739998,70.559998,70.739998,64.246239,2800
2012-01-04,null,null,null,null,null,null
2012-01-05,null,null,null,null,null,null
2012-01-06,null,null,null,null,null,null
2012-01-09,null,null,null,null,null,null
2012-01-10,null,null,null,null,null,null
2012-01-11,null,null,null,null,null,null
2012-01-12,null,null,null,null,null,null
2012-01-13,null,null,null,null,null,null
2012-01-16,null,null,null,null,null,null
2012-01-17,null,null,null,null,null,null
2012-01-18,null,null,null,null,null,null
2012-01-19,null,null,null,null,null,null
2012-01-20,null,null,null,null,null,null
2012-01-23,null,null,null,null,null,null
2012-01-24,null,null,null,null,null,null
2012-01-26,null,null,null,null,null,null
2012-01-27,null,null,null,null,null,null
2012-01-30,null,null,null,null,null,null
2012-01-31,null,null,null,null,null,null
2012-02-01,null,null,null,null,null,null
2012-02-02,null,null,null,null,null,null
2012-02-03,null,null,null,null,null,null
2012-02-06,null,null,null,null,null,null
2012-02-07,null,null,null,null,null,null
2012-02-08,null,null,null,null,null,null
2012-02-09,null,null,null,null,null,null
2012-02-10,null,null,null,null,null,null
2012-02-13,null,null,null,null,null,null
2012-02-14,null,null,null,null,null,null
2012-02-15,null,null,null,null,null,null
2012-02-16,null,null,null,null,null,null
2012-02-17,null,null,null,null,null,null
2012-02-23,null,null,null,null,null,null
2012-02-24,null,null,null,null,null,null
2012-02-27,null,null,null,null,null,null
2012-02-28,null,null,null,null,null,null
2012-02-29,null,null,null,null,null,null
2012-03-01,null,null,null,null,null,null
2012-03-02,null,null,null,null,null,null
2012-03-05,null,null,null,null,null,null
2012-03-06,null,null,null,null,null,null
2012-03-07,null,null,null,null,null,null
2012-03-08,null,null,null,null,null,null
2012-03-09,null,null,null,null,null,null
2012-03-12,null,null,null,null,null,null
2012-03-13,null,null,null,null,null,null
2012-03-14,null,null,null,null,null,null
2012-03-15,null,null,null,null,null,null
2012-03-16,null,null,null,null,null,null
2012-03-19,null,null,null,null,null,null
2012-03-20,null,null,null,null,null,null
2012-03-21,null,null,null,null,null,null
2012-03-22,null,null,null,null,null,null
2012-03-23,null,null,null,null,null,null
2012-03-26,null,null,null,null,null,null
2012-03-27,null,null,null,null,null,null
2012-03-28,null,null,null,null,null,null
2012-03-29,null,null,null,null,null,null
2012-03-30,null,null,null,null,null,null
2012-04-02,null,null,null,null,null,null
2012-04-03,null,null,null,null,null,null
2012-04-04,null,null,null,null,null,null
2012-04-05,null,null,null,null,null,null
2012-04-09,null,null,null,null,null,null
2012-04-10,null,null,null,null,null,null
2012-04-11,null,null,null,null,null,null
2012-04-12,null,null,null,null,null,null
2012-04-13,null,null,null,null,null,null
2012-04-16,null,null,null,null,null,null
2012-04-17,null,null,null,null,null,null
2012-04-18,null,null,null,null,null,null
2012-04-19,null,null,null,null,null,null
2012-04-20,null,null,null,null,null,null
2012-04-23,null,null,null,null,null,null
2012-04-24,null,null,null,null,null,null
2012-04-25,null,null,null,null,null,null
2012-04-26,null,null,null,null,null,null
2012-04-27,null,null,null,null,null,null
2012-04-30,null,null,null,null,null,null
2012-05-02,74.930000,74.930000,74.930000,74.930000,68.051605,6900
2012-05-03,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-04,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-07,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-08,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-09,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-10,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-11,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-14,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-15,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-16,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-17,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-18,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-21,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-22,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-23,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-24,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-25,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-28,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-29,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-30,74.930000,74.930000,74.930000,74.930000,68.051605,0
2012-05-31,75.559998,75.559998,75.559998,75.559998,68.623779,800
2012-06-01,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-04,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-05,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-06,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-08,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-11,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-12,75.559998,75.559998,75.559998,75.559998,68.623779,0
2012-06-13,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-14,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-15,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-18,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-19,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-20,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-21,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-22,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-25,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-26,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-27,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-28,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-06-29,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-07-02,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-07-03,75.559998,75.559998,75.559998,75.559998,69.409019,0
2012-07-04,85.040001,85.040001,85.040001,85.040001,78.117302,17100
2012-07-05,85.040001,85.040001,85.040001,85.040001,78.117302,0
2012-07-06,85.040001,85.040001,85.040001,85.040001,78.117302,0
2012-07-10,85.730003,85.730003,85.730003,85.730003,78.751129,7700
2012-07-11,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-12,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-13,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-16,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-17,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-18,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-19,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-20,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-23,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-24,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-25,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-26,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-27,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-30,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-07-31,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-01,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-02,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-03,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-06,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-07,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-08,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-09,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-10,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-13,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-14,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-15,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-16,85.730003,85.730003,85.730003,85.730003,78.751129,0
2012-08-17,87.510002,87.510002,87.510002,87.510002,80.386230,1000
2012-08-20,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-21,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-22,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-23,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-24,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-27,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-28,87.510002,87.510002,87.510002,87.510002,80.386230,0
2012-08-29,88.419998,88.419998,88.419998,88.419998,81.222145,500
2012-08-30,88.419998,88.419998,88.419998,88.419998,81.222145,0
2012-08-31,88.419998,88.419998,88.419998,88.419998,81.222145,0
2012-09-03,88.419998,88.419998,88.419998,88.419998,81.222145,0
2012-09-04,88.419998,88.419998,88.419998,88.419998,81.222145,0
2012-09-05,88.419998,88.419998,88.419998,88.419998,81.222145,0
2012-09-06,88.419998,88.419998,88.419998,88.419998,81.222145,0
