Date,Open,High,Low,Close,Adj Close,Volume
2011-06-29,13.150000,15.150000,13.020000,15.050000,10.440629,10092400
2011-06-30,15.180000,15.180000,14.600000,14.900000,10.336569,807400
2011-07-01,14.500000,15.200000,14.420000,15.000000,10.405941,351100
2011-07-04,14.810000,14.890000,14.600000,14.750000,10.232509,358600
2011-07-05,14.550000,15.000000,14.550000,14.890000,10.329631,206200
2011-07-06,15.020000,15.020000,14.550000,14.600000,10.128451,473300
2011-07-07,14.550000,14.890000,14.500000,14.840000,10.294945,4600
2011-07-08,14.610000,14.750000,14.400000,14.750000,10.232509,72500
2011-07-11,14.590000,14.600000,14.250000,14.490000,10.052139,967900
2011-07-12,14.100000,14.330000,13.800000,13.800000,9.573466,491600
2011-07-13,14.000000,14.120000,13.920000,13.930000,9.663651,57300
2011-07-14,13.900000,13.950000,13.800000,13.950000,9.677525,607800
2011-07-15,13.900000,14.100000,13.770000,14.100000,9.781585,63400
2011-07-18,14.000000,14.000000,13.670000,13.980000,9.698338,49200
2011-07-19,13.510000,13.990000,13.510000,13.950000,9.677525,125100
2011-07-20,13.700000,13.980000,13.490000,13.750000,9.538781,638700
2011-07-21,13.740000,14.400000,13.740000,14.400000,9.989705,17100
2011-07-22,14.400000,14.750000,14.400000,14.750000,10.232509,313600
2011-07-25,14.740000,14.740000,14.400000,14.420000,10.003579,143
2011-07-26,14.600000,14.750000,14.190000,14.750000,10.232509,11900
2011-07-27,14.730000,14.850000,14.670000,14.800000,10.267196,1200500
2011-07-28,14.590000,14.750000,14.220000,14.700000,10.197823,997800
2011-07-29,14.700000,14.950000,14.700000,14.950000,10.371255,71
2011-08-01,14.510000,14.520000,14.070000,14.500000,10.059077,14900
2011-08-02,14.080000,14.960000,14.010000,14.740000,10.225573,985800
2011-08-03,14.400000,14.400000,14.000000,14.400000,9.989705,22100
2011-08-04,14.500000,14.540000,13.990000,14.000000,9.712212,737500
2011-08-05,14.010000,14.010000,13.010000,13.010000,9.025420,977200
2011-08-08,12.800000,13.000000,11.800000,12.000000,8.324753,365100
2011-08-09,12.000000,13.900000,11.800000,13.900000,9.642838,870700
2011-08-10,14.190000,14.190000,12.700000,13.350000,9.261288,2200
2011-08-11,13.990000,13.990000,13.650000,13.650000,9.469406,36600
2011-08-12,13.500000,13.650000,13.150000,13.650000,9.469406,44200
2011-08-15,13.700000,13.900000,13.510000,13.510000,9.372285,50900
2011-08-16,13.920000,13.940000,13.700000,13.700000,9.504092,960900
2011-08-17,13.700000,13.900000,13.500000,13.500000,9.365349,85300
2011-08-18,13.040000,13.150000,12.900000,12.910000,8.956048,5600
2011-08-19,12.990000,12.990000,12.360000,12.360000,8.574495,209300
2011-08-22,12.370000,12.600000,12.310000,12.500000,8.671618,94900
2011-08-23,12.500000,12.600000,12.500000,12.500000,8.671618,34200
2011-08-24,12.500000,12.570000,12.500000,12.570000,8.720180,127300
2011-08-25,12.600000,12.600000,12.200000,12.600000,8.740992,9500
2011-08-26,12.500000,12.750000,12.500000,12.750000,8.845050,24600
2011-08-29,12.840000,13.300000,12.840000,13.300000,9.226602,55300
2011-08-30,13.620000,14.000000,13.600000,14.000000,9.712212,23100
2011-08-31,14.400000,14.690000,14.000000,14.400000,9.989705,185100
2011-09-01,14.600000,15.000000,14.500000,15.000000,10.405941,223200
2011-09-02,14.900000,14.900000,14.800000,14.800000,10.267196,13700
2011-09-05,15.000000,15.000000,14.010000,14.500000,10.059077,117100
2011-09-06,14.500000,14.500000,14.300000,14.300000,9.920330,278600
2011-09-08,14.190000,15.150000,14.190000,15.100000,10.475315,203700
2011-09-09,15.000000,16.000000,14.870000,15.000000,10.405941,231200
2011-09-12,14.970000,15.100000,14.600000,15.000000,10.405941,161700
2011-09-13,15.190000,15.790000,15.100000,15.790000,10.953989,125500
2011-09-14,15.740000,15.790000,15.350000,15.650000,10.856865,580100
2011-09-15,15.980000,15.990000,15.400000,15.800000,10.960926,187400
2011-09-16,16.250000,17.000000,15.820000,17.000000,11.793400,1101200
2011-09-19,16.549999,16.799999,16.049999,16.200001,11.238418,418100
2011-09-20,16.250000,16.250000,15.820000,16.000000,11.099672,126500
2011-09-21,16.000000,16.240000,15.700000,15.700000,10.891552,86100
2011-09-22,15.600000,15.800000,14.200000,14.600000,10.128451,141700
2011-09-23,14.590000,15.330000,14.140000,15.000000,10.405941,210900
2011-09-26,15.000000,15.500000,14.740000,15.000000,10.405941,88500
2011-09-27,16.000000,16.000000,14.530000,14.600000,10.128451,213800
2011-09-28,14.990000,14.990000,14.360000,14.680000,10.183949,13300
2011-09-29,14.790000,14.790000,13.990000,14.000000,9.712212,372100
2011-09-30,14.400000,14.450000,14.000000,14.000000,9.712212,25900
2011-10-03,14.020000,14.700000,14.000000,14.000000,9.712212,159300
2011-10-04,14.000000,14.400000,14.000000,14.400000,9.989705,134300
2011-10-05,14.350000,14.500000,14.000000,14.000000,9.712212,217200
2011-10-06,14.160000,14.250000,13.500000,13.500000,9.365349,151600
2011-10-07,13.500000,14.000000,13.310000,14.000000,9.712212,43500
2011-10-10,13.710000,14.320000,13.710000,14.090000,9.774648,7500
2011-10-11,14.100000,14.470000,13.800000,13.800000,9.573466,53100
2011-10-13,13.700000,13.950000,13.600000,13.600000,9.434719,32300
2011-10-14,13.740000,13.740000,13.510000,13.510000,9.372285,49800
