Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,12.657100,13.235700,12.657100,13.235700,9.515238,2800
2012-03-01,13.285700,15.671400,13.214300,15.571400,11.194388,57400
2012-04-01,15.571400,16.357100,15.571400,15.942900,11.461462,54600
2012-05-01,15.942900,16.592899,15.142900,16.592899,11.928753,31500
2012-06-01,16.592899,16.942900,16.157101,16.771400,12.057078,22400
2012-07-01,16.771400,18.042900,16.771400,17.792900,12.791441,76300
2012-08-01,17.692900,19.935699,17.692900,19.307100,13.880009,98000
2012-09-01,19.307100,19.885700,19.307100,19.307100,14.303579,7000
2012-10-01,19.514299,19.514299,17.368601,17.368601,12.867451,37800
2012-11-01,17.368601,17.857100,16.027100,17.857100,13.229353,46900
2012-12-01,17.857100,17.857100,15.000000,15.000000,11.475680,95900
2013-01-01,15.000000,15.192900,12.571400,13.024300,9.964178,112700
2013-02-01,12.810000,13.428600,12.450000,12.564300,9.612259,166526
2013-03-01,12.277100,13.378600,11.941400,13.307100,10.603639,385700
2013-04-01,13.307100,13.307100,11.257100,12.490000,9.952540,1231300
2013-05-01,12.490000,13.844300,12.490000,13.778600,10.979349,492800
2013-06-01,13.807100,13.954300,12.475700,12.571400,10.513401,545300
2013-07-01,12.475700,14.892900,12.475700,14.892900,12.454861,274400
2013-08-01,14.892900,17.574301,14.892900,16.831400,14.076017,243600
2013-09-01,16.831400,16.872900,14.542900,15.357100,13.504039,726600
2013-10-01,15.428600,16.635700,15.190000,16.202900,14.247781,277200
2013-11-01,16.661400,18.521400,16.621401,18.595699,16.351852,611800
2013-12-01,18.521400,19.207100,18.100000,18.921400,17.337482,625100
2014-01-01,18.921400,19.085699,17.224300,17.335699,15.884521,101500
2014-02-01,17.314301,18.887100,17.314301,17.438601,15.978808,86800
2014-03-01,17.438601,17.924299,17.438601,17.821400,17.045298,74200
2014-04-01,17.821400,18.767099,16.420000,18.642900,17.831022,199500
2014-05-01,18.642900,20.635700,18.642900,20.352900,19.466553,369600
2014-06-01,20.457100,21.900000,19.799999,20.120001,20.020336,327500
2014-07-01,20.120001,21.750000,19.500000,21.570000,21.463152,32300
2014-08-01,21.350000,23.379999,21.350000,22.930000,22.816416,24200
2014-09-01,22.930000,25.400000,22.080000,23.600000,23.600000,571100
2014-10-01,25.049999,26.799999,23.910000,26.000000,26.000000,51700
2014-11-01,26.000000,32.000000,26.000000,32.000000,32.000000,66700
2014-12-01,29.719999,31.059999,28.980000,30.110001,30.110001,477292
2015-01-01,30.110001,35.000000,27.750000,32.349998,32.349998,407300
2015-02-01,31.809999,38.450001,31.480000,37.169998,37.169998,131400
2015-03-01,37.169998,42.549999,36.910000,40.099998,40.099998,519000
2015-04-01,39.950001,39.950001,37.500000,37.500000,37.500000,171900
2015-05-01,37.500000,42.000000,37.500000,41.740002,41.740002,120000
2015-06-01,41.740002,41.790001,38.980000,39.160000,39.160000,259200
2015-07-01,39.680000,42.990002,38.880001,41.750000,41.750000,388700
2015-08-01,41.700001,41.820000,36.570000,39.450001,39.450001,703200
2015-09-01,40.700001,47.720001,40.430000,43.759998,43.759998,1116700
2015-10-01,43.200001,46.919998,41.349998,46.919998,46.919998,483100
2015-11-01,46.919998,47.500000,43.299999,46.529999,46.529999,377700
2015-12-01,45.599998,45.599998,41.529999,42.849998,42.849998,445500
2016-01-01,42.849998,42.849998,38.139999,38.980000,38.980000,471500
2016-02-01,38.209999,39.500000,37.000000,38.830002,38.830002,421200
2016-03-01,39.400002,39.750000,35.549999,39.619999,39.619999,562500
2016-04-01,39.380001,40.299999,32.270000,32.480000,32.480000,379300
2016-05-01,32.500000,36.169998,31.260000,35.720001,35.720001,501800
2016-06-01,35.880001,35.880001,30.410000,30.980000,30.980000,266600
2016-07-01,31.100000,34.439999,30.010000,33.790001,33.790001,604500
2016-08-01,34.610001,35.340000,33.470001,34.349998,34.349998,545400
2016-09-01,34.700001,37.939999,32.810001,36.689999,36.689999,320800
2016-10-01,36.110001,37.840000,35.950001,36.439999,36.439999,192400
