Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,54.169998,54.169998,54.169998,54.169998,49.072170,12200
2012-06-01,null,null,null,null,null,null
2012-07-01,54.630001,54.630001,51.299999,51.299999,46.840439,6900
2012-08-01,51.299999,51.299999,51.299999,51.299999,46.840439,0
2012-09-01,51.299999,51.299999,46.220001,46.220001,42.580326,1200
2012-10-01,46.939999,46.939999,44.369999,44.480000,40.977345,4100
2012-11-01,44.480000,44.480000,41.160000,41.160000,37.918789,1700
2012-12-01,41.279999,43.360001,41.279999,43.360001,40.374470,12800
2013-01-01,43.360001,44.830002,42.990002,42.990002,40.029953,800
2013-02-01,42.220001,42.220001,40.299999,40.299999,37.525162,2641
2013-03-01,40.299999,43.049999,40.299999,42.790001,40.268261,4000
2013-04-01,42.790001,46.889999,42.619999,45.240002,42.573879,2500
2013-05-01,45.240002,49.939999,45.240002,48.240002,45.397072,4900
2013-06-01,48.240002,55.340000,48.240002,55.330002,52.596073,2800
2013-07-01,55.330002,55.570000,53.599998,53.599998,50.951553,3400
2013-08-01,53.599998,54.610001,52.490002,54.610001,51.911648,35800
2013-09-01,54.610001,54.610001,52.480000,52.480000,50.389729,800
2013-10-01,52.480000,52.709999,52.480000,52.709999,50.610561,100
2013-11-01,52.709999,57.369999,52.709999,55.599998,53.385456,22500
2013-12-01,56.130001,60.400002,56.130001,60.000000,58.163872,101700
2014-01-01,60.000000,61.549999,59.740002,60.650002,58.793983,8800
2014-02-01,58.900002,59.599998,56.840000,57.730000,55.963341,14700
2014-03-01,57.730000,58.599998,56.560001,58.599998,57.318119,600
2014-04-01,58.599998,59.400002,57.820000,59.400002,58.100620,5100
2014-05-01,59.400002,59.400002,57.660000,57.660000,56.398682,8500
2014-06-01,57.660000,66.930000,57.660000,66.699997,65.820541,2500
2014-07-01,68.500000,76.290001,68.370003,76.290001,75.284111,3500
2014-08-01,76.070000,80.050003,74.790001,74.970001,73.981514,4600
2014-09-01,78.059998,86.750000,77.250000,86.870003,86.301735,146100
2014-10-01,85.830002,85.830002,77.559998,82.900002,82.357704,107100
2014-11-01,82.900002,89.180000,82.900002,89.099998,88.517143,20400
2014-12-01,94.870003,102.650002,94.870003,98.839996,98.839996,219820
2015-01-01,98.839996,98.839996,88.150002,88.870003,88.870003,91400
2015-02-01,89.989998,99.680000,89.720001,95.099998,95.099998,27900
2015-03-01,97.680000,102.709999,96.599998,101.239998,101.239998,50600
2015-04-01,97.260002,100.099998,94.739998,97.470001,97.470001,39700
2015-05-01,97.470001,109.489998,97.110001,109.489998,109.489998,14200
2015-06-01,109.489998,109.489998,94.650002,94.650002,94.650002,47400
2015-07-01,94.849998,99.400002,90.779999,99.400002,99.400002,146000
2015-08-01,99.400002,104.699997,94.760002,104.300003,104.300003,73900
2015-09-01,104.300003,119.400002,104.300003,118.989998,118.989998,100600
2015-10-01,118.989998,136.619995,118.989998,131.589996,131.589996,51500
2015-11-01,131.589996,136.160004,123.190002,136.160004,136.160004,40800
2015-12-01,134.880005,139.570007,128.550003,139.570007,139.570007,54300
2016-01-01,139.570007,139.570007,120.190002,123.769997,123.769997,58700
2016-02-01,122.849998,122.849998,111.440002,118.989998,118.989998,48900
2016-03-01,118.989998,118.989998,111.800003,117.400002,117.400002,91400
2016-04-01,115.650002,117.529999,103.849998,104.639999,104.639999,40900
2016-05-01,104.639999,112.510002,104.400002,112.510002,112.510002,32000
2016-06-01,113.459999,113.459999,102.370003,106.160004,106.160004,33200
2016-07-01,105.570000,115.730003,105.570000,112.940002,112.940002,34900
2016-08-01,113.279999,115.550003,108.220001,114.980003,114.980003,108300
2016-09-01,116.099998,123.830002,115.330002,122.449997,122.449997,36700
2016-10-01,121.349998,122.550003,108.500000,110.919998,110.919998,45100
2016-11-01,110.919998,119.940002,109.529999,118.830002,118.830002,61900
2016-12-01,118.699997,124.849998,117.750000,118.870003,118.870003,27200
2017-01-01,118.870003,120.150002,115.330002,115.330002,115.330002,7700
2017-02-01,115.330002,115.330002,109.959999,113.070000,113.070000,15900
2017-03-01,111.379997,113.879997,107.889999,111.150002,111.150002,14700
2017-04-01,113.089996,117.540001,109.400002,117.099998,117.099998,8100
2017-05-01,117.099998,120.070000,109.389999,116.250000,116.250000,16500
2017-06-01,117.470001,119.669998,110.150002,110.150002,110.150002,16300
2017-07-01,112.669998,113.709999,108.230003,110.820000,110.820000,11100
2017-08-01,110.820000,115.449997,108.690002,110.000000,110.000000,24500
2017-09-01,110.349998,120.019997,108.860001,120.019997,120.019997,12800
2017-10-01,122.830002,149.789993,122.699997,149.789993,149.789993,16600
2017-11-01,152.050003,152.720001,142.559998,148.190002,148.190002,15900
2017-12-01,145.210007,155.899994,140.929993,153.669998,153.669998,71400
2018-01-01,153.669998,160.500000,138.449997,153.759995,153.759995,27600
2018-02-01,151.809998,163.190002,140.119995,161.889999,161.889999,29200
2018-03-01,155.889999,174.990005,155.889999,166.960007,166.960007,15600
2018-04-01,161.729996,183.979996,161.729996,181.029999,181.029999,8900
2018-05-01,181.029999,209.509995,181.029999,208.949997,208.949997,19000
2018-06-01,215.910004,221.500000,189.600006,194.050003,194.050003,15900
2018-07-01,197.229996,205.820007,175.929993,180.259995,180.259995,10900
2018-08-01,183.869995,206.059998,183.389999,197.899994,197.899994,22200
2018-09-01,197.899994,203.830002,183.009995,190.639999,190.639999,24600
2018-10-01,187.160004,192.970001,160.710007,174.470001,174.470001,31200
2018-11-01,174.470001,187.130005,173.630005,187.130005,187.130005,8200
2018-12-01,190.720001,192.449997,174.960007,181.360001,181.360001,8600
2019-01-01,181.360001,187.419998,170.119995,171.850006,171.850006,14400
