Date,Open,High,Low,Close,Adj Close,Volume
2010-12-01,46.520000,48.639999,46.500000,48.639999,44.637039,112300
2011-01-01,48.810001,48.810001,47.529999,47.560001,43.645927,53400
2011-02-01,null,null,null,null,null,null
2011-03-01,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-05-01,null,null,null,null,null,null
2011-06-01,40.040001,40.040001,40.040001,40.040001,36.744797,100
2011-07-01,null,null,null,null,null,null
2011-08-01,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-10-01,null,null,null,null,null,null
2011-11-01,null,null,null,null,null,null
2011-12-01,47.830002,47.830002,47.830002,47.830002,43.893703,39200
2012-01-01,51.000000,51.000000,50.820000,51.000000,46.802826,800
2012-02-01,53.500000,53.500000,53.500000,53.500000,49.097073,100
2012-03-01,53.500000,59.220001,53.500000,58.790001,53.951717,33000
2012-04-01,58.790001,61.000000,55.599998,61.000000,55.979843,13300
2012-05-01,61.000000,61.930000,57.970001,58.740002,53.905838,2000
2012-06-01,58.740002,62.580002,57.500000,62.180000,57.404499,800
2012-07-01,60.599998,62.570000,58.580002,60.750000,56.084320,54500
2012-08-01,60.750000,62.419998,60.270000,62.419998,57.626060,36100
2012-09-01,62.419998,63.480000,60.490002,59.660000,55.674232,33500
2012-10-01,60.240002,60.980000,56.439999,58.389999,54.489075,110300
2012-11-01,58.389999,60.389999,55.349998,57.020000,53.210602,36000
2012-12-01,57.020000,58.160000,54.459999,54.459999,51.232594,24400
2013-01-01,54.459999,57.060001,53.540001,55.830002,52.521404,30700
2013-02-01,55.490002,55.520000,54.169998,55.259998,51.985180,9155
2013-03-01,55.259998,57.320000,54.029999,56.700001,53.813221,28700
2013-04-01,56.700001,64.680000,56.700001,64.680000,61.386944,59300
2013-05-01,64.680000,72.680000,64.680000,72.680000,68.979637,70666
2013-06-01,75.029999,77.080002,74.080002,74.080002,70.838570,82400
2013-07-01,76.459999,80.489998,71.000000,72.900002,69.710197,37600
2013-08-01,72.620003,82.599998,72.599998,81.790001,78.211220,163300
2013-09-01,81.790001,81.790001,71.949997,72.550003,69.831757,22700
2013-10-01,72.550003,78.830002,72.550003,78.830002,75.876457,13900
2013-11-01,79.400002,89.949997,79.400002,89.220001,85.877167,4600
2013-12-01,89.550003,90.260002,84.959999,88.129997,85.473610,14600
2014-01-01,88.129997,90.260002,83.720001,91.250000,88.499565,10400
2014-02-01,90.300003,90.480003,86.949997,89.720001,87.015678,28400
2014-03-01,89.750000,94.120003,86.250000,91.120003,89.029869,5200
2014-04-01,93.800003,94.139999,86.199997,89.849998,87.789001,30500
2014-05-01,89.849998,91.919998,87.000000,91.919998,89.811516,53200
2014-06-01,91.360001,93.419998,91.059998,92.769997,91.322594,8500
2014-07-01,92.769997,100.099998,92.769997,99.120003,97.573532,6200
2014-08-01,97.550003,104.250000,97.550003,101.139999,99.562012,2900
2014-09-01,101.139999,113.940002,100.480003,113.940002,112.857559,42100
2014-10-01,113.940002,116.300003,105.430000,114.199997,113.115082,11800
2014-11-01,114.199997,127.370003,114.199997,121.279999,120.127823,12200
2014-12-01,124.000000,132.100006,123.150002,125.500000,125.072594,224220
2015-01-01,125.500000,140.000000,108.029999,111.449997,111.070442,57500
2015-02-01,111.199997,131.000000,110.339996,127.000000,126.567482,29500
2015-03-01,125.900002,140.800003,125.900002,133.000000,132.547058,46500
2015-04-01,130.550003,147.899994,126.540001,147.899994,147.396301,35800
2015-05-01,147.899994,151.000000,142.649994,150.100006,149.588821,30200
2015-06-01,150.100006,150.100006,141.199997,142.389999,141.905075,31600
2015-07-01,139.899994,160.440002,135.899994,159.899994,159.355438,48400
