Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,24.000000,24.480000,22.490000,23.000000,19.158590,15356100
2007-01-01,22.920000,28.700001,22.600000,28.400000,23.656700,9383600
2007-02-01,28.410000,30.000000,25.010000,26.000000,21.657539,4985600
2007-03-01,25.500000,29.020000,24.200001,28.500000,23.740000,9208800
2007-04-01,28.549999,34.490002,28.129999,31.600000,26.322243,11072600
2007-05-01,31.730000,39.000000,30.500000,39.000000,32.486317,7664800
2007-06-01,39.000000,43.990002,38.049999,41.000000,34.152275,6185100
2007-07-01,41.330002,46.570000,40.849998,42.299999,35.235157,5790900
2007-08-01,41.799999,44.990002,36.299999,44.020000,36.667885,9890100
2007-09-01,44.400002,49.500000,39.200001,40.250000,33.527542,8426400
2007-10-01,40.150002,45.230000,38.290001,43.709999,36.409660,9366000
2007-11-01,44.200001,48.900002,41.250000,46.700001,38.900276,5235100
2007-12-01,47.000000,48.599998,43.000000,43.490002,36.226406,2580400
2008-01-01,43.490002,43.490002,28.900000,31.000000,25.822456,6700500
2008-02-01,31.709999,32.799999,25.610001,27.730000,23.098600,9761100
2008-03-01,27.600000,29.930000,20.740000,21.350000,17.784176,7139800
2008-04-01,21.660000,22.180000,19.110001,21.799999,18.330997,6096400
2008-05-01,22.600000,24.400000,16.240000,17.760000,14.933878,20438700
2008-06-01,18.100000,19.490000,15.400000,15.990000,13.445535,9763100
2008-07-01,15.720000,15.890000,12.550000,14.000000,11.772202,6574500
2008-08-01,14.000000,14.250000,11.540000,11.800000,9.922283,3848100
2008-09-01,11.830000,12.100000,6.850000,7.000000,5.959569,6428100
2008-10-01,6.970000,7.040000,3.400000,5.890000,5.014551,11794400
2008-11-01,6.200000,6.500000,4.610000,5.750000,4.895360,5133600
2008-12-01,5.740000,13.900000,4.600000,6.900000,5.874431,46896000
2009-01-01,6.900000,7.220000,5.330000,5.400000,4.597381,6076100
2009-02-01,5.390000,9.950000,5.110000,7.200000,6.129841,33614600
2009-03-01,7.100000,9.250000,6.450000,8.140000,6.930127,17863800
2009-04-01,8.160000,9.500000,8.000000,8.990000,7.653788,8602400
2009-05-01,8.990000,9.700000,8.610000,9.290000,8.168595,9001700
2009-06-01,9.460000,11.450000,9.300000,10.480000,9.214950,9988900
2009-07-01,10.480000,14.100000,10.020000,13.800000,12.134191,9625700
2009-08-01,13.910000,15.570000,12.800000,15.090000,13.268473,7310100
2009-09-01,15.070000,17.049999,14.600000,16.740000,14.719298,5601200
2009-10-01,16.780001,20.600000,16.400000,20.500000,18.025427,6973700
2009-11-01,20.500000,21.350000,18.850000,20.299999,17.849567,6113400
2009-12-01,20.549999,22.980000,19.920000,22.000000,19.344358,6050800
2010-01-01,22.330000,22.510000,19.000000,20.170000,17.735260,5162000
2010-02-01,19.850000,20.500000,17.900000,19.809999,17.418716,2900500
2010-03-01,19.260000,19.990000,17.120001,17.790001,15.642554,5879300
2010-04-01,17.770000,20.200001,17.600000,18.700001,16.442705,1787800
2010-05-01,18.700001,19.490000,14.720000,16.700001,14.910229,0
2010-06-01,16.200001,18.870001,16.200001,16.969999,15.151291,1142700
2010-07-01,16.639999,18.420000,16.200001,18.080000,16.142332,4062500
2010-08-01,18.020000,19.160000,17.549999,17.799999,15.892339,3302852
2010-09-01,18.000000,18.400000,16.700001,17.000000,15.178076,2916931
2010-10-01,17.070000,17.690001,15.960000,15.960000,14.249536,4669800
2010-11-01,16.209999,16.250000,10.800000,11.010000,9.830036,14218400
2010-12-01,11.190000,12.150000,9.440000,9.750000,8.705073,10573800
2011-01-01,9.850000,10.820000,9.220000,9.470000,8.455082,9819100
2011-02-01,9.450000,10.480000,9.020000,9.940000,8.874710,5729587
2011-03-01,9.860000,9.890000,7.850000,8.000000,7.142624,6896783
2011-04-01,8.000000,8.430000,6.760000,7.150000,6.383720,6988100
