Date,Open,High,Low,Close,Adj Close,Volume
2012-07-01,114.430000,114.430000,114.430000,114.430000,107.674416,1600
2012-08-01,114.430000,114.430000,114.430000,114.430000,107.674416,0
2012-09-01,114.430000,114.430000,114.430000,114.430000,107.674416,0
2012-10-01,114.430000,114.430000,114.430000,114.430000,108.154366,0
2012-11-01,114.430000,114.430000,114.430000,114.430000,108.154366,0
2012-12-01,114.430000,114.430000,114.430000,114.430000,108.154366,0
2013-01-01,114.430000,114.430000,114.430000,114.430000,108.636055,0
2013-02-01,114.430000,114.430000,114.430000,114.430000,108.636055,0
2013-03-01,114.430000,114.430000,114.430000,114.430000,108.636055,0
2013-04-01,114.430000,114.430000,114.430000,114.430000,109.122612,0
2013-05-01,114.430000,114.430000,114.430000,114.430000,109.122612,0
2013-06-01,114.430000,114.430000,114.430000,114.430000,109.122612,0
2013-07-01,114.430000,114.430000,114.430000,114.430000,109.855507,0
2013-08-01,114.430000,114.430000,114.430000,114.430000,109.855507,0
2013-09-01,114.430000,158.029999,114.430000,153.029999,147.916748,48900
2013-10-01,153.029999,156.580002,145.350006,156.580002,151.348145,7500
2013-11-01,156.580002,165.929993,154.070007,164.970001,159.457794,166500
2013-12-01,173.800003,174.649994,172.000000,172.750000,167.815994,288200
2014-01-01,172.750000,178.000000,172.750000,175.050003,170.050293,2200
2014-02-01,175.050003,184.690002,175.000000,175.000000,170.001724,2700
2014-03-01,175.000000,181.850006,175.000000,179.470001,174.344040,52200
2014-04-01,179.100006,179.100006,173.449997,175.229996,171.014404,38100
2014-05-01,175.229996,176.500000,175.229996,176.500000,172.253876,900
2014-06-01,176.500000,176.500000,175.339996,176.500000,172.253876,23500
2014-07-01,175.339996,180.570007,175.339996,179.050003,175.661575,17400
2014-08-01,179.050003,179.050003,179.050003,179.050003,175.661575,0
2014-09-01,179.050003,184.009995,167.919998,167.919998,165.626831,100000
2014-10-01,184.009995,184.009995,177.399994,177.399994,174.977356,3000
2014-11-01,177.399994,184.449997,177.399994,183.119995,180.619247,200
2014-12-01,183.119995,198.500000,183.119995,188.809998,187.295563,8503560
2015-01-01,198.300003,201.600006,171.100006,171.100006,169.727631,6600
2015-02-01,171.100006,199.500000,171.100006,199.500000,197.899826,2900
2015-03-01,199.500000,226.000000,199.500000,226.000000,224.187271,5200
2015-04-01,226.000000,226.000000,201.169998,226.000000,224.187271,400
2015-05-01,201.169998,201.169998,201.169998,201.169998,199.556427,0
2015-06-01,201.169998,201.169998,201.169998,201.169998,199.556427,0
2015-07-01,201.169998,201.169998,201.169998,201.169998,199.556427,0
2015-08-01,201.169998,201.169998,201.169998,201.169998,199.556427,0
2015-09-01,201.169998,201.169998,201.169998,201.169998,199.556427,0
2015-10-01,201.169998,215.770004,201.169998,215.770004,214.039322,2000
2015-11-01,215.770004,215.770004,203.000000,203.000000,201.371750,1200
2015-12-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-01-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-02-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-03-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-04-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-05-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-06-01,203.000000,203.000000,203.000000,203.000000,201.371750,0
2016-07-01,203.000000,203.000000,178.410004,199.809998,198.207336,6300
2016-08-01,199.809998,204.839996,199.809998,203.070007,201.441193,11800
2016-09-01,203.070007,203.800003,199.119995,203.800003,202.165329,4900
2016-10-01,216.240005,222.960007,209.169998,209.169998,207.492264,3000
2016-11-01,219.009995,229.910004,218.990005,223.160004,221.370056,1200
2016-12-01,223.160004,227.369995,217.479996,217.479996,215.735596,400
2017-01-01,217.479996,217.479996,175.860001,205.270004,203.623550,900
2017-02-01,175.860001,175.860001,164.820007,170.570007,169.201874,700
2017-03-01,170.570007,183.389999,170.570007,183.389999,181.919037,900
2017-04-01,175.320007,177.509995,165.639999,165.639999,164.311417,3300
2017-05-01,165.639999,174.839996,165.639999,174.839996,173.437622,4400
2017-06-01,174.839996,174.839996,174.839996,174.839996,173.437622,0
2017-07-01,174.839996,174.839996,174.839996,174.839996,173.437622,0
2017-08-01,174.839996,174.839996,163.600006,163.600006,162.287781,200
2017-09-01,163.600006,163.600006,155.470001,162.369995,161.067642,200
2017-10-01,162.369995,162.380005,162.369995,162.380005,161.077560,100
2017-11-01,162.380005,212.949997,162.380005,212.949997,211.241943,400
2017-12-01,212.949997,216.600006,212.949997,214.399994,212.680298,500
2018-01-01,214.399994,219.699997,210.399994,217.199997,215.457855,3600
2018-02-01,217.199997,217.199997,205.899994,216.199997,214.465866,400
2018-03-01,216.199997,216.199997,184.199997,184.199997,182.722534,6500
2018-04-01,184.199997,187.690002,173.479996,179.440002,178.000732,3000
2018-05-01,179.440002,217.289993,179.440002,217.289993,215.547119,2700
2018-06-01,217.289993,239.889999,217.289993,219.699997,217.937790,45900
2018-07-01,219.699997,233.809998,219.220001,233.809998,231.934616,3300
2018-08-01,233.809998,290.950012,233.809998,290.950012,288.616333,5100
2018-09-01,290.950012,313.660004,288.880005,294.760010,292.395752,31100
2018-10-01,293.100006,295.820007,227.750000,228.800003,226.964813,33700
2018-11-01,228.800003,239.539993,205.460007,213.160004,211.450256,16800
2018-12-01,213.160004,228.210007,213.160004,218.660004,216.906143,900
2019-01-01,218.660004,218.660004,189.330002,189.330002,187.811401,3400
