Date,Open,High,Low,Close,Adj Close,Volume
2006-07-01,3000.000000,3000.000000,3000.000000,3000.000000,1769.009766,0
2006-08-01,3000.000000,10140.000000,3000.000000,7100.000000,4186.656738,9300
2006-09-01,6900.000000,15000.000000,6810.000000,7500.000000,4422.524414,6400
2006-10-01,7500.000000,15000.000000,7500.000000,8510.000000,5018.091309,7100
2006-11-01,8500.000000,18000.000000,7700.000000,10000.000000,5896.700195,900
2006-12-01,10000.000000,15500.000000,10000.000000,12900.000000,7606.742188,1200
2007-01-01,12180.000000,14150.000000,10000.000000,13250.000000,7813.126465,500
2007-02-01,13260.000000,14100.000000,13250.000000,13260.000000,7819.022949,1000
2007-03-01,13260.000000,17900.000000,13050.000000,13500.000000,7960.544922,29500
2007-04-01,13500.000000,14600.000000,13060.000000,14600.000000,8609.182617,2200
2007-05-01,14000.000000,15200.000000,13000.000000,14800.000000,8727.117188,3400
2007-06-01,14810.000000,15990.000000,14250.000000,15800.000000,9316.785156,23800
2007-07-01,15500.000000,28000.000000,15500.000000,17450.000000,10289.739258,61300
2007-08-01,16050.000000,18900.000000,13100.000000,16500.000000,9729.553711,4900
2007-09-01,16030.000000,18000.000000,15000.000000,16050.000000,9464.203125,4600
2007-10-01,16510.000000,21000.000000,15940.000000,21000.000000,12383.069336,10400
2007-11-01,18000.000000,19400.000000,16000.000000,18500.000000,10908.894531,9100
2007-12-01,18000.000000,18000.000000,18.000000,20.000000,11.793400,203800
2008-01-01,18.080000,27.900000,14.000000,17.000000,10.024388,4200
2008-02-01,17.000000,19.100000,15.000000,18.500000,10.908894,4000
2008-03-01,19.000000,20.000000,15.010000,16.500000,9.729555,3000
2008-04-01,16.500000,20.000000,14.730000,14.770000,8.709424,6500
2008-05-01,14.010000,19.500000,13.500000,15.020000,8.856844,13500
2008-06-01,14.020000,21.879999,14.020000,14.500000,8.550214,8100
2008-07-01,13.600000,16.000000,13.510000,13.510000,7.966441,3500
2008-08-01,14.000000,16.000000,13.500000,14.000000,8.255379,1100
2008-09-01,14.500000,15.980000,11.010000,12.000000,7.076038,7500
2008-10-01,12.000000,15.980000,2.010000,10.000000,5.896700,1500
2008-11-01,10.000000,15.980000,10.000000,11.000000,6.486370,600
2008-12-01,11.000000,15.980000,11.000000,15.970000,9.417028,900
2009-01-01,13.000000,15.970000,13.000000,14.000000,8.255379,0
2009-02-01,11.000000,15.970000,11.000000,12.500000,7.370874,1400
2009-03-01,14.000000,15.980000,12.510000,12.540000,7.394461,700
2009-04-01,11.810000,18.980000,11.810000,18.969999,11.186040,200
2009-05-01,10.000000,18.980000,10.000000,13.110000,7.730574,500
2009-06-01,13.010000,18.980000,13.010000,14.510000,8.556111,0
2009-07-01,14.520000,18.980000,10.070000,13.040000,7.689297,0
2009-08-01,10.070000,18.879999,10.000000,10.000000,5.896700,0
2009-09-01,null,null,null,null,null,null
2009-10-01,18.799999,18.799999,10.010000,14.500000,8.550214,400
2009-11-01,12.080000,18.799999,12.070000,14.000000,8.255379,2000
2009-12-01,14.000000,21.000000,13.000000,14.010000,8.261276,500
2010-01-01,13.510000,16.000000,13.510000,13.570000,8.001820,800
2010-02-01,14.500000,16.000000,13.500000,15.000000,8.845052,7600
2010-03-01,13.510000,18.000000,0.020000,10.070000,5.937977,0
2010-04-01,10.070000,18.500000,10.070000,10.070000,5.937977,4000
2010-05-01,18.500000,18.500000,10.010000,10.010000,5.902597,0
2010-06-01,11.070000,19.000000,11.070000,11.080000,6.533543,500
2010-07-01,12.000000,17.000000,11.080000,14.010000,8.261276,500
2010-08-01,14.020000,16.000000,13.010000,13.500000,7.960545,600
2010-09-01,14.000000,16.000000,11.070000,13.010000,7.671607,10400
2010-10-01,12.830000,21.000000,2.300000,2.300000,1.356241,0
