Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,22.200001,24.270000,19.969999,20.500000,12.707356,6324900
2013-09-01,20.889999,22.840000,20.650000,22.600000,14.009087,1012400
2013-10-01,22.770000,23.090000,21.700001,22.790001,14.126861,1298600
2013-11-01,22.620001,24.920000,21.260000,23.299999,14.442995,863600
2013-12-01,23.160000,23.440001,21.620001,22.299999,14.797768,1207400
2014-01-01,22.299999,22.469999,19.830000,20.000000,13.271538,903200
2014-02-01,20.160000,20.190001,17.020000,18.320000,12.156731,1534500
2014-03-01,18.320000,21.790001,17.389999,21.790001,14.459342,3666100
2014-04-01,21.750000,23.750000,20.910000,22.000000,14.598695,1680400
2014-05-01,22.000000,24.750000,21.650000,21.950001,15.116865,2354300
2014-06-01,21.980000,24.180000,21.830000,23.500000,16.184341,1241600
2014-07-01,23.280001,26.879999,22.010000,24.480000,16.859261,1830700
2014-08-01,24.290001,27.799999,24.150000,27.660000,19.049311,2445900
2014-09-01,27.690001,28.180000,22.700001,23.370001,16.094810,1043200
2014-10-01,23.450001,27.490000,20.389999,24.490000,16.866152,1788400
2014-11-01,24.459999,25.040001,21.540001,24.150000,16.631992,1202100
2014-12-01,23.680000,25.379999,21.959999,24.900000,18.176329,2246565
2015-01-01,24.900000,24.900000,21.219999,21.799999,15.913411,671800
2015-02-01,21.610001,23.980000,20.650000,23.500000,17.154366,1057600
2015-03-01,23.430000,24.500000,21.520000,22.959999,16.760181,957200
2015-04-01,23.500000,25.620001,22.000000,22.900000,16.716383,983600
2015-05-01,22.900000,24.600000,21.500000,21.500000,16.276161,2322500
2015-06-01,21.700001,23.680000,21.200001,22.340000,16.912067,3715900
2015-07-01,23.629999,23.980000,21.990000,23.590000,17.858355,1380100
2015-08-01,23.500000,23.900000,19.820000,22.740000,17.214880,840200
2015-09-01,20.799999,23.180000,19.600000,21.549999,16.314013,3042800
2015-10-01,21.350000,23.500000,20.680000,21.990000,16.647104,2018100
2015-11-01,21.990000,23.250000,19.200001,19.200001,14.534989,2662800
2015-12-01,19.170000,19.240000,15.400000,16.000000,12.112493,1275200
2016-01-01,16.000000,16.000000,11.800000,14.400000,10.901243,1012900
2016-02-01,14.490000,16.469999,14.000000,15.480000,11.718836,509700
2016-03-01,15.900000,19.900000,15.550000,18.440001,13.959648,1308200
2016-04-01,19.280001,19.730000,17.200001,18.590000,14.073201,240400
2016-05-01,18.209999,18.889999,15.360000,15.750000,12.666463,381100
2016-06-01,15.570000,20.790001,15.400000,20.040001,16.116568,1099700
2016-07-01,20.290001,22.580000,19.200001,21.299999,17.129885,715300
2016-08-01,21.389999,23.150000,20.280001,21.370001,17.186180,859200
2016-09-01,21.590000,23.500000,20.600000,21.150000,17.009251,873100
2016-10-01,21.580000,23.670000,20.920000,23.650000,19.019804,1746300
2016-11-01,23.680000,25.000000,19.680000,21.000000,16.888618,1138100
2016-12-01,21.150000,21.150000,18.900000,19.080000,15.344518,703900
2017-01-01,19.129999,22.900000,19.020000,22.730000,18.279917,519500
2017-02-01,22.980000,26.700001,22.500000,25.670000,20.644327,1000400
2017-03-01,25.549999,28.790001,24.240000,25.879999,20.813210,1351900
2017-04-01,25.549999,25.549999,22.850000,23.350000,18.778536,596400
2017-05-01,23.350000,24.000000,20.200001,22.250000,17.893894,2506400
2017-06-01,22.270000,22.370001,18.100000,19.000000,16.529375,2801800
2017-07-01,19.080000,21.440001,18.879999,21.200001,18.443300,1130000
2017-08-01,21.059999,24.540001,20.910000,22.719999,19.765650,1236900
2017-09-01,22.799999,24.799999,22.209999,23.299999,20.270233,979700
2017-10-01,23.290001,24.490000,21.240000,21.480000,18.686892,1835100
2017-11-01,21.469999,21.900000,19.290001,20.059999,17.451538,1409600
2017-12-01,19.770000,21.450001,19.070000,21.400000,18.617296,1182300
2018-01-01,21.400000,21.980000,20.170000,20.610001,17.930023,1161100
2018-02-01,21.549999,23.600000,20.299999,22.900000,21.765600,1249000
2018-03-01,22.900000,24.200001,22.120001,23.030001,21.889160,1662400
2018-04-01,23.010000,23.650000,21.440001,22.860001,21.727581,1263200
2018-05-01,22.860001,22.980000,19.770000,19.920000,18.933222,1177600
2018-06-01,19.830000,20.570000,18.410000,19.209999,18.330627,1317400
2018-07-01,19.170000,20.360001,18.459999,19.000000,18.206665,1405000
2018-08-01,19.000000,19.639999,17.299999,18.600000,17.823368,1811000
2018-09-01,18.690001,20.980000,18.450001,20.110001,19.270319,1474000
2018-10-01,20.469999,26.010000,19.580000,26.010000,24.923967,2731000
2018-11-01,25.980000,31.510000,25.760000,31.500000,30.184736,3650400
2018-12-01,31.980000,32.650002,28.540001,29.799999,28.555717,2443700
2019-01-01,29.799999,33.830002,29.150000,33.060001,32.753563,2721300
