Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,14.555100,14.555100,14.555100,14.555100,14.555100,557
2015-04-01,14.555100,539.078003,1.620000,18.049999,18.049999,44075
2015-05-01,188.677002,188.677002,16.180000,16.180000,16.180000,8959
2015-06-01,136.925995,143.753998,89.846298,95.776199,95.776199,1257
2015-07-01,95.776199,98.651199,56.423500,65.587799,65.587799,780
2015-08-01,63.790901,71.787201,6.800000,6.800000,6.800000,511
2015-09-01,61.095501,72.955200,57.501598,57.501598,57.501598,167
2015-10-01,71.876999,98.651199,6.280000,8.990000,8.990000,14362
2015-11-01,71.876999,84.455498,6.670000,8.800000,8.800000,10647
2015-12-01,79.064697,94.338600,49.954498,53.907799,53.907799,979
2016-01-01,53.907799,60.196999,10.961300,10.961300,10.961300,21224
2016-02-01,13.387100,15.902800,0.390000,0.730000,0.730000,5533928
2016-03-01,7.097860,32.793900,6.918160,20.215401,20.215401,765987
2016-04-01,23.629601,25.695999,2.060000,2.430000,2.430000,2259928
2016-05-01,23.809299,24.617901,13.566800,14.644900,14.644900,191626
2016-06-01,14.644900,16.980900,11.769900,12.578500,12.578500,174463
2016-07-01,12.758200,24.348301,2.190000,2.210000,2.210000,2219703
2016-08-01,23.629601,31.446199,20.574800,23.899099,23.899099,1020845
2016-09-01,23.899099,25.157000,2.080000,2.290000,2.290000,2254922
2016-10-01,20.035700,26.055401,18.777901,22.910801,22.910801,477027
2016-11-01,22.910801,38.454201,2.170000,2.480000,2.480000,3438403
2016-12-01,21.563101,22.910801,18.508301,19.945900,19.945900,224006
2017-01-01,19.766199,23.809299,2.150000,2.180000,2.180000,748794
2017-02-01,19.496700,19.496700,1.400000,1.420000,1.420000,2626444
2017-03-01,13.117600,15.273900,8.984630,10.062800,10.062800,729489
2017-04-01,9.972940,12.219100,0.980000,1.030000,1.030000,6194611
2017-05-01,9.254170,10.332300,7.906470,9.164320,9.164320,752508
2017-06-01,9.164320,28.032000,1.570000,2.780000,2.780000,20109751
2017-07-01,22.012300,28.301600,2.550000,2.750000,2.750000,16737202
2017-08-01,24.438200,28.121901,1.760000,2.010000,2.010000,21215844
2017-09-01,16.172300,17.879400,1.250000,1.330000,1.330000,15374975
2017-10-01,11.859700,15.543400,9.900000,11.300000,11.300000,8536554
2017-11-01,11.400000,12.700000,9.200000,11.300000,11.300000,3746670
2017-12-01,11.300000,11.800000,10.000000,10.400000,10.400000,1223980
2018-01-01,10.400000,12.100000,1.030000,1.040000,1.040000,3215260
2018-02-01,11.100000,11.100000,9.800000,10.100000,10.100000,1442190
2018-03-01,10.100000,24.000000,10.000000,13.000000,13.000000,25241500
2018-04-01,12.900000,14.800000,12.000000,13.600000,13.600000,3213730
2018-05-01,13.600000,22.200001,12.800000,16.500000,16.500000,13422340
2018-06-01,16.799999,17.100000,12.200000,14.200000,14.200000,5176300
2018-07-01,13.600000,16.299999,13.200000,13.700000,13.700000,3974670
2018-08-01,13.800000,20.000000,11.700000,20.000000,20.000000,7046620
2018-09-01,17.200001,18.900000,13.700000,14.200000,14.200000,9661140
2018-10-01,14.200000,16.299999,13.900000,15.200000,15.200000,8911840
2018-11-01,15.400000,17.799999,15.200000,15.600000,15.600000,4024260
2018-12-01,15.800000,16.799999,9.600000,9.800000,9.800000,5879880
2019-01-01,9.800000,10.300000,8.000000,8.300000,8.300000,11501390
