Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,120.500000,122.000000,110.500000,113.699997,113.699997,7958000
2010-11-01,114.199997,143.500000,111.000000,135.399994,135.399994,5143000
2010-12-01,135.401001,169.899002,135.001007,159.000000,159.000000,5589000
2011-01-01,159.001007,183.412994,154.500000,181.800003,181.800003,4758000
2011-02-01,182.001007,198.998001,162.001007,187.498993,187.498993,11262000
2011-03-01,184.998001,222.000000,166.100006,170.100006,170.100006,6732000
2011-04-01,173.000000,183.000000,149.000000,161.000000,161.000000,11754000
2011-05-01,164.899994,165.000000,137.500000,142.000000,142.000000,7764000
2011-06-01,140.199997,144.998993,131.000000,140.000000,140.000000,8042000
2011-07-01,139.000000,167.199997,139.000000,144.600006,144.600006,8965000
2011-08-01,145.860001,150.000000,87.000000,104.900002,104.900002,11914000
2011-09-01,109.999001,109.999001,72.000000,75.000000,75.000000,10637000
2011-10-01,71.800003,86.400002,60.299999,85.599998,85.599998,11594000
2011-11-01,82.199997,91.198997,54.701000,66.500000,66.500000,11154000
2011-12-01,67.000999,71.300003,51.799999,56.799999,56.799999,8238000
2012-01-01,57.000000,58.000000,37.200001,45.799999,45.799999,18210000
2012-02-01,46.699001,69.900002,45.200001,68.199997,68.199997,13313000
2012-03-01,69.300003,73.222000,59.099998,63.226002,63.226002,13216000
2012-04-01,63.900002,63.900002,47.601002,54.799999,54.799999,7078000
2012-05-01,54.799999,56.900002,28.950001,33.750000,33.750000,11196140
2012-06-01,31.450001,39.250000,25.299999,31.299999,31.299999,9693380
2012-07-01,31.299999,33.000000,24.650000,24.900000,24.900000,7873880
2012-08-01,24.850000,28.950001,19.500000,23.250000,23.250000,19463840
2012-09-01,23.950001,25.700001,19.450001,22.250000,22.250000,20553700
2012-10-01,22.500000,82.000000,19.950001,30.500000,30.500000,25646420
2012-11-01,30.650000,31.650000,23.100000,25.500000,25.500000,18436420
2012-12-01,25.799999,26.650000,23.150000,23.650000,23.650000,9828460
2013-01-01,23.650000,28.650000,18.600000,18.750000,18.750000,15791660
2013-02-01,20.100000,21.049999,17.350000,18.400000,18.400000,9791200
2013-03-01,18.150000,20.000000,17.049999,17.350000,17.350000,11233120
2013-04-01,16.700001,24.250000,16.299999,21.650000,21.650000,20012580
2013-05-01,21.650000,23.600000,11.350000,11.550000,11.550000,37884720
2013-06-01,12.100000,13.400000,9.200000,12.950000,12.950000,16553640
2013-07-01,11.200000,13.700000,8.050000,8.450000,8.450000,19978060
2013-08-01,8.550000,8.600000,6.650000,7.450000,7.450000,10600940
2013-09-01,7.450000,8.750000,5.350000,5.800000,5.800000,26236660
2013-10-01,5.850000,5.900000,3.250000,3.300000,3.300000,33670260
2013-11-01,3.350000,4.450000,3.250000,3.700000,3.700000,25251300
2013-12-01,3.650000,5.000000,3.300000,4.550000,4.550000,28341900
2014-01-01,4.550000,6.850000,4.050000,5.800000,5.800000,80175480
2014-02-01,6.000000,6.050000,5.050000,5.350000,5.350000,24499460
2014-03-01,5.350000,5.450000,4.550000,4.650000,4.650000,11028040
2014-04-01,4.700000,5.100000,3.150000,3.200000,3.200000,22875960
2014-05-01,3.200000,4.400000,3.100000,4.050000,4.050000,31045120
2014-06-01,4.050000,6.000000,3.900000,5.950000,5.950000,19622040
2014-07-01,6.000000,6.750000,4.950000,6.650000,6.650000,32793520
2014-08-01,6.700000,7.410000,6.150000,6.955000,6.955000,25157480
2014-09-01,6.960000,7.190000,5.205000,5.475000,5.475000,19441200
2014-10-01,5.375000,5.945000,4.690000,4.850000,4.850000,23318800
2014-11-01,4.800000,4.870000,3.510000,3.800000,3.800000,16787400
2014-12-01,3.560000,3.810000,1.965000,2.310000,2.310000,30490714
2015-01-01,2.310000,3.850000,1.425000,1.950000,1.950000,41762600
2015-02-01,1.975000,2.985000,1.925000,2.690000,2.690000,18433600
2015-03-01,2.690000,2.835000,2.050000,2.255000,2.255000,12633200
2015-04-01,2.270000,2.515000,2.105000,2.325000,2.325000,6149600
2015-05-01,2.325000,2.675000,2.165000,2.290000,2.290000,8682600
2015-06-01,2.295000,2.310000,2.035000,2.050000,2.050000,3007400
