Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,30.141500,49.903099,30.141500,30.939899,30.939899,0
2003-02-01,49.903099,49.903099,30.141500,30.141500,30.141500,0
2003-03-01,30.141500,49.903099,29.941900,29.941900,29.941900,601
2003-04-01,44.713200,47.907001,29.941900,31.938000,31.938000,2204
2003-05-01,31.938000,59.883801,29.941900,31.938000,31.938000,551
2003-06-01,47.707401,47.907001,31.938000,32.936100,32.936100,0
2003-07-01,47.907001,47.907001,29.941900,32.936100,32.936100,0
2003-08-01,43.914700,43.914700,31.938000,32.936100,32.936100,0
2003-09-01,43.914700,43.914700,31.938000,31.938000,31.938000,0
2003-10-01,43.914700,45.910900,29.941900,29.941900,29.941900,651
2003-11-01,39.922501,39.922501,29.941900,31.938000,31.938000,0
2003-12-01,39.922501,43.914700,31.938000,31.938000,31.938000,0
2004-01-01,31.938000,59.883801,30.141500,30.141500,30.141500,50
2004-02-01,30.141500,45.711300,30.141500,37.926399,37.926399,200
2004-03-01,37.926399,47.707401,19.961300,19.961300,19.961300,3006
2004-04-01,45.711300,45.711300,19.961300,27.945700,27.945700,0
2004-05-01,39.722900,39.722900,27.945700,27.945700,27.945700,0
2004-06-01,27.945700,41.719002,27.945700,28.145399,28.145399,651
2004-07-01,28.145399,41.719002,28.145399,33.934101,33.934101,50
2004-08-01,41.719002,43.715099,33.934101,34.133701,34.133701,1503
2004-09-01,40.920601,43.715099,34.133701,34.133701,34.133701,50
2004-10-01,34.133701,43.715099,34.133701,34.133701,34.133701,0
2004-11-01,43.715099,43.715099,29.941900,39.523300,39.523300,305
2004-12-01,43.715099,43.715099,29.941900,33.135700,33.135700,1122
2005-01-01,36.928299,38.924400,31.938000,31.938000,31.938000,220
2005-02-01,31.938000,43.715099,31.938000,36.329498,36.329498,476
2005-03-01,36.329498,42.916698,34.333401,34.533001,34.533001,90
2005-04-01,34.533001,41.918598,34.533001,34.533001,34.533001,50
2005-05-01,34.533001,41.918598,30.939899,30.939899,30.939899,4008
2005-06-01,30.939899,35.930199,28.344999,29.941900,29.941900,170
2005-07-01,29.941900,35.930199,28.344999,29.941900,29.941900,3267
2005-08-01,29.941900,35.930199,29.941900,31.938000,31.938000,646
2005-09-01,31.938000,35.930199,24.951599,26.149200,26.149200,6001
2005-10-01,28.943800,35.930199,24.951599,25.151199,25.151199,781
2005-11-01,25.151199,35.930199,23.953501,23.953501,23.953501,3646
2005-12-01,23.953501,30.939899,21.957399,23.953501,23.953501,230
2006-01-01,23.953501,30.939899,23.953501,28.145399,28.145399,621
2006-02-01,28.145399,32.936100,23.953501,30.939899,30.939899,2764
2006-03-01,30.939899,31.938000,23.953501,24.951599,24.951599,235
2006-04-01,30.939899,32.936100,18.364300,18.364300,18.364300,225
2006-05-01,29.941900,29.941900,19.961300,19.961300,19.961300,1909
2006-06-01,25.949600,26.947701,19.961300,20.160900,20.160900,1027
2006-07-01,26.947701,26.947701,19.961300,19.961300,19.961300,5
2006-08-01,23.753901,26.947701,15.969000,16.967100,16.967100,1605
2006-09-01,19.761600,26.947701,16.567801,16.567801,16.567801,902
2006-10-01,26.947701,26.947701,16.567801,16.967100,16.967100,3783
2006-11-01,19.961300,21.757799,15.969000,20.959299,20.959299,5215
2006-12-01,20.959299,25.949600,18.963200,23.354700,23.354700,2373
2007-01-01,23.354700,38.924400,20.160900,29.941900,29.941900,10322
2007-02-01,24.153099,48.905102,23.953501,28.344999,28.344999,24982
2007-03-01,25.350800,32.936100,21.957399,23.554300,23.554300,84083
2007-04-01,24.153099,28.943800,22.556200,24.352699,24.352699,211621
2007-05-01,24.352699,36.529099,22.556200,29.742300,29.742300,321655
2007-06-01,29.941900,33.534901,25.750000,31.538799,31.538799,102789
2007-07-01,31.538799,34.732601,26.348900,27.945700,27.945700,47055
2007-08-01,26.947701,34.732601,22.556200,25.949600,25.949600,73144
2007-09-01,24.153099,28.744200,24.153099,27.945700,27.945700,23247
2007-10-01,27.147301,28.943800,24.352699,26.947701,26.947701,22801
2007-11-01,25.550400,29.941900,21.957399,23.953501,23.953501,19939
2007-12-01,23.953501,25.151199,21.757799,23.554300,23.554300,2353
2008-01-01,23.554300,25.949600,17.965099,19.761600,19.761600,13185
2008-02-01,19.761600,20.360500,16.967100,19.562000,19.562000,20886
2008-03-01,17.965099,18.563999,16.368200,17.565901,17.565901,7149
2008-04-01,16.567801,18.763599,16.567801,17.765499,17.765499,12953
2008-05-01,17.765499,23.953501,16.567801,22.556200,22.556200,48016
2008-06-01,22.755800,22.755800,18.963200,19.961300,19.961300,23214
2008-07-01,19.761600,20.360500,15.969000,17.765499,17.765499,9594
2008-08-01,16.967100,17.965099,13.573700,14.172500,14.172500,10936
2008-09-01,15.170600,15.170600,11.976800,13.573700,13.573700,4993
2008-10-01,13.374000,13.573700,7.984500,9.182180,9.182180,6256
2008-11-01,13.374000,13.374000,9.781010,11.976800,11.976800,1121
2008-12-01,11.976800,11.976800,11.976800,11.976800,11.976800,0
2009-01-01,11.976800,11.976800,11.976800,11.976800,11.976800,0
2009-02-01,11.976800,11.976800,11.976800,11.976800,11.976800,0
2009-03-01,11.976800,11.976800,11.976800,11.976800,11.976800,0
2009-04-01,11.976800,11.976800,11.976800,11.976800,11.976800,0
2009-05-01,11.976800,13.972900,9.381790,9.980630,9.980630,25095
