Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,133.800003,133.800003,133.800003,133.800003,108.946060,3500
2012-03-01,133.800003,133.800003,133.800003,133.800003,109.345764,0
2012-04-01,133.800003,139.000000,133.800003,139.000000,113.595375,3500
2012-05-01,139.000000,139.000000,139.000000,139.000000,113.595375,0
2012-06-01,139.000000,139.000000,139.000000,139.000000,114.016914,0
2012-07-01,139.000000,139.000000,139.000000,139.000000,114.016914,0
2012-08-01,139.000000,139.000000,139.000000,139.000000,114.016914,0
2012-09-01,139.000000,139.000000,139.000000,139.000000,114.936142,0
2012-10-01,139.000000,139.000000,139.000000,139.000000,114.936142,0
2012-11-01,139.000000,139.000000,139.000000,139.000000,114.936142,0
2012-12-01,139.000000,139.000000,139.000000,139.000000,115.400299,0
2013-01-01,139.000000,139.000000,139.000000,139.000000,115.400299,0
2013-02-01,139.000000,160.300003,139.000000,160.300003,133.083969,400
2013-03-01,160.300003,160.300003,160.300003,160.300003,133.615463,0
2013-04-01,160.300003,160.300003,160.300003,160.300003,133.615463,0
2013-05-01,160.300003,160.300003,154.490005,160.119995,133.465439,600
2013-06-01,160.119995,160.119995,154.440002,154.440002,128.730911,600
2013-07-01,154.440002,154.440002,154.440002,154.440002,129.302902,0
2013-08-01,154.440002,154.440002,154.440002,154.440002,129.302902,0
2013-09-01,154.440002,154.440002,154.440002,154.440002,129.302902,0
2013-10-01,154.440002,198.960007,154.440002,193.649994,162.868073,27400
2013-11-01,193.649994,193.649994,193.649994,193.649994,162.868073,0
2013-12-01,212.800003,213.119995,202.009995,212.110001,178.393738,9100
2014-01-01,212.110001,213.399994,212.110001,213.399994,180.173599,16600
2014-02-01,211.559998,217.130005,210.600006,217.130005,183.322815,6500
2014-03-01,217.130005,217.130005,217.130005,217.130005,184.090454,0
2014-04-01,217.130005,217.130005,213.699997,213.699997,181.182358,1300
2014-05-01,213.699997,226.699997,213.699997,224.240005,190.118576,5200
2014-06-01,236.300003,238.639999,236.300003,238.639999,202.327393,1200
2014-07-01,238.639999,251.479996,238.639999,251.479996,214.066498,1100
2014-08-01,243.000000,246.649994,243.000000,246.649994,209.955078,10700
2014-09-01,246.649994,253.440002,238.850006,242.770004,206.652313,36900
2014-10-01,253.440002,253.440002,220.470001,243.500000,208.086502,26000
2014-11-01,243.500000,250.600006,243.500000,250.600006,214.153915,100
2014-12-01,250.600006,250.600006,213.850006,213.850006,182.748657,23400
2015-01-01,229.949997,229.949997,205.199997,220.500000,189.235870,7800
2015-02-01,220.500000,251.000000,220.500000,251.000000,215.411346,1400
2015-03-01,242.529999,258.799988,241.970001,258.799988,223.667892,13500
2015-04-01,258.799988,284.000000,258.799988,267.619995,231.290619,3500
2015-05-01,267.619995,285.630005,267.619995,285.630005,246.855804,1700
2015-06-01,285.630005,288.010010,269.399994,271.739990,234.851318,6900
2015-07-01,271.739990,282.429993,265.450012,282.429993,245.458649,1900
2015-08-01,282.429993,293.100006,251.619995,282.429993,245.458649,7900
2015-09-01,279.559998,299.799988,279.559998,288.160004,252.317764,36400
2015-10-01,288.160004,300.519989,284.570007,300.519989,263.140320,12100
2015-11-01,300.519989,304.450012,288.029999,302.630005,264.987885,5300
2015-12-01,302.630005,302.630005,271.299988,272.000000,239.824326,6200
2016-01-01,272.000000,278.049988,258.489990,265.109985,233.749344,9200
2016-02-01,282.359985,282.359985,267.630005,267.630005,235.971252,12400
2016-03-01,290.000000,292.600006,267.600006,267.600006,237.552414,11400
2016-04-01,259.309998,282.959991,259.309998,282.959991,251.187668,6800
2016-05-01,273.000000,276.160004,260.989990,276.160004,245.151245,8800
2016-06-01,276.160004,276.160004,253.169998,253.169998,226.231201,13400
2016-07-01,254.080002,266.040009,254.080002,259.489990,231.878693,27000
2016-08-01,256.630005,265.380005,253.000000,255.429993,228.250702,43600
2016-09-01,255.429993,255.429993,245.570007,253.500000,226.526093,6700
2016-10-01,253.500000,267.459991,249.119995,252.630005,227.197540,7300
2016-11-01,252.630005,278.910004,252.630005,276.519989,248.682510,5300
2016-12-01,300.390015,302.000000,288.420013,288.420013,259.384552,7600
2017-01-01,288.420013,288.420013,260.320007,263.140015,237.945831,10900
2017-02-01,263.140015,263.140015,249.429993,249.429993,225.548431,3500
2017-03-01,249.429993,251.679993,239.800003,245.050003,222.928360,69400
2017-04-01,241.770004,249.029999,231.440002,231.440002,210.546982,7200
2017-05-01,231.440002,236.979996,219.320007,236.369995,215.031921,29900
2017-06-01,236.369995,236.369995,228.470001,229.919998,210.584274,2700
2017-07-01,229.919998,229.919998,212.320007,212.990005,195.078094,8800
2017-08-01,212.990005,214.600006,198.889999,200.600006,183.730011,1000
2017-09-01,200.600006,210.660004,200.600006,210.619995,192.907379,200
2017-10-01,210.619995,215.570007,199.759995,215.570007,199.004471,600
2017-11-01,199.759995,214.750000,199.759995,214.750000,198.247467,100
2017-12-01,214.750000,227.009995,206.399994,225.500000,208.171387,4400
2018-01-01,225.500000,253.500000,225.500000,235.300003,218.877823,14700
2018-02-01,235.300003,238.100006,210.910004,216.130005,201.045746,14000
2018-03-01,216.130005,216.410004,210.250000,212.970001,199.539337,2900
2018-04-01,208.610001,243.440002,208.610001,243.440002,228.087814,3000
2018-05-01,243.440002,276.790009,243.440002,253.839996,237.831955,6400
2018-06-01,253.839996,275.769989,247.800003,262.000000,245.477341,9300
2018-07-01,258.429993,266.269989,243.399994,243.399994,229.778992,2800
2018-08-01,243.399994,272.470001,243.399994,272.470001,257.222198,4700
2018-09-01,272.470001,272.470001,247.380005,250.990005,236.944244,7200
2018-10-01,247.750000,251.050003,189.820007,189.820007,180.428085,5100
2018-11-01,189.820007,189.820007,180.520004,180.520004,171.588211,3400
2018-12-01,180.520004,180.520004,142.610001,142.610001,135.553940,3000
2019-01-01,142.610001,166.679993,142.610001,165.770004,159.203979,3900
