Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,4347830.000000,4536860.000000,3308130.000000,3402650.000000,1628776.750000,0
2003-02-01,3969750.000000,4347830.000000,3402650.000000,4158790.000000,1990725.250000,1
2003-03-01,4158790.000000,4158790.000000,3780720.000000,3780720.000000,1809750.625000,0
2003-04-01,3780720.000000,4158790.000000,3686200.000000,4158790.000000,1990725.250000,9
2003-05-01,4158790.000000,4158790.000000,4158790.000000,4158790.000000,1990725.250000,0
2003-06-01,4253310.000000,4347830.000000,3780720.000000,3790170.000000,1814274.625000,3
2003-07-01,4347830.000000,4706990.000000,3790170.000000,3790170.000000,1814274.625000,0
2003-08-01,4347830.000000,5009450.000000,3790170.000000,3790170.000000,1814274.625000,2
2003-09-01,3790170.000000,5293010.000000,3790170.000000,3790170.000000,1814274.625000,5
2003-10-01,5293010.000000,5860110.000000,4914940.000000,4914940.000000,2352678.000000,4
2003-11-01,3790170.000000,6616260.000000,3790170.000000,3790170.000000,1814274.625000,1
2003-12-01,5860110.000000,6616260.000000,4916820.000000,6238180.000000,2986084.750000,36
2004-01-01,6238180.000000,6616260.000000,6238180.000000,6521740.000000,3121818.750000,33
2004-02-01,6521740.000000,6521740.000000,5860110.000000,5860110.000000,2805110.750000,0
2004-03-01,6143670.000000,6143670.000000,5113420.000000,5671080.000000,2714626.500000,8
2004-04-01,5954630.000000,5954630.000000,5482040.000000,5482040.000000,2624137.000000,18
2004-05-01,5198490.000000,5671080.000000,4536860.000000,4536860.000000,2171699.250000,35
2004-06-01,null,null,null,null,null,null
2004-07-01,4725900.000000,5652170.000000,4725900.000000,5198490.000000,2488407.250000,3
2004-08-01,5671080.000000,6068050.000000,5482040.000000,6068050.000000,2904647.500000,924
2004-09-01,6068050.000000,7561440.000000,6068050.000000,6805290.000000,3257548.250000,0
2004-10-01,6068050.000000,6068050.000000,6049150.000000,6049150.000000,2895600.500000,0
2004-11-01,null,null,null,null,null,null
2004-12-01,6049150.000000,10017000.000000,6049150.000000,7750470.000000,3709986.750000,0
2005-01-01,7183360.000000,7183360.000000,7183360.000000,7183360.000000,3438522.750000,0
2005-02-01,6616260.000000,8750000.000000,6616260.000000,8750000.000000,4188440.250000,0
2005-03-01,null,null,null,null,null,null
2005-04-01,6087500.000000,6252500.000000,6087500.000000,6252500.000000,2992940.250000,0
2005-05-01,null,null,null,null,null,null
2005-06-01,null,null,null,null,null,null
2005-07-01,null,null,null,null,null,null
2005-08-01,5.000000,5.000000,5.000000,5.000000,2.393394,0
2005-09-01,null,null,null,null,null,null
2005-10-01,6.250000,6.250000,6.250000,6.250000,2.991743,0
2005-11-01,null,null,null,null,null,null
2005-12-01,null,null,null,null,null,null
2006-01-01,null,null,null,null,null,null
2006-02-01,null,null,null,null,null,null
2006-03-01,null,null,null,null,null,null
2006-04-01,null,null,null,null,null,null
2006-05-01,null,null,null,null,null,null
2006-06-01,null,null,null,null,null,null
2006-07-01,null,null,null,null,null,null
2006-08-01,5.600000,5.600000,5.000000,5.000000,2.393394,0
2006-09-01,null,null,null,null,null,null
2006-10-01,null,null,null,null,null,null
2006-11-01,null,null,null,null,null,null
2006-12-01,null,null,null,null,null,null
2007-01-01,5.372500,7.500000,5.372500,7.500000,3.590092,0
2007-02-01,5.000000,5.372500,5.000000,5.372500,2.571702,0
2007-03-01,null,null,null,null,null,null
2007-04-01,6.250000,12.500000,6.250000,12.500000,5.983486,0
2007-05-01,6.305000,7.500000,6.305000,7.500000,3.590092,2400
2007-06-01,null,null,null,null,null,null
2007-07-01,12.500000,12.500000,12.500000,12.500000,5.983486,0
2007-08-01,null,null,null,null,null,null
2007-09-01,8.000000,8.000000,8.000000,8.000000,3.829431,0
2007-10-01,15.000000,16.250000,15.000000,15.000000,7.180183,0
2007-11-01,15.000000,15.000000,14.750000,14.750000,7.060515,0
2007-12-01,null,null,null,null,null,null
2008-01-01,10.000000,10.000000,10.000000,10.000000,4.786789,0
2008-02-01,10.000000,15.075000,10.000000,10.000000,4.786789,0
2008-03-01,10.000000,10.000000,10.000000,10.000000,4.786789,0
2008-04-01,23.750000,23.750000,13.000000,13.000000,6.222826,0
2008-05-01,13.000000,16.250000,13.000000,13.000000,6.222826,0
2008-06-01,15.000000,15.625000,7.500000,7.500000,3.590092,1600
2008-07-01,14.975000,14.975000,7.312500,7.312500,3.500339,1600
2008-08-01,null,null,null,null,null,null
2008-09-01,null,null,null,null,null,null
2008-10-01,null,null,null,null,null,null
2008-11-01,14.625000,14.625000,14.625000,14.625000,7.000679,0
2008-12-01,14.625000,14.625000,14.625000,14.625000,7.000679,0
2009-01-01,14.625000,14.625000,14.625000,14.625000,7.000679,0
2009-02-01,14.625000,14.625000,14.625000,14.625000,7.000679,0
2009-03-01,14.625000,14.625000,14.625000,14.625000,7.000679,0
2009-04-01,14.625000,14.625000,14.625000,14.625000,7.452698,0
2009-05-01,14.625000,14.625000,14.625000,14.625000,7.452698,0
2009-06-01,14.625000,14.625000,14.625000,14.625000,7.452698,0
