Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,3.850000,4.340000,3.470000,3.770000,2.996635,7653
2005-08-01,3.880000,5.180000,3.650000,5.180000,4.117393,10227
2005-09-01,5.200000,5.400000,4.710000,5.240000,4.165084,4188
2005-10-01,5.290000,5.450000,4.580000,4.690000,3.727911,4864
2005-11-01,4.690000,6.600000,4.650000,6.410000,5.095075,8806
2005-12-01,6.600000,6.980000,6.030000,6.120000,4.864564,9605
2006-01-01,6.410000,8.600000,6.000000,8.280000,6.581469,9993
2006-02-01,8.220000,8.800000,7.290000,8.520000,6.772237,11481
2006-03-01,8.780000,9.300000,8.050000,8.540000,6.788134,13596
2006-04-01,8.490000,10.000000,7.910000,9.200000,7.312745,8129
2006-05-01,9.130000,6550.000000,7.100000,7.500000,5.961476,9725995
2006-06-01,7.350000,5700.000000,6.950000,8.600000,6.835826,1737425
2006-07-01,8.280000,6190.000000,7.780000,8.200000,6.517880,6483504
2006-08-01,8.050000,5430.000000,7.360000,8.150000,6.478138,1053673
2006-09-01,8.250000,6730.000000,7.900000,5990.000000,4761.232422,9718397
2006-10-01,6100.000000,7080.000000,9.000000,10.190000,8.099659,4994146
2006-11-01,10.100000,7820.000000,9.970000,11.250000,8.942215,19720849
2006-12-01,11.360000,7630.000000,10.920000,12.570000,9.991434,6204697
2007-01-01,12.680000,7260.000000,10.100000,7190.000000,5715.067871,23348521
2007-02-01,7320.000000,7440.000000,10.550000,6810.000000,5413.020508,31690418
2007-03-01,10.070000,7300.000000,8.910000,10.680000,8.489143,15320347
2007-04-01,11.010000,7790.000000,10.400000,10.550000,8.385810,9632226
2007-05-01,7400.000000,7490.000000,9.210000,10.560000,8.393759,11347383
2007-06-01,10.680000,7540.000000,10.150000,10.750000,8.544784,13276543
2007-07-01,10.870000,11.400000,9.840000,10.150000,8.067863,16060229
2007-08-01,10.250000,10.750000,7.700000,10.300000,8.187095,25043000
2007-09-01,10.300000,11.350000,10.290000,11.090000,8.815037,12001400
2007-10-01,11.090000,12.000000,10.500000,11.750000,9.339647,14302100
2007-11-01,11.890000,12.050000,9.100000,9.670000,7.686330,10384900
2007-12-01,9.670000,10.000000,8.220000,8.700000,6.915312,7710200
2008-01-01,8.700000,9.020000,5.800000,8.590000,6.827878,35419200
2008-02-01,8.800000,9.970000,8.080000,9.350000,7.431975,17101400
2008-03-01,9.310000,9.960000,6.770000,7.260000,5.770710,16014400
2008-04-01,7.260000,7.980000,7.080000,7.650000,6.080706,7623000
2008-05-01,7.650000,7.760000,4.890000,4.980000,3.958420,42383700
2008-06-01,6.800000,6.860000,5.960000,5.980000,4.753284,18939600
2008-07-01,5.800000,6.200000,3.930000,5.440000,4.324058,30597700
2008-08-01,5.410000,6.280000,3.560000,6.050000,4.808924,25058500
2008-09-01,5.980000,7.090000,3.490000,7.000000,5.564045,15761900
2008-10-01,6.960000,7.500000,4.480000,5.500000,4.371750,12945000
2008-11-01,5.610000,8.400000,2.840000,6.900000,5.484558,13964000
2008-12-01,6.650000,7.500000,4.910000,4.910000,3.902780,8990600
2009-01-01,5.020000,7.270000,3.020000,6.750000,5.365329,12002700
2009-02-01,6.560000,7.360000,3.170000,6.540000,5.198408,9899500
2009-03-01,6.370000,7.010000,2.810000,2.890000,2.297156,21635500
2009-04-01,5.860000,6.780000,5.830000,6.560000,5.214304,9306300
2009-05-01,6.560000,7.850000,3.330000,7.660000,6.088655,44152800
2009-06-01,7.740000,8.100000,6.520000,6.700000,5.325585,6039600
2009-07-01,6.750000,7.100000,5.050000,5.530000,4.395595,16418800
2009-08-01,5.570000,5.980000,5.330000,5.450000,4.332006,7403300
2009-09-01,5.500000,6.040000,5.310000,5.870000,4.665848,13972600
2009-10-01,5.830000,6.890000,5.500000,5.500000,4.371750,11186900
2009-11-01,5.630000,6.420000,4.320000,6.360000,5.055333,14731100
2009-12-01,6.430000,7.540000,6.300000,7.150000,5.683274,10104900
2010-01-01,7.200000,7.870000,6.700000,7.000000,5.564045,7747300
2010-02-01,7.000000,7.800000,6.200000,7.350000,5.842247,8732900
2010-03-01,7.440000,7.880000,6.800000,7.000000,5.564045,8877400
2010-04-01,7.010000,7.390000,5.660000,6.100000,4.848667,12206200
2010-05-01,6.100000,7.190000,5.650000,7.010000,5.694781,10760100
2010-06-01,6.950000,7.490000,6.790000,7.300000,5.930370,12183500
2010-07-01,7.210000,7.600000,6.910000,6.950000,5.646037,11144400
2010-08-01,7.050000,8.140000,6.830000,6.990000,5.678533,14485500
2010-09-01,6.990000,7.760000,6.800000,7.260000,5.897876,10052500
2010-10-01,7.260000,7.450000,6.470000,7.000000,5.686657,20323500
2010-11-01,6.920000,7.120000,5.710000,6.900000,5.605419,19521200
2010-12-01,6.980000,7.290000,6.800000,6.810000,5.532304,12676600
2011-01-01,6.920000,7.740000,6.780000,7.490000,6.084723,9712900
2011-02-01,6.200000,7.700000,6.000000,7.650000,6.214704,9254506
2011-03-01,7.650000,8.820000,6.300000,8.270000,6.718378,17728481
2011-04-01,8.200000,8.670000,6.750000,7.220000,5.865381,92100000
2011-05-01,8.620000,9.100000,7.340000,8.800000,7.323833,13083928
2011-06-01,8.800000,9.140000,7.680000,8.900000,7.407057,26783200
